,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrentReceivables,723000,,,,,,,,,,,,,104000,104000,155000,111000,286000
BalanceNoncurrentReceivables_yy,,,,,-100.00,,,,,,,,,,,,,175.00
BalanceNoncurrentReceivables_sy,,,,,-36.31,,,,,,,,,,,,,16.32
BalanceNoncurrentReceivables_qq,,-100.00,,,,,,,,,,,,,,49.04,-28.39,157.66
BalanceNoncurrentReceivables_sq,,-52.19,,,,,,,,,,,,,,4.88,-14.24,11.99
BalanceNoncurrInvestments,254000,,,,,439000,,,,,,2470000,3078000,19330000,15831000,16031000,16104000,16271000
BalanceNoncurrInvestments_yy,,,,,-100.00,,,,,-100.00,,,,,,549.03,423.20,-15.83
BalanceNoncurrInvestments_sy,,,,,14.64,,,,,-45.70,,,,,,-6.66,8.41,-15.83
BalanceNoncurrInvestments_qq,,-100.00,,,,,-100.00,,,,,,24.62,528.01,-18.10,1.26,0.46,1.04
BalanceNoncurrInvestments_sq,,22.40,,,,,-2.38,,,,,,,-0.32,-0.63,1.26,,-2.98
BalanceOtherNoncurrentAssets,48746000,,,1153000,809000,1473000,1495000,1681000,1897000,1968000,1816000,34633000,31939000,28528000,32798000,33385000,33453000,30083000
BalanceOtherNoncurrentAssets_yy,,,,,-98.34,,,45.79,134.49,33.60,21.47,1960.26,1583.66,1349.59,1706.06,-3.60,4.74,5.45
BalanceOtherNoncurrentAssets_sy,,,,,88.24,,,5.00,-2.96,0.27,-4.37,17.15,-0.92,-5.76,-5.98,-13.28,-1.22,-5.10
BalanceOtherNoncurrentAssets_qq,,-100.00,,,-29.84,82.08,1.49,12.44,12.85,3.74,-7.72,1807.10,-7.78,-10.68,14.97,1.79,0.20,-10.07
BalanceOtherNoncurrentAssets_sq,,7.53,,,4.48,-0.36,9.12,-4.69,5.40,-2.25,3.29,-5.02,-3.00,-3.34,-0.26,-9.28,-0.16,-1.29
BalanceCurrentAssets,86114000,,,84858000,83906000,144025000,137794000,111684000,109600000,112487000,119534000,122454000,129143000,131515000,107536000,141677000,154148000,180161000
BalanceCurrentAssets_yy,,,,,-2.56,,,31.61,30.62,-21.90,-13.25,9.64,17.83,16.92,-10.04,15.70,19.36,36.99
BalanceCurrentAssets_sy,,,,,6.08,,,8.39,3.04,-5.41,-2.34,3.96,9.25,16.92,10.97,4.27,0.88,12.54
BalanceCurrentAssets_qq,,-100.00,,,-1.12,71.65,-4.33,-18.95,-1.87,2.63,6.26,2.44,5.46,1.84,-18.23,31.75,8.80,16.88
BalanceCurrentAssets_sq,,3.74,,,-1.12,7.17,-4.33,6.26,-6.40,-0.99,-1.56,9.61,1.63,-1.23,-3.89,6.55,2.50,1.66
BalanceInventory,,,,,,,,,,,,,,,,,,
BalanceInventory_yy,,,,,,,,,,,,,,,,,,
BalanceInventory_sy,,,,,,,,,,,,,,,,,,
BalanceInventory_qq,,,,,,,,,,,,,,,,,,
BalanceInventory_sq,,,,,,,,,,,,,,,,,,
BalanceCurrentReceivables,64775000,,,53710000,54536000,61510000,55243000,62723000,71943000,75381000,66828000,77304000,76741000,83191000,77355000,95235000,94639000,105298000
BalanceCurrentReceivables_yy,,,,,-15.81,,,16.78,31.92,22.55,20.97,23.25,6.67,10.36,15.75,23.20,23.32,26.57
BalanceCurrentReceivables_sy,,,,,15.01,,,9.49,1.04,-7.27,-4.07,6.01,6.67,10.36,8.56,15.57,0.24,-0.08
BalanceCurrentReceivables_qq,,-100.00,,,1.54,12.79,-10.19,13.54,14.70,4.78,-11.35,15.68,-0.73,8.40,-7.02,23.11,-0.63,11.26
BalanceCurrentReceivables_sq,,2.33,,,2.03,4.97,-10.19,-0.51,1.83,-1.47,-2.22,8.44,-0.73,-0.16,-1.68,9.84,-4.02,8.07
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_yy,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_sy,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_qq,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_sq,,,,,,,,,,,,,,,,,,
BalanceCash,21339000,,,31148000,29370000,82515000,82551000,48961000,37657000,37106000,52706000,45150000,52402000,48324000,30181000,46442000,59509000,74863000
BalanceCash_yy,,,,,37.64,,,57.19,28.22,-55.03,-36.15,-7.78,39.16,30.23,-42.74,2.86,13.56,54.92
BalanceCash_sy,,,,,21.81,,,-12.63,-4.77,-27.10,-28.97,-31.84,22.93,30.23,22.74,2.86,-5.29,16.92
BalanceCash_qq,,-100.00,,,-5.71,180.95,0.04,-40.69,-23.09,-1.46,42.04,-14.34,16.06,-7.78,-37.54,53.88,28.14,25.80
BalanceCash_sq,,-8.06,,,-14.66,0.11,-17.85,17.80,-15.44,-14.50,-18.25,21.80,14.46,-13.61,5.15,3.47,5.75,-7.46
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_yy,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_sy,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_qq,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_sq,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,,,,,
BalanceTotalAssets,551928000,,,569820000,566025000,665110000,671883000,749879000,771364000,801372000,807899000,852196000,851539000,866724000,841161000,893906000,900259000,940068000
BalanceTotalAssets_yy,,,,,2.55,,,31.60,36.28,20.49,20.24,13.64,10.39,8.16,4.12,4.89,5.72,8.46
