,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceInventory_sy,,,,,,-5.84,,10.48,6.00,8.83,2.22,-0.09,3.72,5.89
BalanceInventory_qq,,,-100.00,,11.02,6.69,10.97,-10.28,1.96,7.58,52.78,-4.14,3.98,8.57
BalanceInventory_sq,,,0.11,,-0.50,2.90,3.36,-3.38,0.12,3.42,1.78,-1.52,0.12,1.45
BalanceCurrentReceivables,,20696000,,11511000,21480000,36568000,18686000,39497000,33355000,30679000,41424000,43269000,38290000,58061000
BalanceCurrentReceivables_yy,,,,,,76.69,,243.12,55.28,-16.10,121.68,9.55,14.80,89.25
BalanceCurrentReceivables_sy,,,,,,-2.48,,-6.18,7.62,-3.14,10.40,7.54,14.28,19.21
BalanceCurrentReceivables_qq,,,-100.00,,86.60,70.24,-48.90,111.37,-15.55,-8.02,35.02,4.45,-11.51,51.63
BalanceCurrentReceivables_sq,,,-1.89,,0.75,-1.98,-1.46,-10.90,4.85,-3.16,10.31,-3.49,7.13,2.39
BalanceCurrentInvestments,,,,,,,,,,,,,,
BalanceCurrentInvestments_yy,,,,,,,,,,,,,,
BalanceCurrentInvestments_sy,,,,,,,,,,,,,,
BalanceCurrentInvestments_qq,,,,,,,,,,,,,,
BalanceCurrentInvestments_sq,,,,,,,,,,,,,,
BalanceCash,,33507000,,35565000,48423000,92429000,96523000,72824000,139517000,149397000,114495000,130022000,166779000,125796000
BalanceCash_yy,,,,,,175.85,,104.76,188.12,61.63,18.62,78.54,19.54,-15.80
BalanceCash_sy,,,,,,5.38,,-18.20,27.96,12.58,16.66,10.20,17.00,23.06
BalanceCash_qq,,,-100.00,,36.15,90.88,4.43,-24.55,91.58,7.08,-23.36,13.56,28.27,-24.57
BalanceCash_sq,,,-1.93,,-15.98,10.42,4.48,5.33,0.32,-0.77,-12.91,21.11,9.24,5.57
BalanceOtherCurrentAssets,,2320000,,1735000,4805000,1856000,1775000,1306000,2943000,3072000,2467000,1607000,2945000,3151000
BalanceOtherCurrentAssets_yy,,,,,,-20.00,,-24.73,-38.75,65.52,38.99,23.05,0.07,2.57
BalanceOtherCurrentAssets_sy,,,,,,6.93,,-0.12,-8.68,-8.64,2.50,23.05,0.07,-9.55
BalanceOtherCurrentAssets_qq,,,-100.00,,176.95,-61.37,-4.36,-26.42,125.34,4.38,-19.69,-34.86,83.26,6.99
BalanceOtherCurrentAssets_sq,,,-11.75,,106.66,-9.66,-21.12,-16.77,45.41,-7.35,-8.62,-20.65,71.39,-16.97
BalanceAssetsForSale,,,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,
BalanceTotalAssets,,506404000,,541686000,607700000,731062000,766858000,714714000,787136000,818558000,1043778000,1031928000,1100021000,1147158000
BalanceTotalAssets_yy,,,,,,44.36,,31.94,29.53,11.97,36.11,44.38,39.75,40.14
BalanceTotalAssets_sy,,,,,,0.75,,5.60,6.24,5.49,4.88,6.00,8.82,8.67
BalanceTotalAssets_qq,,,-100.00,,12.19,20.30,4.90,-6.80,10.13,3.99,27.51,-1.14,6.60,4.29
BalanceTotalAssets_sq,,,0.23,,0.20,2.08,0.62,0.43,0.34,1.87,2.10,1.34,2.38,3.62
