,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceProperty_sy,,,,,,,,3.78,,,,,,,,,,,3.22,1.06,1.98,0.66,-2.42,-1.99,-0.17,3.62,-1.67,-4.75,-1.38,-2.75,-0.20,0.46,-0.28,-0.55,0.04,4.15,5.73,4.13
BalanceProperty_qq,,,,,-100.00,,,,,,,,,,,-0.88,-1.15,15.70,17.30,8.20,-3.76,5.49,-3.07,8.73,-3.88,-4.95,-6.08,-4.48,-4.29,5.40,-5.22,-3.75,-2.29,-4.70,-0.88,-4.54,-3.59,-2.81
BalanceProperty_sq,,,,,-1.77,,,,,,,,,,,-1.65,0.04,1.02,-0.26,-1.06,0.11,0.08,0.42,-0.12,-0.85,0.01,-0.31,0.14,-0.02,1.49,-0.36,1.25,-0.50,0.73,0.33,0.28,0.67,3.25
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,0,179000,,509000,1293000,,,,,,,,,185000,170000,228000,235000,193000,,108000,73000,31000,12000,
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,,,,,-100.00,,-100.00,-100.00,,,,,,,,,3.90,-100.00,-52.75,-68.91,-84.13,,-100.00
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,,,,,-82.63,,-86.42,-47.93,,,,,,,,,3.61,0.57,0.22,-1.57,0.88,,-1.90
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,,,,,-100.00,,154.10,-100.00,,,,,,,,,-8.19,33.74,3.30,-18.09,-100.00,,-32.04,-58.17,-60.00,-100.00
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,,,,,,,0.90,-13.11,,,,,,,,,,5.30,,0.73,,,-0.96,-0.91,-0.54,1.08
BalanceNoncurrInvestments,,,,7969000,,,,,,,,,,,5000,31000,210000,38000,43000,42000,45000,335000,315000,84000,88000,91000,92000,98000,97000,99000,99000,90000,90000,92000,86000,81000,88000,84000
BalanceNoncurrInvestments_yy,,,,,,,,-100.00,,,,,,,,,,,755.80,34.86,-78.58,773.82,636.76,100.69,94.92,-72.78,-70.70,16.41,10.89,8.10,6.81,-8.14,-7.67,-7.02,-12.87,-10.00,-1.79,-8.68
