,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeNetProfit_qq,,72.73,-666.67,752.17,-122.00,3008.15,-113.75,466.67,-318.60,230.43,-98.99,657.14,33.02,-175.18,425.47,-117.38,645.70,166.07,-107.41,136.26,-215.73,-2589.28,94.86,13.83,1828.17,154.95,-108.05,42.89,3002.40,-133.01,77.05,-1124.13,-3.70,383.85,-48.99,-172.34
IncomeNetProfit_sq,,-41.98,51.09,-32.18,42.29,-16.43,-25.49,79.08,-0.09,15.63,-48.21,-11.58,33.02,-42.96,-32.39,0.42,36.81,-27.57,-5.94,18.62,8.59,-37.73,-11.18,24.75,12.14,-23.20,-1.51,11.16,-8.65,-4.53,14.21,-29.32,23.55,-24.91,17.54,-8.36
IncomeShareholderNetProfit,-11000,-4000,-23000,150000,-33000,960000,-132000,484000,-1058000,1380000,14000,106000,141000,-106000,345000,-60000,327000,871000,-65000,23000,-27000,-728000,-37000,-32000,558000,1422000,-114000,-60000,1892000,-626000,-144000,-1760000,-1825000,5180000,2642000,-1911000
IncomeShareholderNetProfit_yy,,,,,-200.00,24107.00,-473.91,222.67,-3106.06,43.71,110.61,-78.10,113.33,-107.68,2364.29,-156.60,131.91,921.35,-118.72,139.15,-108.28,-183.62,42.03,-237.38,2160.15,295.30,-205.05,-85.71,239.29,-144.06,-25.83,-2836.25,-196.44,926.89,1938.02,-8.61
IncomeShareholderNetProfit_sy,,,,,14.74,70.74,-39.90,48.82,-6.38,44.47,19.06,-46.94,-9.80,-61.56,23.74,74.42,22.85,35.22,56.00,36.08,25.55,9.97,42.03,14.59,39.16,-14.93,-16.46,14.12,-22.26,0.21,10.04,-39.89,14.16,-7.32,-10.11,46.79
IncomeShareholderNetProfit_qq,,63.64,-475.00,752.17,-122.00,3009.94,-113.75,466.67,-318.60,230.43,-98.99,657.14,33.02,-175.18,425.47,-117.39,645.00,166.25,-107.42,136.36,-215.24,-2589.28,94.86,13.83,1828.17,154.95,-108.03,47.54,3257.28,-133.11,77.05,-1124.13,-3.70,383.85,-48.99,-172.34
IncomeShareholderNetProfit_sq,,-43.42,26.00,-32.14,42.24,-16.43,-30.52,79.72,-0.69,15.63,-48.21,-11.85,33.33,-54.78,-26.66,1.17,65.95,-24.38,-12.57,19.58,6.76,-33.49,-8.38,25.93,18.69,-33.34,-1.51,29.06,-17.16,6.33,14.78,-29.22,43.74,-24.98,17.54,-4.30
BalanceNoncurrentAssets,,148000,145000,905000,475000,757000,906000,960000,905000,897000,908000,930000,894000,906000,895000,,1229000,2336000,1275000,2329000,2891000,5785000,3259000,6175000,6784000,9123000,15255000,13307000,20651000,20321000,20279000,18503000,16656000,25293000,30574000,28596000
BalanceNoncurrentAssets_yy,,,,,,411.33,524.83,6.08,90.53,18.53,0.22,-3.12,-1.22,1.00,-1.43,-100.00,37.49,157.82,42.46,,135.16,147.68,155.59,165.09,134.70,57.69,368.14,115.51,204.40,122.74,32.93,39.05,-19.35,24.47,50.77,54.54
BalanceNoncurrentAssets_sy,,,,,,11.40,16.58,9.59,-2.10,9.52,16.69,10.72,13.42,3.30,1.00,-0.92,-2.20,3.70,0.96,,10.33,9.70,3.98,6.29,6.63,6.82,13.71,8.31,9.99,9.71,6.71,1.32,2.24,-0.52,3.24,6.48
BalanceNoncurrentAssets_qq,,,-2.03,524.14,-47.51,59.32,19.72,5.96,-5.73,-0.88,1.23,2.42,-3.87,1.34,-1.21,-100.00,,90.03,-45.42,82.68,24.10,100.15,-43.67,89.48,9.87,34.47,67.22,-12.77,55.19,-1.60,-0.21,-8.76,-9.98,51.86,20.88,-6.47
