,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeFinanceIncome_sq,,19.52,,,,-29.47,,,-19.05,3.57,-7.28,-35.65,19.65,,-1.25,-6.62,117.92,-15.70,-27.87,0.36,58.33,-13.64,8.85,-35.29,12.90,22.42,-6.65,-4.60,31.18,27.76,73.91
IncomeFinanceCosts,10671000,,,,743000,,,550000,381000,193000,176000,-9000,217000,58000,64000,108000,134000,104000,49000,71000,223000,58000,77000,55000,278000,81000,79000,82000,61000,102000,155000
IncomeFinanceCosts_yy,,,,,-93.04,,,,-48.72,,,-101.64,-43.04,-69.95,-63.64,1300.00,-38.25,79.31,-23.44,-34.26,66.42,-44.23,57.14,-22.54,24.66,39.66,2.60,49.09,-78.06,25.93,96.20
IncomeFinanceCosts_sy,,,,,34.26,,,,-16.84,,,-26.85,-1.14,-12.66,22.17,30.90,24.32,1.59,-12.22,-11.48,-7.74,8.22,23.81,7.96,-1.64,14.00,1.30,3.21,25.70,-1.28,21.34
IncomeFinanceCosts_qq,,-100.00,,,,-100.00,,,-30.73,-49.34,-8.81,-105.11,2511.11,-73.27,10.34,68.75,24.07,-22.39,-52.88,44.90,214.08,-73.99,32.76,-28.57,405.45,-70.86,-2.47,3.80,-25.61,67.21,51.96
IncomeFinanceCosts_sq,,-11.97,,,,-2.43,,,-26.68,-10.57,-8.50,-12.04,19.20,-13.32,7.07,6.33,11.29,-25.46,-5.10,-2.13,21.20,-11.61,27.22,-12.04,7.36,-0.98,0.79,0.79,20.66,-9.06,31.18
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,-9133000,188000,905000,-284000,1371000,561000,-397000,-35000,903000,466000,1006000,1389000,1864000,1665000,1723000,1353000,1970000,1719000,1823000,1959000,3073000,1545000,1062000,1341000,3166000,1285000,2377000,1842000,4270000,2793000,2586000
IncomeNetGrossProfit_yy,,,,,115.01,198.40,-143.87,87.68,-34.14,-16.93,353.40,4068.57,106.42,257.30,71.27,-2.59,5.69,3.24,5.80,44.79,55.99,-10.12,-41.74,-31.55,3.03,-16.83,123.82,37.36,34.87,117.35,8.79
IncomeNetGrossProfit_sy,,,,,58.24,14.63,-37.72,-8.21,-53.22,6.27,48.76,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeNetGrossProfit_qq,,102.06,381.38,-131.38,582.75,-59.08,-170.77,91.18,2680.00,-48.39,115.88,38.07,34.20,-10.68,3.48,-21.47,45.60,-12.74,6.05,7.46,56.87,-49.72,-31.26,26.27,136.09,-59.41,84.98,-22.51,131.81,-34.59,-7.41
IncomeNetGrossProfit_sq,,-22.92,47.77,19.47,24.95,-40.30,-28.76,35.95,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-9133000,188000,905000,-284000,1371000,561000,-397000,-35000,903000,466000,1006000,1389000,1864000,1665000,1723000,1353000,1970000,1719000,1823000,1959000,3073000,1545000,1062000,1341000,3166000,1285000,2377000,1842000,4270000,2793000,2586000
IncomeBeforeTaxProfit_yy,,,,,115.01,198.40,-143.87,87.68,-34.14,-16.93,353.40,4068.57,106.42,257.30,71.27,-2.59,5.69,3.24,5.80,44.79,55.99,-10.12,-41.74,-31.55,3.03,-16.83,123.82,37.36,34.87,117.35,8.79
IncomeBeforeTaxProfit_sy,,,,,58.24,14.63,-37.72,-8.21,-53.22,6.27,48.76,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeBeforeTaxProfit_qq,,102.06,381.38,-131.38,582.75,-59.08,-170.77,91.18,2680.00,-48.39,115.88,38.07,34.20,-10.68,3.48,-21.47,45.60,-12.74,6.05,7.46,56.87,-49.72,-31.26,26.27,136.09,-59.41,84.98,-22.51,131.81,-34.59,-7.41
IncomeBeforeTaxProfit_sq,,-22.92,47.77,19.47,24.95,-40.30,-28.76,35.95,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeDiscontinuedProfit,0,,,,-1334000,,,-122000,99000,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,107.42,,,100.00,-100.00,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,107.42,,,95.35,-100.00,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,100.00,,,181.15,-100.00,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,100.00,,,8.17,-96.90,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-9286000,113000,589000,-56000,-220000,483000,-7000,-125000,927000,390000,706000,1160000,1465000,1339000,1427000,1123000,1628000,1446000,1450000,1612000,2337000,1226000,898000,1090000,2475000,1037000,1935000,1493000,3450000,2261000,2072000
IncomeNetProfit_yy,,,,,97.63,327.43,-101.19,-123.21,521.36,-19.25,10185.71,1028.00,58.04,243.33,102.12,-3.19,11.13,7.99,1.61,43.54,43.55,-15.21,-38.07,-32.38,5.91,-15.42,115.48,36.97,39.39,118.03,7.08
IncomeNetProfit_sy,,,,,50.38,23.45,-40.77,-9.86,-61.44,10.72,74.42,22.90,32.46,56.00,37.79,34.75,8.14,41.94,1.61,29.53,-14.87,-15.21,4.69,-17.38,0.21,19.91,-39.89,13.49,-11.55,-9.96,51.70
