,2010/Q1,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeNetGrossProfit_qq,,,1008.00,26.21,6.14,-29.62,-99.30,8366.67,293.69,-93.50,561.08,-187.68,409.35,-145.48,12.70,56.28,6313.25,-59.58,-5.80,-64.80,84.95,79.15,-59.72,-24.51,264.50,-113.84,272.14,-167.82,590.78,-118.64,3637.76
IncomeNetGrossProfit_sq,,,-9.34,5.40,10.60,-17.98,-9.29,8.43,45.14,-30.74,-23.33,21.92,39.58,-34.68,-4.84,30.34,31.06,-14.52,-14.08,14.54,16.59,-28.16,19.60,7.06,5.44,-22.32,5.62,-1.76,-5.42,-31.58,28.38
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-16000,-50000,454000,573000,608000,428000,3000,254000,1000000,65000,430000,-377000,1166000,-530000,-463000,-202000,12580000,5085000,4790000,1686000,3119000,5587000,2251000,1699000,6193000,-857000,1476000,-1001000,4913000,-916000,32392000
IncomeBeforeTaxProfit_yy,,-212.50,,,,956.00,-99.34,-55.67,64.42,-84.80,14232.03,-248.43,16.63,-915.57,-207.70,46.29,978.68,1058.63,1134.46,932.88,-75.21,9.88,-53.01,0.76,98.58,-115.35,-34.42,-158.92,-20.67,-6.79,2094.61
IncomeBeforeTaxProfit_sy,,39.56,,,,2.38,-24.61,-23.14,23.08,17.76,78.01,39.82,18.22,16.46,8.12,21.00,15.44,9.79,18.10,16.63,-4.18,1.37,0.84,6.96,-13.61,31.70,4.94,-3.26,-7.63,7.52,34.74
IncomeBeforeTaxProfit_qq,,,1008.00,26.21,6.14,-29.62,-99.30,8366.67,293.69,-93.50,561.08,-187.68,409.35,-145.48,12.70,56.28,6313.25,-59.58,-5.80,-64.80,84.95,79.15,-59.72,-24.51,264.50,-113.84,272.14,-167.82,590.78,-118.64,3637.76
IncomeBeforeTaxProfit_sq,,,-9.34,5.40,10.39,-17.98,-9.29,8.43,45.14,-30.74,-23.33,24.44,33.55,-34.68,-4.84,30.34,31.06,-14.52,-14.08,14.54,16.59,-28.16,19.60,7.06,5.44,-22.32,5.62,-1.76,-5.42,-31.58,28.38
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-16000,-50000,377000,465000,501000,389000,-41000,208000,788000,57000,341000,-304000,914000,-530000,-463000,-211000,10389000,4212000,3790000,1554000,2011000,4589000,1535000,1335000,5470000,-1053000,1464000,-830000,3977000,-979000,25895000
IncomeNetProfit_yy,,-212.50,,,,878.00,-110.88,-55.27,57.44,-85.30,931.28,-246.15,15.97,-1027.76,-235.87,30.66,1036.18,894.01,918.37,837.04,-80.65,8.96,-59.50,-14.06,172.08,-122.94,-4.62,-162.17,-27.30,7.01,1668.90
