,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceAssetsForSale_sq,,,,,,,,,,
BalanceTotalAssets,1486381000,,1708862000,1856840000,1880103000,2028415000,2107856000,2451329000,2489780000,2669315000
BalanceTotalAssets_yy,,,,,26.49,,23.35,32.02,32.43,31.60
BalanceTotalAssets_sy,,,,,9.32,,8.57,1.06,2.42,5.85
BalanceTotalAssets_qq,,-100.00,,8.66,1.25,7.89,3.92,16.29,1.57,7.21
BalanceTotalAssets_sq,,2.30,,2.80,-0.57,0.38,1.00,3.00,-0.64,0.74
BalanceCapital,555653000,,645506000,683476000,713962000,768118000,831660000,904493000,960441000,1030948000
BalanceCapital_yy,,,,,28.49,,28.84,32.34,34.52,34.22
BalanceCapital_sy,,,,,8.86,,6.96,7.62,1.94,4.28
BalanceCapital_qq,,-100.00,,5.88,4.46,7.59,8.27,8.76,6.19,7.34
BalanceCapital_sq,,0.65,,5.12,-1.23,1.42,2.47,4.45,-1.74,1.57
BalanceShareCapital,9804000,,9804000,9804000,9804000,9804000,9804000,9804000,9804000,9804000
BalanceShareCapital_yy,,,,,,,,,,
BalanceShareCapital_sy,,,,,,,,,,
BalanceShareCapital_qq,,-100.00,,,,,,,,
BalanceShareCapital_sq,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,
BalanceReserve,510720000,,510720000,510720000,790168000,1119360000,1119360000,1119360000,1119360000,1314772000
BalanceReserve_yy,,,,,54.72,,119.17,119.17,41.66,17.46
BalanceReserve_sy,,,,,10.95,,7.12,6.66,5.91,3.36
BalanceReserve_qq,,-100.00,,,54.72,41.66,,,,17.46
BalanceReserve_sq,,4.21,,,,4.20,,,,3.26
BalanceNonshareCapital,,,,,,,,,,
BalanceNonshareCapital_yy,,,,,,,,,,
BalanceNonshareCapital_sy,,,,,,,,,,
BalanceNonshareCapital_qq,,,,,,,,,,
BalanceNonshareCapital_sq,,,,,,,,,,
BalanceNoncurrentLiabilities,374245000,,441398000,459378000,494839000,516285000,495513000,575883000,611594000,647138000
BalanceNoncurrentLiabilities_yy,,,,,32.22,,12.26,25.36,23.59,25.35
BalanceNoncurrentLiabilities_sy,,,,,-2.47,,-2.92,-5.26,-4.97,0.48
BalanceNoncurrentLiabilities_qq,,-100.00,,4.07,7.72,4.33,-4.02,16.22,6.20,5.81
BalanceNoncurrentLiabilities_sq,,-0.23,,-4.63,,-4.13,-0.98,-1.24,-2.14,-1.50
BalanceNoncurrentTradeLiabilities,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,
BalanceNoncurrentBorrowings,370010000,,436725000,452378000,487167000,508545000,490626000,570339000,602499000,637084000
BalanceNoncurrentBorrowings_yy,,,,,31.66,,12.34,26.08,23.67,25.28
BalanceNoncurrentBorrowings_sy,,,,,-5.60,,-15.04,-25.70,-14.02,-17.06
BalanceNoncurrentBorrowings_qq,,-100.00,,3.58,7.69,4.39,-3.52,16.25,5.64,5.74
BalanceNoncurrentBorrowings_sq,,-7.03,,-2.44,-0.52,-7.11,-5.93,-7.30,-4.51,-8.20
BalanceNoncurrentObligations,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,
BalanceNoncurrentLeasing_yy,,,,,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,,,,,
BalanceNoncurrentLeasing_sq,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,4235000,,4673000,7000000,7672000,7740000,4887000,5544000,9095000,10054000
BalanceNoncurrentOtherLiabilities_yy,,,,,81.16,,4.58,-20.80,18.55,29.90
BalanceNoncurrentOtherLiabilities_sy,,,,,14.50,,1.53,-4.67,-10.86,-5.53
BalanceNoncurrentOtherLiabilities_qq,,-100.00,,49.80,9.60,0.89,-36.86,13.44,64.05,10.54
BalanceNoncurrentOtherLiabilities_sq,,5.97,,2.82,2.26,-1.27,-1.09,-1.51,-3.00,3.90
BalanceCurrentLiabilities,556483000,,621958000,713986000,671302000,744012000,780683000,970953000,917745000,991229000
BalanceCurrentLiabilities_yy,,,,,20.63,,25.52,35.99,36.71,33.23
BalanceCurrentLiabilities_sy,,,,,13.81,,6.49,14.70,17.58,12.72
BalanceCurrentLiabilities_qq,,-100.00,,14.80,-5.98,10.83,4.93,24.37,-5.48,8.01
BalanceCurrentLiabilities_sq,,8.09,,0.63,-1.27,3.33,4.29,2.93,2.03,-0.86
BalanceCurrentTradePayablesv,367473000,,369961000,574426000,531859000,585043000,601337000,811322000,727035000,804814000
BalanceCurrentTradePayablesv_yy,,,,,44.73,,62.54,41.24,36.70,37.56
BalanceCurrentTradePayablesv_sy,,,,,30.21,,19.06,19.05,9.20,12.22
BalanceCurrentTradePayablesv_qq,,-100.00,,55.27,-7.41,10.00,2.79,34.92,-10.39,10.70
BalanceCurrentTradePayablesv_sq,,8.35,,15.59,-0.03,3.82,11.22,6.17,-4.10,6.34
BalanceCurrentBorrowings,178255000,,237514000,110173000,112531000,124875000,147358000,117728000,145932000,135520000
BalanceCurrentBorrowings_yy,,,,,-36.87,,-37.96,6.86,29.68,8.52
BalanceCurrentBorrowings_sy,,,,,7.38,,-9.01,5.84,18.61,14.56
BalanceCurrentBorrowings_qq,,-100.00,,-53.61,2.14,10.97,18.00,-20.11,23.96,-7.13
BalanceCurrentBorrowings_sq,,-3.03,,-37.45,25.12,-6.69,-2.34,-9.93,25.61,-1.79
BalanceCurrentObligations,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,
BalanceCurrentLeasing_yy,,,,,,,,,,
BalanceCurrentLeasing_sy,,,,,,,,,,
BalanceCurrentLeasing_qq,,,,,,,,,,
BalanceCurrentLeasing_sq,,,,,,,,,,
BalanceCurrentOtherLiabilities,79000,,3161000,16160000,12081000,15756000,14588000,21079000,20512000,21872000
BalanceCurrentOtherLiabilities_yy,,,,,15192.41,,361.50,30.44,69.79,38.82
BalanceCurrentOtherLiabilities_sy,,,,,-4.81,,3.28,24.66,17.72,6.99
BalanceCurrentOtherLiabilities_qq,,-100.00,,411.23,-25.24,30.42,-7.41,44.50,-2.69,6.63
BalanceCurrentOtherLiabilities_sq,,-0.25,,16.37,-11.32,14.60,-9.82,39.60,-8.99,4.22
BalanceReckoning,10676000,,11322000,13227000,14831000,18338000,17400000,20824000,24266000,29023000
BalanceReckoning_yy,,,,,38.92,,53.68,57.44,63.62,58.27
BalanceReckoning_sy,,,,,22.09,,-1.50,2.74,11.11,2.93
BalanceReckoning_qq,,-100.00,,16.83,12.13,23.65,-5.12,19.68,16.53,19.60
BalanceReckoning_sq,,,,-3.93,,,-1.04,6.42,0.12,13.19
BalanceTotalEquityAndLiabilities,1486381000,0,1708862000,1856840000,1880103000,2028415000,2107856000,2451329000,2489780000,2669315000
BalanceTotalEquityAndLiabilities_yy,,,,,26.49,,23.35,32.02,32.43,31.60
BalanceTotalEquityAndLiabilities_sy,,,,,9.32,,8.57,1.06,2.42,5.85
BalanceTotalEquityAndLiabilities_qq,,-100.00,,8.66,1.25,7.89,3.92,16.29,1.57,7.21
BalanceTotalEquityAndLiabilities_sq,,2.30,,2.80,-0.57,0.38,1.00,3.00,-0.71,0.36
CashflowOperatingCashflow,-5491000,54156000,69821000,205837000,31046000,94228000,136765000,235165000,43515000,160838000
CashflowOperatingCashflow_yy,,,,,665.40,73.99,95.88,14.25,40.16,70.69
CashflowOperatingCashflow_sy,,,,,-15.71,-19.11,1.57,21.75,18.23,10.68
CashflowOperatingCashflow_qq,,1086.27,28.93,194.81,-84.92,203.51,45.14,71.95,-81.50,269.62
CashflowOperatingCashflow_sq,,182.27,-63.73,192.97,-152.68,134.90,-53.62,315.39,-138.22,196.10
CashflowAmortization,14492000,14918000,17246000,18546000,19176000,20418000,22498000,23780000,25106000,26924000
CashflowAmortization_yy,,,,,32.32,36.87,30.45,28.22,30.92,31.86
CashflowAmortization_sy,,,,,15.26,13.84,7.81,6.82,4.66,8.74
CashflowAmortization_qq,,2.94,15.61,7.54,3.40,6.48,10.19,5.70,5.58,7.24
CashflowAmortization_sq,,1.54,2.68,5.52,-1.24,-0.44,-0.20,3.91,-0.38,5.14
CashflowInvestingCashflow,-84152000,-75406000,-104639000,-45983000,-82878000,-88219000,-106845000,-124201000,-118310000,-160185000
CashflowInvestingCashflow_yy,,,,,1.51,-16.99,-2.11,-170.10,-42.75,-81.58
CashflowInvestingCashflow_sy,,,,,-18.40,-26.15,-43.31,-34.42,-21.72,-52.34
CashflowInvestingCashflow_qq,,10.39,-38.77,56.06,-80.24,-6.44,-21.11,-16.24,4.74,-35.39
CashflowInvestingCashflow_sq,,7.75,-33.26,-25.25,44.76,-5.52,-24.91,-10.81,28.08,-35.39
CashflowCapex,84807000,73973000,101582000,51370000,82976000,89295000,113318000,125027000,119023000,160456000
CashflowCapex_yy,,,,,-2.16,20.71,11.55,143.39,43.44,79.69
CashflowCapex_sy,,,,,0.64,5.40,-1.40,22.32,-5.59,79.69
CashflowCapex_qq,,-12.77,37.32,-49.43,61.53,7.62,26.90,10.33,-4.80,34.81
CashflowCapex_sq,,-6.90,5.38,17.31,-40.84,-7.40,20.30,9.67,-21.70,34.17
CashflowFinancingCashflow,69541000,31927000,53288000,-136391000,21829000,616000,-12763000,31455000,50196000,11407000
CashflowFinancingCashflow_yy,,,,,-68.61,-98.07,-123.95,123.06,129.95,1751.79
CashflowFinancingCashflow_sy,,,,,-11.59,-31.49,21.92,0.48,-32.65,27.59
CashflowFinancingCashflow_qq,,-54.09,66.91,-355.95,116.00,-97.18,-2171.92,346.45,59.58,-77.28
CashflowFinancingCashflow_sq,,-151.07,71.29,-38.70,88.58,-106.09,65.87,-68.88,110.78,-142.80
CashflowShareCapitalCash,,,,,,,,,,
CashflowShareCapitalCash_yy,,,,,,,,,,
CashflowShareCapitalCash_sy,,,,,,,,,,
CashflowShareCapitalCash_qq,,,,,,,,,,
CashflowShareCapitalCash_sq,,,,,,,,,,
CashflowDividend,,,,,,,,,,
CashflowDividend_yy,,,,,,,,,,
CashflowDividend_sy,,,,,,,,,,
CashflowDividend_qq,,,,,,,,,,
CashflowDividend_sq,,,,,,,,,,
CashflowNetCashflow,-20102000,10677000,18470000,23463000,-30003000,6625000,17157000,142419000,-24599000,12060000
CashflowNetCashflow_yy,,,,,-49.25,-37.95,-7.11,506.99,18.01,82.04
CashflowNetCashflow_sy,,,,,-52.58,-35.22,30.19,56.84,-11.26,6.54
CashflowNetCashflow_qq,,153.11,72.99,27.03,-227.87,122.08,158.97,730.09,-117.27,149.03
CashflowNetCashflow_sq,,117.92,-74.16,210.25,-169.75,107.20,-43.89,301.02,-195.24,124.03
