,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceCurrentAssets_sq,,,-5.14,2.46,0.40,14.26,-2.30,1.36,-1.09,4.77,-6.50,4.63
BalanceInventory,,,,,,,,,,,,
BalanceInventory_yy,,,,,,,,,,,,
BalanceInventory_sy,,,,,,,,,,,,
BalanceInventory_qq,,,,,,,,,,,,
BalanceInventory_sq,,,,,,,,,,,,
BalanceCurrentReceivables,,3809000,4091000,4272000,3876000,4538000,4457000,4356000,4286000,6097000,5372000,6597000
BalanceCurrentReceivables_yy,,,,,,19.14,8.95,1.96,10.58,34.36,20.53,51.45
BalanceCurrentReceivables_sy,,,,,,5.68,4.19,2.75,1.68,7.46,8.87,8.31
BalanceCurrentReceivables_qq,,,7.41,4.43,-9.28,17.09,-1.78,-2.27,-1.61,42.26,-11.89,22.81
BalanceCurrentReceivables_sq,,,-5.30,9.86,-7.28,16.28,-3.65,4.61,-1.48,26.60,-13.90,9.65
BalanceCurrentInvestments,,41000,20000,,11000,,90000,270000,195000,124000,38000,
BalanceCurrentInvestments_yy,,,,,,-100.00,347.47,,1676.75,,-57.25,-100.00
BalanceCurrentInvestments_sy,,,,,,-24.14,-20.18,,-20.03,,-37.32,-4.45
BalanceCurrentInvestments_qq,,,-50.56,-100.00,,-100.00,,200.26,-27.96,-36.51,-68.88,-100.00
BalanceCurrentInvestments_sq,,,0.41,-5.84,,-22.12,,-3.50,-2.83,-0.40,-1.39,-14.42
BalanceCash,,2226000,2221000,2439000,3045000,12729000,12171000,10694000,8601000,6387000,5947000,6131000
BalanceCash_yy,,,,,,471.74,447.90,338.39,182.43,-49.82,-51.14,-42.67
BalanceCash_sy,,,,,,-5.74,23.39,20.09,7.03,-3.22,-1.97,3.29
BalanceCash_qq,,,-0.22,9.81,24.84,318.00,-4.38,-12.14,-19.57,-25.74,-6.89,3.09
BalanceCash_sq,,,-28.09,-1.18,4.28,26.30,13.46,-8.78,-14.68,7.76,-4.11,3.09
BalanceOtherCurrentAssets,,18714000,19625000,21397000,23115000,24171000,26588000,28539000,30495000,23103000,25850000,26295000
BalanceOtherCurrentAssets_yy,,,,,,29.16,35.48,33.37,31.93,-4.42,-2.78,-7.86
BalanceOtherCurrentAssets_sy,,,,,,22.24,21.04,22.77,8.31,-0.62,-2.60,4.72
BalanceOtherCurrentAssets_qq,,,4.87,9.03,8.03,4.57,10.00,7.34,6.85,-24.24,11.89,1.72
BalanceOtherCurrentAssets_sq,,,13.70,9.03,1.77,-0.76,10.00,6.26,-4.91,-9.40,8.52,7.99
BalanceAssetsForSale,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,
BalanceTotalAssets,,26368000,27424000,29527000,31387000,42972000,45533000,45931000,45759000,38981000,40463000,42497000
BalanceTotalAssets_yy,,,,,,62.97,66.03,55.56,45.79,-9.29,-11.13,-7.48
BalanceTotalAssets_sy,,,,,,6.36,8.83,6.76,6.43,5.64,4.20,5.78
BalanceTotalAssets_qq,,,4.00,7.67,6.30,36.91,5.96,0.87,-0.38,-14.81,3.80,5.03
BalanceTotalAssets_sq,,,-2.34,3.15,2.67,7.55,-0.39,0.63,-0.74,5.36,-2.04,2.11
BalanceCapital,,22508000,23848000,25794000,27895000,38847000,40776000,41605000,42124000,35258000,36609000,37846000
BalanceCapital_yy,,,,,,72.59,70.99,61.30,51.01,-9.24,-10.22,-9.03
BalanceCapital_sy,,,,,,8.54,2.47,3.48,5.23,4.69,6.73,3.21
BalanceCapital_qq,,,5.95,8.16,8.15,39.26,4.97,2.03,1.25,-16.30,3.83,3.38
BalanceCapital_sq,,,1.16,-1.28,1.12,3.86,0.68,-2.14,2.54,2.59,0.62,
BalanceShareCapital,,100000,100000,100000,100000,105000,105000,105000,105000,105000,105000,105000
BalanceShareCapital_yy,,,,,,5.00,5.00,5.00,5.00,,,
BalanceShareCapital_sy,,,,,,,,,,,,
BalanceShareCapital_qq,,,,,,5.00,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,
BalanceReserve,,15682000,15682000,23371000,23371000,34116000,34116000,40726000,40726000,40726000,40726000,41282000
BalanceReserve_yy,,,,,,117.55,117.55,74.26,74.26,19.37,19.37,1.36
BalanceReserve_sy,,,,,,4.18,3.15,3.19,3.47,3.54,3.46,1.36
BalanceReserve_qq,,,,49.03,,45.98,,19.37,,,,1.36
BalanceReserve_sq,,,,3.15,,0.01,,2.21,,,,1.36
BalanceNonshareCapital,,,,,,,,,,,,
BalanceNonshareCapital_yy,,,,,,,,,,,,
BalanceNonshareCapital_sy,,,,,,,,,,,,
BalanceNonshareCapital_qq,,,,,,,,,,,,
BalanceNonshareCapital_sq,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,503000,438000,496000,398000,517000,898000,807000,667000,847000,915000,1168000
BalanceNoncurrentLiabilities_yy,,,,,,2.85,104.94,62.64,67.62,63.73,1.88,44.77
BalanceNoncurrentLiabilities_sy,,,,,,3.00,5.85,-9.98,-7.76,11.57,10.22,13.08
BalanceNoncurrentLiabilities_qq,,,-12.90,13.27,-19.77,29.95,73.54,-10.11,-17.32,26.94,7.98,27.74
BalanceNoncurrentLiabilities_sq,,,-0.64,-0.26,-2.10,3.54,-2.39,-5.00,-0.89,-0.46,1.36,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,
BalanceNoncurrentBorrowings_yy,,,,,,,,,,,,
