,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
BalanceNoncurrentOtherLiabilities_qq,,,36.28,,283.12,-70.17,-15.91,-20.27,,-22.88,,16.48,,28.30,,16.18
BalanceNoncurrentOtherLiabilities_sq,,,27.06,,-18.72,5.42,,-4.73,,-7.67,,1.13,,0.22,,-4.21
BalanceCurrentLiabilities,,11457000,13218000,11804000,10685000,7954000,7247000,8165000,11204000,10662000,14427000,16197000,14483000,13421000,16731000,14897000
BalanceCurrentLiabilities_yy,,,,,,-30.58,-45.17,-30.83,4.86,34.05,99.08,98.37,29.27,25.88,15.97,-8.03
BalanceCurrentLiabilities_sy,,,,,,-28.70,-35.84,-18.87,20.43,7.96,20.52,31.34,13.10,4.02,9.04,-0.52
BalanceCurrentLiabilities_qq,,,15.37,-10.70,-9.48,-25.56,-8.89,12.67,37.22,-4.84,35.31,12.27,-10.58,-7.33,24.66,-10.96
BalanceCurrentLiabilities_sq,,,10.72,-10.08,2.60,7.45,-4.62,3.38,10.47,-2.56,2.14,10.11,-4.34,12.10,-0.34,-14.04
BalanceCurrentTradePayablesv,,5736000,5805000,7755000,5677000,4916000,4544000,5061000,5287000,6914000,6010000,6731000,5976000,7604000,8413000,8779000
BalanceCurrentTradePayablesv_yy,,,,,,-14.30,-21.72,-34.74,-6.87,40.64,32.26,33.00,13.03,9.98,39.98,30.43
BalanceCurrentTradePayablesv_sy,,,,,,-6.04,-5.90,-9.25,23.78,10.74,7.84,13.86,1.36,2.78,38.85,0.78
BalanceCurrentTradePayablesv_qq,,,1.20,33.59,-26.80,-13.40,-7.57,11.38,4.47,30.77,-13.07,12.00,-11.22,27.24,10.64,4.35
BalanceCurrentTradePayablesv_sq,,,-6.75,26.63,-8.85,12.27,-7.57,4.83,2.00,1.71,-13.07,12.00,-16.12,-1.60,5.18,2.30
BalanceCurrentBorrowings,,221000,,247000,260000,,,,,,,,,,,
BalanceCurrentBorrowings_yy,,,,,,-100.00,,-100.00,-100.00,,,,,,,
BalanceCurrentBorrowings_sy,,,,,,-70.19,,-87.99,-52.44,,,,,,,
BalanceCurrentBorrowings_qq,,,-100.00,,5.26,-100.00,,,,,,,,,,
BalanceCurrentBorrowings_sq,,,-4.36,,3.14,-56.70,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,
