,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
BalanceTotalAssets,7838000,9268000,9268000,9268000,9268000,9268000,9268000,22957000,22957000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,22930000,30346000,30346000,30346000,30346000,30346000,30346000,30346000,30346000,30346000,30346000,30346000,30346000,,,,0,,,,-115000,-725000,-724000
BalanceCapital,-725000,-725000,-725000,-725000,0,0,,-2513000,-2513000,-2513000,-5680000,-7778000,-9319000,-11625000,-15112000,-15594000,-17007000,-19572000,-24000000,-24000000,-24000000,-24000000,-24000000,-24000000,-24000000,-24000000,-24000000,-24000000,-24000000,-24889000,-25148000,-25928000,-26490000,-27179000,-27717000,-28021000,-28304000,-28678000,-28678000,93414000,101334000,102055000,98369000,113423000,113435000,133926000,133647000,133630000,695845000,696172000,695773000,739626000,731522000
BalanceShareCapital,731824000,760394000,755890000,755871000,793288000,793244000,793311000,822611000,827947000,858297000,816079000,854598000,864903000,883312000,861680000,952301000,967282000,1069713000,1064370000,1108425000,1124592000,1146330000,1094691000,1144121000,1159397000,1164419000,1131047000,1242048000,1253247000,1199394000,1241554000,,,,0,,,,20000,21000,82000,136000,85000,,,,,,,,,,
BalanceOwnShares,,,0,0,0,0,3215000,96839000,103101000,105026000,107137000,,,,,,,,,,,,,30763000,31202000,31523000,43787000,35362000,33572000,51404000,42135000,41494000,79906000,68394000,70906000,46577000,50864000,52739000,55321000,59630000,61809000,63742000,68538000,70063000,70531000,73451000,38204000,35992000,130714000,125763000,104373000,39284000,39432000
BalanceReserve,37229000,39177000,36345000,50955000,51103000,49187000,48563000,49035000,49830000,52635000,51895000,35721000,36205000,91394000,92581000,15000000,15000000,15000000,25000000,14971000,12861000,14766000,10345000,8365000,33491000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,26555000,26837000,46000,15000,12000,39000,24000,22000,,0,0,0,,69797000,67299000,62375000,,16000000,16000000,16000000,16000000,16000000,16000000,16000000,16000000,21000,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15763000,16202000,16523000,18787000,20391000
BalanceNoncurrentBorrowings,20711000,36638000,31790000,33129000,46415000,41839000,44069000,46531000,50849000,52727000,55282000,59606000,61787000,63742000,68538000,70063000,70531000,73451000,38204000,35992000,60917000,58464000,41998000,39284000,39432000,37229000,39177000,36345000,34955000,35103000,33187000,32563000,33035000,33830000,36635000,35895000,35721000,36205000,91394000,92560000,82529000,78742000,81663000,73370000,87335000,91881000,148285000,219894000,216055000,208268000,228673000,207209000,217468000
BalanceNoncurrentObligations,193097000,169272000,163095000,144253000,147630000,123422000,198954000,136149000,140448000,147761000,143564000,192840000,211568000,231931000,256973000,255844000,374014000,367626000,238940000,238307000,187940000,200706000,189293000,160532000,168849000,178258000,184426000,173724000,164956000,183241000,249258000,274136000,76503000,76191000,79152000,67888000,75688000,77356000,141080000,205874000,200386000,196524000,96590000,69136000,62990000,63810000,76746000,89177000,72250000,87838000,69929000,99300000,69195000
