,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeNetGrossProfit_sq,,-3.25,37.93,-21.77,65.14,14.27,-0.25,-46.36,45.89,31.28,20.43,-34.77,7.09,-3.95,-6.04,-61.26,102.03,-20.98,64.78,-2.56,168.26,96.07,59.44,-47.93,46.74,23.52,-20.70,33.97,-45.59,-13.64,-40.02,-183.91,75.92,-14.35,-240.87,22.78,-29.75,-52.56,2.50,31.26,-5.72,-114.95,-56.86,-814.67,100.47,-13.39,52.54,61.42,64.85,-37.96,0.90,97.76,4.51,-51.13
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,628106000,607699000,838224000,655728000,1082871000,1237401000,1234302000,662039000,965833000,1267944000,1526999000,996111000,1066782000,1024658000,962737000,342270000,869609000,707712000,561187000,735034000,935295000,1833866000,1151745000,1541323000,2447025000,2817088000,3669618000,4246269000,1776000000,1819000000,1603000000,1131000000,1552000000,988000000,755000000,940000000,625000000,919000000,942000000,612000000,577000000,1116000000,147000000,-6962000000,343000000,340000000,531000000,-5015000000,1031000000,618000000,787000000,-137000000,661000000,323000000
IncomeBeforeTaxProfit_yy,,,,,72.40,103.62,47.25,0.96,-10.81,2.47,23.71,50.46,10.45,-19.19,-36.95,-65.64,-18.48,-30.93,-41.71,114.75,7.55,159.13,105.23,109.69,161.63,53.61,218.61,175.50,-27.42,-35.43,-56.32,-73.36,-12.61,-45.68,-52.90,-16.89,-59.73,-6.98,24.77,-34.89,-7.68,21.44,-84.39,-1237.58,-40.55,-69.53,261.22,27.97,200.58,81.76,48.21,97.27,-35.89,-47.73
IncomeBeforeTaxProfit_sy,,,,,72.40,103.62,47.25,0.96,-10.81,2.47,23.71,50.46,10.45,-19.19,-36.95,-65.64,-18.48,-30.93,-10.52,33.30,9.54,103.65,105.23,118.51,189.50,53.61,-32.17,135.16,-21.78,-42.99,-61.29,-168.11,-112.69,-114.81,-150.92,61.72,-9.61,-60.16,-15.73,15.30,-7.68,27.52,60.70,-490.15,2.40,-52.80,14.47,70.20,108.55,131.92,84.18,120.49,-35.89,-41.72
IncomeBeforeTaxProfit_qq,,-3.25,37.93,-21.77,65.14,14.27,-0.25,-46.36,45.89,31.28,20.43,-34.77,7.09,-3.95,-6.04,-64.45,154.07,-18.62,-20.70,30.98,27.25,96.07,-37.20,33.83,58.76,15.12,30.26,15.71,-58.18,2.42,-11.87,-29.44,37.22,-36.34,-23.58,24.50,-33.51,47.04,2.50,-35.03,-5.72,93.41,-86.83,-4836.05,104.93,-0.87,56.18,-1044.44,120.56,-40.06,27.35,-117.41,582.48,-51.13
IncomeBeforeTaxProfit_sq,,-3.25,37.93,-21.77,65.14,14.27,-0.25,-46.36,45.89,31.28,20.43,-34.77,7.09,-3.95,-6.04,-61.26,102.03,-20.98,64.78,-2.56,168.26,96.07,59.44,-47.93,46.74,23.52,-20.70,33.97,-45.59,-13.64,-40.02,-183.91,75.92,-14.35,-240.87,22.78,-29.75,-52.56,2.50,31.26,-5.72,-114.95,-56.86,-814.67,100.47,-13.39,52.54,61.42,64.85,-37.96,0.90,97.76,4.51,-51.13
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,34934000,49781000,,,31577000,28423000,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.61,-42.90,,,-100.00,-100.00,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.61,-42.90,,,-100.00,-100.00,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,42.50,-100.00,,,-9.99,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,42.50,-100.00,,,-9.99,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,511899000,492914000,692091000,407113000,873333000,1008039000,1006422000,591586000,792357000,1033284000,1250128000,859747000,877341000,841818000,792556000,254151000,704922000,586137000,465686000,571816000,828381000,1571410000,1046588000,1284045000,2032213000,2281771000,3195452000,3618564000,1416000000,1360000000,1208000000,769000000,1100000000,722000000,515000000,696000000,417000000,684000000,679000000,671000000,398000000,796000000,34000000,-6237000000,163000000,135000000,331000000,-5078000000,710000000,344000000,605000000,-134000000,439000000,172000000
IncomeNetProfit_yy,,,,,70.61,104.51,45.42,45.31,-9.27,2.50,24.22,45.33,10.73,-18.53,-36.60,-70.44,-19.65,-30.37,-41.24,124.99,17.51,168.10,124.74,124.56,145.32,45.21,205.32,181.81,-30.32,-40.40,-62.20,-78.75,-22.32,-46.91,-57.37,-9.49,-62.09,-5.26,31.84,-3.59,-4.56,16.37,-94.99,-1029.51,-59.05,-83.04,873.53,18.58,335.58,154.81,82.78,97.36,-38.17,-50.00
IncomeNetProfit_sy,,,,,70.61,104.51,45.42,45.31,-9.27,2.50,24.22,45.33,10.73,-18.53,-36.60,-70.44,-19.65,-30.37,-8.83,39.65,14.52,108.79,124.74,125.14,145.32,42.38,-36.12,173.76,-15.68,-41.85,-63.51,-179.44,-121.92,-125.12,-145.64,55.46,-10.69,-59.93,31.84,-3.27,-4.56,24.90,-28.64,-505.45,3.75,-46.56,15.91,64.75,180.40,134.55,104.61,158.67,-38.17,-41.97
IncomeNetProfit_qq,,-3.71,40.41,-41.18,114.52,15.42,-0.16,-41.22,33.94,30.41,20.99,-31.23,2.05,-4.05,-5.85,-67.93,177.36,-16.85,-20.55,22.79,44.87,89.70,-33.40,22.69,58.27,12.28,40.04,13.24,-60.87,-3.95,-11.18,-36.34,43.04,-34.36,-28.67,35.15,-40.09,64.03,-0.73,-1.18,-40.69,100.00,-95.73,-18444.12,102.61,-17.18,145.19,-1634.14,113.98,-51.55,75.87,-122.15,427.61,-60.82
IncomeNetProfit_sq,,-3.71,40.41,-41.18,114.52,15.42,-0.16,-41.22,33.94,30.41,20.99,-31.23,2.05,-4.05,-5.85,-63.36,116.77,-20.15,65.13,22.79,149.04,89.70,57.27,-47.01,47.34,21.56,-22.94,39.54,-41.47,-15.76,-35.33,-175.53,75.32,-15.86,-230.11,31.06,-40.09,-12.95,-0.73,27.96,-40.69,-116.98,-53.61,-827.00,100.19,-35.92,84.08,57.68,62.12,-41.34,23.81,107.79,0.76,-56.66
IncomeShareholderNetProfit,511198000,493051000,691614000,406469000,872780000,1008222000,1006150000,592031000,792492000,1032842000,1248924000,860301000,877812000,841598000,791369000,255400000,705356000,585803000,464619000,572215000,825336000,1571027000,1046245000,1281899000,2031325000,2281893000,3193040000,3620742000,1416000000,1359000000,1207000000,770000000,1103000000,721000000,514000000,697000000,417000000,683000000,678000000,672000000,397000000,795000000,33000000,-6237000000,161000000,135000000,329000000,-4996000000,710000000,341000000,604000000,-87000000,439000000,171000000
IncomeShareholderNetProfit_yy,,,,,70.73,104.49,45.48,45.65,-9.20,2.44,24.13,45.31,10.77,-18.52,-36.64,-70.31,-19.65,-30.39,-41.29,124.05,17.01,168.18,125.18,124.02,146.12,45.25,205.19,182.45,-30.29,-40.44,-62.20,-78.73,-22.10,-46.95,-57.42,-9.48,-62.19,-5.27,31.91,-3.59,-4.80,16.40,-95.13,-1028.12,-59.45,-83.02,896.97,19.90,340.99,152.59,83.59,98.26,-38.17,-49.85
IncomeShareholderNetProfit_sy,,,,,70.73,104.49,45.48,45.65,-9.20,2.44,24.13,45.31,10.77,-18.52,-36.64,-70.31,-19.65,-30.39,-8.84,40.06,14.62,107.58,125.18,123.55,146.12,42.38,-36.26,175.25,-10.16,-41.87,-63.49,-179.20,-122.28,-125.26,-144.48,55.42,-10.71,-59.88,31.91,-3.40,-4.80,23.71,-29.32,-506.16,3.43,-46.83,16.10,65.53,183.22,134.15,104.82,153.66,-38.17,-42.76
IncomeShareholderNetProfit_qq,,-3.55,40.27,-41.23,114.72,15.52,-0.21,-41.16,33.86,30.33,20.92,-31.12,2.04,-4.13,-5.97,-67.73,176.18,-16.95,-20.69,23.16,44.24,90.35,-33.40,22.52,58.46,12.34,39.93,13.39,-60.89,-4.03,-11.18,-36.21,43.25,-34.63,-28.71,35.60,-40.17,63.79,-0.73,-0.88,-40.92,100.25,-95.85,-19000.00,102.58,-16.15,143.70,-1618.54,114.21,-51.97,77.13,-114.40,604.60,-61.05
IncomeShareholderNetProfit_sq,,-3.55,40.27,-41.23,114.72,15.52,-0.21,-41.16,33.86,30.33,20.92,-31.12,2.04,-4.13,-5.97,-63.15,115.47,-20.09,65.21,23.16,141.06,90.35,57.27,-45.53,45.83,21.58,-22.63,40.76,-41.67,-15.90,-34.53,-174.67,75.28,-15.87,-230.27,31.27,-40.17,-12.95,-0.73,26.42,-40.92,-115.14,-53.68,-826.48,100.16,-35.63,85.35,57.32,62.04,-41.17,24.54,107.49,0.82,-57.01
BalanceNoncurrentAssets,6554831000,6701702000,6817637000,6904255000,7016567000,6954644000,7042202000,7402862000,7101895000,7326608000,7391248000,7932257000,7865164000,8021312000,8234995000,9113159000,9190184000,9210885000,9472471000,9800634000,10305859000,11070725000,11688608000,12480642000,12916975000,11602368000,11706648000,12133000000,21651757000,23048083000,23153259000,24108000000,25023000000,26327000000,26186000000,26488000000,27541000000,28606000000,31270000000,33569000000,35542000000,35488000000,36115000000,30448000000,30680000000,31715000000,31296000000,27202000000,26981000000,26728000000,27072000000,26515000000,26735000000,27589000000
BalanceNoncurrentAssets_yy,,,,,7.04,3.77,3.29,7.22,1.22,5.35,4.96,7.15,10.75,9.48,11.42,14.89,16.85,14.83,15.03,7.54,12.14,20.19,23.40,27.35,25.34,4.80,0.15,-2.79,67.62,98.65,97.78,98.70,15.57,14.23,13.10,9.87,10.06,8.66,19.41,26.73,29.05,24.06,15.49,-9.30,-13.68,-10.63,-13.34,-10.66,-12.06,-15.72,-13.50,-2.53,-0.91,3.22
BalanceNoncurrentAssets_sy,,,,,7.04,3.77,3.29,7.22,1.22,5.35,4.96,7.15,10.75,9.48,11.42,14.89,16.85,14.83,15.03,12.12,12.14,23.58,26.03,25.07,27.52,16.72,14.45,23.32,39.34,33.78,15.88,12.46,11.63,11.84,-3.44,-6.54,4.85,5.44,4.65,13.93,10.66,10.72,-1.35,-19.49,-19.76,-16.60,-16.71,-11.28,-12.84,-14.52,-9.41,-2.53,9.18,10.74
BalanceNoncurrentAssets_qq,,2.24,1.73,1.27,1.63,-0.88,1.26,5.12,-4.07,3.16,0.88,7.32,-0.85,1.99,2.66,10.66,0.85,0.23,2.84,3.46,5.16,7.42,5.58,6.78,3.50,-10.18,0.90,3.64,78.45,6.45,0.46,4.12,3.80,5.21,-0.54,1.15,3.98,3.87,9.31,7.35,5.88,-0.15,1.77,-15.69,0.76,3.37,-1.32,-13.08,-0.81,-0.94,1.29,-2.06,0.83,3.19
BalanceNoncurrentAssets_sq,,2.24,1.73,1.27,1.63,-0.88,1.26,5.12,-4.07,3.16,0.88,7.32,-0.85,1.99,2.66,10.66,-49.58,0.23,3.62,3.51,7.98,7.52,-47.21,7.24,3.20,5.32,-49.55,3.64,1.82,3.90,3.26,4.04,1.00,-0.46,-3.47,-3.46,1.12,1.20,0.82,7.35,-0.53,-0.55,-1.12,-18.00,-0.57,0.32,-3.82,-3.18,-1.90,-0.74,1.04,-2.06,0.83,1.56
BalanceIntangibleAssets,87081000,86351000,84915000,114513000,85625000,108995000,115251000,126014000,124577000,124058000,127791000,119231000,117554000,118047000,122787000,151581000,153348000,151197000,149836000,218124000,264407000,280460000,292459000,473215000,596599000,607315000,617752000,663000000,4733893000,2334895000,2227347000,1989000000,2115000000,2202000000,2144000000,2175000000,2378000000,2476000000,2717000000,2918000000,3101000000,3306000000,3428000000,3371000000,3401000000,3537000000,3495000000,2682000000,2617000000,2511000000,2526000000,1656000000,1677000000,1764000000
BalanceIntangibleAssets_yy,,,,,-1.67,26.22,35.73,10.04,45.49,13.82,10.88,-5.38,-5.64,-4.85,-3.92,27.13,30.45,28.08,22.03,43.90,72.42,85.49,95.19,116.95,125.64,116.54,111.23,40.11,693.48,284.46,260.56,200.00,-55.32,-5.69,-3.74,9.35,12.43,12.44,26.73,34.16,30.40,33.52,26.17,15.52,9.67,6.99,1.95,-20.44,-23.05,-29.01,-27.73,-38.26,-35.92,-29.75
BalanceIntangibleAssets_sy,,,,,-1.67,26.22,35.73,10.04,45.49,13.82,10.88,-5.38,-5.64,-4.85,-3.92,27.13,30.45,28.08,22.03,32.10,72.42,36.62,41.84,46.08,63.28,39.25,51.58,22.46,7.32,11.96,177.59,4.22,-5.96,-6.84,-10.43,-1.92,-2.26,-2.80,12.97,19.60,17.53,18.78,-2.82,-14.21,-12.04,-1.15,-5.34,-17.22,-18.25,-17.47,-19.31,-7.26,-4.29,-6.55
BalanceIntangibleAssets_qq,,-0.84,-1.66,34.86,-25.23,27.29,5.74,9.34,-1.14,-0.42,3.01,-6.70,-1.41,0.42,4.02,23.45,1.17,-1.40,-0.90,45.58,21.22,6.07,4.28,61.81,26.07,1.80,1.72,7.32,614.01,-50.68,-4.61,-10.70,6.33,4.11,-2.63,1.45,9.33,4.12,9.73,7.40,6.27,6.61,3.69,-1.66,0.89,4.00,-1.19,-23.26,-2.42,-4.05,0.60,-34.44,1.27,5.19
BalanceIntangibleAssets_sq,,-0.84,-1.66,34.86,-25.23,27.29,5.74,9.34,-1.14,-0.42,3.01,-6.70,-1.41,0.42,4.02,23.45,-49.42,-1.40,-2.56,21.80,-8.30,2.02,-51.72,30.65,1.40,0.16,-51.94,7.32,-2.68,-3.45,0.24,-1.28,-0.24,0.79,-2.63,-2.50,-1.26,0.56,7.88,4.19,-3.46,-2.84,1.48,-1.40,-1.06,1.75,-1.83,-5.49,-1.93,-2.63,-1.55,3.10,1.27,-1.10
BalanceProperty,5457755000,5564418000,5585386000,5584178000,5618267000,5653033000,5792228000,6071139000,6128112000,6252246000,6292811000,6630869000,6642258000,6760750000,6919961000,7154390000,7080879000,7246703000,7391287000,7764276000,7719961000,7805830000,8104536000,8730314000,8620279000,8722165000,8371168000,9153000000,10567088000,13705940000,13746305000,14030000000,14187000000,14754000000,14731000000,15193000000,15378000000,15826000000,16646000000,17621000000,18151000000,17969000000,18514000000,16926000000,17197000000,17649000000,17805000000,17808000000,17844000000,17958000000,18203000000,18975000000,18987000000,19215000000
BalanceProperty_yy,,,,,2.94,1.59,3.70,8.72,9.07,10.60,8.64,9.22,8.39,8.13,9.97,7.90,6.60,7.19,6.81,8.52,9.03,7.72,9.65,12.44,11.66,11.74,3.29,4.84,22.58,57.14,64.21,53.28,34.26,7.65,7.16,8.29,8.40,7.27,13.00,15.98,18.03,13.54,11.22,-3.94,-5.26,-1.78,-3.83,5.21,3.76,1.75,2.24,6.55,6.41,7.00
BalanceProperty_sy,,,,,2.94,1.59,3.70,8.72,9.07,10.60,8.64,9.22,8.39,8.13,9.97,7.90,6.60,7.19,6.81,12.68,9.03,17.76,19.58,23.62,21.08,20.52,16.35,24.96,25.48,38.16,17.69,11.70,11.16,8.20,-7.02,-5.50,4.57,4.46,4.50,13.99,10.61,10.70,-4.14,-20.03,-20.54,-17.94,-15.22,-8.78,-8.95,-8.02,-1.54,6.55,6.41,7.00
BalanceProperty_qq,,1.95,0.38,-0.02,0.61,0.62,2.46,4.82,0.94,2.03,0.65,5.37,0.17,1.78,2.35,3.39,-1.03,2.34,2.00,5.05,-0.57,1.11,3.83,7.72,-1.26,1.18,-4.02,9.34,15.45,29.70,0.29,2.06,1.12,4.00,-0.16,3.14,1.22,2.91,5.18,5.86,3.01,-1.00,3.03,-8.58,1.60,2.63,0.88,0.02,0.20,0.64,1.36,4.24,0.06,1.20
BalanceProperty_sq,,1.95,0.38,-0.02,0.61,0.62,2.46,4.82,0.94,2.03,0.65,5.37,0.17,1.78,2.35,3.39,-50.52,2.34,3.29,4.28,4.55,7.68,-48.08,7.74,1.58,6.64,-52.01,9.34,1.67,7.02,2.96,3.58,0.91,-0.76,-5.90,-1.46,0.93,-0.66,0.79,5.86,-0.53,-1.00,-1.07,-18.50,-0.90,-0.16,-3.90,-0.66,-1.10,-0.14,1.10,4.24,0.06,1.20
BalanceNoncurrentReceivables,18536000,18058000,17922000,15761000,14568000,14569000,12739000,17175000,11492000,38159000,39233000,47071000,49461000,53376000,56651000,22774000,7116000,7174000,7705000,10586000,9590000,11598000,14205000,13508000,12139000,15620000,9636000,40000000,297650000,525457000,953910000,1516000000,2074000000,2634000000,3148000000,3459000000,3987000000,4692000000,5525000000,6231000000,7240000000,7302000000,7501000000,7504000000,7377000000,7966000000,7874000000,4313000000,4152000000,3978000000,3999000000,3889000000,3895000000,4316000000
BalanceNoncurrentReceivables_yy,,,,,-21.41,-19.32,-28.92,8.97,-21.11,161.92,207.98,174.07,330.40,39.88,44.40,-51.62,-85.61,-86.56,-86.40,-53.52,34.77,61.67,84.36,27.60,26.58,34.68,-32.16,196.12,2352.01,3264.00,9799.44,3690.00,596.79,401.28,230.01,128.17,92.24,78.13,75.51,80.14,81.59,55.63,35.76,20.43,1.89,9.09,4.97,-42.52,-43.72,-50.06,-49.21,-9.83,-6.19,8.50
BalanceNoncurrentReceivables_sy,,,,,-21.41,-19.32,-28.92,8.97,-21.11,161.92,207.98,174.07,330.40,39.88,44.40,-51.62,-85.61,-86.56,-86.40,-55.22,34.77,33.56,34.46,78.92,13.29,54.94,4.76,-11.48,89.10,10.42,4922.70,20.44,38.47,89.58,132.81,32.48,28.24,-28.42,-43.34,-20.38,-25.52,21.65,2.93,-12.64,-5.52,4.98,4.15,128.35,124.62,-28.10,-28.70,-42.04,-40.35,142.21
BalanceNoncurrentReceivables_qq,,-2.58,-0.75,-12.06,-7.57,0.01,-12.56,34.82,-33.09,232.05,2.81,19.98,5.08,7.92,6.14,-59.80,-68.75,0.82,7.40,37.39,-9.41,20.94,22.48,-4.91,-10.13,28.68,-38.31,315.11,644.13,76.54,81.54,58.92,36.81,27.00,19.51,9.88,15.26,17.68,17.75,12.78,16.19,0.86,2.73,0.04,-1.69,7.98,-1.15,-45.22,-3.73,-4.19,0.53,-2.75,0.15,10.81
BalanceNoncurrentReceivables_sq,,-2.58,-0.75,-12.06,-7.57,0.01,-12.56,34.82,-33.09,232.05,2.81,19.98,5.08,7.92,6.14,-59.80,-84.38,0.82,16.06,10.98,-4.70,10.47,11.24,62.67,-31.33,28.68,-38.31,173.42,1.31,2.31,6.90,8.70,5.30,15.92,10.13,-0.70,4.87,-27.71,0.23,12.78,1.47,0.86,-0.27,-10.85,-0.27,10.08,0.50,99.58,-2.08,-38.70,0.23,-3.10,-0.64,153.03
BalanceNoncurrInvestments,949258000,996595000,1001359000,1027193000,1046896000,715608000,771463000,800066000,722050000,813948000,830155000,814580000,719671000,769965000,864298000,1595422000,1698774000,1506453000,1595961000,1460253000,1829935000,2606838000,2797253000,2670813000,3109705000,1758259000,2336336000,2005000000,5287951000,5716053000,5448683000,6008000000,5942000000,6189000000,5634000000,5210000000,5338000000,5144000000,5911000000,6135000000,6290000000,6330000000,6016000000,1993000000,2020000000,1830000000,1485000000,1771000000,1795000000,1791000000,1891000000,1494000000,1578000000,1643000000
BalanceNoncurrInvestments_yy,,,,,10.29,-28.19,-22.96,-22.11,-31.03,13.74,7.61,1.81,-0.33,-5.40,4.11,95.86,136.05,95.65,84.65,-8.47,7.72,73.04,75.27,82.90,69.94,-32.55,-16.48,-24.93,70.05,225.10,133.21,199.65,12.37,8.27,3.40,-13.28,-10.16,-16.88,4.92,17.75,17.83,23.06,1.78,-67.51,-67.89,-71.09,-75.32,-11.14,-11.14,-2.13,27.34,-15.64,-12.09,-8.26
BalanceNoncurrInvestments_sy,,,,,10.29,-28.19,-22.96,-22.11,-31.03,13.74,7.61,1.81,-0.33,-5.40,4.11,95.86,136.05,95.65,84.65,2.04,7.72,41.71,42.92,82.90,82.45,11.12,-3.25,11.40,0.39,8.71,16.03,11.64,12.37,14.15,13.59,0.62,12.61,7.42,4.92,-4.61,-5.79,-6.49,-5.79,-7.89,-5.18,-16.38,-0.80,-3.20,-2.30,-4.21,4.24,-8.33,,
BalanceNoncurrInvestments_qq,,4.99,0.48,2.58,1.92,-31.64,7.81,3.71,-9.75,12.73,1.99,-1.88,-11.65,6.99,12.25,84.59,6.48,-11.32,5.94,-8.50,25.32,42.46,7.30,-4.52,16.43,-43.46,32.88,-14.18,163.74,8.10,-4.68,10.27,-1.10,4.16,-8.97,-7.53,2.46,-3.63,14.91,3.79,2.53,0.64,-4.96,-66.87,1.35,-9.41,-18.85,19.26,1.36,-0.22,5.58,-20.99,5.62,4.12
BalanceNoncurrInvestments_sq,,4.99,0.48,2.58,1.92,-31.64,7.81,3.71,-9.75,12.73,1.99,-1.88,-11.65,6.99,12.25,84.59,-46.76,-11.32,3.40,-0.88,25.32,21.88,1.03,0.91,12.81,-2.46,-50.00,-5.21,-2.21,2.63,1.57,6.06,0.04,2.54,-3.65,-11.85,-1.63,0.80,,-9.24,0.09,1.17,-3.64,,0.68,-4.21,-2.80,7.70,-0.72,-2.44,2.98,,0.02,-1.40
BalanceOtherNoncurrentAssets,42201000,36280000,128055000,162610000,251211000,462439000,350521000,388468000,115664000,98197000,101258000,320506000,336220000,319174000,271298000,188992000,250067000,299358000,327682000,347395000,481966000,365999000,480155000,592792000,578253000,499009000,371756000,272000000,765175000,765738000,777014000,565000000,705000000,548000000,529000000,451000000,460000000,468000000,471000000,664000000,760000000,581000000,656000000,654000000,685000000,733000000,637000000,628000000,573000000,490000000,453000000,501000000,598000000,651000000
BalanceOtherNoncurrentAssets_yy,,,,,495.27,1174.64,173.73,138.90,-53.96,-78.77,-71.11,-17.49,190.69,225.03,167.93,-41.03,-25.62,-6.21,20.78,83.81,92.73,22.26,46.53,70.64,19.98,36.34,-22.58,-54.12,32.33,53.45,109.01,107.72,-7.86,-28.44,-31.92,-20.18,-34.75,-14.60,-10.96,47.23,65.22,24.15,39.28,-1.51,-9.87,26.16,-2.90,-3.98,-16.35,-33.15,-28.89,-20.22,4.36,32.86
BalanceOtherNoncurrentAssets_sy,,,,,495.27,1174.64,173.73,138.90,-53.96,-78.77,-71.11,-17.49,190.69,225.03,167.93,-41.03,-25.62,-6.21,20.78,83.81,92.73,22.26,46.53,-11.92,-19.78,-22.90,-22.58,-22.91,19.53,9.17,47.22,32.01,8.23,-0.16,-31.92,-0.73,6.67,4.30,7.21,30.93,21.76,25.47,39.28,40.02,22.44,38.19,17.78,-4.11,-8.44,-9.68,-7.46,-20.22,4.36,32.86
BalanceOtherNoncurrentAssets_qq,,-14.03,252.96,26.98,54.49,84.08,-24.20,10.83,-70.23,-15.10,3.12,216.52,4.90,-5.07,-15.00,-30.34,32.32,19.71,9.46,6.02,38.74,-24.06,31.19,23.46,-2.45,-13.70,-25.50,-26.83,181.31,0.07,1.47,-27.29,24.78,-22.27,-3.47,-14.74,2.00,1.74,0.64,40.98,14.46,-23.55,12.91,-0.30,4.74,7.01,-13.10,-1.41,-8.76,-14.49,-7.55,10.60,19.36,8.86
BalanceOtherNoncurrentAssets_sq,,-14.03,252.96,26.98,54.49,84.08,-24.20,10.83,-70.23,-15.10,3.12,216.52,4.90,-5.07,-15.00,-30.34,32.32,19.71,9.46,6.02,5.67,7.38,-100.00,23.46,-2.45,3.19,-100.00,-25.82,-2.71,0.07,1.47,10.18,-2.94,-1.92,-2.81,-0.45,2.00,1.74,0.64,13.08,11.12,8.22,3.52,14.64,-0.42,3.90,-0.62,-1.97,-3.50,-2.78,-1.50,-9.24,19.36,0.65
BalanceCurrentAssets,2714163000,3179284000,3165013000,4136895000,4527144000,6793008000,5523855000,5800500000,6670300000,7332983000,6505984000,5570957000,6316303000,6843420000,5687309000,5856959000,5981616000,6251563000,5175413000,5083112000,6135619000,6872658000,7297509000,8759009000,9620282000,12189579000,12346179000,18513000000,14625585000,14707789000,11004797000,9852000000,10042000000,9667000000,8649000000,7969000000,8049000000,7861000000,7669000000,6805000000,7234000000,6927000000,6831000000,6316000000,6418000000,6696000000,6595000000,6240000000,6648000000,6773000000,7234000000,7607000000,8169000000,8482000000
BalanceCurrentAssets_yy,,,,,66.80,113.66,74.53,40.21,47.34,7.95,17.78,-3.96,-5.31,-6.68,-12.58,5.13,-5.30,-8.65,-9.00,-13.21,2.57,9.94,41.00,72.32,56.79,77.36,69.18,111.36,52.03,20.66,-10.86,-46.78,-31.34,-34.27,-21.41,-19.11,-19.85,-18.68,-11.33,-14.61,-10.13,-11.88,-10.93,-7.19,-11.28,-3.33,-3.45,-1.20,3.58,1.15,9.69,21.91,22.88,25.23
BalanceCurrentAssets_sy,,,,,66.80,113.66,74.53,40.21,47.34,7.95,17.78,-3.96,-5.31,-6.68,-12.58,5.13,-5.30,-8.65,-9.00,100.42,2.57,39.15,11.03,25.12,49.07,65.16,4.34,29.47,13.55,19.22,-1.83,-7.82,-26.60,-28.22,-39.73,-23.14,-26.35,-32.24,-11.33,-22.34,-25.81,-11.88,-27.05,-7.19,-2.39,5.72,9.48,31.60,16.45,1.90,5.08,21.91,3.10,10.83
BalanceCurrentAssets_qq,,17.14,-0.45,30.71,9.43,50.05,-18.68,5.01,15.00,9.93,-11.28,-14.37,13.38,8.35,-16.89,2.98,2.13,4.51,-17.21,-1.78,20.71,12.01,6.18,20.03,9.83,26.71,1.28,49.95,-21.00,0.56,-25.18,-10.48,1.93,-3.73,-10.53,-7.86,1.00,-2.34,-2.44,-11.27,6.30,-4.24,-1.39,-7.54,1.61,4.33,-1.51,-5.38,6.54,1.88,6.81,5.16,7.39,3.83
BalanceCurrentAssets_sq,,17.14,-0.45,30.71,9.43,50.05,-18.68,5.01,15.00,9.93,-11.28,-14.37,13.38,8.35,-16.89,2.98,-48.93,4.51,40.35,-3.88,20.50,0.42,-52.35,5.20,5.28,-1.32,-67.22,38.53,8.82,6.83,-11.28,-24.25,-0.62,-1.18,-20.82,-2.60,-8.93,-11.87,-0.12,-11.27,3.31,2.67,-5.35,-5.13,-1.23,2.74,2.50,13.56,1.04,4.66,4.67,5.16,-8.76,9.51
