,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNonshareCapital,,,,,,,,,18000,18000,18000,21000,21000,21000
BalanceNonshareCapital_yy,,,,,,,,,,,,,16.67,16.67
BalanceNonshareCapital_sy,,,,,,,,,,,,,9.56,-1.55
BalanceNonshareCapital_qq,,,,,,,,,,,,16.67,,
BalanceNonshareCapital_sq,,,,,,,,,,,,0.26,,
BalanceNoncurrentLiabilities,50185000,47315000,44222000,39302000,47147000,50814000,56371000,60440000,62746000,63763000,67396000,64690000,63640000,70072000
BalanceNoncurrentLiabilities_yy,,,,,-6.05,7.40,27.47,53.78,33.09,25.48,19.56,7.03,1.42,9.89
BalanceNoncurrentLiabilities_sy,,,,,-6.87,-14.10,-3.16,14.06,-1.00,26.78,25.87,7.03,1.42,-1.97
BalanceNoncurrentLiabilities_qq,,-5.72,-6.54,-11.13,19.96,7.78,10.94,7.22,3.82,1.62,5.70,-4.02,-1.62,10.11
BalanceNoncurrentLiabilities_sq,,-6.83,-2.85,-3.57,4.17,-5.26,-2.98,10.35,-1.63,-0.28,-2.94,-4.02,-0.38,-1.71
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,35315000,33264000,28871000,23790000,31783000,34098000,33312000,34518000,38810000,39057000,38777000,36825000,37405000,35818000
BalanceNoncurrentBorrowings_yy,,,,,-10.00,2.51,15.38,45.09,22.11,14.54,16.41,6.68,-3.62,-8.29
BalanceNoncurrentBorrowings_sy,,,,,-19.41,-23.02,-7.96,-3.57,0.19,14.54,16.41,3.88,-2.64,-5.98
BalanceNoncurrentBorrowings_qq,,-5.81,-13.21,-17.60,33.60,7.28,-2.31,3.62,12.43,0.64,-0.72,-5.03,1.58,-4.24
BalanceNoncurrentBorrowings_sq,,-11.66,-10.36,-7.92,-0.19,-10.28,-2.31,-7.43,-0.39,-4.78,-6.06,-1.13,1.25,-6.04
BalanceNoncurrentObligations,,,,,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,10076000,9369000,10507000,10729000,10589000,11904000,17913000,19956000,17832000,18489000,21990000,20484000,19010000,26811000
BalanceNoncurrentLeasing_yy,,,,,5.09,27.06,70.49,86.00,68.40,55.32,22.76,2.65,6.61,45.01
BalanceNoncurrentLeasing_sy,,,,,12.88,27.06,70.49,25.88,-4.38,5.39,-6.68,-15.62,-20.28,12.18
BalanceNoncurrentLeasing_qq,,-7.02,12.15,2.11,-1.30,12.42,50.48,11.41,-10.64,3.68,18.94,-6.85,-7.20,41.04
BalanceNoncurrentLeasing_sq,,16.71,12.15,2.11,-5.98,12.17,-6.49,4.50,-7.44,-5.59,,-9.11,-8.56,40.17
BalanceNoncurrentOtherLiabilities,4794000,4682000,4844000,4783000,4775000,4812000,5146000,5966000,6104000,6217000,6629000,7381000,7225000,7443000
BalanceNoncurrentOtherLiabilities_yy,,,,,-0.40,2.78,6.23,24.73,27.83,29.20,28.82,23.72,18.37,19.72
BalanceNoncurrentOtherLiabilities_sy,,,,,-2.21,0.12,-2.57,-1.66,-2.86,-3.60,-3.57,1.68,3.08,6.27
BalanceNoncurrentOtherLiabilities_qq,,-2.34,3.46,-1.26,-0.17,0.77,6.94,15.93,2.31,1.85,6.63,11.34,-2.11,3.02
BalanceNoncurrentOtherLiabilities_sq,,-0.22,1.17,1.35,-1.90,-2.36,0.59,1.22,-1.18,-2.26,0.31,0.02,-2.24,1.56
