,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeEBIT,-601000,-408000,1287000,-1947000,26000,-760000,1255000,-2231000,380000,-1171000,1678000,-1148000,-492000,-287000,-217000,-575000,-863000,-687000,1154000,-1398000,-746000,-520000,772000,-1394000,-137000,217000,25000,-1189000,349000,19748000,682000,-946000,110000,239000,-267000,3047000,364000,268000,178000,2578000,312000,-27000,104000,1816000,372000,160000,150000,766000,270000,159000,83000,344000,-192000,-1047000,-392000
IncomeEBIT_yy,,,,,104.33,-86.27,-2.49,-14.59,1361.54,-54.08,33.71,48.54,-229.47,75.49,-112.93,49.91,-75.41,-139.37,631.80,-143.13,13.56,24.31,-33.10,0.29,81.64,141.73,-96.76,14.71,354.74,9000.46,2628.00,20.44,-68.48,-98.79,-139.15,422.09,230.91,12.13,166.67,-15.39,-14.29,-110.07,-41.57,-29.56,19.23,692.59,44.23,-57.82,-27.42,-0.62,-44.67,-55.09,-171.11,-758.49,-572.29
IncomeEBIT_sy,,,,,1.20,-4.44,39.46,63.58,106.23,68.82,30.16,97.40,56.31,31.54,73.41,36.78,-19.92,31.60,-42.86,5.46,-42.49,-19.90,-5.18,3.50,-21.27,-23.78,-3.58,9.45,11.48,-48.12,-36.43,-61.52,-68.82,70.00,0.68,81.60,13.45,7.19,26.26,32.42,46.74,44.98,24.46,-18.12,3.96,-4.32,-16.41,-34.60,-12.55,-4.66,9.75,-43.52,-0.33,-7.48,-114.39
IncomeEBIT_qq,,32.11,415.44,-251.28,101.34,-3023.08,265.13,-277.77,117.03,-408.16,243.30,-168.41,57.14,41.67,24.39,-164.98,-50.09,20.39,267.98,-221.14,46.64,30.29,248.46,-280.57,90.17,258.39,-88.48,-4856.00,129.35,5558.45,-96.55,-238.71,111.63,117.27,-211.72,1241.20,-88.05,-26.37,-33.58,1348.31,-87.90,-108.65,485.19,1646.15,-79.52,-56.99,-6.25,410.67,-64.75,-41.11,-47.80,314.46,-155.81,-445.31,62.56
IncomeEBIT_sq,,41.72,24.47,-94.18,42.82,55.04,56.72,-33.53,25.05,34.21,9.83,-22.85,11.24,20.36,19.56,-36.33,-34.36,67.26,-11.77,21.78,-73.73,137.12,3.28,13.86,-59.41,46.41,34.50,-9.14,-45.13,-13.87,35.10,-65.13,2.54,74.61,18.88,-3.50,-27.26,29.32,10.08,82.28,-57.87,113.19,19.04,-3.08,-28.96,24.14,29.98,-35.55,23.40,25.79,-6.52,-18.46,-27.58,15.30,110.56
IncomeFinanceIncome,33000,4000,4000,43000,60000,2000,23000,671000,3043000,-1704000,1798000,-1625000,23000,76000,135000,145000,80000,66000,76000,-73000,660000,21000,-78000,-436000,23000,655000,354000,-467000,516000,-440000,57000,338000,340000,373000,94000,789000,785000,1096000,-1648000,42000,89000,20000,20000,13000,41000,57000,59000,76000,1000,160000,60000,143000,183000,110000,138000
IncomeFinanceIncome_yy,,,,,81.82,-50.00,475.00,1460.47,4971.67,-85300.00,7717.39,-342.18,-99.24,104.46,-92.49,108.92,247.83,-13.16,-43.70,-150.34,725.00,-68.18,-202.63,-497.26,-96.52,3019.05,553.85,-7.11,2143.48,-167.18,-83.90,172.38,-34.11,184.77,64.91,133.43,130.88,193.83,-1853.19,-94.68,-88.66,-98.18,101.21,-69.05,-53.93,185.00,195.00,484.62,-97.56,180.70,1.69,88.16,18200.00,-31.25,130.00
IncomeFinanceIncome_sy,,,,,19.44,19.48,6.24,132.74,-23.42,13.94,203.22,143.18,70.64,66.70,79.30,52.33,123.21,-33.21,-54.68,-59.32,-40.45,-5.92,-22.00,14.80,-1.37,37.14,92.69,-2.21,8.02,-8.33,-29.42,-34.34,-34.94,87.50,-66.96,-31.54,4.41,-36.00,-40.67,44.88,-15.10,-10.07,-5.22,-10.09,-14.82,106.66,-39.90,31.26,-41.62,-63.32,8.44,-22.39,-5.87,141.79,1665.00
IncomeFinanceIncome_qq,,-87.88,,975.00,39.53,-96.67,1050.00,2817.39,353.50,-156.00,205.52,-190.38,101.42,230.43,77.63,7.41,-44.83,-17.50,15.15,-196.05,1004.11,-96.82,-471.43,-458.97,105.28,2747.83,-45.95,-231.92,210.49,-185.27,112.95,492.98,0.59,9.71,-74.80,739.36,-0.51,39.62,-250.36,102.55,111.90,-77.53,,-35.00,215.38,39.02,3.51,28.81,-98.68,15900.00,-62.50,138.33,27.97,-39.89,25.45
IncomeFinanceIncome_sq,,-28.57,,-6.78,105.86,8.05,-30.44,151.84,-25.52,42.92,13.82,133.33,-33.84,29.16,-13.18,114.79,-38.51,-48.46,-4.61,-3.60,27.84,-16.19,-11.62,16.35,28.02,-11.34,20.66,-12.03,45.75,-40.52,2.02,-6.95,-9.88,23.39,-67.98,28.62,10.85,-2.26,-21.88,31.97,24.19,-29.22,,33.50,38.18,-8.62,-60.33,50.00,-33.45,-12.56,-10.00,20.40,-30.82,10.30,21.66
