,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-48.88,93.26,,,,,,-53.42,,,,-48.03,-56.26,-16.64,49.00,8.48,46.07,19.42,-38.69,-40.44,-19.55,-25.69,219.28,314.61,313.35,851.84,665.69,-1126.05,14.34,-52.20
EVEBITCurrent_sy,,-48.88,102.11,,,,,,-9.72,,,,-18.22,-22.26,-19.20,-24.72,-17.12,-20.73,-18.57,4.64,43.21,3.31,1.32,1.06,-37.80,-6.56,-8.83,-6.22,3.90,14.47,49.30
EVEBITCurrent_qq,,,,,,,,,,11.80,-44.53,-32.33,23.84,-5.91,5.71,20.96,-9.83,26.69,-13.57,-37.90,-12.40,71.11,-20.16,166.78,13.76,70.59,83.85,114.61,-252.45,119.01,-23.15
EVEBITCurrent_sq,,,,,,,,,,-7.46,4.62,-13.29,-2.58,-12.03,8.74,-19.21,7.25,-15.86,11.69,3.82,46.77,-39.30,9.55,3.55,-9.66,-8.82,6.89,6.51,0.10,0.45,39.41
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-65.75,56.76,,,83.70,,125.83,-37.88,-66.20,-79.95,-85.74,-36.66,-52.15,-19.38,26.05,-8.91,31.71,16.43,-35.46,-35.63,-20.72,-31.18,144.65,133.83,44.38,77.27,-16.25,9.01,-13.13,-4.82
EVEBITDACurrent_sy,,-23.56,56.76,,,-24.22,,-10.25,-14.01,-8.95,-7.18,-28.76,-14.33,-17.05,-21.17,-14.84,-2.41,16.57,-14.59,-7.90,-6.99,-3.63,5.69,16.52,-10.53,-19.11,-2.67,0.09,19.29,14.98,19.67
EVEBITDACurrent_qq,,,,,,125.83,,,-72.49,22.86,-40.69,-28.86,22.17,-7.19,-0.06,11.24,-11.71,34.20,-11.66,-38.34,-11.94,65.26,-23.30,119.20,-15.84,2.04,-5.84,3.56,9.54,-18.68,3.17
EVEBITDACurrent_sq,,,,,,-6.84,,,-17.26,-1.36,10.00,-20.65,-0.49,-4.49,4.53,-14.28,14.03,14.08,-23.41,-7.56,15.15,18.22,-16.01,1.90,-11.57,6.87,1.07,4.79,5.39,3.00,5.19
