,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
GPM_yy,,-40.39,-527.35,,,,134.00,129.19,228.00,376.54,-51.97,-67.82,-414.73,-1425.45,-2352.05,-2643.08,-157.02,75.92,104.15,105.20,104.80,134.27,-82.50,-37.21,-3225.29,-1620.82,-23453.57,-7537.96,-81.76,-17.12,41.84,54.48,16.63
GPM_sy,,-105.91,-3500.00,,,,147.47,817.46,1292.50,191.88,-41.14,-36.73,-13.42,-380.73,222.81,222.73,160.53,170.02,-42.93,-21.99,-33.09,8.50,172.38,38.33,-28.61,-51.00,-80.42,-56.22,28.79,6.56,46.43,19.04,-25.08
GPM_qq,,,,-32.19,87.36,53.71,539.51,13.48,-44.55,,-23.66,-23.98,-642.31,-321.13,-29.71,14.15,45.19,60.54,122.38,7.50,-49.42,181.61,-88.57,285.71,-2617.59,-37.04,-75.50,-22.85,38.48,11.70,12.86,3.84,-12.66
GPM_sq,,,,94.85,36.51,500.00,263.13,-22.20,5.53,,-26.77,-16.37,44.41,-417.43,184.21,-16.39,16.58,-14.68,-31.37,14.29,,38.33,72.29,-41.96,-48.39,-5.06,-31.15,29.76,51.83,-21.45,-5.38,5.49,-4.43
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,-56.07,,-66.66,11.52,-31.73,129.53,201.86,196.62,75.37,35.69,14.93,6.44,-39.36,-55.64,-67.56,-81.01,-19.92,8.68,28.72,126.98,-12.68
RBS_sy,,,,,,,,,,,,,-18.54,,-15.90,7.32,-5.28,15.20,28.74,48.90,53.40,50.04,-0.11,-6.94,-25.34,-26.27,-12.10,-7.85,6.09,1.65,-8.42,-22.39,-23.54
RBS_qq,,,,,,,,,,,,-67.96,194.60,-416.12,111.18,7.15,80.35,36.75,14.23,5.29,6.63,5.81,-3.25,-2.48,-39.26,-22.59,-29.25,-42.91,156.10,5.06,-16.20,0.68,-1.48
RBS_sq,,,,,,,,,,,,-28.89,18.18,-12.75,14.70,-9.25,4.30,6.11,28.18,4.96,7.45,3.78,-14.66,-2.21,-13.79,2.49,1.73,2.51,-0.75,-1.80,-8.34,-13.13,-2.22
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
