,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
OSF,3290,2110,2250,2140,,1820,1950,2040,,1870,1630,1660,,1160,1070,1030,,1010,1020,1030,,880,930,900,,860,890,810,860,820,870,860,850,840,860,840,830,830,810,820,800,770,770,830,790,820,820,830,870,880,900,880
NetDebt,86461000000,73043000000,77460000000,73515000000,,105141000000,145624000000,164636000000,,169307000000,168775000000,184897000000,,145549000000,151570000000,149348000000,,178464000000,193701000000,206250000000,,166731000000,201158000000,223397000000,,202773000000,255875000000,202157000000,273118000000,222988000000,310933000000,311274000000,270396000000,269945000000,280526000000,290047000000,286397000000,288512000000,253452000000,301066000000,255563000000,188894000000,216242000000,307718000000,267230000000,331682000000,323336000000,336266000000,398978000000,400202000000,433493000000,385391000000
NetDebtEBITDA,1450,2670,3340,2620,,3040,3680,4070,,5290,5280,4860,,4730,6130,10650,,7430,7030,5530,,3320,3250,3350,,3010,3960,3650,5060,4810,7440,7840,7530,7200,8630,10150,10890,60570,81840,-1601410,-30850,288830,-119870,100760,-124580,54710,21760,21390,10590,7770,7730,6570
DebtFin,41261000000,27224000000,35773000000,10464000000,,52355000000,73798000000,89504000000,,108838000000,97749000000,95824000000,,61564000000,83194000000,104889000000,,110970000000,106944000000,105930000000,,55514000000,50306000000,105934000000,,58205000000,75743000000,74335000000,102601000000,77679000000,123588000000,116980000000,51241000000,67224000000,82097000000,85046000000,81403000000,91947000000,80756000000,116939000000,111771000000,74739000000,62099000000,100268000000,93022000000,79079000000,129517000000,88664000000,111749000000,104003000000,125704000000,84305000000
DebtFinEBITDA,690,990,1540,370,,1510,1860,2210,,3400,3060,2520,,2000,3370,7480,,4620,3880,2840,,1100,810,1590,,860,1170,1340,1900,1680,2960,2950,1430,1790,2530,2980,3100,19300,26080,-622020,-13490,114280,-34420,32830,-43370,13040,8720,5640,2970,2020,2240,1440
SP1,6550,4740,5010,5030,,3400,3280,3330,,3030,2560,2560,,1740,1460,1330,,1140,1160,1200,,1360,1390,1360,,1230,1220,1180,1160,1130,1120,1090,1110,1130,1140,1090,1100,1060,1040,1000,1000,970,970,980,940,950,980,980,1030,1050,1090,1080
SP2,6620,4820,5080,5090,,3470,3350,3400,,3090,2620,2640,,1780,1620,1530,,1590,1510,1580,,1650,1670,1730,,1630,1580,1540,1480,1470,1520,1530,1400,1460,1490,1440,1460,1410,1400,1350,1300,1270,1190,1280,1320,1320,1340,1330,1310,1400,1430,1490
CAR,30,40,40,30,,100,50,30,,30,40,30,,10,10,20,,120,40,40,,220,170,30,,250,160,120,20,160,20,40,110,60,70,60,40,50,110,40,40,190,50,50,50,60,30,10,20,100,10,80
QR,390,370,410,420,,490,460,180,,360,430,410,,130,240,460,,510,300,280,,600,370,560,,530,400,540,340,350,310,480,400,380,460,370,450,240,320,280,460,270,40,50,100,-290,10,-170,60,-90,-20,-110
CR,2009,2300,2280,2400,,1910,1720,1660,,1650,1610,1580,,1540,1550,1560,,1780,1560,1610,,2020,1880,2110,,2170,1860,2290,1820,2020,1850,1900,1710,1870,1870,1830,1900,1820,1950,1730,1790,1990,1700,1570,1820,1580,1650,1590,1440,1490,1500,1630
