,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent_sq,,-27.46,20.51,,,,,,60.09,150.07,-14.23,,,,,-10.24,24.40,-7.21,-15.09,-3.43,94.13,,,44.58,5.98,-39.09,,,-11.52,13.89,1.89,13.89,,,,,,,,,,,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,,,,-151.39,-167.55,-460.47,847.90,132.65,139.83,114.19,-177.76,-531.39,-515.45,1442.73,210.56,375.47,594.63,28.70,110.21,-16.23,-101.42,-52.15,-71.09,-149.68,-1498.53,-306.22,-398.31,-22.48,-40.20,27.98,33.44,210.29,202.43,211.47,209.74,-165.77,-132.74,-126.36,-112.76,82.55,84.74,27.63,-16.09,-656.14,-2092.31,-424.24
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,-34.84,-75.17,-22.33,-508.98,14.35,-32.48,304.26,-85.91,4.48,-52.79,-1219.09,21.85,-0.62,275.31,-19.80,94.71,80.68,-54.39,31.00,-22.40,-103.06,1636.76,-20.86,-233.37,1.45,-98.25,-14.48,45.24,-12.81,-1.84,-5.80,190.74,4.77,10.83,4.16,-154.38,47.86,10.76,49.56,25.65,54.39,-323.08,19.09,-384.27,-32.25,-1.17
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,-89.44,,,,,,,-93.50,,,,-22.28,-52.43,19.35,,109.03,245.92,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_sy,,,,,,,,-18.84,,,,,,,-15.19,,,,-8.56,-7.36,-25.00,,63.71,94.03,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_qq,,53.36,302.24,28.80,,,,,609.21,-4.08,110.85,,,,,24.66,-48.63,-44.65,119.26,-23.68,28.87,,,26.29,,,,,,,,,,-4.55,-9.79,-3.99,,,,,,,,,,,
CZOCurrent_sq,,-0.52,-0.31,-0.60,,,,,-2.23,41.94,-20.74,,,,,4.56,30.53,-11.24,-24.52,5.94,5.68,,,25.56,,,,,,,,,,23.48,-1.76,-12.79,,,,,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,,,,699.45,140.64,75.03,,62.06,95.05,-13.04,,-49.84,-39.96,-9.98,,-33.76,-29.51,-10.93,,34.90,42.21,38.70,,12.08,2.24,0.25,301.53,13.83,16.00,18.09,24.52,18.29,-21.45,-21.76,-27.23,-29.10,1.38,-8.55,-8.05,-9.34,-11.80,-4.38,-6.23,-3.87,-5.42,-0.52
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,276.42,74.47,-57.43,357.55,-29.18,26.90,-75.68,641.51,-14.77,-43.42,-72.03,271.93,2.03,-15.17,-68.94,146.38,8.56,7.19,-65.12,232.36,14.45,4.55,-74.85,272.51,4.40,2.52,0.72,5.60,6.39,4.36,6.20,0.32,-29.35,3.95,-1.22,-2.27,1.02,-6.24,-0.67,-3.64,-1.72,1.65,-2.60,-1.21,-3.30,6.92
