,2010/Q4,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZKO_qq,,,,-16.03,15.73,23.86,0.53,-2.61,-4.99,0.09,2.58,-7.01,11.99,0.27,2.45,-0.20,18.53,7.82,-12.36,-15.67,4.29,-7.61,-0.97,-1.27,2.25
ZKO_sq,,,,-10.45,12.18,7.38,1.51,-1.00,-0.80,-9.27,3.21,-7.00,20.58,0.41,8.08,2.77,3.27,7.63,-10.76,9.26,1.87,-4.65,-6.98,-3.00,-0.21
OSF,,,,,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,16.85,4.16,,,,7.17,26.11,8.04,-4.67,-3.81,-8.51,4.39,3.68,5.16,10.25,15.26,24.63,6.91,-7.78,-13.66,-26.05,-16.14,-1.46,-1.83
OSF_sy,,-11.35,0.30,,,,7.11,20.43,13.56,3.34,10.51,5.82,6.40,2.27,4.10,2.60,7.63,13.40,-0.91,6.90,5.16,-4.90,-6.90,-1.67,-21.89
OSF_qq,,,,-13.82,8.47,15.10,-0.40,1.41,-7.07,1.57,0.49,-3.54,6.03,0.87,1.93,1.12,10.86,9.08,-12.56,-12.78,3.80,-6.58,-0.85,2.49,3.41
OSF_sq,,,,-8.59,6.31,13.07,-2.52,2.77,0.24,2.90,4.24,-1.58,0.79,-1.09,6.11,-3.00,5.72,4.21,-7.28,4.65,4.00,-5.76,-9.23,10.53,-17.38
NetDebt,3040150000000,3975843000000,5079647000000,4914957823000,5486994238000,6280121000000,6589625000000,6495931000000,6587817000000,6359801000000,6818000000000,6913403000000,7363159000000,7452907000000,7613000000000,7985000000000,8512000000000,8467000000000,8426000000000,8437000000000,8174000000000,7618000000000,7867000000000,7742000000000,7570000000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,21.13,19.17,,,,7.53,-2.88,-5.60,-22.33,-11.85,-3.43,6.31,24.03,17.30,47.41,70.72,58.54,68.32,14.34,-28.86,-26.21,-38.24,-29.14,-18.21
NetDebtEBITDA_sy,,-4.44,13.38,,,,37.10,34.69,55.05,55.53,9.13,-9.47,20.79,0.84,-34.40,-32.38,-41.55,-31.67,135.34,144.39,82.90,41.39,-32.55,-17.53,20.21
NetDebtEBITDA_qq,,,,0.41,4.55,7.96,-5.11,-9.32,1.62,-11.17,7.69,-0.66,11.88,3.63,1.85,24.84,29.56,-3.76,8.13,-15.20,-19.38,-0.18,-9.50,-2.71,-6.94
NetDebtEBITDA_sq,,,,1.08,-16.75,31.91,23.50,-0.69,-4.16,32.31,-13.34,-17.61,27.87,10.46,-43.63,-15.07,10.52,29.13,94.17,-11.81,-17.29,-0.18,-7.36,7.83,20.56
DebtFin,-605517000000,175498000000,1605436000000,1131417780000,2068683983000,3067502000000,3163055000000,3208393000000,3471165000000,3360126000000,4047000000000,3255838000000,4379913000000,4484888000000,4394000000000,4882000000000,5088000000000,4915000000000,4829000000000,4868000000000,4892000000000,4669000000000,4425000000000,4292000000000,4477000000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,126.85,753.16,,,,63.31,108.38,31.93,-15.98,9.00,-7.92,20.02,41.26,14.06,91.39,71.55,52.94,67.13,7.90,-28.77,-22.09,-39.39,-31.92,-19.17
DebtFinEBITDA_sy,,415.73,96.87,,,,-1.24,55.01,14.09,53.58,29.31,3.48,136.46,20.04,-82.14,-70.29,-60.83,-59.00,693.19,633.63,150.15,125.28,-2.97,-44.04,16.28
DebtFinEBITDA_qq,,,,-26.87,71.23,39.87,-6.75,-6.69,8.41,-10.93,20.98,-21.18,41.31,4.84,-2.31,32.25,26.67,-6.54,6.75,-14.63,-16.38,2.23,-16.95,-4.10,-0.73
DebtFinEBITDA_sq,,,,-27.98,-12.89,64.78,-4.47,13.03,-35.88,121.81,-19.56,-9.54,46.51,12.60,-88.03,50.48,93.19,17.85,131.52,39.18,-34.13,6.13,-0.28,-19.72,36.87
SP1,,,,,,,,,,,,,,,,,,,,,,,,,
SP1_yy,,2.81,-11.00,,,,-11.42,-10.15,-6.23,2.40,1.24,0.86,-2.37,-3.21,-1.69,-3.97,-5.15,-4.61,-4.35,-2.36,3.91,3.84,4.22,4.61,6.28
SP1_sy,,-3.14,-9.99,,,,-2.48,-6.15,-6.05,3.50,-2.14,1.42,-1.60,-6.35,-9.25,-9.07,-10.69,-7.73,-0.80,-1.60,4.75,2.77,3.28,7.58,0.97
SP1_qq,,,,2.64,-6.26,-7.07,-0.92,4.11,-2.18,1.48,-2.04,3.72,-5.31,0.60,-0.50,1.31,-6.46,1.17,-0.23,3.42,-0.46,1.11,0.13,3.81,1.13
SP1_sq,,,,2.28,-2.28,-5.45,3.20,-1.57,-2.18,4.16,-2.43,2.02,-5.09,-0.87,-5.44,2.21,-6.78,2.41,1.66,1.39,-0.77,0.47,2.16,5.62,-6.86
SP2,,,,,,,,,,,,,,,,,,,,,,,,,
SP2_yy,,8.92,-0.63,,,,-1.32,-14.65,-4.46,3.86,3.48,4.81,-3.87,-4.12,-2.09,-4.30,-8.72,-9.05,-4.29,2.89,10.09,17.66,10.33,1.07,2.61
SP2_sy,,4.59,-7.67,,,,1.17,-1.43,-4.55,-1.67,4.03,5.46,3.87,1.59,-0.94,-3.34,-0.34,-1.70,-6.58,-3.75,-5.21,-4.05,-0.29,1.85,-0.75
SP2_qq,,,,17.85,-6.27,-8.22,-2.66,1.93,4.92,-0.23,-3.02,3.24,-3.77,-0.49,-0.97,0.91,-8.20,-0.85,4.21,8.48,-1.78,5.96,-2.29,-0.62,-0.29
SP2_sq,,,,2.90,0.30,0.61,-2.57,0.25,-2.86,3.64,3.08,1.63,-4.32,1.35,0.52,-0.83,-1.35,-0.03,-4.47,2.16,-2.85,1.20,-0.73,4.35,-5.32
CAR,,,,,,,,,,,,,,,,,,,,,,,,,
CAR_yy,,-0.75,8.40,,,,11.73,-46.11,-12.27,29.72,-12.52,27.74,-45.54,-52.72,-11.83,-59.56,-56.33,-75.10,-20.94,96.94,191.45,856.60,135.63,34.20,49.76
CAR_sy,,-15.74,34.22,,,,17.58,120.23,18.99,-9.54,-22.47,-22.50,-32.10,24.12,3.63,-25.67,20.97,-1.45,-9.46,22.37,2.41,7.28,39.31,-19.65,-23.40
CAR_qq,,,,107.57,-11.89,-27.51,-15.72,0.12,43.43,7.18,-43.17,46.21,-38.85,-6.95,5.97,-32.94,-33.96,-46.94,236.44,67.05,-2.27,74.15,-17.13,-4.86,9.06
CAR_sq,,,,-23.57,51.00,-6.71,9.20,43.17,-18.42,-29.08,-6.41,43.10,-28.52,29.65,-21.86,2.64,16.34,5.62,-28.21,38.73,-2.63,10.64,-6.78,-19.99,-7.18
QR,,,,,,,,,,,,,,,,,,,,,,,,,
QR_yy,,-1.20,0.25,,,,3.14,-29.19,0.12,26.16,21.12,20.44,-20.63,-26.27,-9.23,-13.95,-38.05,-36.99,-17.98,7.58,67.21,143.35,48.95,6.30,17.17
QR_sy,,-6.85,-1.18,,,,-7.82,-19.20,-24.51,-8.81,17.96,42.04,18.06,7.44,-3.83,-5.57,0.74,2.81,-6.70,-16.66,-12.56,-6.37,1.62,-8.56,-10.17
QR_qq,,,,65.04,-8.17,-19.46,-15.51,13.31,29.83,1.49,-18.88,12.68,-14.44,-5.72,-0.13,6.82,-38.41,-4.10,30.00,40.11,-4.27,39.57,-20.43,-0.01,5.52
QR_sq,,,,22.68,0.27,-9.96,-16.77,7.53,-6.32,8.76,7.67,29.48,-22.14,-1.02,-3.62,27.14,-16.94,1.02,-12.54,13.57,-12.85,8.17,-5.08,2.19,-14.39
CR,,,,,,,,,,,,,,,,,,,,,,,,,
CR_yy,,1.50,-1.30,,,,1.09,-25.63,0.50,25.35,19.40,20.70,-15.37,-19.24,-3.55,-7.25,-32.32,-30.39,-17.48,2.10,52.02,95.75,38.33,2.93,15.53
CR_sy,,13.31,-16.43,,,,3.32,-4.61,-19.55,-3.21,9.84,19.25,8.91,-13.17,-6.21,1.68,-0.48,0.46,-16.55,-21.54,-16.99,-6.96,-0.12,-2.72,-3.38
CR_qq,,,,53.61,-6.56,-17.47,-14.67,13.01,26.27,2.94,-18.72,14.25,-11.47,-1.77,-2.92,9.85,-35.40,1.04,15.08,35.92,-3.82,30.10,-18.67,1.14,7.96
CR_sq,,,,10.15,7.47,-1.96,-10.98,1.70,-9.36,17.95,1.02,10.41,-17.22,-5.97,9.13,19.70,-18.98,-5.08,-9.36,12.55,-14.28,6.39,-2.69,9.61,-14.86
PP,,,,,,,,,,,,,,,,,,,,,,,,,
PP_yy,,1.69,7.95,,,,9.92,-45.03,-11.37,28.69,22.40,26.48,-27.56,-35.59,-23.82,-45.37,-66.01,-79.15,-34.21,49.40,204.26,780.41,138.24,30.30,37.42
PP_sy,,0.91,25.92,,,,5.08,28.92,2.62,-12.79,-20.32,-22.53,-32.09,11.68,-0.31,-8.80,10.26,-3.91,6.87,-9.38,12.33,12.51,1.17,7.70,-43.46
PP_qq,,,,103.86,-11.66,-26.70,-16.73,1.95,42.43,6.43,-20.80,5.34,-18.43,-5.36,-6.32,-24.46,-49.24,-41.95,195.59,71.54,3.38,67.97,-20.01,-6.18,9.02
PP_sq,,,,15.20,2.47,-7.26,-4.01,41.33,-18.44,-21.18,-12.30,37.42,-28.50,29.61,-21.72,25.72,-13.56,12.96,-12.94,6.61,7.15,13.14,-21.72,13.49,-43.75
RCLR,,,,,,,,,,,,,,,,,,,,,,,,,
RCLR_yy,,-4.80,-5.60,,,,-4.58,6.41,20.72,21.79,14.53,11.69,-6.79,-8.08,13.47,26.62,-5.38,14.40,2.06,-14.97,11.49,0.81,-13.32,-19.38,-4.95
RCLR_sy,,-6.71,-6.36,,,,-4.60,-5.46,0.81,-5.24,-4.32,8.25,-12.81,-6.74,-2.83,-14.83,-7.42,12.53,8.31,-6.06,2.43,4.37,-9.05,-6.62,-29.36
RCLR_qq,,,,1.64,1.06,-2.32,-4.90,13.34,14.65,-1.45,-10.57,10.52,-4.31,-2.82,10.40,23.33,-28.49,17.50,-1.51,2.75,-6.25,6.25,-15.32,-4.42,10.53
RCLR_sq,,,,21.96,-8.81,-16.61,2.87,20.86,-2.77,-21.61,3.87,36.73,-21.69,-16.15,8.22,19.85,-14.87,1.93,4.15,3.95,-7.18,3.87,-9.25,6.72,-29.79
KP,,,,,,,,,,,,,,,,,,,,,,,,,
KP_yy,,1.68,-4.41,,,,-8.89,-46.60,-12.55,27.07,27.82,32.51,-17.81,-19.69,-10.25,-18.54,-52.46,-55.29,-27.72,13.99,116.46,212.33,81.26,5.30,15.07
KP_sy,,45.21,-50.21,,,,6.21,-27.34,-66.59,-22.28,39.44,108.69,167.56,4.90,-24.66,-36.11,-22.33,-18.48,-71.34,-44.63,-88.97,-58.64,-14.18,-30.75,-125.53
KP_qq,,,,93.91,-18.51,-31.51,-15.82,13.64,33.47,-0.48,-15.32,17.81,-17.22,-2.75,-5.37,6.93,-51.69,-8.54,53.00,68.63,-8.27,31.97,-11.21,-2.04,0.25
KP_sq,,,,60.62,-8.84,4.97,-30.90,9.89,-58.08,144.15,23.98,64.46,-46.25,-4.28,-10.95,39.47,-34.66,0.47,-68.69,169.40,-86.98,276.60,-35.03,117.39,-104.80
PKKO,,,,,,,,,,,,,,,,,,,,,,,,,
PKKO_yy,,1.42,-3.63,,,,5.22,-43.70,1.53,54.38,54.85,57.50,-11.97,-16.89,-11.69,-21.65,-54.04,-57.02,-26.81,25.32,147.16,258.64,110.37,14.65,28.76
PKKO_sy,,-0.05,-96.98,,,,112.70,-63.83,73.08,-35.38,208.21,93.75,-79.14,-69.71,56.66,-189.08,-183.43,-71.63,-134.62,130.64,79.43,117.72,221.88,-101.82,-475.86
PKKO_qq,,,,119.77,-20.76,-31.86,-11.32,17.59,42.89,3.61,-11.06,19.61,-20.14,-2.17,-5.49,6.11,-53.15,-8.51,60.93,81.69,-7.60,32.75,-5.60,-0.98,3.77
PKKO_sq,,,,812.70,62.78,204.06,-95.29,55.22,678.85,13.52,-77.54,-2.42,-16.13,64.79,16.16,-155.49,21.45,156.03,-241.77,149.11,-152.73,693.10,-20.64,-100.73,-16600.00
RN,,,,,,,,,,,,,,,,,,,,,,,,,
RN_yy,,8.15,6.33,,,,9.79,9.35,-0.82,-9.18,-12.01,-13.30,-10.33,-8.55,-8.09,-12.23,-14.86,-16.71,-17.84,-12.16,-6.18,1.22,7.65,11.36,11.24
RN_sy,,7.97,3.36,,,,-10.30,-0.75,-9.43,-10.27,-11.31,-14.97,-12.99,-3.83,-2.84,-1.08,7.77,4.81,12.72,2.69,1.66,-4.88,-11.42,9.97,17.29
RN_qq,,,,-0.02,4.70,4.47,0.39,-0.42,-5.04,-4.34,-2.73,-1.88,-1.79,-2.44,-2.24,-6.30,-4.74,-4.55,-3.57,0.18,1.74,2.99,2.55,3.64,1.63
RN_sq,,,,-8.02,-0.90,-0.88,-0.71,1.78,-9.57,-1.81,-1.87,-2.42,-7.46,8.53,-0.87,-0.65,0.82,5.56,6.61,-9.49,-0.19,-1.24,-0.72,12.38,6.45
CRN,59000,54000,51000,51000,49000,47000,46000,47000,49000,51000,53000,54000,55000,56000,57000,61000,64000,67000,70000,70000,68000,66000,65000,63000,62000
CRN_yy,,-8.47,-5.56,,,,-9.80,-7.84,,8.51,15.22,14.89,12.24,9.80,7.55,12.96,16.36,19.64,22.81,14.75,6.25,-1.49,-7.14,-10.00,-8.82
CRN_sy,,-6.73,-4.12,,,,12.90,1.96,,10.58,11.43,9.62,3.51,4.35,3.42,7.02,1.69,-5.00,-10.74,-3.28,-1.67,5.26,11.11,-8.47,-13.56
CRN_qq,,,,,-3.92,-4.08,-2.13,2.17,4.26,4.08,3.92,1.89,1.85,1.82,1.79,7.02,4.92,4.69,4.48,,-2.86,-2.94,-1.52,-3.08,-1.59
CRN_sq,,,,,0.98,0.97,0.96,-0.95,9.62,0.88,1.74,-2.56,3.51,1.69,0.83,0.83,-1.64,-5.00,-5.26,,,1.69,,-10.00,-5.56
CPZ,81000,78000,78000,78000,74000,71000,71000,70000,71000,71000,70000,69000,72000,75000,74000,75000,80000,81000,84000,87000,83000,80000,81000,83000,83000
CPZ_yy,,-3.70,,,,,-8.97,-10.26,-4.05,,-1.41,-1.43,1.41,5.63,5.71,8.70,11.11,8.00,13.51,16.00,3.75,-1.23,-3.57,-4.60,
CPZ_sy,,-25.42,,,,,2.12,2.53,13.20,,6.22,-13.79,-20.18,-18.60,-7.80,11.43,12.36,16.57,-4.76,-4.62,-5.00,-8.82,20.56,15.05,
CPZ_qq,,,,,-5.13,-4.05,,-1.41,1.43,,-1.41,-1.43,4.35,4.17,-1.33,1.35,6.67,1.25,3.70,3.57,-4.60,-3.61,1.25,2.47,
CPZ_sq,,,,,-0.51,-4.06,,5.18,9.85,,-4.65,-14.63,1.71,-1.69,8.00,3.17,2.56,2.00,-11.76,3.33,2.15,-2.11,16.67,-1.38,
RZ,,,,,,,,,,,,,,,,,,,,,,,,,
RZ_yy,,-14.03,13.70,,,,28.45,1.99,-3.12,-9.38,-13.79,-13.61,-25.16,-35.67,-41.22,-41.82,-34.85,-22.30,-12.20,-1.76,6.46,38.93,40.32,45.21,46.99
RZ_sy,,-41.39,-1.61,,,,-19.06,-36.07,-32.52,-16.53,13.74,33.67,49.03,55.13,95.33,66.13,6.12,54.57,2.14,-8.75,37.23,-4.23,51.79,15.67,14.03
RZ_qq,,,,16.16,3.98,1.77,4.51,-7.77,-1.23,-4.81,-0.59,-7.57,-14.45,-18.17,-9.16,-8.51,-4.20,-2.41,2.65,2.36,3.82,27.36,3.68,5.93,5.09
RZ_sq,,,,23.94,-5.70,-20.63,-12.74,-2.11,-0.47,-1.83,18.91,15.04,10.97,2.19,49.72,-2.16,-29.11,48.85,-1.06,-12.59,6.60,3.88,56.82,-33.39,5.09
CRZ,14000,16000,15000,12000,12000,12000,11000,12000,12000,13000,13000,14000,17000,20000,22000,24000,25000,26000,25000,25000,24000,19000,18000,17000,16000
CRZ_yy,,14.29,-6.25,,,,-26.67,,,8.33,18.18,16.67,41.67,53.85,69.23,71.43,47.06,30.00,13.64,4.17,-4.00,-26.92,-28.00,-32.00,-33.33
CRZ_sy,,83.33,-1.52,,,,21.54,,,26.47,-13.92,-57.83,-59.04,-39.53,-47.06,2.86,47.06,-25.00,,11.11,-24.00,-7.69,-27.78,-15.00,-15.79
CRZ_qq,,,,-20.00,,,-8.33,9.09,,8.33,,7.69,21.43,17.65,10.00,9.09,4.17,4.00,-3.85,,-4.00,-20.83,-5.26,-5.56,-5.88
CRZ_sq,,,,-20.00,,,16.18,5.06,,3.61,,-48.53,-2.86,52.94,-30.77,,38.89,-22.00,-7.69,,-5.00,-5.26,-27.78,30.77,-5.88
RMO,,,,,,,,,,,,,,,,,,,,,,,,,
RMO_yy,,1.43,1.70,,,,-14.95,17.47,15.86,2.99,0.21,-12.13,-11.43,-6.04,-0.68,4.74,7.45,14.66,14.76,6.85,-2.59,-19.85,-27.94,-25.82,-23.52
RMO_sy,,10.11,10.73,,,,-11.07,-13.93,-13.14,-13.72,-10.02,-5.71,-5.66,-2.72,2.26,-0.25,2.32,13.90,9.72,6.03,1.38,-18.46,-22.06,-5.30,-8.42
RMO_qq,,,,-20.42,1.16,6.68,-0.98,9.92,-0.22,-5.18,-3.65,-3.62,0.58,0.59,1.85,1.64,3.19,7.34,1.93,-5.36,-5.93,-11.67,-8.35,-2.57,-3.02
RMO_sq,,,,-0.01,-1.85,-3.67,-5.94,-3.22,-0.94,-4.32,-1.89,1.41,-0.89,-1.34,3.13,-1.08,1.67,9.82,-0.66,-4.41,-2.78,-11.67,-5.04,16.14,-5.99
RMT,,,,,,,,,,,,,,,,,,,,,,,,,
RMT_yy,,1.07,-2.12,,,,-6.53,-12.10,-16.52,-17.56,-15.39,-10.02,-6.50,-4.80,-3.53,-7.27,-8.56,-9.25,-9.97,-7.14,-3.36,-0.89,,-1.09,-3.89
RMT_sy,,11.71,-0.96,,,,-21.22,-20.08,-22.27,-19.12,-10.88,-7.27,-3.50,-7.56,-6.40,-2.76,0.36,7.34,6.01,-3.10,-6.53,-4.94,,-1.98,-4.90
RMT_qq,,,,0.35,-0.48,-1.96,-4.54,-5.63,-5.48,-3.18,-2.03,0.36,-1.78,-1.42,-0.72,-3.53,-3.15,-2.18,-1.51,-0.49,0.80,0.32,-0.62,-1.57,-2.05
RMT_sq,,,,-5.18,-2.21,-5.67,-9.93,-3.80,-4.89,-1.85,-0.76,0.09,-1.02,-5.97,0.49,3.98,2.15,0.56,-0.75,-4.96,-1.46,2.27,-2.99,0.25,-4.39
RM,,,,,,,,,,,,,,,,,,,,,,,,,
RM_yy,,1.15,-1.07,,,,-9.55,-4.74,-8.27,-12.03,-10.89,-10.05,-7.45,-4.85,-2.60,-4.13,-4.62,-3.86,-4.57,-3.98,-3.18,-5.87,-7.76,-8.03,-9.43
RM_sy,,9.58,3.32,,,,-16.04,-16.92,-18.69,-16.50,-13.90,-5.36,-9.59,-10.08,-4.24,-7.05,-0.59,19.35,17.46,-2.83,-3.40,-15.70,-20.54,-5.47,-5.78
RM_qq,,,,-6.52,-0.21,0.57,-3.58,-1.55,-3.91,-3.56,-2.33,-0.63,-1.13,-0.84,-0.02,-2.19,-1.63,-0.05,-0.76,-1.59,-0.81,-2.83,-2.76,-1.87,-2.32
RM_sq,,,,-3.41,-0.34,-4.88,-8.31,-4.42,-2.47,-2.31,-5.46,5.07,-6.82,-2.84,0.67,1.99,-0.35,16.65,-0.93,-15.62,-0.93,1.80,-6.62,0.38,-1.26
COP,73000,70000,66000,63000,61000,59000,57000,59000,61000,64000,66000,68000,72000,76000,79000,85000,89000,93000,95000,95000,92000,85000,83000,80000,78000
COP_yy,,-4.11,-5.71,,,,-13.64,-6.35,,8.47,15.79,15.25,18.03,18.75,19.70,25.00,23.61,22.37,20.25,11.76,3.37,-8.60,-12.63,-15.79,-15.22
COP_sy,,-4.12,0.61,,,,3.66,27.78,,26.35,3.53,-23.91,-21.11,-18.72,-10.23,8.57,18.31,-14.47,-26.58,-22.37,-28.57,-7.69,5.17,8.47,8.33
COP_qq,,,,-4.55,-3.17,-3.28,-3.39,3.51,3.39,4.92,3.12,3.03,5.88,5.56,3.95,7.59,4.71,4.49,2.15,,-3.16,-7.61,-2.35,-3.61,-2.50
COP_sq,,,,-12.20,-1.39,4.23,14.86,8.24,-2.17,3.89,-5.88,-20.45,1.43,7.04,3.95,-3.80,10.53,-22.62,-10.77,,1.69,,1.67,4.92,1.56
CSP,-8000,-8000,-12000,-15000,-13000,-12000,-14000,-11000,-10000,-7000,-4000,-1000,0,1000,5000,10000,9000,12000,11000,8000,9000,5000,2000,-3000,-5000
CSP_yy,,,-50.00,,,,-16.67,26.67,23.08,41.67,71.43,90.91,100.00,114.29,225.00,1100.00,,1100.00,120.00,-20.00,,-58.33,-81.82,-137.50,-155.56
CSP_sy,,,-140.00,,,,29.17,20.00,-83.33,-72.73,-41.18,-75.00,-172.73,-36.84,-16.67,9.52,,-84.62,-28.57,21.05,,50.00,-16.67,-66.67,-107.14
CSP_qq,,,,-25.00,13.33,7.69,-16.67,21.43,9.09,30.00,42.86,75.00,100.00,,400.00,100.00,-10.00,33.33,-8.33,-27.27,12.50,-44.44,-60.00,-250.00,-66.67
CSP_sq,,,,-25.00,80.00,-83.33,-54.55,-41.18,54.17,-72.73,-26.32,-75.00,28.57,,-7.69,-35.71,-52.63,17.24,25.00,16.67,6.67,14.29,-75.00,-19.05,-16.00
