,2008/Q4,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVPCurrent_qq,,,,,-0.58,-8.29,-4.83,-1.01,5.28,-0.65,0.13,1.54,18.22,-3.22,-0.83,-5.96,4.15,-3.20,0.37,-3.88,-1.94,-1.95,-0.20,-1.03,-1.21,3.03,7.70,-7.35,-7.18,-5.52,-9.00
EVPCurrent_sq,,,,,84.95,-30.17,-12.23,-8.10,62.68,-30.58,2.28,20.55,7.84,-0.94,10.25,3.67,3.77,-0.07,-1.46,-14.14,1.39,3.36,-7.25,-4.59,2.01,-5.16,-4.18,8.55,-5.62,-7.73,3.60
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,31.20,88.01,,-76.24,,,-35.65,3.69,23.50,33.18,21.95,7.76,15.85,27.35,51.10,39.03,22.10,7.79,-13.50,-35.53,-32.23,-32.40,-25.49,23.77,85.62,172.65,132.66,194.08,-15.12,-58.99
EVEBITCurrent_sy,,12.31,37.55,,-23.36,,,23.29,51.04,213.02,194.99,96.52,-9.78,-37.19,-40.01,-20.70,-13.68,-25.29,-18.63,-5.41,-3.17,-14.85,-19.12,-38.38,-24.37,-7.05,-2.62,36.88,-1.20,-9.87,-10.67
EVEBITCurrent_qq,,,,,-21.01,-17.14,-4.67,3.13,27.28,-1.31,2.80,-5.56,12.46,6.11,13.01,12.05,3.48,-6.81,-0.24,-10.08,-22.87,-2.05,-0.48,-0.90,28.12,46.90,46.18,-15.44,61.94,-57.60,-29.36
EVEBITCurrent_sq,,,,,38.82,-23.20,5.81,9.28,70.08,59.16,-0.29,-27.19,-21.92,10.80,-4.76,-3.75,-15.01,-4.11,3.74,11.88,-12.99,-15.67,-1.47,-14.76,6.79,3.63,3.23,19.81,-22.92,-5.46,2.31
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,25.57,41.14,,-61.02,,,-30.25,0.04,13.93,19.13,11.22,3.76,9.00,17.05,28.85,18.17,8.33,0.54,-11.45,-27.51,-24.31,-24.54,-19.76,8.24,34.92,64.69,52.36,60.38,-7.46,-37.66
EVEBITDACurrent_sy,,-12.73,41.50,,-32.99,,,-9.10,18.57,103.75,78.93,51.67,2.19,-22.63,-21.28,-10.81,10.40,1.73,14.15,-5.00,-23.55,-26.82,-39.30,-21.55,-6.21,7.96,14.86,-1.74,-16.82,-17.98,-17.29
EVEBITDACurrent_qq,,,,,-16.07,-14.48,-4.42,1.67,20.38,-2.61,-0.05,-5.08,12.30,2.30,7.33,4.49,2.99,-6.21,-0.39,-7.98,-15.68,-2.07,-0.69,-2.14,13.73,22.08,21.21,-9.47,19.72,-29.56,-18.35
EVEBITDACurrent_sq,,,,,-0.89,-21.32,11.78,4.28,29.28,35.21,-1.83,-11.61,-12.89,2.36,-0.12,0.16,7.82,-5.68,12.07,-16.64,-13.23,-9.72,-7.05,7.73,3.75,3.92,-1.10,-7.84,-12.18,2.47,-0.28
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-20.09,-70.49,,247.87,,,,11.53,-6.17,-14.10,,-27.39,-26.85,-28.33,-33.81,-25.09,-21.38,0.10,45.96,81.71,66.16,30.26,-22.84,-50.07,-60.04,-54.72,-56.46,-63.22,12.30,37.39
ROE_sy,,-17.83,-6.65,,79.79,,,,-19.85,-50.54,-59.35,,-22.02,14.66,24.68,0.88,-28.41,-11.84,13.13,19.14,27.46,6.39,1.28,1.92,11.24,23.75,13.98,6.53,0.57,3.44,2.32
ROE_qq,,,,,,14.41,-0.38,,,-3.75,-8.79,-2.28,-15.36,-3.02,-10.64,-9.75,-4.21,1.78,13.77,31.59,19.25,-6.93,-10.81,-22.05,-22.83,-25.52,1.05,-25.04,-34.80,127.40,23.63
ROE_sq,,,,,,0.36,3.05,,,-38.07,-15.31,26.48,17.55,-8.93,-7.91,2.34,-16.59,12.16,18.16,7.78,-10.77,-6.38,12.48,8.46,-2.60,4.15,3.60,1.37,-8.05,7.11,2.48
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,10.99,-65.97,,298.59,,,,28.15,-0.62,-17.03,,-34.38,-31.91,-34.47,-39.66,-33.47,-22.44,1.56,48.33,112.21,84.25,46.17,-12.86,-45.93,-59.72,-61.19,-63.90,-69.91,0.80,50.15
ROA_sy,,-33.71,26.88,,106.75,,,,-19.06,-49.46,-60.55,,-36.45,4.30,7.12,10.26,-21.57,-19.17,6.49,-2.49,36.25,34.98,43.40,13.17,9.50,-11.01,0.30,11.28,-18.33,-9.88,-0.91
ROA_qq,,,,,,14.02,9.81,,,-11.58,-8.32,1.47,-20.22,-8.26,-11.76,-6.57,-12.04,6.95,15.55,36.46,25.84,-7.14,-8.33,-18.65,-21.92,-30.83,-11.67,-24.32,-34.92,131.71,31.58
