,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVCurrent_yy,,-82.56,,,,33.52,-31.57,-12.09,,63.93,116.71,111.99,,156.04,-88.94,-82.06,,7.14,470.96,272.80,,-10.07,64.40,48.50,,27.19,-28.32,52.22,3263.90,-64.95,-108.29,-119.51,-116.71,-120.25,172.00,111.62,121.48,171.56,-14.10,,,,,-32.14,-33.19,50.51
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,13.84,-82.21,100.43,-9991.15,-70.50,-55.24,100.38,-3667.30,179.01,11.36,-96.81,1899.05,-84.40,80.58,-82.24,2041.70,-16.88,17.91,-95.24,1826.10,51.95,6.50,-96.79,2349.85,-14.37,126.18,-29.10,-74.47,-120.25,-432.43,39.29,69.06,172.00,-14.10,12.27,3.06,-13.58,,-2.52,-36.39,14.00,-4.01,-4.02,43.31
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-977.59,,,,,,,,,,,,,-90.36,-66.26,239.13,570.34,627.10,485.84,89.74,71.97,196.69,177.28,64.86,108.59,48.21,352.02,49078.69,,,,,,,,,,-80.64,,,,,-9.28,-91.61,-74.01
EVPCurrent_sy,,125.88,,,,,,,,,,,,,126.74,33.58,-26.46,22.51,-8.35,69.89,75.20,-14.66,73.48,56.23,-53.91,33.05,-48.95,-28.11,78.90,,,,,,,,,,-36.71,,,,,18.93,-1.69,6.31
EVPCurrent_qq,,,,,,,,,,,,-52.26,-98.23,1160.87,-9.66,67.18,-82.19,2392.31,-2.01,34.70,-94.23,2158.78,69.07,25.88,-96.57,2757.79,20.13,283.92,273.11,,,,,,,-54.79,-33.75,-26.84,-11.64,,521.10,-64.60,40.86,-70.71,-42.58,9.70
EVPCurrent_sq,,,,,,,,,,,,-3.53,104.91,-26.00,55.02,-43.17,12.82,23.26,15.96,5.35,16.34,-39.95,135.72,-5.12,-65.68,73.33,-9.56,33.62,-14.59,,,,,,,-13.87,-15.14,-9.32,-4.50,,20.92,-14.85,-0.06,15.58,-0.05,-7.92
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
