,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVCurrent_yy,-11.53,13.96,-15.42,,,,-96.42,-184.29,-198470.00,,-1469.54,5.18,19.18,,8.61,36.49,88.46,,120.83,119.14,1044.71,,240.18,439.46,73.45,,75.03,7.01,-0.42,-46.65,-14.59,36.49,9.47,27.76,-77.04,-29.63,-10.77,-44.40,-246.76,-48.37,-1.85,135.28,466.17,189.12,33.56,-6.65,24.07,69.43,44.46
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,-10.72,-100.03,400100.00,-97.01,-2201.09,20.91,301.44,-140.91,-45.47,32.59,349.25,-137.39,-1.10,87.75,2259.83,-92.21,-7.12,504.56,128.62,-73.50,47.28,94.38,31.81,-53.62,-9.95,80.88,-29.38,-25.75,43.91,45.07,-17.58,-86.66,341.12,83.94,-48.64,-135.22,255.18,249.70,23.11,-45.19,22.53,61.54,-13.95,-27.15,67.33,37.73
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,-44.44,0.45,-58.52,,,,-95.84,-220.03,-197600.00,-7.55,-1232.76,20.50,36.12,-10.39,-2.05,28.96,85.83,17.27,119.69,115.84,746.93,-38.22,110.61,255.16,37.82,-12.07,57.19,-1.52,-14.72,-55.33,-18.31,29.49,12.49,50.33,-74.23,-23.56,-17.44,-61.52,-182.07,-69.69,-32.52,121.28,601.32,305.13,75.97,0.77,9.11,42.41,21.32
EVPCurrent_sy,4.10,-30.48,-9.28,,,,-32.43,-50.93,8.30,16.43,-18.10,44.53,31.71,-7.60,6.65,37.05,13.10,-5.24,23.43,0.53,51.24,-18.16,-11.75,-2.89,-34.14,61.69,99.81,25.71,37.75,13.81,-4.64,-16.03,12.29,-11.77,-6.14,-1.08,-29.27,-37.15,-53.23,-38.13,-36.57,26.82,65.59,66.64,68.77,0.92,-20.32,-18.27,-9.08
EVPCurrent_qq,,,,-25.48,-100.05,389500.00,-97.02,-2249.14,20.70,282.09,-136.50,-50.84,36.28,355.42,-141.57,-5.00,87.29,2213.41,-93.02,-15.53,419.28,101.81,-76.21,42.45,101.52,28.76,-57.47,-10.76,74.49,-32.55,-22.22,41.46,51.58,-9.86,-86.67,319.57,63.73,-57.99,-128.44,254.97,264.53,37.75,-35.57,25.23,58.33,-21.12,-30.24,63.44,34.89
EVPCurrent_sq,,,,-13.51,-41.17,40.08,-5.20,-37.18,29.83,50.59,-33.32,10.85,18.32,5.65,-23.03,42.45,-2.36,-11.49,0.26,16.02,46.89,-52.10,8.11,27.66,-0.38,17.60,33.60,-19.68,9.17,-2.85,11.94,-29.27,45.98,-23.67,19.08,-25.45,4.38,-32.17,-11.37,-1.39,6.99,35.63,15.71,-0.76,8.36,-18.90,-8.64,1.80,20.54
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,201.91,-12.32,-59.08,,,,-96.92,-217.54,-253839.99,46.92,-1757.85,-10.23,38.34,-37.07,12.36,32.87,78.50,111.70,136.73,124.96,733.12,-37.86,61.58,154.72,45.71,-26.40,114.20,56.76,-11.25,-7.78,-17.48,47.64,137.42,110.16,-12.56,79.83,-36.63,-82.71,-114.22,-93.75,-66.74,108.18,6257.25,17238.34,-2951.83,424.38,-298.48,-169.55,-10.74
EVEBITCurrent_sy,519.84,127.67,-49.78,,,,-46.25,23.33,22.64,-58.31,2.33,6.00,-9.30,13.24,-12.74,0.20,-1.76,37.20,22.83,32.03,51.14,7.92,46.22,21.43,-8.51,14.47,-30.11,-72.70,66.05,45.05,70.64,290.61,-13.97,7.93,-5.89,1.25,1.89,10.81,-18.98,-40.29,-49.48,-58.60,-14.90,16.87,119.15,239.27,-14.42,13.20,-58.61
EVEBITCurrent_qq,,,,-35.98,-100.04,373250.00,-97.13,-2542.80,2.85,315.90,-132.36,-62.42,45.65,320.35,-145.06,-24.41,82.59,2269.41,-92.18,-15.45,341.53,112.92,-79.67,33.30,152.57,7.55,-40.84,-2.45,42.99,11.76,-47.07,74.53,129.94,-1.07,-77.98,258.94,-18.97,-73.01,-118.12,257.79,331.06,68.94,435.83,344.33,-170.90,131.06,-302.81,-55.69,-12.90
EVEBITCurrent_sq,,,,-47.76,9.49,53.26,-38.68,19.86,8.88,-47.91,50.52,24.16,-6.84,-34.96,15.98,42.58,-8.66,-9.17,3.84,53.26,4.56,-35.14,40.69,27.28,-21.23,-18.85,-14.10,-50.29,379.21,-29.11,1.06,13.78,5.54,-11.06,-11.89,22.41,6.21,-3.27,-35.57,-9.79,-10.13,-20.74,32.43,23.89,68.53,22.70,-66.59,63.87,-38.37
