,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q4,2017/Q4
CG,,,,,,,,,,,,,,,,
CG_yy,,305.14,-70.63,-85.34,,,176.00,,122.52,,-4.72,12.76,122.28,-56.79,-70.75,-2.90
CG_sy,,58.99,-39.17,-10.86,,,19.91,,18.03,,6.36,-4.70,18.16,-20.99,-0.42,-8.29
CG_qq,,,,,,,,-14.39,4.25,,,,,,,
CG_sq,,,,,,,,8.01,6.06,,,,,,,
LDER,,,,,,,,,,,,,,,,
LDER_yy,,338.80,-78.15,-79.81,,,1642.17,,5028.57,,-4.29,5.68,72.83,-35.47,-70.80,-6.59
LDER_sy,,75.58,-26.94,-25.67,,,74.37,,20.47,,-2.50,3.49,7.05,-30.45,-4.58,-1.03
LDER_qq,,,,,,,,-12.63,-7.71,,,,,,,
LDER_sq,,,,,,,,-3.43,-8.75,,,,,,,
PZAT,,,,,,,,,,,,,,,,
PZAT_yy,,-43.45,16.64,117.57,,,-95.24,,-98.01,,7.27,1.61,-51.09,-20.05,133.48,42.15
PZAT_sy,,-17.62,10.16,-15.35,,,-18.14,,11.89,,7.31,-10.01,24.52,4.46,-10.16,17.24
PZAT_qq,,,,,,,,0.63,2.20,,,,,,,
PZAT_sq,,,,,,,,2.42,-2.20,,,,,,,
PELDR,,,,,,,,,,,,,,,,
PELDR_yy,,-39.60,182.72,55.66,,,11.93,,-37.65,,-48.28,42.63,0.35,89.34,37.41,3.77
PELDR_sy,,-15.75,18.13,3.02,,,-2.00,,1.61,,-11.62,13.60,2.09,0.28,3.73,-13.13
PELDR_qq,,,,,,,,13.65,-28.99,,,,,,,
PELDR_sq,,,,,,,,5.60,-0.93,,,,,,,
TSF,,,,,,,,,,,,,,,,
TSF_yy,,-41.33,70.79,74.38,,,7.69,,8.71,,0.40,-2.42,-15.38,23.62,2.83,-0.38
TSF_sy,,-11.33,10.75,13.72,,,-8.91,,-14.70,,-4.43,2.54,-0.05,2.92,-3.40,-0.01
TSF_qq,,,,,,,,1.34,-3.52,,,,,,,
TSF_sq,,,,,,,,-0.45,-3.70,,,,,,,
ZKO,,,,,,,,,,,,,,,,
ZKO_yy,,89.37,-55.14,-71.98,,,112.19,,129.64,,69.28,-27.86,39.62,-47.44,-64.15,-3.34
ZKO_sy,,31.90,-12.30,-18.46,,,19.15,,10.91,,11.67,-6.78,3.71,-9.29,4.69,2.91
ZKO_qq,,,,,,,,-13.25,16.56,,,,,,,
ZKO_sq,,,,,,,,-7.04,10.84,,,,,,,
OSF,,,,,,,,,,,,,,,,
OSF_yy,,-23.53,76.18,-47.52,,,79.51,,14.02,,-11.36,1.28,15.79,16.54,-36.78,1.07
OSF_sy,,-5.26,6.92,-3.26,,,3.18,,2.32,,-2.57,0.84,1.35,2.47,-3.30,-1.05
OSF_qq,,,,,,,,-0.98,-12.75,,,,,,,
OSF_sq,,,,,,,,-1.40,-0.46,,,,,,,
NetDebt,43234000000,66851000000,34521000000,8553000000,27315000000,,42450000000,42233000000,46032000000,,50379000000,57193000000,47760000000,14915000000,-1176000000,-6020000000
NetDebt_yy,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,229.45,-74.48,-85.14,,,2400.54,,1439.07,,-59.29,208.77,-72.69,-69.03,-107.17,-1112.15
NetDebtEBITDA_sy,,25.97,-36.32,-26.84,,,45.83,,59.82,,34.14,10.82,-19.42,-7.58,-4.57,15.27
NetDebtEBITDA_qq,,,,,,,,-39.85,205.90,,,,,,,
NetDebtEBITDA_sq,,,,,,,,-1.65,21.10,,,,,,,
DebtFin,36311000000,57550000000,22963000000,2738000000,16135000000,,37061000000,33168000000,27438000000,,42349000000,44870000000,27482000000,14015000000,-2260000000,-7602000000
DebtFin_yy,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,237.68,-80.28,-92.84,,,6716.90,,1452.95,,-60.81,188.17,-79.97,-49.42,-114.64,-697.29
DebtFinEBITDA_sy,,120.04,-47.58,-41.32,,,101.28,,50.00,,25.67,19.36,-19.24,-28.15,1.38,58.41
DebtFinEBITDA_qq,,,,,,,,-45.89,132.17,,,,,,,
DebtFinEBITDA_sq,,,,,,,,17.34,17.26,,,,,,,
SP1,,,,,,,,,,,,,,,,
SP1_yy,,-59.62,292.74,87.24,,,-15.38,,-50.34,,-47.64,40.41,-17.07,121.75,76.24,4.57
SP1_sy,,-23.32,23.97,18.94,,,-9.40,,-9.81,,-18.33,11.28,-2.53,10.15,-0.56,-7.91
SP1_qq,,,,,,,,14.12,-25.14,,,,,,,
SP1_sq,,,,,,,,3.12,-10.65,,,,,,,
SP2,,,,,,,,,,,,,,,,
SP2_yy,,-45.09,187.56,71.96,,,15.86,,-34.70,,-48.28,42.63,0.35,89.34,37.41,3.77
SP2_sy,,-16.62,19.05,3.40,,,-2.00,,0.90,,-8.22,4.77,4.70,-1.70,7.73,-13.13
SP2_qq,,,,,,,,10.00,-26.64,,,,,,,
SP2_sq,,,,,,,,4.80,-0.86,,,,,,,
CAR,,,,,,,,,,,,,,,,
CAR_yy,,-60.57,3922.46,26.68,,,105.72,,724.18,,-42.06,-41.47,-51.94,1093.51,198.22,9.33
CAR_sy,,-61.40,89.97,-26.57,,,-19.33,,-31.17,,19.22,27.80,4.02,55.36,8.14,17.57
CAR_qq,,,,,,,,5.53,-26.09,,,,,,,
CAR_sq,,,,,,,,3.06,14.59,,,,,,,
QR,,,,,,,,,,,,,,,,
QR_yy,,-85.04,1007.17,69.49,,,410.73,,56.06,,-71.17,187.86,-57.79,459.18,150.62,-5.60
QR_sy,,-30.11,23.57,7.37,,,-7.95,,-26.60,,-13.18,13.11,7.09,5.80,-12.90,-3.18
QR_qq,,,,,,,,6.91,-51.78,,,,,,,
QR_sq,,,,,,,,1.53,-9.70,,,,,,,
CR,,,,,,,,,,,,,,,,
CR_yy,,-46.62,115.17,270.90,,,103.07,,50.84,,-39.88,10.79,-57.11,516.48,176.49,-17.65
CR_sy,,-17.04,20.07,9.33,,,-3.24,,-9.20,,-17.17,11.60,10.20,-4.25,6.47,-13.96
CR_qq,,,,,,,,25.38,-42.80,,,,,,,
CR_sq,,,,,,,,8.77,-2.02,,,,,,,
PP,,,,,,,,,,,,,,,,
PP_yy,,-60.57,3922.46,26.68,,,105.72,,724.18,,-42.06,-41.47,-48.80,1053.58,195.44,8.62
PP_sy,,-61.61,84.10,-28.26,,,-23.67,,-44.57,,52.41,38.07,-21.41,53.27,17.41,5.17
PP_qq,,,,,,,,5.53,-26.09,,,,,,,
PP_sq,,,,,,,,116.04,-43.81,,,,,,,
RCLR,,,,,,,,,,,,,,,,
RCLR_yy,,-72.08,37.89,226.14,,,624.95,,-18.99,,-83.69,538.24,-59.05,355.01,130.71,-13.68
RCLR_sy,,-14.09,19.38,-10.86,,,10.75,,-8.35,,-11.04,7.33,7.81,4.10,-14.68,5.48
RCLR_qq,,,,,,,,24.08,-67.61,,,,,,,
RCLR_sq,,,,,,,,-0.61,-6.46,,,,,,,
KP,,,,,,,,,,,,,,,,
KP_yy,,-533.49,159.93,222.65,,,15.62,,-12.64,,-47.01,53.04,-14.91,72.93,11.71,0.38
KP_sy,,-68.93,173.91,91.08,,,-9.74,,-3.42,,-55.49,36.51,36.36,-11.48,41.92,-51.32
KP_qq,,,,,,,,6.09,-17.67,,,,,,,
KP_sq,,,,,,,,8.78,5.22,,,,,,,
PKKO,,,,,,,,,,,,,,,,
PKKO_yy,,330.97,-90.05,275.06,,,-21.27,,-1.20,,-33.52,40.44,-29.68,75.23,6.11,-9.03
PKKO_sy,,-66.43,118.02,19.59,,,-28.26,,6.81,,-22.84,-49.65,-16.02,234.33,34.72,-9.50
PKKO_qq,,,,,,,,8.17,12.09,,,,,,,
PKKO_sq,,,,,,,,80.68,-3.65,,,,,,,
RN,,,,,,,,,,,,,,,,
RN_yy,,229.09,-44.55,27.96,,,-75.45,,-40.50,6.10,44.95,-57.42,50.86,18.62,22.22,-14.79
RN_sy,,-2.89,1.98,6.97,,,-2.28,,4.16,-7.03,-0.17,1.26,2.05,-6.73,-3.29,8.22
RN_qq,,,,,,-27.25,-16.26,5.33,-7.27,29.72,14.40,,,,,
RN_sq,,,,,,14.55,-3.57,1.61,-7.20,2.25,3.55,,,,,
CRN,79000,24000,43000,34000,84000,115000,137000,130000,141000,108000,95000,223000,148000,124000,102000,119000
CRN_yy,,-69.62,79.17,-20.93,,,302.94,,67.86,-6.09,-30.66,134.74,-33.63,-16.22,-17.74,16.67
CRN_sy,,2.96,-2.16,-5.88,,,1.56,,-4.17,6.35,,-0.77,-2.33,7.14,3.70,-7.86
CRN_qq,,,,,,36.90,19.13,-5.11,8.46,-23.40,-12.04,,,,,
CRN_sq,,,,,,-12.50,3.17,-1.54,7.81,-2.90,-2.99,,,,,
CPZ,213000,232000,303000,73000,70000,96000,64000,51000,53000,41000,51000,64000,103000,19000,7000,9000
CPZ_yy,,8.92,30.60,-75.91,,,-12.33,,-24.29,-57.29,-20.31,25.49,60.94,-81.55,-63.16,28.57
CPZ_sy,,7.52,-2.47,-19.83,,,14.74,,-8.93,14.58,-3.21,-0.47,1.90,-12.15,17.02,-9.55
CPZ_qq,,,,,,37.14,-33.33,-20.31,3.92,-22.64,24.39,,,,,
CPZ_sq,,,,,,-14.29,13.54,3.67,-9.73,7.84,-4.09,,,,,
RZ,,,,,,,,,,,,,,,,
