,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
EVEBITCurrent_yy,38.54,-66.30,,,,42.15,45.54,54.94,22.12,-40.17,-15.99,-29.49,-27.24,-13.42,-42.37,-39.12,-21.23,16.71,75.97,145.67,112.62,36.69,16.89,-19.82,-54.04,-38.57,-26.93,-8.48,35.41,24.96,18.31,-6.24,-8.58,-2.75,-14.33,8.37,27.08,228.73,181.50,332.63,70.25,-46.64,-37.25,-77.05,-50.13,-59.32,-67.04,-54.94,-51.99
EVEBITCurrent_sy,35.74,-59.91,,,,551.83,534.68,887.48,194.92,-53.74,26.67,57.17,38.30,14.17,-22.46,-64.76,-52.27,-48.88,-17.26,58.74,117.91,102.11,76.76,46.64,-27.69,-41.77,-19.67,-23.87,-9.72,11.59,-14.88,-29.91,-18.22,-22.26,-19.20,-24.72,-17.12,-20.73,-18.57,4.64,43.21,3.31,1.32,1.06,-37.80,-6.56,-8.83,-6.22,3.90
EVEBITCurrent_qq,,,-15.05,-0.36,21.49,38.23,-13.02,6.08,-4.25,-32.28,22.12,-10.96,-1.20,-19.41,-18.71,-5.94,27.84,19.40,22.56,31.32,10.64,-23.24,4.81,-9.92,-36.59,2.60,24.68,12.82,-6.17,-5.32,18.05,-10.59,-8.52,0.73,3.99,13.10,7.27,160.55,-10.95,73.82,-57.79,-18.34,4.73,-36.42,-8.29,-33.38,-15.16,-13.08,-2.29
EVEBITCurrent_sq,,,-61.21,-199.78,-624.07,332.60,-62.23,23.81,-12.72,13.36,3.41,53.62,-23.20,-6.42,-29.77,-30.19,4.02,0.23,13.69,33.93,42.79,-7.04,-0.57,11.11,-29.59,-25.14,37.16,5.30,-16.51,-7.46,4.62,-13.29,-2.58,-12.03,8.74,-19.21,7.25,-15.86,11.69,3.82,46.77,-39.30,9.55,3.55,-9.66,-8.82,6.89,6.51,0.10
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,1.44,-37.66,,,,11.62,15.42,18.19,15.01,-17.64,1.85,-7.69,-19.44,-13.93,-36.12,-34.14,-14.37,4.43,37.75,59.59,48.92,151.06,98.79,60.67,-13.10,-67.25,-53.88,-47.42,-20.98,134.36,115.78,85.70,81.95,-2.75,-15.27,5.71,19.44,-30.65,-8.93,-10.58,-33.39,-3.14,-27.35,-45.03,-31.39,-38.90,-43.90,-35.77,-34.84
EVEBITDACurrent_sy,55.11,-13.71,,,,27.90,-69.21,-36.55,-10.76,9.30,10.85,27.53,16.15,-6.14,-28.95,-42.06,-26.22,-23.56,9.94,51.03,79.19,56.76,64.63,13.19,-22.51,-24.22,-29.68,-10.25,-14.01,-8.95,-7.18,-28.76,-14.33,-17.05,-21.17,-14.84,-2.41,16.57,-14.59,-7.90,-6.99,-3.63,5.69,16.52,-10.53,-19.11,-2.67,0.09,19.29
EVEBITDACurrent_qq,,,-10.38,0.02,10.80,12.39,-7.33,2.43,7.81,-19.52,14.61,-7.17,-5.91,-14.01,-14.94,-4.29,22.32,4.87,12.20,10.88,14.14,76.80,-11.16,-10.38,-38.27,-33.37,25.11,2.16,-7.21,97.61,15.19,-12.08,-9.08,5.62,0.36,9.69,2.72,-38.67,31.79,7.70,-23.49,-10.82,-1.15,-18.50,-4.51,-20.57,-9.24,-6.70,-3.12
EVEBITDACurrent_sq,,,316.63,-55.65,-34.82,6.19,0.28,-8.59,-8.32,30.05,1.70,5.17,-16.50,5.10,-23.02,-14.23,6.33,8.89,10.72,17.82,26.15,-4.74,16.27,-18.99,-13.63,-6.84,7.89,3.39,-17.26,-1.36,10.00,-20.65,-0.49,-4.49,4.53,-14.28,14.03,14.08,-23.41,-7.56,15.15,18.22,-16.01,1.90,-11.57,6.87,1.07,4.79,5.39
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,-18.66,101.22,,,,-25.91,-32.15,-38.01,,27.59,-8.05,3.34,,-5.39,43.08,59.65,,-11.81,-42.28,-64.34,,-36.71,-31.57,3.66,,,126.67,103.71,,,-61.05,-43.28,-42.25,32.20,15.31,-29.66,-49.32,-113.46,-72.04,-159.13,-75.54,104.49,-166.46,236.76,452.75,29950.00,1512.38,376.61,210.74
ROE_sy,26.52,102.79,,,,-19.64,2.53,1.42,,-4.96,-106.64,-1.18,,-82.22,1053.85,12.53,,607.97,93.95,-6.39,,-54.15,-51.56,17.06,,,52.50,3.00,,,3.19,27.10,22.82,-14.56,31.27,41.43,7.55,19.33,30.47,-36.12,-54.54,-31.14,-13.27,37.34,178.62,90.51,49.08,29.31,-17.01
ROE_qq,,,19.60,-4.89,-25.12,-13.02,9.54,-13.11,,,-21.06,-2.34,,,19.37,8.97,,,-21.87,-32.68,,,-15.53,1.98,,,,-8.35,10.23,-60.66,-2.00,33.47,12.23,-9.95,-14.52,-18.58,-19.13,-123.92,277.53,-272.15,133.46,-95.60,-2725.00,454.29,35.22,138.97,23.38,19.55,-11.84
ROE_sq,,,-43.65,-20.00,144.76,-27.16,-28.11,-20.87,,,-105.03,1276.92,,,169.57,38.84,,,-26.15,-32.99,,,-21.99,61.95,,,,9.38,20.24,27.39,-38.41,34.73,16.19,-11.38,-5.37,45.15,-11.64,-1.67,3.46,-28.93,-37.12,48.93,30.30,12.55,27.57,1.83,1.97,-2.38,-18.12
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,-17.16,97.19,,,,-22.83,-36.91,-36.99,,40.00,4.81,12.75,,6.60,61.01,88.38,,-9.46,-39.98,-62.38,,-57.34,-56.49,-29.44,,,138.55,94.90,,,-65.55,-48.53,-45.21,26.56,17.26,-25.40,-48.89,-113.89,-79.25,-135.74,-84.24,102.22,-165.45,245.24,517.24,46500.00,1786.11,487.70,271.51
