,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROA_qq,,,,,-21.97,-51.25,,,-0.77,61.86,7.91,-12.20,12.16,-6.64,7.49,-21.20,4.86,-32.95,0.90,19.59,8.27,6.33,38.87,-21.52,-14.24,-16.06,-3.63,0.26,-20.22,2.14,5.86,27.40,2.48,66.14
ROA_sq,,,,,-24.40,-47.73,,,-27.11,-31.11,21.22,-78.15,-80.45,50.82,426.09,-17.36,210.75,-50.04,43.64,-44.39,-45.56,50.37,-36.95,189.06,-7.84,-39.59,54.85,-18.50,60.00,5.53,25.97,-94.94,-339.29,431.34
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,23.31,-20.76,8.53,,,,-50.04,-40.15,9.95,37.64,42.70,45.61,6.38,2.29,25.68,15.89,11.42,3.90,-19.71,-12.13,3.71,19.38,16.27,3.89,-13.31,-24.88,-16.78,-20.93,-17.27,-14.16,6.76,24.83,179.27
OPM_sy,,1.24,-77.37,379.05,,,,8.79,14.64,60.47,22.16,-31.72,-61.29,-51.85,-49.67,-26.33,93.59,33.89,22.64,-5.84,-64.38,-45.79,-48.91,-10.40,100.66,99.78,58.88,-18.13,-12.58,-57.33,-34.76,13.93,9.28,199.61
OPM_qq,,,,,-13.64,-26.60,-15.67,-6.54,3.46,34.84,5.58,-3.11,5.57,-1.49,1.51,19.05,-2.65,-5.30,-5.33,-8.01,6.54,11.77,8.97,-10.41,-4.80,-6.72,-5.58,-0.74,-9.55,-2.40,-2.04,23.46,5.75,118.35
OPM_sq,,,,,-7.52,-17.69,31.81,8.43,-2.55,15.21,0.35,-39.39,-44.75,43.30,4.88,-11.28,45.19,-0.89,-3.94,-31.88,-45.07,50.83,-9.47,19.46,23.01,50.17,-28.00,-38.44,31.34,-26.70,10.08,7.51,25.98,100.95
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,50.20,-34.52,24.80,,,,-53.30,-45.59,-6.76,11.92,28.33,38.02,5.20,0.93,40.98,23.77,8.84,9.14,-28.41,-19.09,1.79,13.76,17.73,11.80,-8.17,-23.96,-12.39,-32.36,-28.68,-21.98,-4.02,26.60,237.04
ROS_sy,,-54.48,-79.95,446.39,,,,40.01,31.94,-27.30,-33.76,-54.57,-75.42,-8.65,23.54,11.60,225.05,33.04,11.38,-22.55,-61.13,-27.27,-58.13,150.63,211.03,-78.26,-93.90,-64.34,-66.74,454.17,3216.67,-89.24,-129.00,-59.25
ROS_qq,,,,,-13.14,-21.75,-14.62,-19.52,1.19,34.09,2.49,-7.72,8.83,2.21,-1.67,28.90,-4.45,-10.12,-1.41,-15.44,7.98,13.08,10.18,-12.49,2.54,-7.12,-8.76,0.83,-20.83,-2.07,-0.19,24.04,4.42,160.73
ROS_sq,,,,,-1.53,21.41,-10.01,30.14,-7.21,-33.10,-18.01,-10.74,-49.78,148.58,10.87,-19.37,46.27,1.74,-7.18,-43.93,-26.58,90.34,-46.56,235.59,-8.89,-86.70,-85.00,1861.11,-15.01,121.67,-10.23,-93.63,-328.95,411.49
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,23.97,-17.63,1.94,,,,-48.41,-38.60,11.65,40.55,52.70,55.62,11.04,4.41,9.22,6.96,6.04,12.83,11.53,15.16,28.08,24.25,5.86,-10.08,-20.51,-34.26,-23.37,-20.24,-17.10,0.59,1.76,12.66,13.32
RS_sy,,-21.02,-39.14,113.94,,,,15.70,-4.15,-11.98,-30.97,-22.78,-24.57,-2.48,-10.66,-44.31,-16.22,-15.07,-5.93,15.67,-6.25,-63.29,-39.98,-11.84,-2.73,264.02,66.22,-4.86,8.10,-58.51,-38.08,-23.93,-44.65,78.25
RS_qq,,,,,-13.37,-24.95,-15.33,-6.28,3.09,36.47,6.59,1.83,5.06,-2.62,0.22,6.52,2.88,-3.45,6.63,5.30,6.23,7.38,3.44,-10.29,-9.76,-5.07,-14.45,4.58,-6.09,-1.33,3.81,5.80,3.97,-0.75
RS_sq,,,,,8.14,-18.48,20.94,8.52,-10.41,-25.14,-5.15,21.40,-12.49,-3.22,-13.11,-24.32,31.65,-1.88,-3.76,-6.94,6.69,-61.58,57.32,36.70,17.70,43.80,-28.16,-21.76,33.74,-44.80,7.20,-3.88,-2.69,77.76
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,30.89,-20.33,24.26,,,,-52.95,-44.01,0.97,20.16,34.64,42.32,2.70,1.12,28.33,14.35,7.72,4.07,-21.16,-12.05,8.20,21.59,19.85,6.34,-12.85,-25.67,-19.43,-24.96,-22.52,-18.56,3.17,23.32,186.17
GPM_sy,,-48.98,-54.67,176.20,,,,15.97,3.53,-3.02,-24.80,-52.59,-76.39,-53.48,-37.77,-15.49,178.98,93.08,72.36,-10.00,-44.17,-28.67,-64.52,-4.63,24.88,29.17,97.52,-9.95,-28.95,-47.93,-38.05,-82.21,-122.22,-41.08
GPM_qq,,,,,-14.14,-24.61,-14.20,-15.28,2.17,35.95,2.10,-5.06,8.00,-1.89,0.53,20.49,-3.77,-7.58,-2.88,-8.72,7.35,13.70,9.14,-10.03,-4.75,-6.82,-6.91,-2.48,-11.29,-3.79,-2.16,23.56,6.03,123.26
