,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RN_sq,,,,,-18.02,-18.81,128.54,18.25,-28.35,11.78,9.15,-13.52,-36.96,-41.19,101.54,-26.34,23.38,31.33
CRN,41000,13000,277000,506000,463000,426000,741000,18375000,15155000,11950000,3535000,1593000,1158000,693000,292000,201000,108000,87000
CRN_yy,,-68.29,2030.77,82.67,,,,3531.42,3173.22,2705.16,377.06,-91.33,-92.36,-94.20,-91.74,-87.38,-90.67,-87.45
CRN_sy,,94.78,-35.89,39.44,,,,-45.71,-48.89,-57.95,-9.14,24.74,45.79,68.90,85.06,8.86,11.11,3.61
CRN_qq,,,,,-8.50,-7.99,73.94,2379.76,-17.52,-21.15,-70.42,-54.94,-27.31,-40.16,-57.86,-31.16,-46.27,-19.44
CRN_sq,,,,,-10.29,24.20,-56.54,12.09,-15.53,2.18,-6.10,53.90,-1.27,18.38,2.89,-9.47,0.78,10.38
CPZ,971000,255000,689000,497000,358000,216000,12000,3877000,2721000,2330000,835000,433000,382000,505000,467000,569000,490000,427000
CPZ_yy,,-73.74,170.20,-27.87,,,,680.08,660.06,978.70,6858.33,-88.83,-85.96,-78.33,-44.07,31.41,28.27,-15.45
CPZ_sy,,40.49,19.02,-19.13,,,,19.61,10.26,4.29,14.26,-20.65,-9.30,11.92,35.82,5.52,1.00,-17.14
CPZ_qq,,,,,-27.97,-39.66,-94.44,32208.33,-29.82,-14.37,-64.16,-48.14,-11.78,32.20,-7.52,21.84,-13.88,-12.86
CPZ_sq,,,,,5.09,-0.28,-22.86,47.96,-3.13,-5.68,-15.48,2.76,10.73,16.38,2.57,-20.17,5.98,-4.51
RZ,,,,,,,,,,,,,,,,,,
RZ_yy,,,,,,,,,,,,,,,,,,
RZ_sy,,,,,,,,,,,,,,,,,,
RZ_qq,,,,,,,,,,,,,,,,,,
RZ_sq,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,
CRZ_yy,,,,,,,,,,,,,,,,,,
CRZ_sy,,,,,,,,,,,,,,,,,,
CRZ_qq,,,,,,,,,,,,,,,,,,
CRZ_sq,,,,,,,,,,,,,,,,,,
RMO,,,,,,,,,,,,,,,,,,
RMO_yy,,62.90,-74.26,40.00,,,,-94.78,-94.77,-95.88,-93.28,1321.05,1181.82,1126.67,432.41,194.07,249.93,263.37
RMO_sy,,-39.11,-13.74,12.08,,,,-1.47,7.29,4.59,-8.38,1.83,8.49,-19.66,-21.50,-25.09,-10.33,8.17
RMO_qq,,,,,44.51,73.19,106.70,-98.99,44.74,36.36,237.33,113.44,30.56,30.50,46.41,17.89,55.35,35.51
RMO_sq,,,,,-21.32,19.55,15.31,-9.16,-14.32,16.54,1.01,0.97,-8.72,-13.70,-1.30,-3.65,9.27,4.11
RMT,,,,,,,,,,,,,,,,,,
RMT_yy,,120.90,97.13,172.31,,,,-100.00,-99.92,-99.66,-94.62,5733.33,29380.00,18021.05,3968.00,1211.43,144.27,178.74
RMT_sy,,-23.69,-15.95,9.98,,,,-20.26,-40.86,-38.04,-37.26,-46.00,10.37,19.05,15.72,26.77,21.67,-20.14
RMT_qq,,,,,-95.42,-51.87,-67.21,-99.68,66.67,90.00,426.32,250.00,742.29,16.79,18.15,12.83,56.88,33.27
RMT_sq,,,,,-18.25,6.64,-7.16,-1.47,-39.37,11.72,-5.99,-15.20,23.93,20.50,-8.62,-7.11,18.95,-20.90
RM,,,,,,,,,,,,,,,,,,
RM_yy,,65.22,-73.32,40.43,,,,-99.31,-99.17,-98.91,-94.21,4140.00,7012.50,4740.00,1305.56,456.60,222.85,241.46
RM_sy,,-25.00,-9.08,11.69,,,,-0.99,-0.84,7.36,49.16,-31.95,-21.06,-21.92,-26.17,-4.83,2.20,14.06
RM_qq,,,,,32.92,42.90,-9.79,-99.60,60.00,87.50,380.00,194.44,168.40,27.59,39.39,16.60,55.68,34.95
RM_sq,,,,,-8.74,-1.22,-29.88,56.63,-8.60,6.93,-2.57,-28.54,6.03,5.76,-7.87,-7.88,13.87,18.02
COP,,,,,,,,,,,,,,,,,,
COP_yy,,,,,,,,,,,,,,,,,,
COP_sy,,,,,,,,,,,,,,,,,,
COP_qq,,,,,,,,,,,,,,,,,,
COP_sq,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,
CSP_yy,,,,,,,,,,,,,,,,,,
CSP_sy,,,,,,,,,,,,,,,,,,
CSP_qq,,,,,,,,,,,,,,,,,,
CSP_sq,,,,,,,,,,,,,,,,,,
