,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVPCurrent_sq,,,-61.31,189.44,-9.56,13.58,-62.99,166.87,-18.66,23.23,-70.04,162.04,-30.02,11.45,-26.21,89.36,-24.54,33.90,0.89,-7.14,-4.48,-5.95,8.56,0.43,0.76,-25.89,28.99,-0.87,2.43,-13.94,4.10,-6.91,-23.08,16.21,1.72,-14.53,32.65,3.91
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,,,242.85,,242.82,238.49,,,,,,,,,,,,1100.65,236.97,576.31,-467.74,-97.80,-96.74,-98.39,103.88,4.31,43.90,65.64,123.46,-6.39,41.71,-21.71,-41.04,-31.85,-42.34,22.37,26.36
EVEBITCurrent_sy,,,,-89.77,,4.33,-8.52,,,,,,,,,,,,18.44,9.85,204.12,-103.93,29.03,-7.58,40.76,4008.11,11.19,-21.51,-43.59,-20.86,4.43,45.80,52.02,11.71,-11.32,-23.39,-31.66,-17.79
EVEBITCurrent_qq,,,-3.12,238.46,0.02,,,,,,,,,,,42.27,-7.49,-29.01,1185.06,-60.07,85.67,-138.60,107.68,-40.82,-8.42,-6.69,106.26,-18.35,5.41,25.88,-13.59,23.60,-41.76,-5.21,-0.11,4.56,23.60,-2.12
EVEBITCurrent_sq,,,-70.13,-78.28,-1059.21,,,,,,,,,,,64.70,-67.01,124.26,-2.79,52.75,-8.68,-102.90,3288.75,9.42,39.09,-19.47,-9.28,-22.76,-0.05,12.98,19.71,7.84,4.22,-16.97,-4.97,-6.83,-7.03,-0.12
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,,,181.81,,181.79,179.31,,,,,,,,,,,,852.71,225.43,520.19,-571.46,-97.15,-96.35,-98.11,103.23,6.12,42.29,64.05,118.99,-7.78,41.00,-21.10,-39.91,-30.83,-41.49,22.56,26.11
EVEBITDACurrent_sy,,,,-87.62,,-4.01,-19.98,,,,,,,,,,,,-5.84,7.29,25.00,-104.00,47.29,-24.44,51.12,2868.39,-14.90,-2.71,-42.73,7.35,19.51,41.67,33.92,11.14,-10.85,-20.42,-22.68,-17.36
EVEBITDACurrent_qq,,,-3.12,179.30,0.02,,,,,,,,,,,37.58,-7.69,-27.71,937.66,-53.00,75.93,-154.95,106.27,-39.77,-8.66,-6.38,106.06,-19.24,5.30,24.97,-13.22,23.47,-41.08,-4.82,-0.11,4.43,23.43,-2.06
EVEBITDACurrent_sq,,,-69.63,-75.95,-898.12,,,,,,,,,,,31.38,-26.28,2.95,-5.55,49.68,-14.11,-103.29,3582.12,-23.22,71.80,-39.73,7.04,-12.23,1.12,12.98,19.17,4.05,-4.41,-6.24,-4.41,-7.12,-7.12,0.21
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,,,101.91,,186.35,65.26,-8800.00,-1055.00,-264.43,3110.81,698.16,533.16,833.65,-50.22,-80.28,-100.00,-101.57,-101.53,-84.21,,-295.83,12835.29,3693.83,19694.12,2189.47,-8.64,-35.60,-42.50,-52.67,1.26,-22.99,17.83,28.63,21.27,31.43,-32.11,-21.35
ROE_sy,,,,-211.33,,221.15,230.35,230.27,689.66,24.75,86.45,10.67,-35.37,-54.40,-79.64,-30.81,-61.37,-82.98,-44.64,-17.41,,-123.71,-66.31,-22.44,-9.86,2756.52,590.43,170.10,190.13,191.33,89.83,-24.37,16.08,-34.21,34.01,5.32,16.71,57.56
ROE_qq,,,27.30,102.35,1100.00,321.67,-129.25,-487.84,-31.72,27.40,635.58,16.79,-4.61,22.97,-63.66,-53.74,-100.00,,64.58,576.47,-79.01,-1217.65,1239.47,41.94,9.50,17.98,-50.18,0.05,-2.22,-2.89,6.60,-23.91,49.61,6.01,0.50,-17.54,-22.72,22.80
ROE_sq,,,28.85,-300.50,121.59,475.86,32.53,-20.93,30.86,-9.02,98.08,-53.07,-23.58,-35.81,-11.58,59.52,-57.34,,187.63,137.99,-37.35,-105.53,508.70,447.87,-27.18,62.93,6.22,114.33,-21.78,63.60,-30.79,-14.61,20.06,-7.28,40.99,-32.89,33.03,25.17
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,,,102.02,,188.41,77.06,-4200.00,-495.92,-266.99,3338.46,1414.63,1207.22,881.69,-34.05,-84.00,-100.00,-101.19,-101.44,-86.67,,-93.75,10800.00,4839.13,27062.50,3488.71,-27.41,-54.40,-53.52,-65.59,-15.24,-45.27,1.68,37.62,36.20,69.14,-26.87,-20.80
ROA_sy,,,,-181.56,,139.53,235.45,302.74,639.58,66.50,64.77,-34.80,-70.99,-69.39,-76.81,-40.93,-30.58,-90.95,-41.49,11.40,,-231.58,-68.48,13.39,15.03,1528.00,415.38,83.33,133.78,128.01,132.84,-15.34,16.76,-27.64,39.58,11.41,32.67,34.13
ROA_qq,,,27.04,102.35,1125.00,320.41,-118.93,-320.51,-18.29,-77.32,467.15,70.70,-0.37,25.19,-69.02,-58.58,-100.00,,62.50,483.33,-82.61,-875.00,2170.97,76.95,-4.36,-3.31,-55.64,11.16,-2.51,-28.42,9.27,-28.23,81.13,-3.12,8.14,-10.87,-21.69,4.93
ROA_sq,,,27.91,-232.73,132.88,329.17,79.13,-19.78,19.93,-3.38,77.26,-68.26,-46.63,1.94,34.29,-19.15,-37.28,,768.42,53.94,-24.02,-112.95,308.00,453.85,-22.92,60.81,-24.93,97.01,-1.70,56.84,-23.34,-28.37,35.57,-2.81,47.88,-42.82,61.45,-1.74
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,,,121.80,,126.75,154.08,,,,,,,,,,,,-57.85,-45.18,-77.64,-163.99,802.34,275.68,547.71,270.56,-18.67,-6.36,-9.75,-4.10,22.78,-24.63,-7.12,-5.54,-17.89,46.36,16.90,19.19
OPM_sy,,,,-59.96,,-37.17,-8.03,,,,,,,,,,,,11.57,-18.00,-40.06,-68.90,7.85,45.02,53.44,388.15,9.20,-13.23,-2.98,-23.02,24.58,79.03,48.59,3.56,62.87,-31.84,23.21,18.28
OPM_qq,,,41.53,159.91,-15.31,-9.83,18.20,,,,,,,,,84.41,45.06,27.41,-87.63,139.84,-40.83,-464.59,274.38,-0.14,2.02,-3.99,-16.85,14.98,-1.67,2.01,6.46,-29.42,21.17,3.75,-7.46,25.80,-3.22,5.78
OPM_sq,,,10.51,-63.65,-69.67,415.74,61.76,,,,,,,,,48.54,17.25,-17.74,-22.12,9.16,-14.30,-57.32,170.11,46.78,-9.32,35.78,-39.58,16.63,1.39,7.74,-2.21,67.60,-15.85,-24.91,53.79,-29.86,52.12,-27.92
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,,,100.64,,132.73,74.36,-6884.93,-938.92,-289.69,346.48,139.09,135.15,141.19,-36.55,-25.26,-99.91,-107.72,-106.41,-73.19,4350.00,-710.91,3231.87,619.85,3117.98,301.49,-22.25,-6.30,-8.14,4.38,23.33,-24.57,-11.33,-18.41,-18.44,29.84,5.57,27.96
