,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent_qq,,,,,38.87,2.99,-1.39,14.31,-17.55,-7.38,1.30,10.67,-22.01,18.05,20.89,-11.79,74.70,24.12,-4.11,10.47,5.27,9.46,0.75,15.86,10.13,-19.16,6.25,-9.61,-2.27,11.68,-7.30,-12.27,-32.58,-10.98,54.19,-8.02,29.56,-17.21,-30.49,-17.62,-276.76,1.72,-27.90,-5.64,26.21,-26.92,-13.04
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,201.68,-56.30,,42.80,,,-37.97,4.47,16.17,13.08,16.81,23.49,-3.12,-18.81,1.86,-54.53,-56.76,-45.48,-56.47,-27.75,-18.07,-22.03,-25.67,-28.94,-3.79,-8.76,16.96,31.80,-4.59,9.34,12.65,63.28,104.87,23.16,17.48,-38.86,-34.27,45.81,62.80,,,,,,,
CZOCurrent_sy,,33.14,-16.55,,-9.91,,,-2.71,34.97,78.79,184.24,473.05,17.48,-18.51,-45.90,-71.46,-30.67,-36.58,-21.18,-5.08,-17.66,35.25,0.37,-17.78,66.03,28.76,46.69,35.58,-14.06,-31.98,-25.25,-21.50,-9.11,1.95,4.53,-3.35,12.49,-0.80,-24.53,-19.83,,,,,,,
CZOCurrent_qq,,,,,-27.99,-2.90,1.41,-12.52,21.29,7.97,-1.29,-9.64,28.22,-15.29,-17.28,13.37,-42.76,-19.44,4.29,-9.48,-5.01,-8.64,-0.75,-13.69,-9.20,23.70,-5.88,10.63,2.32,-10.46,7.87,13.98,48.32,12.35,-35.15,8.71,-22.81,20.78,43.86,21.38,,,,,,,
CZOCurrent_sq,,,,,25.02,-0.84,-12.31,-10.51,73.44,31.36,39.41,80.42,-64.44,-8.88,-7.45,-4.81,-13.63,-16.66,15.02,14.64,-25.08,36.90,-14.64,-6.09,51.29,6.18,-2.75,-13.21,-4.11,-15.96,6.87,-8.85,11.02,-5.74,9.58,-15.72,29.23,-16.88,-16.63,-10.48,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,23.41,68.41,,-32.77,,,168.35,15.29,-3.75,2.10,1.74,-21.36,-12.54,-2.55,-6.24,46.89,53.71,3.32,-3.52,-8.83,-9.63,-3.49,42.33,37.14,21.55,56.76,16.28,11.43,11.92,9.55,-0.52,17.34,5.71,-31.65,-18.09,-9.49,-3.14,62.83,20.76,-27.35,-35.34,-41.35,-24.12,-13.07,19.68,16.53
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,140.35,15.78,-2.00,-1.59,3.26,-3.34,3.95,-1.95,-20.18,7.49,15.83,-5.66,25.05,12.48,-22.14,-11.90,18.17,11.49,-16.85,29.93,13.86,-1.18,7.23,-3.62,9.10,-0.75,4.97,-12.48,28.69,-10.59,-32.13,4.89,42.21,-4.32,14.08,-22.21,-14.45,-14.83,3.48,0.65,-1.99,17.25,0.76
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,16.97,40.31,,2.68,,,123.25,2.71,-1.95,15.68,22.99,-2.45,-7.42,-11.34,-27.88,-4.93,-1.96,-31.70,-32.45,-28.76,-24.33,-16.69,29.84,27.96,18.05,51.63,9.85,-7.92,-13.17,-12.46,-16.78,15.50,14.78,-24.42,-8.15,0.21,5.49,79.06,36.09,-13.08,-18.37,-16.95,14.70,39.83,98.31,77.40
EVPCurrent_sy,,17.66,42.95,,-16.78,,,-19.36,4.57,30.30,36.98,26.12,24.79,18.50,-14.95,-7.97,-5.29,-26.38,15.37,-19.15,-10.88,-32.10,-35.19,86.17,-15.24,21.78,37.72,7.71,10.22,6.15,-8.25,11.96,-10.08,-9.54,3.86,-0.98,-8.07,-7.02,-20.83,-11.55,-4.50,-3.00,2.01,-2.73,-10.38,-6.18,-14.84
EVPCurrent_qq,,,,,126.54,9.10,-6.65,-3.23,4.22,4.15,10.14,2.88,-17.33,-1.16,5.47,-16.31,8.97,1.93,-26.52,-17.23,14.92,8.27,-19.10,28.99,13.26,-0.11,3.91,-6.55,-5.06,-5.81,4.76,-11.17,31.77,-6.39,-31.02,7.95,43.76,-1.46,17.09,-17.95,-8.18,-7.46,19.12,13.32,11.95,31.24,6.56
EVPCurrent_sq,,,,,85.32,-1.76,-9.02,-51.31,140.31,22.41,-4.36,-55.17,137.78,16.24,-31.35,-51.50,144.72,-9.65,7.59,-66.01,169.75,-31.16,2.68,-2.36,22.82,-1.10,16.11,-23.63,25.69,-4.75,0.36,-6.82,0.94,-4.18,15.22,-11.16,-6.28,-3.09,-1.88,-0.74,1.19,-1.56,3.18,-5.35,-6.78,3.05,-6.35
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,272.29,-26.39,,-4.00,,,66.44,20.45,11.81,15.46,18.84,-2.88,-15.27,-20.88,-4.49,-33.21,-33.53,-43.67,-58.00,-34.13,-25.97,-24.75,5.81,-2.55,16.95,43.03,36.00,46.86,6.77,19.78,12.06,91.60,116.57,-15.82,-3.78,-44.66,-36.33,137.43,96.60,-186.69,-165.01,-132.05,-132.33,11.28,5.42,-4.21
EVEBITCurrent_sy,,78.87,-0.51,,-13.06,,,115.79,25.50,52.09,129.03,76.55,3.26,-15.44,-39.48,-19.55,-2.80,-22.58,-8.43,-18.92,-19.16,-5.76,3.72,22.69,110.14,7.81,19.02,43.14,-33.94,22.13,-4.86,-8.41,-11.34,-13.69,-17.69,-11.46,11.70,30.26,9.76,-7.97,-25.88,-34.29,-14.39,5.94,-3.47,16.27,0.64
EVEBITCurrent_qq,,,,,73.08,12.42,-0.63,-13.91,25.25,4.36,2.62,-11.40,2.35,-8.95,-4.18,6.95,-28.42,-9.38,-18.81,-20.25,12.25,1.85,-17.47,12.14,3.38,22.23,0.93,6.63,11.64,-11.13,13.23,-0.24,90.87,0.45,-55.99,14.04,9.77,15.57,64.12,-5.57,-148.40,13.34,19.10,4.73,-32.83,7.62,10.86
EVEBITCurrent_sq,,,,,215.31,12.35,-14.82,-28.49,83.37,36.16,28.27,-44.88,7.25,11.50,-8.19,-26.73,29.59,-11.19,8.59,-35.12,29.21,3.53,19.52,-23.26,121.30,-46.89,31.94,-7.70,2.13,-1.81,2.78,-11.14,-1.14,-4.41,-1.98,-4.41,24.71,11.47,-17.40,-19.85,0.44,-1.17,7.60,-0.81,-8.48,19.04,-6.87
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,272.29,-26.39,,-4.00,,,66.44,20.45,11.81,15.46,18.84,-2.88,-15.27,-20.88,-4.49,-33.21,-33.53,-43.67,-58.00,-34.13,-25.97,-24.75,5.81,-2.55,16.95,43.03,36.00,46.86,6.77,19.78,12.06,91.60,116.57,-15.82,-3.78,-44.66,-36.33,137.43,96.60,-186.69,-165.01,-132.05,-132.33,11.28,5.42,-4.21
EVEBITDACurrent_sy,,84.00,2.13,,-20.13,,,1.61,56.02,40.72,57.46,64.22,-13.18,-12.36,-18.20,-17.69,0.56,-19.82,-4.66,-31.07,-21.72,-17.01,-33.11,40.63,75.58,87.31,81.94,40.76,-18.23,-26.71,-10.41,-10.86,-17.87,-11.65,-7.15,-4.99,8.82,22.27,3.30,4.74,-14.55,-23.79,-15.62,-5.59,-8.49,2.01,-9.37
EVEBITDACurrent_qq,,,,,73.08,12.42,-0.63,-13.91,25.25,4.36,2.62,-11.40,2.35,-8.95,-4.18,6.95,-28.42,-9.38,-18.81,-20.25,12.25,1.85,-17.47,12.14,3.38,22.23,0.93,6.63,11.64,-11.13,13.23,-0.24,90.87,0.45,-55.99,14.04,9.77,15.57,64.12,-5.57,-148.40,13.34,19.10,4.73,-32.83,7.62,10.86
EVEBITDACurrent_sq,,,,,34.72,24.23,-13.32,-29.96,106.86,12.05,-3.01,-26.95,9.36,13.11,-9.47,-26.50,33.62,-9.81,7.64,-46.86,51.73,-4.38,-13.25,11.74,89.44,2.01,-15.74,-13.55,10.06,-8.58,3.01,-14.00,1.41,-1.67,8.26,-11.99,16.16,10.48,-8.53,-10.77,-5.24,-1.46,1.28,-0.17,-8.14,9.85,-10.03
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-82.26,157.96,,-69.41,,,,-15.74,-23.66,-22.17,-19.21,-17.12,9.98,29.54,-8.83,114.79,111.78,66.94,118.97,21.64,6.93,20.00,25.54,31.00,-5.20,12.93,9.42,-9.67,26.89,-6.41,-45.47,-62.49,-69.10,-41.85,-18.92,79.76,64.45,-38.36,-48.89,-246.17,-280.20,-434.33,-571.80,8.32,-12.77,-7.70
ROE_sy,,-12.32,21.15,,-9.18,,,,-54.68,-49.17,-89.18,-334.91,-8.07,21.31,602.99,178.33,39.88,138.51,42.80,52.67,18.40,-4.05,-20.82,11.46,-40.39,-62.04,-10.97,33.10,68.50,156.56,48.67,0.52,-10.11,-11.65,-26.28,-24.87,-15.32,-29.71,19.45,7.97,20.09,62.90,-4.06,13.54,20.16,1.88,-5.00
ROE_qq,,,,,,1.15,-1.30,12.81,-25.18,-8.37,0.64,17.09,-23.24,21.60,18.53,-17.59,80.83,19.89,-6.56,8.10,0.45,5.39,4.86,13.09,4.82,-23.73,24.91,9.58,-13.47,7.14,-7.87,-36.15,-40.48,-11.74,73.39,-10.98,31.95,-19.26,-35.01,-26.18,-477.33,0.46,-20.59,-4.17,26.68,-22.44,-15.17
ROE_sq,,,,,,-47.92,28.69,-74.56,165.82,-41.59,-72.60,-652.14,204.02,-22.92,58.78,-38.48,85.77,31.44,-4.94,-34.23,44.08,6.51,-21.55,-7.42,-22.94,-32.18,84.00,38.41,-2.44,3.26,6.63,-6.42,-12.76,1.49,-11.03,-4.63,-1.68,-15.75,51.19,-13.79,9.36,14.29,-10.96,2.02,15.74,-3.09,-16.97
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-86.18,140.48,,-11.88,,,,-10.11,-11.84,-6.87,-8.28,-14.58,-2.31,7.37,-27.44,63.41,80.57,77.25,126.42,36.12,15.22,13.32,14.87,26.54,7.97,-1.71,11.35,-18.20,2.32,10.87,-42.93,-58.90,-64.54,-30.39,-4.70,111.86,82.56,-40.56,-45.07,-253.53,-298.73,-472.04,-608.38,-2.54,-25.48,-8.92
ROA_sy,,-30.52,25.33,,7.58,,,,-31.12,-81.17,-88.75,-320.55,-25.28,218.31,406.60,219.88,41.44,103.76,47.30,43.26,17.74,-14.77,-24.40,-33.82,-64.16,-72.99,-24.41,48.09,182.17,267.92,29.87,9.41,-21.90,-27.69,11.07,6.75,1.45,10.64,2.61,-4.27,3.13,25.32,7.32,7.92,-1.38,-17.65,-1.39
