,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROE_qq,,,,,,-69.45,1.27,,,3.87,36.16,,,61.68,-20.94,-36.78,51.49,-66.40,-11.70,-61.55,-541.60,-7.52,9.47,-173.41,83.38,7.10,115.97,2476.81,-17.21,-7.54,-23.07,-1.72,-7.58,29.55,11.44
ROE_sq,,,,,,-25.93,-3.81,,,-30.74,3.57,,,23.69,20.12,7.97,-8.46,-28.43,35.16,7.76,-3.57,2.59,-29.11,-4.47,27.19,-11.49,5.19,-11.48,-7.81,0.76,-19.14,37.05,9.35,-9.91,5.64
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-138.80,628.46,,142.00,,,,-74.57,-67.70,-58.29,,62.75,234.72,98.39,,29.19,-79.18,-75.61,-88.17,-144.83,-242.75,-246.06,-1623.29,47.48,53.39,107.95,165.56,405.05,392.18,1367.86,-42.66,-36.42,-9.18,23.84
ROA_sy,,-35.47,31.79,,-1.42,,,,-36.36,-40.83,-62.55,,-3.60,39.85,13.95,,40.03,-16.09,13.10,7.10,-23.05,19.18,1.65,-16.58,-20.95,-20.84,-26.04,-36.39,-14.15,19.67,2.20,54.33,8.14,-24.23,13.11
ROA_qq,,,,,,-24.03,-0.08,,,-3.50,29.02,,,98.46,-23.53,-37.55,36.30,-68.01,-10.41,-69.71,-616.44,-1.86,8.33,-215.91,82.19,9.60,115.64,2503.57,-17.15,-13.41,-21.41,1.70,-8.13,23.70,7.16
ROA_sq,,,,,,-22.18,50.44,,,-27.64,-4.80,,,4.99,-22.43,24.49,38.11,-37.09,4.56,17.89,-0.77,-2.57,-10.82,-3.25,-5.96,-2.44,-16.67,-16.80,26.92,35.98,-28.83,25.64,-11.06,-4.73,6.25
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-86.00,188.43,,124.64,,,-21.74,19.64,16.40,86.12,102.74,-37.10,-40.23,-62.72,-69.71,-36.61,-40.89,-37.24,-71.51,-99.73,-116.92,-93.41,-712.75,-31200.00,-400.00,-977.78,165.76,210.61,200.36,245.57,-45.74,-34.88,-3.20,24.35
OPM_sy,,-31.76,5.94,,-2.71,,,38.12,15.24,-17.14,-43.22,-37.87,-18.06,-12.58,12.42,37.69,-18.11,17.32,42.78,60.20,21.88,30.04,29.17,-0.52,12.23,-31.49,-35.10,-19.46,-14.41,19.25,-7.46,-5.77,-21.15,-24.66,-0.77
OPM_qq,,,,,5.23,2.68,-22.11,-7.02,60.89,-0.11,24.55,1.29,-50.08,-5.08,-22.32,-17.70,4.47,-11.50,-17.52,-62.64,-99.02,-5700.00,132.14,-3572.22,50.24,9.97,43.57,360.13,-16.30,-18.31,-18.15,-3.04,0.45,21.43,5.15
