,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROE_sq,,,,,-27.76,105.16,-77.86,200.37,-59.70,55.82,-56.31,297.33,-5.70,3.91,-21.63,-0.66,-17.45,-2.49,-81.51,229.06,-74.85,-5.95,103.80,123.29,-46.87,48.69,22.54,68.39,13.82,-80.36
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,115.79,,-109.76,,,,-3300.00,-1280.00,-8300.00,-362.90,124.26,136.71,89.02,104.91,-696.97,-396.05,-2111.11,-2925.00,-230.96,-171.11,-115.08,-67.70,111.50,113.61,90.65,102.64,82.67,54.22,425.00
ROA_sy,,170.96,,-40.95,,,,3.77,-25.62,47.68,-35.41,22.11,34.21,-2.09,202.54,-11.62,16.58,,-48.83,-48.93,-85.63,-78.61,-12.13,-51.80,55.32,206.67,20.15,49.07,101.37,-140.76
ROA_qq,,,,,-275.00,106.67,6100.00,-319.35,-52.21,60.39,-98.78,120.25,130.30,-111.84,188.89,-2562.50,-14.21,11.56,-13.57,-188.50,6.44,29.84,11.45,119.79,10.67,-148.19,125.00,1270.00,-6.57,1.56
ROA_sq,,,,,-3.77,-30.96,-21.39,98.69,-31.02,37.08,-65.62,275.63,-24.19,,6.24,9.73,,-14.22,-45.63,9.51,-71.86,27.66,123.33,-39.93,-9.32,152.05,-12.50,-25.47,22.50,-151.02
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,84.38,,-106.03,,,-59.70,734.38,218.60,464.86,-55.56,68.97,250.00,10.53,261.11,-120.99,-129.69,-125.54,-130.77,-1112.50,-645.28,-944.07,-528.75,137.92,145.82,135.06,160.24,40.18,27.35,130.56
OPM_sy,,937.69,,-105.88,,,-5.58,5571.88,203.45,15.47,-79.95,4.20,-48.82,-44.34,206.39,63.44,93.37,-39.50,-39.25,-44.18,-59.66,5.89,99.95,-47.61,-32.45,-62.06,-64.22,-13.65,-30.27,-95.86
OPM_qq,,,,-107.96,-168.75,143.02,337.84,25.31,-49.75,104.90,-65.55,376.39,4.08,-35.29,12.55,-127.69,-47.22,44.34,-35.59,-991.25,9.51,22.03,18.34,165.81,9.37,-40.33,40.28,53.14,-0.65,8.03
OPM_sq,,,,-101.11,2679.69,228.04,0.85,-35.88,43.06,24.83,-82.49,233.24,-29.73,35.76,-3.62,77.76,-16.87,-57.52,-3.23,63.35,-39.92,11.50,82.74,-57.20,-22.53,-37.38,72.34,3.29,-37.45,-96.28
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,81.82,,-110.00,,,-6.02,-3000.00,-1275.00,-10700.00,-342.31,120.97,131.27,90.57,105.29,-784.62,-420.93,-2360.00,-2710.00,-163.30,-134.06,-95.93,-54.79,111.38,113.78,91.29,102.72,82.50,57.30,459.52
