,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q4,2015/Q4,2016/Q4,2017/Q4
PP_sq,,,,,-6.93,-16.23,32.73,13.53,-18.63,-9.55,,,,
RCLR,,,,,,,,,,,,,,
RCLR_yy,,-51.50,49.39,48.82,,,,17.18,-6.81,45.03,-21.18,-4.91,-34.11,59.83
RCLR_sy,,0.21,15.28,-11.83,,,,-2.67,-2.78,-19.58,1.47,-20.00,13.48,-11.26
RCLR_qq,,,,,-12.32,15.16,61.96,-28.35,-30.27,79.21,,,,
RCLR_sq,,,,,3.50,10.50,-0.83,-14.18,3.38,-8.59,,,,
KP,,,,,,,,,,,,,,
KP_yy,,-196.96,103.45,25100.00,,,,41.74,33.20,21.19,28.51,6.83,3.80,7.98
KP_sy,,78.00,-9.12,-25.93,,,,26.68,-41.65,-18.63,19.43,-2.43,1.65,-15.30
KP_qq,,,,,9.74,28.76,8.25,-7.33,3.13,17.15,,,,
KP_sq,,,,,63.39,-13.54,4.76,-14.40,-24.73,20.55,,,,
PKKO,,,,,,,,,,,,,,
PKKO_yy,,-209.66,102.97,41317.24,,,,35.32,23.99,-34.65,-11.64,-10.98,-35.41,2.98
PKKO_sy,,-19.15,3.23,-11.53,,,,-133.25,-125.74,-38.06,131.68,-72.83,-3634.04,16.92
PKKO_qq,,,,,1.39,74.45,-15.70,-9.24,-7.09,-8.07,,,,
PKKO_sq,,,,,8.83,-12.37,-100.38,-9000.00,15.75,310.87,,,,
RN,,,,,,,,,,,,,,
RN_yy,,30.19,-4.65,-27.19,,,,-54.48,-63.61,-39.64,-26.89,58.37,25.16,2.98
RN_sy,,-4.70,-7.59,10.00,,,,-7.82,-11.73,-6.16,7.10,0.90,-12.18,-3.36
RN_qq,,,,,6.85,-37.29,-11.04,-23.64,-14.58,4.02,,,,
RN_sq,,,,,-3.68,-1.52,-0.68,-2.16,-7.76,4.69,,,,
CRN,50000,39000,41000,56000,52000,83000,93000,122000,143000,138000,167000,106000,84000,82000
CRN_yy,,-22.00,5.13,36.59,,,,117.86,175.00,66.27,36.89,-36.53,-20.75,-2.38
CRN_sy,,5.15,7.69,-9.09,,,,8.57,4.79,6.76,-6.58,-1.41,14.29,3.75
CRN_qq,,,,,-7.14,59.62,12.05,31.18,17.21,-3.50,,,,
CRN_sq,,,,,4.29,1.37,,2.70,0.66,3.27,,,,
CPZ,42000,66000,46000,30000,34000,66000,61000,78000,96000,84000,115000,92000,112000,68000
CPZ_yy,,57.14,-30.30,-34.78,,,,160.00,182.35,27.27,47.44,-20.00,21.74,-39.29
CPZ_sy,,,6.18,-1.59,,,,-0.54,-5.03,-7.07,4.32,-8.81,19.89,-1.90
CPZ_qq,,,,,13.33,94.12,-7.58,27.87,23.08,-12.50,,,,
CPZ_sq,,,,,6.99,-0.50,-5.05,-1.60,2.16,-2.65,,,,
RZ,,,,,,,,,,,,,,
RZ_yy,,-22.92,-13.67,-31.70,,,,-80.64,-64.52,-32.21,-34.72,74.39,7259.95,-56.76
RZ_sy,,-15.27,-0.59,16.32,,,,-25.02,3.23,-0.03,109.54,-38.21,-28.54,83.52
RZ_qq,,,,,-53.42,-46.68,9.75,-28.97,-14.63,1.87,,,,
RZ_sq,,,,,-18.38,17.78,-30.44,12.12,12.38,14.06,,,,
CRZ,7000,10000,11000,16000,35000,66000,60000,85000,100000,98000,130000,75000,1000,2000
CRZ_yy,,42.86,10.00,45.45,,,,431.25,185.71,48.48,52.94,-42.31,-98.67,100.00
CRZ_sy,,18.75,-5.26,-11.11,,,,37.50,-4.76,,-50.00,63.64,27.78,-47.83
CRZ_qq,,,,,118.75,88.57,-9.09,41.67,17.65,-2.00,,,,
CRZ_sq,,,,,31.25,-23.81,-25.00,83.33,-9.09,-20.00,,,,
RMO,,,,,,,,,,,,,,
RMO_yy,,27.01,-0.60,-68.03,,,,-63.17,-63.96,-29.25,-32.87,11.46,28.34,15.93
RMO_sy,,3.93,-2.87,13.21,,,,-13.16,0.56,-4.76,9.66,-2.11,-6.58,-6.82
RMO_qq,,,,,-14.28,-45.24,2.79,-23.66,-16.12,7.49,,,,
RMO_sq,,,,,-11.58,7.46,-6.98,-1.74,2.39,1.77,,,,
RMT,,,,,,,,,,,,,,
RMT_yy,,-16.61,49.24,-10.26,,,,-3.09,-15.49,7.29,-10.08,71.14,125.40,9.80
RMT_sy,,-15.25,-3.10,-5.04,,,,15.70,1.58,8.25,-2.61,0.11,-2.75,-12.41
RMT_qq,,,,,7.46,-8.85,15.80,-14.57,-6.29,15.73,,,,
RMT_sq,,,,,4.63,2.23,6.05,1.99,-8.14,8.95,,,,
RM,,,,,,,,,,,,,,
RM_yy,,-13.28,43.75,-25.17,,,,-31.79,-39.99,-12.22,-23.34,33.36,50.90,12.80
