,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROE_yy,,19.27,2.62,34.48,,,-43.63,,-34.93,,-31.98,-40.85,-37.30,,,-171.87,-296.91,,,-25.64,125.29,149.59,178.11,268.21,176.31,2.64,1.22,1.47,16.09,13.53,11.83,9.50,11.14,19.25,4.75,5.06,2.56,-4.61,3.73,-17.07,-16.14
ROE_sy,,21.15,-9.18,-54.68,,,-8.07,,602.99,,39.88,138.51,42.80,,,-4.05,-20.82,,,-62.04,-10.97,33.10,68.50,156.56,48.67,0.52,-10.11,-11.65,-26.28,-24.87,-15.32,-29.71,19.45,7.97,20.09,62.90,-4.06,13.54,20.16,1.88,-5.00
ROE_qq,,,,,,,,2.83,-5.39,,,-10.58,0.29,,,,-174.76,-39.05,33.52,50.53,155.32,172.62,4.70,6.53,-9.13,1.26,3.26,6.79,3.96,-0.97,1.71,4.57,5.52,6.26,-10.66,4.88,3.01,-1.17,-2.85,-16.15,4.16
ROE_sq,,,,,,,,-22.92,58.78,,,31.44,-4.94,,,,-21.55,-7.42,-22.94,-32.18,84.00,38.41,-2.44,3.26,6.63,-6.42,-12.76,1.49,-11.03,-4.63,-1.68,-15.75,51.19,-13.79,9.36,14.29,-10.96,2.02,15.74,-3.09,-16.97
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,20.78,-10.48,79.28,,,12.56,,10.97,,-39.43,-57.71,-48.69,,,-161.28,-250.18,,,-29.45,130.27,168.01,194.25,316.59,237.60,23.51,31.15,22.98,41.71,29.32,-13.29,-7.47,-9.53,2.54,13.41,9.81,9.61,1.65,11.82,-7.18,-6.24
ROA_sy,,25.33,7.58,-31.12,,,-25.28,,406.60,,41.44,103.76,47.30,,,-14.77,-24.40,,,-72.99,-24.41,48.09,182.17,267.92,29.87,9.41,-21.90,-27.69,11.07,6.75,1.45,10.64,2.61,-4.27,3.13,25.32,7.32,7.92,-1.38,-17.65,-1.39
ROA_qq,,,,,,,,-6.40,-14.79,,,-34.64,3.38,,,,-153.37,-31.72,10.48,56.67,159.24,196.00,24.05,-0.44,-7.66,8.29,31.73,-6.64,6.41,-1.17,-11.68,-0.38,4.04,12.01,-2.31,-3.55,3.85,3.88,7.47,-19.94,4.91
ROA_sq,,,,,,,,-14.07,18.81,,,23.79,-14.12,,,,-23.82,-38.80,-14.21,-32.48,113.21,19.91,63.47,-11.96,-24.74,1.02,16.69,-18.50,15.60,-2.91,10.90,-11.11,7.21,-9.42,19.47,8.01,-8.18,-8.91,9.17,-9.80,9.94
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,12.50,-0.58,36.47,,,5.17,,-12.03,-19.59,-27.46,-29.46,-18.40,-28.43,-61.58,-95.88,-139.88,-177.30,-194.12,-185.71,236.23,248.62,404.69,3550.00,118.09,30.86,11.28,13.53,15.61,13.68,6.91,3.83,6.75,12.03,12.93,14.75,13.44,10.00,5.34,-9.64,-9.41
OPM_sy,,82.93,11.08,-15.22,,,-28.95,,29.06,19.94,33.33,58.60,13.80,5.21,-32.52,-32.54,-19.15,-25.00,-23.73,-33.67,-20.00,3.14,12.38,34.47,18.09,11.59,-7.34,-23.38,-18.38,-22.68,-5.79,21.32,18.09,90.81,27.51,69.70,57.80,-8.52,44.16,3.04,-4.76
OPM_qq,,,,,,1.66,-0.41,-1.23,-12.03,-7.08,-10.15,-3.95,1.76,-18.50,-51.77,-89.71,-1085.71,-57.97,41.28,90.62,1666.67,72.34,20.37,6.15,-0.97,3.41,2.36,8.29,0.85,1.69,-3.73,5.17,3.69,6.72,-2.96,6.87,2.50,3.48,-7.07,-8.33,2.77
OPM_sq,,,,,,5.00,36.61,-18.95,11.02,-2.42,51.86,-3.59,-20.34,-9.79,-2.59,-3.63,-4.52,-16.32,-0.94,-16.19,15.15,7.89,7.93,0.28,1.13,1.95,-10.38,-17.07,7.72,-3.41,9.19,6.80,4.85,56.07,-27.04,42.13,-2.50,-9.52,14.98,1.58,-9.88
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,8.14,-5.38,45.45,,,10.94,,10.74,-6.02,-33.10,-43.15,-38.81,-59.20,-89.47,-157.83,-246.34,-415.69,-1260.00,-25.00,129.17,162.11,189.66,295.00,222.86,22.00,26.92,26.50,38.94,34.43,26.52,22.30,19.11,24.39,10.18,11.60,8.56,1.96,6.52,-15.84,-10.84
ROS_sy,,120.00,34.32,-67.85,,,1.58,,290.00,393.02,53.37,26.50,35.04,9.52,-15.54,-11.49,-43.67,-43.48,-50.80,-58.02,-19.10,61.54,111.38,123.64,68.06,-15.08,-22.31,-12.60,-17.36,-11.21,14.85,20.93,52.00,34.74,3.45,13.85,-12.50,-3.91,55.00,22.30,0.75
ROS_qq,,,,,,9.92,6.77,2.82,-8.22,-6.72,-24.00,-12.63,-1.20,-37.80,-80.39,-580.00,-150.00,-34.17,27.95,48.28,158.33,185.71,4.00,12.50,-3.42,7.96,8.20,12.12,6.08,4.46,1.83,8.38,3.31,9.09,-9.80,9.78,0.50,2.46,-5.77,-13.27,6.47
ROS_sq,,,,,,-243.33,324.42,21.24,,7.69,17.46,,6.76,-12.66,-9.42,4.80,-32.06,-12.36,-21.15,-10.57,30.91,75.00,3.17,-5.38,-1.63,-11.57,-5.61,6.44,-6.98,-5.00,22.11,12.07,16.92,-15.79,-6.25,23.33,-10.14,-7.52,51.22,-2.69,-25.97
