,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
DebtFinEBITDA,-1980,-2830,4590,-220,,,,,1910,1300,1850,2780,3730,,2260,2560,2950,,2020,2910,4080,3680,2690,2230,2700,2490,1550,1560,2630,2590,1830,2570,3950,3250,2780,3040,3000,2940,2900,1730,2340,3270,2610
SP1,4530,2390,2680,2640,,,,,1660,1600,1800,1860,2009,,2000,2009,2180,,2290,2370,2500,2530,2540,2700,2740,2820,2760,2490,2250,2130,1990,1990,2050,2140,2130,2210,2300,2420,2470,2490,2640,2680,2670
SP2,4850,3870,3010,3440,,,,,1780,1640,1830,1890,2050,,2040,2050,2220,,2320,2410,2530,2560,2570,2740,2780,2850,2790,3040,2850,2670,2510,2770,2820,2920,2870,2950,3030,3170,3490,3490,3660,3690,3670
CAR,80,150,80,20,,,,,80,40,40,30,30,,30,30,20,,20,30,20,20,20,30,60,30,60,90,70,50,110,70,20,60,30,40,40,50,80,140,190,80,120
QR,840,890,790,710,,,,,730,750,680,650,650,,740,720,770,,740,780,730,650,740,790,760,650,690,760,800,670,710,690,700,630,650,650,790,620,850,760,860,740,850
CR,1240,1270,1210,1300,,,,,1180,1260,1260,1230,1200,,1300,1240,1230,,1320,1310,1260,1320,1350,1390,1280,1360,1380,1490,1400,1470,1460,1530,1400,1500,1490,1470,1470,1540,1710,1580,1530,1820,1740
PP,80,150,80,20,,,,,80,40,40,30,30,,30,30,20,,20,30,20,20,20,30,60,30,60,90,70,50,110,70,20,70,30,40,40,50,80,140,190,80,120
RCLR,760,740,700,680,,,,,650,700,640,620,620,,710,690,750,,710,740,700,620,720,760,690,620,630,660,730,610,590,620,680,560,620,610,750,560,760,620,670,660,730
KP,190,200,160,210,,,,,130,160,170,150,140,,190,160,160,,200,200,180,210,220,240,200,230,240,280,250,270,260,290,250,280,280,280,280,300,360,320,310,390,370
PKKO,50,60,50,60,,,,,50,40,50,50,50,,50,50,50,,50,50,60,50,50,50,50,60,50,70,70,60,60,70,70,80,70,70,70,70,80,90,90,90,90
RN,6790,6180,9100,8870,11720,12950,11240,,5640,7080,8690,8520,7930,8410,8180,7810,7480,7750,7620,7780,8130,9080,9550,9860,9780,9680,10210,10670,11280,11890,11820,11720,11770,11470,11540,11550,11600,11730,11490,11310,11590,11620,11380
CRN,54000,59000,40000,41000,31000,28000,32000,,65000,52000,42000,43000,46000,43000,45000,47000,49000,47000,48000,47000,45000,40000,38000,37000,37000,38000,36000,34000,32000,31000,31000,31000,31000,32000,32000,32000,31000,31000,32000,32000,31000,31000,32000
CPZ,71000,80000,64000,66000,49000,41000,48000,,100000,80000,63000,66000,74000,69000,69000,70000,68000,65000,66000,64000,63000,58000,55000,53000,54000,54000,53000,52000,49000,46000,47000,48000,49000,52000,51000,51000,49000,49000,48000,48000,49000,47000,48000
RZ,12230,11460,10690,9930,13090,16990,12370,,7440,9260,10600,9620,8310,8800,8980,9130,10110,10480,10210,10600,10330,10580,10960,11050,10870,10560,10450,10160,10640,10810,10400,9750,9240,8590,8520,8520,8900,8850,9040,8930,8930,8970,8600
CRZ,30000,32000,34000,37000,28000,21000,30000,,49000,39000,34000,38000,44000,41000,41000,40000,36000,35000,36000,34000,35000,35000,33000,33000,34000,35000,35000,36000,34000,34000,35000,37000,40000,42000,43000,43000,41000,41000,40000,41000,41000,41000,42000
RMO,4130,3590,4700,4550,6070,7160,5900,,3090,3880,4670,4470,4050,4300,4280,4210,4310,4470,4370,4480,4530,4870,5090,5210,5120,5010,5100,5080,5330,5500,5330,5160,5090,4820,4880,4900,5000,5020,4990,4840,4750,4760,4590
RMT,81570,47730,50650,50110,69900,79200,62380,,15670,19660,18370,19310,20560,21800,22300,22670,23630,24500,25470,27020,28690,30980,33100,34080,34180,34240,35400,35250,34900,33410,30050,27720,27360,26580,27940,29250,29970,30590,30720,30650,31650,31420,30660
RM,3930,3340,4300,4170,5580,6570,5390,,2580,3240,3720,3630,3390,3590,3590,3550,3650,3780,3730,3840,3910,4210,4410,4520,4450,4370,4460,4440,4620,4720,4530,4350,4290,4080,4150,4190,4290,4310,4290,4180,4130,4130,3990
COP,84000,91000,74000,78000,59000,49000,62000,,114000,91000,76000,81000,90000,84000,86000,87000,85000,82000,84000,81000,80000,75000,71000,70000,71000,73000,71000,70000,66000,65000,66000,68000,71000,74000,75000,75000,72000,72000,72000,73000,72000,72000,74000
CSP,13000,11000,10000,12000,10000,8000,14000,,14000,11000,13000,15000,16000,15000,17000,17000,17000,17000,18000,17000,17000,17000,16000,17000,17000,19000,18000,18000,17000,19000,19000,20000,22000,22000,24000,24000,23000,23000,24000,25000,23000,25000,26000
