,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
CR_qq,,,0.92,0.92,-0.53,-0.28,-3.00,2.92,6.45,3.46,1.60,2.44,0.21,8.31,-0.48,0.51,3.42,0.30,-5.71
CR_sq,,,-2.26,-0.85,1.61,26.40,30.21,-38.02,40.99,85.50,-27.43,-7.49,6.33,29.69,-2.97,16.67,18.20,1.96,0.87
PP,,,,,,,,,,,,,,,,,,,
PP_yy,,9.51,,,,11.47,6.58,4.53,10.57,14.33,20.27,25.08,16.33,20.11,16.52,10.55,13.34,4.16,-1.65
PP_sy,,-27.30,,,,33.35,80.53,7.98,59.42,75.20,-3.19,55.03,10.22,-6.00,21.33,16.11,26.85,12.49,51.25
PP_qq,,,1.28,3.34,3.14,3.25,-3.16,1.36,9.10,6.77,1.87,5.40,1.47,10.24,-1.17,0.01,4.02,1.31,-6.69
PP_sq,,,-2.67,0.85,1.49,33.85,31.78,-39.68,49.84,47.10,-27.18,-3.40,6.53,25.45,-6.01,-7.56,16.37,11.25,26.37
RCLR,,,,,,,,,,,,,,,,,,,
RCLR_yy,,5.47,,,,-10.76,-14.99,-9.00,-0.24,6.89,12.79,8.77,2.49,10.44,10.82,11.27,16.01,3.67,-2.79
RCLR_sy,,-15.66,,,,19.01,67.52,-2.35,31.85,182.61,45.09,130.36,75.38,-7.56,31.54,107.30,135.94,64.01,43.72
RCLR_qq,,,-0.77,-2.29,-4.18,-3.94,-5.48,4.60,5.04,2.92,-0.26,0.88,-1.03,10.91,0.09,1.28,3.19,-0.89,-6.16
RCLR_sq,,,-3.68,-3.90,3.10,24.70,35.58,-43.98,39.20,167.29,-30.39,-11.05,5.97,40.88,-0.94,40.17,20.62,-2.07,-13.20
KP,,,,,,,,,,,,,,,,,,,
KP_yy,,1.69,,,,1.40,0.96,1.06,1.97,2.07,2.71,2.74,1.66,1.89,1.51,0.95,1.12,0.36,-0.52
KP_sy,,-0.97,,,,4.91,10.55,1.43,8.32,17.07,11.50,23.40,13.70,2.16,2.32,8.52,9.16,6.52,11.18
KP_qq,,,0.38,0.44,0.26,0.30,-0.05,0.54,1.17,0.39,0.58,0.57,0.11,0.62,0.20,0.01,0.28,-0.13,-0.67
KP_sq,,,-1.31,-1.23,1.95,5.57,4.00,-9.39,8.87,14.10,-0.95,0.29,0.32,2.52,-0.80,6.36,0.91,0.04,3.55
PKKO,,,,,,,,,,,,,,,,,,,
PKKO_yy,,-1.12,,,,8.03,9.86,1.06,-4.16,-1.17,-1.58,7.48,8.22,5.68,0.73,-4.99,-6.90,-7.53,-5.97
PKKO_sy,,4.10,,,,10.40,17.10,0.27,1.33,40.10,32.08,59.26,45.82,9.97,4.48,85.92,90.60,80.74,102.06
PKKO_qq,,,1.82,4.25,3.74,-1.90,3.55,-4.09,-1.62,1.16,3.12,4.73,-0.95,-1.21,-1.71,-1.22,-2.93,-1.88,-0.05
PKKO_sq,,,1.19,0.88,5.34,2.67,7.33,-13.63,6.45,41.97,1.19,4.14,-2.53,7.07,-3.86,85.32,-0.07,1.52,7.48
RN,,,,,,,,,,,,,,,,,,,
RN_yy,,2.84,,,,2.56,7.14,7.83,9.46,6.29,2.20,1.57,2.24,1.09,4.59,4.47,1.39,4.14,2.09
RN_sy,,-17.88,,,,-9.47,-4.80,-0.88,10.06,-12.05,-23.96,-33.27,-40.16,-27.64,-15.58,-19.18,-21.03,-21.72,-23.89
RN_qq,,,-0.20,-1.05,0.32,3.52,4.25,-0.41,1.83,0.53,0.24,-1.01,2.50,-0.60,3.71,-1.12,-0.52,2.09,1.67
RN_sq,,,-4.14,-2.30,-5.01,1.76,0.81,1.72,5.48,-18.69,-12.84,-10.73,-5.41,-1.67,1.68,-14.54,-7.58,-2.53,-1.14
CRN,741000,720000,721000,729000,727000,702000,673000,676000,664000,661000,659000,666000,649000,653000,630000,637000,641000,628000,617000
CRN_yy,,-2.83,,,,-2.50,-6.66,-7.27,-8.67,-5.84,-2.08,-1.48,-2.26,-1.21,-4.40,-4.35,-1.23,-3.83,-2.06
CRN_sy,,6.43,,,,4.06,-0.46,-2.90,-8.93,6.80,23.47,41.40,60.29,43.46,26.45,52.48,75.65,101.72,127.93
CRN_qq,,,0.14,1.11,-0.27,-3.44,-4.13,0.45,-1.78,-0.45,-0.30,1.06,-2.55,0.62,-3.52,1.11,0.63,-2.03,-1.75
CRN_sq,,,2.17,1.75,2.63,-2.48,-2.27,-0.74,-3.74,14.37,12.99,13.67,9.12,2.36,-0.41,37.08,25.70,17.55,12.53
CPZ,271000,250000,251000,256000,260000,258000,258000,265000,260000,255000,247000,244000,236000,232000,218000,215000,208000,202000,200000
CPZ_yy,,-7.75,,,,3.20,2.79,3.52,,-1.16,-4.26,-7.92,-9.23,-9.02,-11.74,-11.89,-11.86,-12.93,-8.26
CPZ_sy,,18.43,,,,6.61,-10.67,-13.90,,-23.80,-14.82,-18.16,-9.25,-4.46,-11.43,-3.29,-2.75,-0.27,10.85
CPZ_qq,,,0.40,1.99,1.56,-0.77,,2.71,-1.89,-1.92,-3.14,-1.21,-3.28,-1.69,-6.03,-1.38,-3.26,-2.88,-0.99
CPZ_sq,,,7.89,2.37,2.51,-5.84,,-1.33,-10.31,-4.75,1.05,-5.19,-0.55,0.28,-6.32,3.52,,2.83,4.13
RZ,,,,,,,,,,,,,,,,,,,
RZ_yy,,,,,,,,,,,,,,,,,,,
RZ_sy,,,,,,,,,,,,,,,,,,,
RZ_qq,,,,,,,,,,,,,,,,,,,
RZ_sq,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,
CRZ_yy,,,,,,,,,,,,,,,,,,,
CRZ_sy,,,,,,,,,,,,,,,,,,,
CRZ_qq,,,,,,,,,,,,,,,,,,,
CRZ_sq,,,,,,,,,,,,,,,,,,,
RMO,,,,,,,,,,,,,,,,,,,
RMO_yy,,2.34,,,,-4.32,-2.58,-2.64,-0.98,-1.47,-2.48,-2.38,-1.54,-2.60,1.33,3.23,2.35,5.73,3.33
RMO_sy,,-7.27,,,,-9.83,-5.67,-2.45,3.26,-10.90,-19.85,-28.62,-34.06,-25.40,-15.74,-20.86,-23.79,-26.70,-31.29
RMO_qq,,,-1.04,-2.37,-1.35,0.38,0.76,-2.43,0.33,-0.11,-0.28,-2.33,1.19,-1.18,3.74,-0.49,0.33,2.08,1.39
RMO_sq,,,-4.42,-2.50,-3.92,0.72,-0.02,0.83,1.70,-13.10,-10.06,-10.21,-6.05,-1.69,1.59,-15.66,-9.53,-5.45,-4.77
RMT,,,,,,,,,,,,,,,,,,,
RMT_yy,,10.75,,,,3.76,8.77,10.91,14.61,12.50,9.04,8.36,7.92,5.77,8.66,7.43,3.34,5.24,0.83
RMT_sy,,6.35,,,,4.11,7.31,8.20,10.02,9.44,7.63,7.84,8.16,6.68,8.72,5.08,0.10,-0.10,-1.27
RMT_qq,,,0.26,-0.89,0.46,3.94,5.11,1.06,3.82,2.02,1.88,0.43,3.39,-0.01,4.67,-0.72,-0.55,1.83,0.28
RMT_sq,,,0.44,-0.02,1.29,2.36,3.52,0.81,2.99,1.82,1.81,1.02,3.28,0.43,3.76,-2.36,-1.61,0.23,2.54
RM,,,,,,,,,,,,,,,,,,,
RM_yy,,3.14,,,,-3.68,-1.62,-1.48,0.24,-0.36,-1.59,-1.63,-0.90,-1.97,1.86,3.55,2.48,5.68,3.12
RM_sy,,-4.05,,,,-4.97,-2.62,-1.33,1.54,-6.15,-11.90,-17.94,-21.87,-16.60,-9.56,-15.20,-18.95,-21.69,-25.98
RM_qq,,,-0.98,-2.26,-1.13,0.66,1.13,-2.12,0.60,0.06,-0.12,-2.16,1.35,-1.03,3.79,-0.53,0.30,2.06,1.27
RM_sq,,,-2.33,-1.28,-1.63,0.19,0.10,0.02,1.22,-7.39,-6.04,-6.83,-3.62,-1.15,1.90,-12.64,-7.89,-4.49,-3.68
COP,,,,,,,,,,,,,,,,,,,
COP_yy,,,,,,,,,,,,,,,,,,,
COP_sy,,,,,,,,,,,,,,,,,,,
COP_qq,,,,,,,,,,,,,,,,,,,
COP_sq,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,
CSP_yy,,,,,,,,,,,,,,,,,,,
CSP_sy,,,,,,,,,,,,,,,,,,,
CSP_qq,,,,,,,,,,,,,,,,,,,
CSP_sq,,,,,,,,,,,,,,,,,,,
