,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
EVEBITCurrent_yy,,-79.48,-126.42,167.40,,,,-24.67,2408.32,3.16,194.31,2699.52,20.83,25.24,3.02,19.11,3.16,-7.32,2873.27,-11.27,6.69,0.89,18.51,13.53,-0.18,-13.87,-35.19,-53.44,-46.86,-43.38,-21.99,19.07,4.55,-36.08,11.83,25.37,40.98
EVEBITCurrent_sy,,17.37,-101.94,-1827.99,,,,202.54,134.97,120.98,270.00,-71.94,38.67,344.97,1017.31,390.52,192.87,46.49,24.65,-24.86,-41.95,-13.23,88.69,285.86,86.53,27.46,8.98,-27.68,-22.69,28.80,-65.83,-11.98,-28.14,-92.93,36.41,-39.46,40.98
EVEBITCurrent_qq,,,,,-180.74,2402.32,-104.13,198.10,2374.22,2.89,-96.22,2812.22,6.79,6.65,-96.89,3266.99,-7.50,-4.19,-0.35,0.48,11.21,-9.39,17.04,-3.74,-2.22,-21.82,-11.93,-30.84,11.59,-16.70,21.36,5.55,-2.02,-49.07,112.32,18.33,10.19
EVEBITCurrent_sq,,,,,-44.26,5.44,95.23,1676.25,-50.80,-43.29,-61.34,160.17,143.12,81.98,-2.94,14.22,45.16,-8.98,-17.41,-31.15,12.16,36.05,79.60,40.80,-45.78,-7.03,53.55,-6.56,-42.04,54.88,-59.26,140.69,-52.68,-84.75,685.52,6.82,10.19
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-79.68,-126.52,168.02,,,,-24.67,2418.16,4.53,192.00,2611.20,17.06,21.42,2.14,18.93,3.25,-7.07,2866.59,-11.80,5.41,-0.50,17.54,13.25,0.55,-13.03,-34.14,-52.49,-46.11,-42.68,-22.02,17.28,2.99,-37.25,9.81,23.29,37.71
EVEBITDACurrent_sy,,-19.19,-94.57,40.54,,,,679.79,24.23,-88.78,-3.52,7.14,489.86,616.32,63.96,8.67,32.01,-37.16,28.94,-9.78,-41.31,45.16,80.60,77.45,53.94,49.25,12.04,-8.78,3.90,11.38,-65.76,-5.33,-37.29,-93.30,121.66,-41.71,37.71
EVEBITDACurrent_qq,,,,,-180.27,2378.47,-104.20,198.10,2370.35,2.74,-96.30,2791.01,6.67,6.56,-96.89,3266.45,-7.40,-4.09,-0.78,0.09,10.67,-9.47,17.21,-3.56,-1.74,-21.70,-11.24,-30.43,11.47,-16.73,20.76,4.63,-2.11,-49.26,111.33,17.46,9.34
EVEBITDACurrent_sq,,,,,2.02,1016.32,-67.57,111.11,-83.75,0.86,178.78,134.45,-10.52,22.48,-36.19,55.39,8.69,-41.70,30.94,8.73,-29.29,44.19,62.91,6.83,-38.66,39.80,22.29,-13.02,-30.13,49.86,-62.41,140.53,-53.71,-83.99,1143.51,-36.74,9.34
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,146.66,-30.84,,,,,,5.89,9.31,,,-23.81,-24.73,,-16.05,-13.11,-6.72,,-9.60,-12.42,-16.30,-14.31,-2.63,-0.16,-0.74,-2.41,-15.73,-16.06,-16.37,-17.88,-27.40,-27.65,-25.24,-26.22,-17.49,-23.65
ROE_sy,,-57.87,-42.69,,,,,,10.92,171.43,,,-36.70,44.21,,-1.44,-45.01,-58.23,,9.02,155.07,70.10,205.11,-23.71,-33.21,-37.33,-85.21,-51.03,-85.08,-85.61,58.62,7.63,127.38,259.49,116.15,63.00,249.21
ROE_qq,,,,,,-7.97,-0.04,,,-5.00,,,-5.68,-6.14,,,-2.38,0.76,-3.65,-4.62,-5.42,-3.71,-1.36,8.38,-3.02,-4.26,-3.02,-6.41,-3.39,-4.62,-4.77,-17.26,-3.72,-1.44,-6.02,-7.48,-10.91
ROE_sq,,,,,,-63.20,-47.30,,,-9.95,,,-27.76,105.16,,,-59.70,55.82,-56.31,297.33,-5.70,3.91,-21.63,-0.66,-17.45,-2.49,-81.51,229.06,-74.85,-5.95,103.80,123.29,-46.87,48.69,22.54,68.39,13.82
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,256.44,30.28,,,,,,4.52,9.01,,,-24.05,-23.97,,-9.06,6.05,15.22,,1.72,-3.36,-10.69,-5.03,10.47,13.54,38.03,50.18,27.22,26.91,7.40,1.65,-14.66,-13.49,-3.56,-11.81,7.89,-0.84
ROA_sy,,-61.56,-59.84,,,,,,60.43,368.57,,,7.46,-40.85,,3.77,-25.62,47.68,,22.11,34.21,-2.09,202.54,-11.62,16.58,,-48.83,-48.93,-85.63,-78.61,-12.13,-51.80,55.32,206.67,20.15,49.07,101.37
ROA_qq,,,,,,-5.93,4.80,,,-1.89,,,-12.19,-1.78,,,2.41,6.71,-6.29,-0.67,-2.70,-1.39,-0.35,15.55,,19.88,8.42,-2.12,-0.24,1.45,2.61,-17.82,1.13,13.09,-6.16,0.52,-7.05
ROA_sq,,,,,,-57.06,22.14,,,25.43,,,-3.77,-30.96,,,-31.02,37.08,-65.62,275.63,-24.19,,6.24,9.73,,-14.22,-45.63,9.51,-71.86,27.66,123.33,-39.93,-9.32,152.05,-12.50,-25.47,22.50
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,128.75,50.54,3.31,,,,10.12,1.77,-7.61,-12.22,-11.14,-14.66,-10.95,-10.67,-10.09,-0.43,3.45,-0.29,4.15,-1.10,-5.89,-1.95,-4.52,-2.03,0.06,6.34,-0.88,-15.98,-14.53,-25.18,-30.91,-3.68,-23.08,-22.17,0.82,-28.76
OPM_sy,,360.33,-48.35,-104.73,,,,937.69,122.22,-272.73,14362.50,-105.88,8155.00,6704.88,-5.58,5571.88,203.45,15.47,-79.95,4.20,-48.82,-44.34,206.39,63.44,93.37,-39.50,-39.25,-44.18,-59.66,5.89,99.95,-47.61,-32.45,-62.06,-64.22,-13.65,-30.27
OPM_qq,,,,,5.41,4.54,4.55,-4.42,-2.58,-5.09,-0.67,-3.24,-6.45,-0.97,-0.35,-2.61,3.60,2.89,-3.96,1.74,-1.62,-2.09,0.06,-0.94,0.95,,6.34,-7.66,-14.43,1.73,-6.91,-14.75,19.31,-18.77,-5.81,10.44,-15.69
OPM_sq,,,,,30.77,75.56,281.82,2622.50,-98.16,-510.00,7154.88,-101.11,2679.69,228.04,0.85,-35.88,43.06,24.83,-82.49,233.24,-29.73,35.76,-3.62,77.76,-16.87,,-3.23,63.35,-39.92,11.50,82.74,-57.20,-22.53,-37.38,72.34,3.29,-37.45
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,309.49,56.56,-20.81,,,,18.33,25.66,13.70,3.85,-7.17,-9.24,-6.86,-8.42,-3.12,-0.93,4.48,5.19,7.75,7.14,1.45,8.64,23.79,23.05,26.28,8.40,-33.18,-42.69,-43.97,-36.28,-16.86,15.94,4.43,2.42,31.93,-3.00
ROS_sy,,169.62,-49.64,-80.35,,,,923.41,-2.25,18.96,26.24,4.62,-3.90,-23.84,-21.34,-22.87,-30.21,19.97,-3.91,12.40,-14.90,-55.58,-40.56,-60.90,-41.79,-44.43,-82.28,7.59,-96.48,-58.07,195.88,-19.68,1418.52,130.02,4.53,-10.26,57.20
ROS_qq,,,,,-4.44,6.48,9.37,6.33,1.48,-3.66,-0.10,-4.95,-0.78,-1.14,-1.77,0.55,1.46,4.25,-1.11,3.01,0.88,-1.28,5.90,17.38,0.27,1.31,-9.10,-27.64,-13.99,-0.95,3.37,-5.59,19.94,-10.78,1.38,21.61,-11.82
ROS_sq,,,,,1050.73,-8.99,-10.11,8.70,9.91,10.75,-4.60,-9.91,0.96,-12.23,-1.47,-11.66,-8.65,50.89,-21.08,3.34,-30.85,-21.24,5.60,-32.02,2.96,-24.80,-66.32,312.63,-96.63,794.44,137.68,12.02,-36.24,35.49,8.01,-3.83,11.70
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,127.89,46.96,-1.25,,,,6.90,1.44,-0.80,-2.32,-3.34,-8.85,-11.65,-13.06,-12.77,-4.04,1.98,-2.82,3.46,-1.82,-5.37,-1.38,-10.30,-9.09,-11.66,-6.15,3.18,-8.35,0.57,-5.48,-25.70,1.78,-19.86,-27.66,-1.30,-30.86
RS_sy,,138.96,-27.81,-44.67,,,,-2.84,-313.33,-561.36,-12.79,-173.67,-15.16,-125.95,119.59,187.73,615.55,429.13,3040.79,461.32,-57.89,-49.58,-29.28,105.43,119.10,-18.33,9.12,11.46,-71.38,101.80,102.33,-36.82,108.74,-59.40,-70.03,-15.23,-23.31
RS_qq,,,,,4.70,1.48,3.04,-2.36,-0.65,-0.77,1.47,-3.38,-6.32,-3.81,-0.15,-3.05,3.06,2.22,-4.85,3.21,-2.19,-1.48,-0.84,-6.12,-0.88,-4.26,5.35,3.20,-11.95,5.07,-0.99,-18.88,20.61,-17.27,-10.64,10.69,-15.52
