,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent_yy,,-12.30,17.65,,,-6.19,,-23.46,-17.91,-32.54,-42.44,-34.51,-45.78,-2.71,17.36,-17.91,138.27,92.89,121.78,218.19,-16.23,-28.68,-56.11,-42.86,-50.81,-43.61,-9.52,-90.79,-60.33,-86.57,-137.15,-1221.21,-741.49,-1724.24,-208.61,119.61,122.00,126.43,159.66,170.28
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,-0.92,-12.88,-5.60,-6.07,6.27,-28.41,-19.46,6.87,-12.02,28.47,-2.84,-25.24,155.36,4.00,11.71,7.25,-32.77,-11.45,-31.25,39.62,-42.13,1.52,10.31,-85.79,149.35,-65.62,-405.05,-328.81,-42.66,12.96,42.04,127.25,60.04,4.55,30.82,23.47
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,14.04,-15.01,,,6.63,,30.68,21.82,48.25,73.73,52.66,84.46,2.77,-14.79,21.87,-58.03,-48.15,-54.92,-68.58,19.40,40.18,127.80,74.98,103.29,77.37,10.50,987.07,151.94,645.80,,,,,,,,,,-63.00
CZOCurrent_sy,,12.02,-0.63,,,19.19,,49.40,24.21,5.28,-20.06,18.44,-26.57,-14.05,-35.14,-37.05,-25.72,-11.25,16.53,-3.70,5.21,27.20,-5.86,-6.12,-4.48,-20.11,-16.67,3.50,7.81,2.12,,,,,,,,,,-27.49
CZOCurrent_qq,,,,,0.93,14.81,5.93,6.46,-5.92,39.72,24.14,-6.45,13.68,-22.16,2.94,33.78,-60.85,-3.84,-10.49,-6.76,48.77,12.90,45.46,-28.38,72.84,-1.49,-9.38,604.55,-59.94,191.59,,,,,,,-37.53,-4.39,-23.56,-18.97
CZOCurrent_sq,,,,,40.99,-6.90,55.09,-26.62,17.22,-21.09,17.76,8.73,-27.33,-7.63,-11.13,5.52,-14.24,10.36,16.69,-12.80,-6.31,33.42,-13.64,-13.04,-4.67,11.60,-9.93,8.02,-0.71,5.71,,,,,,,-8.58,4.93,-25.25,1.13
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
