,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent_qq,,,,-18.98,27.07,3.22,,,,,,-21.88,7.51,45.57,-34.42,85.58,54.28,-5.76,376.92,-59.71,-47.96,-26.58,-33.48,-2.27,-21.52,-12.79,58.43,16.19,650.00,,,,,,,12.24,10.52,25.13,232.39,11.39,-27.85,-75.48,20.51,-21.84,263.22,0.77,,,
CZCurrent_sq,,,,-14.26,1.16,17.65,,,,,,10.55,43.80,-0.08,1.76,6.04,-5.62,-34.56,17.91,4.14,0.76,3.29,7.77,-13.12,48.80,-0.31,-23.43,-1.42,-27.80,,,,,,,-9.01,-13.37,-8.42,34.41,-0.83,4.89,-9.79,-15.19,-0.96,16.44,25.78,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,98.20,141.38,-44.20,,,,-160.29,-130.28,-145.49,-106.56,242.21,439.59,337.28,1295.17,57.71,-34.29,-37.90,-44.35,-129.81,-146.30,-118.81,-95.85,210.26,250.37,806.24,5968.75,76.28,38.85,-61.05,-92.40,-155.21,-126.20,-88.53,262.60,374.54,655.14,2826.74,169.66,-61.87,-58.14,-48.81,55.32,108.73,133.33,29.38,-39.40,-255.66,-237.53,-363.50
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,16.29,-23.92,2.24,-166.64,41.60,-14.30,85.25,1544.14,39.47,-20.13,-25.70,90.57,-41.89,-24.52,-33.41,-202.07,9.75,69.33,114.68,2613.75,23.08,44.05,26.14,-21.17,-3.06,-59.60,-75.38,-672.63,54.00,117.70,677.91,333.56,-6.98,-6.71,-28.33,-38.69,2.12,14.08,117.46,-17.61,14.17,-36.75,1.86,-311.63,-0.86,-21.19
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,-49.54,-58.57,79.24,,,,,,,,,,,,-36.58,52.18,61.05,79.73,,,,2297.94,,,,-98.34,-43.27,-27.98,156.83,1214.85,,,772.34,-72.40,,,-96.59,-62.92,162.31,138.83,95.32,-35.62,-52.10,-57.14,-22.70,65.01,,,
CZOCurrent_sy,73.80,-50.42,-40.26,,,,,,,,,,,,40.22,32.78,30.11,0.60,,,,30.92,,,,5.94,15.02,34.53,-38.14,-24.04,,,-8.00,-30.67,,,-13.92,2.83,-9.01,17.69,20.81,40.08,2.45,-22.75,-4.55,-5.26,,,
CZOCurrent_qq,,,,-14.02,31.44,-2.19,,,,,,-28.30,25.22,34.59,-47.52,72.07,32.52,50.19,,,,,-96.30,-18.74,-30.58,-20.71,26.84,3.15,147.56,305.94,,,,-87.16,-76.94,7.52,7.19,39.51,63.14,-2.10,-12.34,-54.01,21.38,-12.41,58.12,-1.83,,,
CZOCurrent_sq,,,,-5.19,3.97,17.01,,,,,,7.60,8.13,-7.10,29.74,1.89,5.95,-28.17,,,,,-23.02,-15.64,91.80,-14.94,-16.42,-1.33,-11.81,4.44,,,,-21.29,35.22,-14.93,-4.94,-5.97,19.66,10.03,-2.41,9.02,-12.49,-17.03,20.58,8.21,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,-2.55,-41.84,-304.22,,,,166.58,571.68,,,36.28,5.59,-6.49,,-22.60,2.87,-2.73,,0.06,-4.50,-11.52,,-33.98,12.77,14.51,,168.63,7.10,19.96,0.37,-24.99,14.40,-15.13,0.18,13.90,-4.23,-1.26,-5.35,-2.60,18.76,39.93,43.01,9.06,-1.74,-18.04,-19.45,0.54,-7.92,10.38
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,84.29,710.20,,-30.55,11.31,29.37,,-5.36,-13.76,14.57,6.94,-26.75,14.63,8.33,9.95,-26.70,9.39,0.36,24.27,-51.61,86.87,1.91,8.52,29.99,-25.50,14.14,-9.20,-2.86,13.62,-15.32,7.19,10.44,-4.47,-12.69,2.75,13.66,16.47,2.88,5.01,-13.33,4.94,-14.19,3.21,8.17,-3.89,2.87
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
