,2009/Q4,2010/Q4,2011/Q4,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
TSF_sq,,,,,-2.21,4.30,-0.44,1.39,-1.56,2.76,-1.67,1.14,1.36,-1.58,-2.85,1.83,-3.63,-0.62,5.09,-1.13,-0.57,-1.26,-2.50,3.26,-7.21,4.08,-5.36
ZKO,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,16.51,4.63,,-7.52,,,-22.07,-29.29,-32.31,2.43,14.10,-3.24,4.68,12.58,81.93,75.96,206.27,102.13,95.07,102.45,-24.42,0.46,-27.98,-14.95,9.00,-15.58
ZKO_sy,,22.41,3.22,,-2.46,,,-26.26,5.66,13.68,0.99,18.37,13.95,17.67,-7.79,-4.97,-8.24,-10.00,-19.40,-18.04,-6.43,-12.98,23.63,26.11,6.51,12.77,3.23
ZKO_qq,,,,,4.61,6.87,-5.27,-26.42,-5.07,2.30,43.35,-18.04,-19.51,10.68,54.17,32.45,-22.14,92.64,1.75,27.83,-19.20,-28.09,35.25,-8.36,-4.58,-7.83,4.75
ZKO_sq,,,,,-22.72,-9.71,32.19,-20.06,10.73,-2.85,17.43,-6.30,6.60,0.32,-7.98,-3.43,2.93,-1.61,-17.58,-1.81,17.51,-8.50,17.09,0.16,-0.74,-3.12,7.19
OSF,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,14.00,-5.10,,-5.54,,,-15.55,-22.79,-23.26,10.79,16.72,0.99,4.73,10.96,68.76,62.65,152.46,73.13,75.45,77.46,-23.80,3.62,-26.01,-11.90,11.53,-15.91
OSF_sy,,-17.92,-10.10,,13.10,,,-20.15,-0.37,12.86,10.51,12.41,30.43,30.29,6.79,21.18,-7.05,4.31,-8.96,-19.72,0.39,-20.95,3.47,-0.23,-8.78,5.95,20.89
OSF_qq,,,,,5.05,6.28,-4.52,-20.77,-3.97,5.64,37.84,-16.53,-16.91,9.56,46.03,26.95,-19.92,70.05,0.14,28.65,-19.00,-26.98,36.18,-8.14,-3.55,-7.56,2.67
OSF_sq,,,,,-16.39,-13.63,6.30,4.02,4.32,-2.15,4.08,5.81,21.04,-2.25,-14.70,20.07,-7.16,9.69,-25.55,5.88,16.10,-13.63,-2.55,2.09,6.16,0.32,11.20
NetDebt,240600000000,259000000000,268500000000,221800000000,233300000000,228500000000,213700000000,140500000000,247300000000,103600000000,206300000000,166400000000,146300000000,128600000000,226200000000,393200000000,404800000000,643600000000,663000000000,588500000000,610700000000,693800000000,563000000000,540600000000,525500000000,535300000000,590800000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,616.99,-141.12,,31.40,,,-182.01,-4773.87,-466.93,684.84,438.31,121.43,170.85,-46.34,-1.42,-456.86,-1420.52,1058.72,2172.25,135.02,129.34,127.15,-68.75,5.50,-58.79,-93.93
NetDebtEBITDA_sy,,1073.15,-3.09,,9.13,,,-38.01,-13.33,60.56,-35.57,18.99,-22.43,18.64,36.26,-21.83,-12.57,-44.54,55.66,46.95,45.88,43.55,-8.52,-1.25,-5.54,-7.91,12.90
NetDebtEBITDA_qq,,,,,-21.61,-44.06,-16.57,-38.10,-2001.64,83.24,220.25,-20.11,33.15,-44.61,-8.93,46.77,-582.04,-104.97,179.91,187.81,-92.57,71.71,518.75,-60.40,-74.92,-32.92,-8.80
NetDebtEBITDA_sq,,,,,1.17,-47.40,14.09,2.10,41.45,-2.55,-54.21,88.55,-7.80,49.05,-47.42,8.18,3.13,-5.45,47.58,2.13,2.37,-6.96,-5.95,10.24,-2.08,-9.30,15.31
DebtFin,-256700000000,-223900000000,-177800000000,-163300000000,-171900000000,-160400000000,-166500000000,-181800000000,-216300000000,-193100000000,-67600000000,-97500000000,-121100000000,-66500000000,-21500000000,200300000000,186500000000,510400000000,511700000000,457400000000,484500000000,580600000000,437500000000,425200000000,402300000000,404300000000,424700000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,-518.93,131.50,,-23.67,,,395.64,5685.74,1405.36,-345.95,-253.20,-120.29,-119.66,84.44,185.70,-98.62,-1925.16,9508.30,3366.89,160.30,130.96,128.71,-68.37,1.80,-62.80,-94.38
DebtFinEBITDA_sy,,9491.46,-17.89,,-22.06,,,-41.39,26.33,17.59,-85.93,-21.54,-55.35,-33.70,262.44,-14.93,-49.56,-43.13,106.00,81.83,320.76,282.64,2.78,44.38,-34.13,-66.12,0.31
DebtFinEBITDA_qq,,,,,21.70,37.25,29.39,129.34,1320.60,-64.29,-121.14,-42.85,-88.11,65.40,83.26,886.54,-535.97,-252.81,177.77,189.84,-92.42,81.13,474.57,-59.92,-75.59,-33.82,-13.20
DebtFinEBITDA_sq,,,,,-30.49,11.64,-25.32,1.12,49.83,3.92,-91.07,464.09,-14.74,54.33,-51.17,32.40,-49.45,74.03,76.88,16.86,16.97,58.26,-52.49,64.16,-46.63,-18.60,40.66
SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP1_yy,,-2.15,-9.30,,2.15,,,8.39,9.17,13.37,8.15,2.30,4.37,0.06,-1.43,-7.24,-7.56,-17.57,-14.35,-10.06,-12.35,0.82,3.15,2.73,3.60,2.32,-0.39
SP1_sy,,-9.69,12.61,,-12.96,,,42.22,-0.72,-5.54,3.59,-13.51,-17.36,-15.75,-4.18,2.33,31.47,24.20,14.86,18.36,8.09,1.73,-7.44,-12.33,-10.56,-9.82,-4.68
SP1_qq,,,,,0.43,-0.57,0.80,7.67,1.16,3.26,-3.84,1.85,3.21,-1.01,-5.28,-4.15,2.85,-11.72,-1.58,0.65,0.24,1.54,0.69,0.23,1.09,0.29,-1.98
SP1_sq,,,,,28.30,13.11,-11.71,11.00,-10.43,7.62,-3.17,-7.33,-14.42,9.71,10.12,-1.03,9.95,3.65,1.84,1.99,0.41,-2.45,-7.34,-3.40,2.44,-1.65,-2.05
SP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP2_yy,,-1.87,-7.82,,2.05,,,3.22,2.08,5.86,0.56,-1.79,-1.59,-4.46,-1.46,1.50,3.52,-0.65,-0.21,-3.31,-3.42,1.29,2.49,2.78,1.22,0.61,-1.17
SP2_sy,,11.24,3.07,,-18.97,,,10.98,7.76,-1.31,3.61,0.59,-5.37,-2.70,2.99,8.14,20.33,13.95,5.57,2.67,-0.01,3.48,-4.54,-5.21,-11.91,-11.90,-3.50
SP2_qq,,,,,0.73,-0.79,0.67,2.60,-0.38,2.88,-4.37,0.19,-0.17,-0.12,-1.37,3.20,1.82,-4.14,-0.93,-0.01,1.70,0.53,0.25,0.28,0.15,-0.08,-1.52
SP2_sq,,,,,3.66,11.37,-4.24,0.39,0.65,2.00,0.53,-2.54,-5.31,4.88,6.41,2.33,5.37,-0.68,-1.42,-0.47,2.62,2.78,-9.06,-1.17,-4.64,2.79,-0.39
CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR_yy,,14.82,-9.35,,26.88,,,9.17,-58.40,-1.30,-65.82,-55.51,-14.18,-60.18,2.04,-14.70,-8.54,-64.05,-53.99,-28.84,7.82,-2.24,109.44,88.26,42.77,182.76,-18.60
CAR_sy,,43.22,-6.97,,-10.82,,,-16.46,20.27,6.06,59.96,9.75,12.84,-33.83,-9.55,24.54,1.27,-0.64,3.18,8.04,39.80,108.65,29.73,1.97,-5.89,-9.36,-12.65
CAR_qq,,,,,4.26,10.93,6.11,-11.04,-60.27,163.20,-63.25,15.77,-23.36,22.11,-5.83,-3.22,-17.83,-52.01,20.54,49.69,24.51,-56.49,158.26,34.56,-5.58,-13.82,-25.65
CAR_sq,,,,,-23.33,52.58,-36.05,11.68,10.38,34.55,-3.56,-23.37,13.48,-21.09,31.82,5.51,-7.72,-22.58,36.89,10.47,19.40,15.55,-14.88,-13.16,10.20,11.29,-17.97
QR,,,,,,,,,,,,,,,,,,,,,,,,,,,
QR_yy,,8.73,-1.88,,19.26,,,10.62,-35.82,-5.73,-45.69,-40.99,-12.09,-39.01,-28.29,-24.79,-3.89,-37.37,-12.75,-24.07,-9.78,12.07,16.46,51.64,12.88,15.45,-19.36
QR_sy,,3.41,-9.89,,16.32,,,-21.72,-5.77,-3.87,-6.53,-11.17,14.79,-16.47,13.16,20.11,-2.74,-24.23,-11.91,-1.22,8.73,63.45,28.04,52.87,-3.05,-15.69,-19.07
QR_qq,,,,,-3.94,15.88,3.08,-3.59,-44.27,70.21,-40.62,4.75,-16.97,18.08,-30.17,9.85,6.10,-23.05,-2.72,-4.40,26.07,-4.41,1.08,24.48,-6.15,-2.23,-29.40
QR_sq,,,,,-12.07,43.98,-21.99,-20.74,5.85,46.89,-24.16,-24.67,36.79,6.89,2.74,-20.05,10.76,-16.72,19.44,-10.34,21.92,25.18,-6.43,7.05,-22.68,8.86,-10.19
CR,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR_yy,,6.37,3.25,,23.05,,,-0.77,-46.97,-8.11,-41.93,-40.67,-13.90,-43.86,-42.68,-16.84,5.32,-25.37,2.69,-11.64,14.31,6.45,42.23,44.80,12.63,37.37,-19.32
CR_sy,,-27.63,9.78,,-12.95,,,26.87,4.50,-9.20,-4.12,-7.00,-20.75,-31.60,-1.44,-1.36,41.37,-0.44,-3.52,4.54,-9.11,11.49,-14.00,-13.12,-11.67,-8.69,-1.38
CR_qq,,,,,-5.32,6.76,5.64,-7.07,-49.40,84.98,-33.23,-5.06,-26.57,20.61,-31.83,37.75,-7.01,-14.53,-6.20,18.52,20.31,-20.41,25.33,20.66,-6.42,-2.92,-26.40
CR_sq,,,,,6.44,60.18,-23.97,-2.14,-12.33,39.19,-19.71,-5.08,-25.29,20.14,15.69,-5.00,7.07,-15.39,12.10,2.94,-6.91,3.78,-13.52,3.99,-5.36,7.28,-6.60
PP,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_yy,,10.49,-6.30,,14.54,,,-5.26,-59.49,-3.78,-66.74,-55.51,-14.18,-60.29,2.04,-14.70,-8.54,-64.05,-53.99,-28.84,7.82,-2.24,109.44,88.26,42.77,182.76,-18.60
PP_sy,,12.82,-13.49,,0.90,,,7.75,7.23,36.13,101.23,-3.26,11.40,-37.73,-27.32,32.86,1.17,-5.55,-10.34,-1.40,25.24,77.49,9.92,4.41,-0.95,-15.82,-1.13
PP_qq,,,,,-7.08,11.08,6.06,-13.46,-60.27,163.87,-63.35,15.77,-23.36,22.11,-5.83,-3.22,-17.83,-52.01,20.54,49.69,24.51,-56.49,158.26,34.56,-5.58,-13.82,-25.65
PP_sq,,,,,-2.47,34.10,-25.33,10.32,-2.94,70.26,10.38,-46.97,11.77,-4.83,28.84,-3.06,-14.89,-11.15,22.31,6.61,8.11,25.91,-24.26,1.27,2.56,7.01,-11.04
RCLR,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCLR_yy,,-13.11,67.99,,60.80,,,141.05,112.56,-15.07,74.12,5.90,-9.61,75.91,-61.26,-38.49,1.41,-4.83,105.34,-15.10,-27.80,18.67,-43.18,-6.10,-32.78,-48.04,-21.17
RCLR_sy,,16.80,-30.68,,45.63,,,-16.85,-18.24,-16.73,-19.80,-11.07,30.63,18.32,78.13,28.75,13.95,14.98,-29.73,4.06,-18.78,-31.26,-27.09,0.73,-7.71,60.25,55.83
RCLR_qq,,,,,21.81,45.99,-11.14,52.54,7.41,-41.67,82.17,-7.22,-8.32,13.53,-59.88,47.31,51.14,6.55,-13.44,-39.09,28.53,75.13,-58.56,0.66,-7.98,35.35,-37.12
RCLR_sq,,,,,-17.72,14.79,-9.53,-2.70,-19.09,16.91,-12.86,7.89,18.85,5.89,31.19,-22.02,5.19,6.84,-19.83,15.49,-17.91,-9.57,-14.96,59.56,-24.78,57.02,-17.31
KP,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP_yy,,-15.32,-3.91,,15.01,,,3.16,-3.98,7.78,-45.97,-45.10,-45.28,-49.06,-52.80,-24.72,5.26,-48.37,-10.96,-47.65,-29.00,61.18,71.43,110.85,22.82,20.94,-8.91
KP_sy,,-41.36,-0.33,,-25.35,,,101.46,28.98,-5.27,3.31,6.60,-9.43,-49.39,-13.16,-1.39,23.67,115.95,30.15,17.66,48.85,19.49,-45.07,-40.67,-44.24,-36.68,54.38
KP_qq,,,,,-4.84,-7.52,6.94,9.62,-11.43,3.80,-46.39,11.39,-11.71,-3.37,-50.33,77.63,23.46,-52.60,-14.35,4.43,67.45,7.61,-8.90,28.45,-2.46,5.96,-31.39
KP_sq,,,,,25.91,72.12,-4.02,-3.15,-19.39,26.42,4.68,-0.06,-31.52,-29.36,79.62,13.47,-14.11,23.35,8.26,2.58,8.66,-0.98,-50.23,10.80,2.12,12.45,21.33
PKKO,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKKO_yy,,-32.75,9.57,,17.14,,,11.69,39.44,46.65,-35.34,-39.93,-54.94,-59.37,-55.78,-21.94,30.19,-31.95,4.99,-41.17,-30.06,62.45,85.61,138.10,54.16,43.91,4.52
PKKO_sy,,-34.66,49.67,,-18.06,,,254.54,-22.00,-19.95,-24.76,-30.61,-8.39,-53.27,43.50,-2.89,11.46,74.07,-49.47,-29.99,-30.48,-36.92,23.41,19.96,19.36,14.21,-11.41
PKKO_qq,,,,,-12.26,0.10,11.81,13.74,9.54,5.27,-50.70,5.65,-17.83,-5.08,-46.35,86.51,37.06,-50.39,-17.21,4.50,62.94,15.25,-5.41,34.05,5.50,7.58,-31.30
PKKO_sq,,,,,201.84,35.11,-30.27,24.67,-33.59,38.65,-34.45,14.97,-12.33,-29.27,101.28,-22.20,0.62,10.47,-41.57,7.79,-0.09,0.24,14.31,4.78,-0.58,-4.09,-11.34
RN,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN_yy,,74.89,-42.32,,-21.80,,,-44.03,-69.02,-68.01,-69.55,-61.17,1.25,-7.90,5.46,14.13,-10.74,0.60,-6.68,-6.54,19.49,2.27,25.79,17.36,-2.31,115.14,78.43
RN_sy,,-16.96,-3.70,,68.60,,,-17.16,-26.94,-55.46,-52.82,-18.35,22.28,42.32,32.00,9.98,-3.29,-6.37,27.56,36.45,19.04,20.89,-14.27,-10.16,-16.78,-9.11,-8.07
RN_qq,,,,,-13.35,-9.65,-6.80,-23.29,-52.04,-6.70,-11.29,-2.18,25.07,-15.14,1.58,5.86,-2.18,-4.36,-5.78,6.03,25.06,-18.14,15.89,-1.08,4.10,80.26,-3.88
RN_sq,,,,,6.82,19.99,1.87,-36.56,-5.79,-26.84,7.91,9.79,41.08,-14.85,0.08,-8.52,24.06,-17.56,36.35,-2.14,8.22,-16.28,-3.30,2.55,0.25,-8.57,-2.19
CRN,40000,23000,39000,44000,50000,56000,60000,78000,162000,174000,196000,200000,160000,189000,186000,176000,180000,188000,199000,188000,150000,184000,158000,160000,154000,85000,89000
CRN_yy,,-42.50,69.57,,28.21,,,77.27,224.00,210.71,226.67,156.41,-1.23,8.62,-5.10,-12.00,12.50,-0.53,6.99,6.82,-16.67,-2.13,-20.60,-14.89,2.67,-53.80,-43.67
CRN_sy,,31.71,6.02,,-41.48,,,25.55,26.87,82.14,97.27,-1.16,-11.76,-28.92,-23.04,2.35,2.67,10.34,-18.56,-21.84,-15.58,-9.38,14.71,13.97,20.00,14.48,12.18
CRN_qq,,,,,13.64,12.00,7.14,30.00,107.69,7.41,12.64,2.04,-20.00,18.12,-1.59,-5.38,2.27,4.44,5.85,-5.53,-20.21,22.67,-14.13,1.27,-3.75,-44.81,4.71
CRN_sq,,,,,-2.19,-16.42,-1.79,56.36,-1.16,20.00,6.37,-21.66,-11.76,-3.33,15.17,4.19,-11.49,3.90,-15.00,,-4.41,11.54,7.59,-0.64,0.65,6.41,5.42
CPZ,274000,180000,186000,181000,162000,152000,156000,159000,254000,279000,292000,295000,249000,267000,324000,337000,342000,355000,325000,307000,265000,293000,275000,279000,283000,233000,262000
CPZ_yy,,-34.31,3.33,,-12.90,,,-12.15,56.79,83.55,87.18,85.53,-1.97,-4.30,10.96,14.24,37.35,32.96,0.31,-8.90,-22.51,-17.46,-15.38,-9.12,6.79,-20.48,-4.73
CPZ_sy,,3.05,3.75,,-12.00,,,13.09,-10.61,-2.58,-17.20,-9.98,-8.23,-18.33,-6.73,-13.44,6.33,-1.50,-4.81,8.45,-6.70,-16.46,0.80,-16.71,13.43,12.12,2.11
CPZ_qq,,,,,-10.50,-6.17,2.63,1.92,59.75,9.84,4.66,1.03,-15.59,7.23,21.35,4.01,1.48,3.80,-8.45,-5.54,-13.68,10.57,-6.14,1.45,1.43,-17.67,12.45
CPZ_sq,,,,,10.92,9.09,1.49,-7.92,-12.31,18.89,-13.75,0.12,-10.61,5.80,-1.50,-7.09,9.81,-1.99,-4.81,5.85,-5.53,-12.23,14.85,-12.53,28.66,-13.25,4.59
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZ_yy,,63.74,-20.52,,-17.56,,,11.91,-0.18,-11.22,-2.24,5.97,43.79,84.89,98.32,56.39,-3.83,-27.79,-41.70,-35.68,-18.20,-16.52,-23.09,-30.19,-35.99,-32.06,-24.17
RZ_sy,,95.57,-13.01,,-5.76,,,17.02,24.12,33.38,-3.52,23.17,15.01,-35.16,-4.94,-29.67,-10.88,36.70,29.90,32.05,6.38,-1.55,-19.27,-11.47,4.46,3.23,24.94
RZ_qq,,,,,4.90,2.96,-2.08,5.82,-6.43,-8.42,7.82,14.71,26.96,17.75,15.65,-9.55,-21.93,-11.58,-6.63,-0.21,-0.72,-9.76,-13.98,-9.42,-8.97,-4.21,-4.00
RZ_sq,,,,,-10.80,14.97,15.69,-1.37,-5.38,23.55,-16.33,25.92,-11.65,-30.34,22.67,-6.84,11.94,6.86,16.57,-5.30,-9.82,-1.11,-4.40,3.84,6.41,-2.28,15.70
CRZ,284000,173000,218000,277000,264000,257000,262000,248000,265000,289000,268000,234000,184000,156000,135000,149000,191000,217000,232000,232000,234000,259000,302000,333000,366000,382000,398000
CRZ_yy,,-39.08,26.01,,21.10,,,-10.47,0.38,12.45,2.29,-5.65,-30.57,-46.02,-49.63,-36.32,3.80,39.10,71.85,55.70,22.51,19.35,30.17,43.53,56.41,47.49,31.79
CRZ_sy,,-49.00,14.96,,8.62,,,-14.49,-21.30,-25.47,6.23,-19.66,-12.99,54.22,3.00,24.64,12.13,-26.87,-23.31,-12.78,-5.96,1.63,24.44,13.09,-4.28,-3.21,-20.12
CRZ_qq,,,,,-4.69,-2.65,1.95,-5.34,6.85,9.06,-7.27,-12.69,-21.37,-15.22,-13.46,10.37,28.19,13.61,6.91,,0.86,10.68,16.60,10.26,9.91,4.37,4.19
CRZ_sq,,,,,14.79,-14.48,-14.07,1.38,5.65,-19.01,22.47,-23.33,14.41,43.55,-18.20,-7.22,2.93,-6.38,-14.22,,10.97,1.18,5.03,-4.09,-6.08,2.31,-13.33
RMO,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO_yy,,42.84,-6.12,,-9.47,,,-1.14,-16.54,-27.48,-20.66,-11.37,27.78,49.19,34.02,21.26,-3.03,-7.02,7.31,17.57,38.35,20.49,8.29,-9.20,-23.59,-7.46,-9.22
RMO_sy,,52.72,-13.59,,-0.78,,,-4.70,4.60,5.27,-7.28,-1.28,21.01,19.83,35.38,0.78,-4.34,-2.98,-16.25,12.72,-3.00,4.17,4.97,6.12,10.98,14.00,12.96
RMO_qq,,,,,-0.46,5.31,-4.26,-1.50,-15.96,-8.50,4.75,10.04,21.16,6.83,-5.90,-0.43,-3.11,2.43,8.60,9.08,14.02,-10.79,-2.39,-8.54,-4.05,8.03,-4.24
RMO_sq,,,,,-11.85,-8.82,16.61,1.67,-3.24,-8.24,2.71,8.25,18.61,-9.14,16.04,-19.41,12.58,-7.84,0.16,8.47,-3.13,-1.02,0.93,9.66,1.31,1.67,0.01
RMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMT_yy,,12.55,-11.79,,-3.11,,,-1.65,-7.06,-13.76,-11.02,-8.93,-3.22,1.35,-0.13,-4.78,-10.34,-11.38,-5.51,-5.15,-5.84,-2.87,-9.68,-9.23,-7.46,-7.59,-2.50
RMT_sy,,-25.22,97.20,,-6.87,,,-16.06,3.84,-8.29,-12.68,6.73,-25.01,-19.01,-2.12,19.66,31.67,39.13,23.45,0.76,33.26,26.15,17.42,-2.86,25.23,-16.04,15.35
RMT_qq,,,,,2.63,1.07,-4.97,-0.22,-3.01,-6.21,-1.96,2.13,3.06,-1.78,-3.39,-2.63,-2.96,-2.92,3.01,-2.25,-3.66,0.14,-4.22,-1.76,-1.79,,1.07
RMT_sq,,,,,-6.56,-0.33,0.47,-10.29,15.59,-11.98,-4.33,9.64,-18.78,-4.93,15.63,34.04,-10.63,0.46,2.59,9.40,18.19,-4.90,-4.51,-9.49,52.37,,31.19
RM,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM_yy,,16.50,-11.44,,-4.15,,,-2.52,-8.78,-15.83,-12.31,-8.90,0.68,6.51,3.80,-2.27,-10.36,-11.68,-5.21,-3.48,-1.95,-0.15,-7.73,-8.86,-9.04,-7.86,-2.74
RM_sy,,4.27,33.47,,-12.03,,,-12.08,18.32,-12.73,-22.41,6.42,-4.83,8.59,43.69,5.92,5.32,34.50,26.07,5.30,31.88,9.44,-15.98,-17.64,4.29,1.44,32.80
RM_qq,,,,,1.76,1.48,-4.99,-0.64,-4.77,-6.37,-1.01,3.22,5.24,-0.94,-3.53,-2.82,-3.48,-2.40,3.54,-1.04,-1.95,-0.61,-4.31,-2.25,-2.14,0.67,1.00
RM_sq,,,,,-20.01,2.50,3.66,3.45,7.64,-24.40,-7.84,41.90,-3.74,-13.73,21.94,4.60,-4.29,10.17,14.30,-12.63,19.86,-8.57,-12.25,-14.35,51.77,-11.07,14.88
COP,324000,196000,257000,321000,314000,313000,322000,326000,427000,463000,464000,434000,344000,345000,321000,325000,371000,405000,431000,420000,384000,443000,460000,493000,520000,467000,487000
COP_yy,,-39.51,31.12,,22.18,,,1.56,35.99,47.92,44.10,33.13,-19.44,-25.49,-30.82,-25.12,7.85,17.39,34.27,29.23,3.50,9.38,6.73,17.38,35.42,5.42,5.87
COP_sy,,-47.72,15.52,,27.28,,,8.55,-27.38,-21.11,-16.32,-8.54,-6.57,6.36,-0.85,17.83,-6.44,-21.52,-18.25,-27.51,-4.08,8.61,26.43,-0.42,-0.80,-14.88,-28.55
COP_qq,,,,,-2.18,-0.32,2.88,1.24,30.98,8.43,0.22,-6.47,-20.74,0.29,-6.96,1.25,14.15,9.16,6.42,-2.55,-8.57,15.36,3.84,7.17,5.48,-10.19,4.28
COP_sq,,,,,47.91,-7.28,-7.54,-14.39,-1.05,0.72,-1.93,-6.43,1.08,14.66,-8.58,11.20,-19.73,-3.82,-4.77,-1.39,6.21,8.90,10.85,-22.33,5.81,-6.56,-6.95
CSP,50000,16000,71000,140000,152000,161000,166000,167000,173000,184000,172000,139000,95000,78000,-3000,-12000,29000,50000,106000,113000,119000,150000,185000,214000,237000,234000,225000
CSP_yy,,-68.00,343.75,,114.08,,,19.29,13.82,14.29,3.61,-16.77,-45.09,-57.61,-101.74,-108.63,-69.47,-35.90,3633.33,1041.67,310.34,200.00,74.53,89.38,99.16,56.00,21.62
CSP_sy,,-16.48,-11.82,,54.97,,,-0.96,-45.12,-32.87,-11.09,-10.01,2.04,19.02,21.11,10.05,22.44,-20.95,-37.21,-28.04,-27.59,13.11,41.88,21.15,-17.29,-24.88,-33.52
CSP_qq,,,,,8.57,5.92,3.11,0.60,3.59,6.36,-6.52,-19.19,-31.65,-17.89,-103.85,-300.00,341.67,72.41,112.00,6.60,5.31,26.05,23.33,15.68,10.75,-1.27,-3.85
CSP_sq,,,,,71.32,-27.88,-21.40,1.98,-5.06,-11.79,4.11,3.21,7.66,2.89,5.94,-6.22,19.78,-33.58,-15.85,7.47,20.54,3.76,5.56,-8.24,-17.71,-5.76,-6.59
