,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZOCurrent_sq,,,,,,-14.94,-16.42,-1.33,-11.81,4.44,-41.25,27.95,17.18,-21.29,35.22,-14.93,-4.94,-5.97,19.66,10.03,-2.41,9.02,-12.49,-17.03,20.58,8.21,-6.97,-6.50,4.74
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-8.76,-70.27,29.44,,,83.14,,-11.96,-13.40,-8.95,-8.92,3.83,9.39,-3.94,12.20,4.47,-4.98,-32.65,-8.46,-2.98,10.39,58.80,-0.18,5.98,4.13,-62.46,7.07,-2.51
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,,-1.19,-3.32,-9.64,1.99,-2.81,1.65,-9.60,16.26,2.40,-10.74,5.58,8.26,-6.87,-36.73,43.50,14.73,5.97,-8.98,-9.80,21.82,4.11,-67.19,157.28,10.92
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-11.37,-90.36,35.40,,,1605.58,,10.20,-8.09,-22.81,-28.84,-3.24,12.34,3.34,22.04,-4.96,-29.67,-46.23,-20.77,-17.60,34.88,95.32,10.71,35.00,8.38,-72.73,-21.90,-35.09
EVPCurrent_sy,,22.44,0.76,10.03,,,35.17,,14.39,5.48,-19.91,-7.54,-10.88,-21.04,-11.92,-24.48,-0.98,35.21,68.24,62.57,43.16,12.27,-9.64,-8.30,-9.24,-12.81,-14.35,-5.16,-7.04
EVPCurrent_qq,,,,,,8.10,11.46,-5.88,-2.83,-9.84,-6.39,-13.23,32.13,4.67,-13.90,2.48,2.89,-22.54,-34.17,51.01,7.01,26.80,-4.67,-14.41,30.49,1.80,-76.02,145.15,8.45
EVPCurrent_sq,,,,,,12.68,27.04,-14.67,-6.35,3.91,-3.55,-1.49,-9.74,-7.94,7.60,-15.53,18.35,25.72,33.88,-18.38,4.22,-1.42,7.75,-17.17,3.16,-5.30,5.85,-8.28,1.11
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,501.05,-98.27,68.70,,,1501.08,,19.12,-55.49,-44.55,-57.13,-38.16,46.98,9.16,57.91,11.22,-34.10,-32.28,-13.10,-34.48,-10.55,48.35,-22.98,154.10,201.44,-72.26,-11.64,-63.47
EVEBITCurrent_sy,,-31.82,52.00,28.81,,,25.55,,-38.13,-20.72,-38.70,-30.01,-11.12,9.80,49.48,8.50,7.22,-9.69,-13.43,21.14,15.54,24.05,-17.38,-21.78,-21.67,11.04,10.63,-0.85,-7.60
EVEBITCurrent_qq,,,,,,55.75,-28.28,7.29,-0.61,-41.80,-10.66,-17.05,43.39,38.32,-33.65,20.00,0.99,-18.04,-31.82,53.98,-23.86,11.89,13.08,-20.06,151.23,32.74,-89.59,154.62,3.86
EVEBITCurrent_sq,,,,,,-39.30,15.43,-2.77,-9.18,-22.22,-10.75,11.03,15.32,-3.92,21.49,-19.40,13.96,-19.07,16.46,12.79,8.69,-13.11,-22.43,6.78,8.85,23.17,-22.72,-4.31,1.44
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,166.14,-95.99,55.61,,,1219.93,,-12.06,-51.74,-39.84,-45.91,-25.41,32.47,4.72,41.83,7.69,-26.53,-32.87,-11.37,-25.94,-4.20,49.26,-19.03,80.44,93.76,-69.88,-7.15,-49.19
EVEBITDACurrent_sy,,-19.51,-23.35,54.57,,,14.09,,-47.25,-38.39,-33.04,-17.05,11.28,-14.16,-6.35,-14.88,-5.65,2.33,17.96,6.49,21.69,26.37,-17.91,-13.57,20.04,1.60,-1.70,-1.90,-21.52
EVEBITDACurrent_qq,,,,,,28.06,-25.53,-5.90,-2.01,-29.71,-7.18,-15.40,35.14,24.83,-26.63,14.59,2.61,-14.85,-32.95,51.29,-14.25,10.15,4.46,-17.93,91.08,18.28,-83.76,152.98,4.57
EVEBITDACurrent_sq,,,,,,0.52,-14.73,-9.49,-32.01,17.42,-7.33,12.13,-8.79,-9.42,1.10,1.92,1.09,-1.75,16.53,-7.99,15.52,2.03,-24.30,-3.11,60.43,-13.64,-26.77,-3.31,28.34
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-97.62,5311.27,-49.01,,,-42.62,,20.71,185.96,63.97,144.31,55.65,-34.75,-24.15,-43.21,-23.23,48.18,9.30,26.99,69.40,22.88,5.56,29.19,-58.45,-69.13,11.04,-7.65,116.42
