,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROE_sy,,22.85,16.55,-29.64,,,,15.83,-15.15,-30.32,,16.23,8.68,35.78,,-44.29,-47.91,-43.92,,-17.65,47.06,70.57,80.74,46.85,-15.03,-4.39,-4.58,0.51,44.08,-24.43,-33.01,-11.63,-23.76,13.13,4.82,-24.02,-13.51,-33.52,2.93,22.09,9.16,42.62
ROE_qq,,,,,1.50,-5.14,,,-2.67,3.13,,,-3.66,-12.31,,,-37.73,-222.41,-67.81,-143.17,-3.70,38.37,43.36,141.42,24.01,26.53,7.13,-66.34,-252.91,-51.33,14.82,165.49,113.96,-17.47,-173.98,-308.97,-24.03,-55.54,17.31,18.87,6.97,46.57
ROE_sq,,,,,8.15,-6.25,,,-20.78,-23.01,,,-25.93,-3.81,,,-30.74,3.57,1.89,12.67,23.69,20.12,7.97,-8.46,-28.43,35.16,7.76,-3.57,2.59,-29.11,-4.47,27.19,-11.49,5.19,-11.48,-7.81,0.76,-19.14,37.05,9.35,-9.91,5.64
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,13.84,17.63,-19.65,,,,-14.25,-16.81,-12.07,,42.57,39.72,43.07,,-70.43,-83.59,-123.33,,-456.41,-807.73,-215.85,9.18,115.65,118.35,131.78,168.84,-43.68,-173.02,-195.86,-163.61,32.65,263.04,194.90,14.90,-677.69,-463.33,-747.52,-536.72,-28.23,31.83,71.41
ROA_sy,,71.03,-11.92,-35.47,,,,31.79,14.64,2.86,,-1.42,-9.31,112.65,,-36.36,-40.83,-62.55,,-3.60,39.85,13.95,73.46,40.03,-16.09,13.10,7.10,-23.05,19.18,1.65,-16.58,-20.95,-20.84,-26.04,-36.39,-14.15,19.67,2.20,54.33,8.14,-24.23,13.11
ROA_qq,,,,,17.84,-11.21,,,14.32,-6.15,,,12.04,-3.89,,,-37.82,-236.60,-97.36,-112.62,-23.47,39.04,43.25,136.63,44.83,5.56,22.93,-70.03,-287.76,-38.59,18.43,162.50,130.77,-19.33,-173.14,-324.29,-45.14,-43.76,28.08,14.55,22.85,39.70
ROA_sq,,,,,-2.76,-28.49,,,-15.41,-35.84,,,-22.18,50.44,,,-27.64,-4.80,-18.22,71.09,4.99,-22.43,24.49,38.11,-37.09,4.56,17.89,-0.77,-2.57,-10.82,-3.25,-5.96,-2.44,-16.67,-16.80,26.92,35.98,-28.83,25.64,-11.06,-4.73,6.25
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,27.79,21.24,26.17,,,,-21.32,-29.35,-21.92,-15.39,2.21,9.42,0.89,-27.91,-53.03,-68.26,-115.08,-147.34,-325.38,-530.07,-541.18,-62.91,123.88,122.49,141.17,180.28,-34.15,-135.14,-155.99,-141.01,-8.64,375.00,213.93,59.88,-356.76,-315.73,-556.33,-915.38,-79.47,27.23,76.08
