,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
DTAR_sy,,6.82,0.29,-4.10,10.79,-16.25,1.06,,,7.91,,8.36,9.63,-3.06,7.11,2.39,4.00,-5.19,1.83,2.03,2.79,8.94,6.77,7.43,5.61,3.35,-1.59,2.56
DTAR_qq,,,,,,,,,-0.65,-5.31,1.64,-1.45,1.66,0.53,-1.81,-3.05,1.99,-20.11,-2.89,-0.68,1.95,1.99,0.33,8.84,0.43,-0.56,3.51,8.31
DTAR_sq,,,,,,,,,-1.87,18.45,-12.22,6.20,-0.72,4.73,-3.01,1.52,0.85,-4.52,4.17,1.72,1.60,1.19,2.10,2.34,-0.12,-0.98,-2.78,6.66
CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,44.65,54.43,4.88,-20.00,15.87,-14.67,,,-29.86,,-12.41,-7.86,5.21,-2.39,-5.66,-5.11,-39.01,-39.66,-36.28,-36.84,0.50,6.30,25.31,22.24,16.95,24.16,25.00
CG_sy,,15.03,5.32,-9.36,27.61,-33.51,-9.40,,,15.07,,25.35,15.81,5.73,13.89,1.25,3.34,-13.07,-4.89,7.74,3.02,10.13,8.25,13.27,20.10,11.95,6.31,5.65
CG_qq,,,,,,,,,-1.49,-11.40,3.57,-3.11,3.63,1.17,-3.91,-6.36,4.24,-34.98,-4.92,-1.12,3.34,3.45,0.57,16.56,0.80,-1.02,6.76,17.35
CG_sq,,,,,,,,,6.76,21.54,-10.57,8.02,-1.37,10.97,-3.67,-3.96,0.66,-6.65,5.39,8.79,-3.74,-0.21,3.59,13.84,2.06,-6.98,-1.63,13.14
LDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,90.48,36.66,7.90,-30.70,15.80,-14.36,,,-23.02,,-19.62,-14.30,5.96,-1.77,-2.62,-44.29,-37.04,-33.37,-29.49,24.67,3.27,0.89,14.64,11.28,21.65,31.73,30.56
LDER_sy,,39.56,1.99,-36.88,60.68,-32.10,-8.00,,,7.70,,45.40,6.62,22.39,-11.80,-18.94,17.41,-18.31,-9.70,-31.04,-22.07,-15.81,7.35,44.47,31.91,32.02,4.48,-4.37
LDER_qq,,,,,,,,,-2.31,-16.95,2.74,-3.57,4.16,2.69,-4.76,-4.41,-40.41,16.04,0.80,1.16,5.36,-3.88,-1.52,14.95,2.28,5.07,6.64,13.93
LDER_sq,,,,,,,,,-4.76,13.56,10.67,21.48,-30.16,30.35,-20.25,11.64,1.16,-9.30,-11.84,-14.74,14.32,-2.02,12.41,14.75,4.38,-1.93,-11.05,5.04
PZAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,-47.08,9.57,-2.89,25.47,-4.90,7.21,,,-5.44,,8.95,3.23,-3.22,-0.56,-1.33,17.36,10.63,8.30,12.09,-7.84,6.30,9.36,-4.68,2.94,-8.25,-14.97,-12.95
PZAT_sy,,-29.03,21.75,-3.62,0.67,3.64,6.23,,,-4.19,,-22.44,-14.38,-16.75,6.41,14.17,-1.37,18.11,4.89,-7.97,-7.97,-18.73,-22.88,9.26,5.64,11.13,10.17,-6.67
