,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITCurrent_qq,,,,-19.44,103.41,7.12,2769.03,2569.04,-104.55,-14.19,-20.81,228.41,-62.55,-39.91,14.68,-21.84,-1.09,-22.78,157.08,34.47,0.19,101.93,-669.78,47.78,84.66,-639.88,120.09,-36.33,-35.39,-4.94,-21.61,-15.47,-14.09,-9.42,-2.12,1.20,-1.42,-6.54,2.66,-2.31,11.44,3.71,-12.60,-2.19,3.99,5.21,-9.54,-6.38,-0.40
EVEBITCurrent_sq,,,,-17.24,-1.29,-5.78,24.62,19.58,-4.79,-61.22,66.64,59.53,-12.13,-6.11,-17.97,22.48,-0.85,-27.90,33.44,8.62,-5.09,-29.83,25.81,-4.71,13.78,-1.41,23.65,36.16,-7.63,-16.22,3.84,-16.58,-8.84,3.88,-17.55,22.28,10.19,-17.34,-7.74,10.11,-2.97,-6.75,-10.90,-3.33,8.08,9.73,15.37,-22.55,7.80
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,-5.05,-18.87,-94.62,,,,2027.44,3871.43,3098.99,1335.75,155.76,-20.32,-69.02,-62.12,-76.54,-59.87,-34.79,-18.66,22.37,55.20,40.30,44.22,48.53,60.07,124.06,123.13,-16.80,-30.38,-52.27,-39.11,-28.40,-29.14,-28.13,-29.20,-24.38,-17.03,-8.49,-7.25,-5.13,-6.70,1.72,9.28,-3.83,-3.34,-8.99,-6.70,-4.23,-7.20,-11.17
EVEBITDACurrent_sy,15.19,2.44,-12.84,,,,-3.56,46.13,71.66,26.37,-2.45,27.51,-9.51,-9.99,-15.46,-43.89,-21.05,-4.55,-11.91,30.16,-5.52,-18.00,27.73,-18.90,23.86,44.09,21.46,36.59,22.19,19.69,-3.67,-22.27,-35.52,-32.02,-17.59,-4.84,3.79,-3.19,-25.27,-21.56,1.26,-1.88,11.67,5.84,21.16,20.59,12.58,9.12,-15.45
EVEBITDACurrent_qq,,,,-19.50,102.40,5.74,1134.83,50.27,63.04,-52.54,119.97,-53.18,-36.61,-41.97,36.20,-19.91,3.02,-27.62,104.91,1.57,-6.86,-25.60,111.04,9.46,30.36,-25.91,-21.30,-8.40,-10.63,-5.47,-7.47,-9.34,-9.36,-6.88,-1.18,-0.52,-0.04,-5.61,1.07,-2.16,8.98,1.40,-11.05,-1.67,2.61,3.96,-8.71,-4.72,-1.78
EVEBITDACurrent_sq,,,,-27.71,-11.03,10.41,35.80,9.54,4.51,-18.72,4.83,43.19,-25.83,-19.14,-1.55,-4.96,4.35,-2.25,-9.14,40.43,-24.26,-15.16,41.53,-10.83,15.68,-1.31,19.31,0.27,3.49,-3.32,-3.98,-19.09,-14.15,1.92,16.41,-6.58,-6.36,-4.92,-10.14,-1.94,20.87,-7.87,2.26,-7.06,38.36,-8.30,-4.53,-9.92,7.21
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,-42.31,-79.05,4309.09,,,,-59.59,,-180.41,,-219.90,-244.26,138.62,,176.38,577.27,198.81,,-3.34,-92.14,-107.77,,-262.25,-1236.36,-1087.18,,134.28,178.67,163.50,470.00,136.79,70.17,98.98,90.69,34.35,25.10,17.78,11.50,12.87,12.26,1.45,-3.53,0.87,5.11,12.45,4.98,3.86,2.02,-6.36
ROE_sy,9.68,-19.91,-18.49,,,,34.22,,-16.13,,-69.72,-68.71,-71.29,,125.65,169.63,180.83,,35.79,-19.40,25.34,,-39.77,-18.40,-36.93,,-17.89,-26.82,2.48,4.13,10.66,-3.11,-9.60,-22.95,17.85,46.98,10.05,14.01,1.80,16.88,25.55,11.58,0.12,8.73,14.72,39.11,17.28,-1.62,2.04
