,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZNPO_sy,,,,,-36.82,,6.64,-0.15,33.97,-28.11,-19.58,-40.73,-27.08,24.28,32.59,62.10,7.94,-27.00,-56.13,-61.41,4.57,-8.49,111.12
ZNPO_qq,,,,44.64,221.86,12.02,22.37,-56.47,-37.50,-0.72,20.57,16.65,-34.93,-2.25,-53.35,-25.77,23.22,78.87,-12.13,-2.23,12.54,-23.29,8.76
ZNPO_sq,,,,12.66,-30.12,33.24,1.66,5.49,-6.24,-28.50,13.72,-22.26,15.36,21.85,21.33,-4.95,-23.18,-17.59,-27.10,-16.39,108.17,-27.88,68.19
ZFI,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,,,,,-98.56,,,,4208.75,54.40,32.52,9.73,-15.87,-8.08,-12.06,-22.27,6.87,-36.63,-7.91,34.77
ZFI_sy,,,,,,,,-10.29,,,,1.72,6.16,-8.62,-8.75,-2.27,-11.91,17.76,14.20,9.43,13.18,-5.82,9.82
ZFI_qq,,,,461.44,,,,,2523.33,18.93,20.69,14.43,-6.00,2.08,-0.07,-12.26,2.71,-2.35,-11.67,20.63,-39.09,41.90,29.27
ZFI_sq,,,,-13.62,,,,,-8.19,10.73,-0.78,0.85,-4.18,-4.69,-0.92,8.00,-13.63,27.42,-3.92,3.49,-10.67,6.03,12.04
DTAR,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,9.19,,,-0.88,,-3.05,1.07,-3.75,2.81,19.39,-1.92,8.57,16.33,-5.98,13.36,4.85,-4.80,-4.50,-5.27,-4.30,-1.51,2.28
DTAR_sy,,4.06,,,-4.96,,5.51,8.47,-8.16,1.53,-1.66,4.25,13.05,18.46,23.15,16.66,-5.71,-6.29,-6.75,-14.83,5.82,-0.02,-4.97
DTAR_qq,,,,-5.07,4.10,-6.08,4.46,-1.04,-0.86,0.32,21.30,-18.70,9.73,7.49,-1.96,-1.97,1.49,-2.41,-1.65,-2.76,2.53,0.44,2.13
DTAR_sq,,,,-5.49,13.65,-10.46,9.70,-2.84,-3.77,-1.00,6.26,2.99,4.35,3.74,10.47,-2.44,-15.66,3.09,9.92,-10.89,4.79,-2.60,4.48
CG,,,,,,,,,,,,,,,,,,,,,,,
