,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVPCurrent_sy,,-25.57,-3.36,-11.95,,,5.28,,-10.11,12.32,-2.64,-3.95,-3.12,6.47,-6.41,-6.74,-13.92,-19.48,-25.31,-33.03,-26.22,-30.59,-4.28,21.08,9.90,18.60,5.80,-3.00,1.82,-1.43,12.99,25.94,10.09
EVPCurrent_qq,,,,,,5.13,-3.91,-0.50,-2.04,-2.44,14.56,-3.09,4.20,-21.42,12.63,-3.47,-5.38,-21.67,2.19,-0.98,5.25,5.80,1.59,-1.62,-2.63,-1.80,-1.83,-0.72,-4.05,-4.14,-4.18,-4.01,-3.12
EVPCurrent_sq,,,,,,-21.41,10.03,6.03,-1.95,-1.80,-4.63,4.60,-1.09,7.91,-16.17,4.23,-8.70,0.94,-22.24,-6.55,0.59,-5.04,7.23,18.21,-8.70,2.47,-4.34,8.38,-4.16,-0.79,9.65,20.80,-16.22
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,419.67,-83.97,-37.63,,,-12.84,,-741.18,-292.08,-218.83,-159.94,28.71,384.25,226.06,184.81,103.79,-97.55,-88.95,-86.62,719.22,1819.59,5622.72,-4326.22,4629.24,8.69,-78.31,120.11,-98.24,-34.79,-337.41,-287.31,-183.88
EVEBITCurrent_sy,,-24.35,-39.53,-27.84,,,6.00,,-2.82,100.26,50.07,0.85,35.39,4.41,4.72,-1.28,-8.88,-18.85,-22.87,-37.22,-0.12,-8.21,-15.52,-12.29,-13.65,-19.16,-7.01,50.34,7.99,41.31,37.25,26.38,12.94
EVEBITCurrent_qq,,,,,,-0.05,-13.61,140.51,-408.75,70.06,46.55,-21.31,-267.21,219.39,-76.30,-18.38,-83.60,-22.87,7.00,-1.19,904.63,80.73,218.98,-172.97,1224.20,-95.85,-36.33,-32.36,-1.71,54.06,-331.81,46.64,55.99
EVEBITCurrent_sq,,,,,,-31.79,47.42,34.62,-28.21,40.56,10.47,-9.53,-3.62,8.40,10.80,-14.72,-11.03,-3.47,5.30,-30.58,41.53,-11.28,-3.09,-27.92,39.33,-16.93,11.47,16.53,0.09,8.70,8.27,7.30,-10.56
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-19.19,-30.77,-24.17,,,11.77,,56.69,71.41,207.64,95.76,27.52,-20.72,-56.14,-46.26,-80.49,-78.52,-75.28,-74.89,213.92,376.16,401.32,455.68,18.48,-18.84,-35.68,-47.56,-37.73,-17.59,21.60,43.15,92.23
EVEBITDACurrent_sy,,-27.96,-20.02,-32.29,,,23.94,,88.48,73.50,-4.60,29.78,-7.95,18.63,0.44,-24.73,-34.70,-42.31,-5.07,-8.05,5.97,7.92,-9.18,-8.04,24.07,-3.59,-1.83,8.24,-29.74,-3.39,19.18,13.38,21.77
