,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebtEBITDA_sy,,1.04,-28.40,14.83,,-9.44,,,20.94,31.28,27.25,15.84,-7.73,-20.18,-25.23,-37.58,-27.94,-10.77,9.14,15.90,17.80,-6.24,-20.23,-6.43
NetDebtEBITDA_qq,,,,,,-16.83,112.64,19.08,32.62,-9.12,15.84,10.28,-11.85,-13.61,-1.78,2.65,110.36,73.82,-31.86,-26.37,-18.27,2.56,12.01,-7.30
NetDebtEBITDA_sq,,,,,,-6.91,9.07,16.36,2.37,1.05,5.73,5.93,-18.46,-12.59,-0.97,-11.56,-5.87,8.23,21.13,-6.08,-4.33,-13.85,3.06,10.16
DebtFin,15027000000,11364000000,13066000000,6663000000,-2972000000,-8172000000,9820000000,17232000000,22900000000,9331000000,17055000000,17806000000,22814000000,24762000000,24691000000,23163000000,21080000000,30021000000,19359000000,21398000000,34679000000,56857000000,51185000000,30616000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,6.59,57.33,-82.48,,-188.08,,,998.51,263.74,138.39,25.43,-30.74,84.79,6.41,16.39,137.60,360.68,111.00,46.39,-15.12,-46.73,3.05,-6.71
DebtFinEBITDA_sy,,-5.61,-27.74,3.48,,-57.60,,,262.50,246.41,75.95,109.55,-34.30,-22.81,-35.26,-54.34,-20.40,-32.16,13.27,28.87,27.48,5.53,-8.83,-23.22
DebtFinEBITDA_qq,,,,,,-138.64,220.55,79.94,73.57,-56.51,75.50,-5.32,-4.17,16.04,1.07,3.55,95.64,124.99,-53.71,-28.15,13.45,41.20,-10.46,-34.96
DebtFinEBITDA_sq,,,,,,-0.16,75.75,17.24,76.22,-4.59,-10.73,39.62,-44.75,12.09,-25.13,-1.52,-3.69,-4.47,25.00,12.05,-4.73,-20.91,7.99,-5.64
SP1,,,,,,,,,,,,,,,,,,,,,,,,
SP1_yy,,19.72,16.58,17.30,,12.79,,,-14.78,-17.44,-19.91,-16.98,-12.80,-10.18,-4.15,1.69,-3.15,2.30,4.86,3.27,4.83,2.30,0.91,6.30
SP1_sy,,-5.68,5.03,15.13,,-7.50,,,-11.17,-0.56,-1.94,-5.29,0.82,-4.56,-2.41,3.14,4.25,4.04,2.07,2.03,-2.99,1.21,1.44,6.54
SP1_qq,,,,,,-6.01,-1.69,-7.13,-0.68,-8.95,-4.63,-3.74,4.32,-6.22,1.78,2.13,-0.65,-0.94,4.33,0.58,0.85,-3.33,2.90,5.95
SP1_sq,,,,,,-6.43,2.42,-3.19,-4.25,4.74,1.00,-6.50,1.94,-0.85,3.27,-1.19,3.04,-1.06,1.32,-1.22,-2.04,3.22,1.55,3.75
SP2,,,,,,,,,,,,,,,,,,,,,,,,
SP2_yy,,11.80,8.49,-1.38,,11.73,,,-10.01,-12.41,-16.21,-9.55,-4.20,-3.51,1.61,1.98,-5.29,0.33,1.20,-0.53,1.58,0.44,-0.31,3.95
SP2_sy,,-5.09,2.50,4.32,,-1.82,,,-4.67,-0.53,-0.19,-0.96,1.91,-0.28,2.95,2.18,4.31,-0.03,-0.32,0.56,-3.82,3.69,3.74,3.30
SP2_qq,,,,,,-4.64,0.37,-6.45,0.50,-7.18,-3.98,0.99,6.44,-6.52,1.11,1.36,-1.15,-0.97,1.99,-0.38,0.95,-2.08,1.23,3.88
SP2_sq,,,,,,-2.88,0.60,-1.65,-0.79,1.33,0.94,-2.41,2.08,-0.85,4.21,-3.14,4.21,-4.97,3.91,-2.29,-0.32,2.45,3.96,-2.70
CAR,,,,,,,,,,,,,,,,,,,,,,,,
CAR_yy,,60.47,-77.72,479.37,,123.97,,,-80.76,-80.83,-49.62,125.75,90.46,53.35,4.28,-24.72,3.57,-88.28,118.09,-19.56,-73.22,-25.35,-78.02,-8.84
CAR_sy,,-26.65,26.32,40.90,,-16.91,,,-52.03,-15.23,-7.40,-6.16,43.10,-3.79,3.49,-3.28,11.42,26.45,64.92,34.68,6.07,-3.45,-23.00,36.97
CAR_qq,,,,,,21.03,-79.19,-37.73,22.66,20.61,-45.32,179.05,3.48,-2.89,-62.81,101.44,42.37,-89.01,591.90,-25.70,-52.60,-69.36,103.77,208.10
CAR_sq,,,,,,3.78,-39.58,-2.08,-21.86,83.38,-34.00,-0.78,19.16,23.29,-29.00,-7.27,37.27,39.93,-7.41,-24.27,8.10,27.37,-26.16,34.71
QR,,,,,,,,,,,,,,,,,,,,,,,,
QR_yy,,12.77,7.24,22.15,,29.38,,,-37.90,-56.49,-39.46,-16.92,-24.87,-4.33,-31.70,-36.20,-31.30,-66.15,6.01,3.90,-28.91,92.62,16.88,26.89
QR_sy,,-1.79,8.61,9.95,,-10.62,,,-6.91,-3.81,2.65,-2.65,-3.45,-5.74,-6.43,-7.09,-5.82,2.06,11.04,1.39,8.83,2.30,-2.70,1.94
QR_qq,,,,,,-5.18,-26.73,-18.08,9.11,-33.57,1.96,12.41,-1.33,-15.40,-27.21,5.01,6.25,-58.32,127.94,2.91,-27.30,12.95,38.31,11.73
QR_sq,,,,,,-15.62,2.89,0.35,6.85,-12.81,9.80,-4.83,5.97,-14.88,8.99,-5.50,7.42,-7.75,18.57,-13.71,15.30,-13.29,12.78,-9.59
CR,,,,,,,,,,,,,,,,,,,,,,,,
CR_yy,,7.40,86.89,-31.79,,15.21,,,-26.61,-10.34,-16.82,-14.85,-14.97,-17.02,15.20,35.45,20.20,5.24,-12.09,-22.95,-19.56,-24.93,-25.51,-11.89
CR_sy,,-24.16,10.60,6.96,,-4.41,,,0.58,7.86,9.28,0.96,-5.97,-10.04,-3.03,-1.86,5.55,0.15,-0.31,1.85,-4.48,4.13,-3.15,2.31
CR_qq,,,,,,-7.17,-11.32,-13.09,2.58,13.40,-17.72,-11.04,2.44,10.66,14.23,4.60,-9.09,-3.11,-4.58,-8.32,-5.09,-9.59,-5.31,8.44
CR_sq,,,,,,-4.48,-2.27,-1.96,9.90,2.44,-0.99,-9.43,2.36,-1.99,6.73,-8.33,10.09,-7.02,6.24,-6.34,3.24,1.36,-1.18,-1.07
PP,,,,,,,,,,,,,,,,,,,,,,,,
PP_yy,,60.47,-77.72,479.37,,123.97,,,-80.76,-80.83,-49.62,125.75,90.46,53.35,4.28,-24.72,3.57,-88.28,118.09,-19.56,-73.22,-25.35,-78.02,-8.84
PP_sy,,-30.29,-10.87,37.13,,28.86,,,-27.48,-19.17,-0.26,19.78,-11.47,-11.09,12.24,19.25,51.26,12.17,73.60,-22.33,-26.63,10.38,-30.07,28.39
PP_qq,,,,,,21.03,-79.19,-37.73,22.66,20.61,-45.32,179.05,3.48,-2.89,-62.81,101.44,42.37,-89.01,591.90,-25.70,-52.60,-69.36,103.77,208.10
PP_sq,,,,,,30.13,-47.41,-7.31,14.33,45.04,-35.11,11.31,-15.49,45.66,-18.09,18.26,7.20,8.02,26.77,-47.09,1.25,62.51,-19.69,-2.84
RCLR,,,,,,,,,,,,,,,,,,,,,,,,
RCLR_yy,,-1.19,52.78,-14.42,,-0.22,,,-17.48,-24.85,-35.76,-28.34,-14.87,-18.29,-16.30,-20.82,-48.33,-38.54,-27.73,-5.15,-7.62,38.24,40.33,21.19
RCLR_sy,,-3.63,9.56,18.91,,-9.87,,,-17.04,-16.28,-5.81,0.65,6.61,5.26,-0.41,-9.88,-12.88,-10.72,-9.85,4.94,1.01,5.27,9.20,-6.84
RCLR_qq,,,,,,-25.17,24.90,-18.26,8.02,-31.86,6.78,-8.82,28.32,-34.60,9.37,-13.74,-16.27,-22.21,28.61,13.22,-18.45,16.41,30.56,-2.22
RCLR_sq,,,,,,-17.83,-3.34,-2.85,7.52,-17.08,8.75,3.81,13.89,-18.12,2.89,-6.06,10.09,-16.09,3.89,9.35,5.97,-12.55,7.76,-6.72
KP,,,,,,,,,,,,,,,,,,,,,,,,
KP_yy,,72.17,49.43,-11.28,,30.29,,,-24.52,-26.64,-36.81,-26.97,-15.82,-15.20,10.36,19.73,-4.50,3.00,-1.25,-11.07,-6.03,-14.32,-19.84,-0.29
KP_sy,,-36.02,38.28,2.30,,-0.50,,,-4.37,4.86,5.86,10.21,-14.98,-10.77,6.88,6.36,26.99,5.53,1.39,-6.47,-9.94,3.43,-8.43,3.86
KP_qq,,,,,,-8.98,-3.40,-15.97,2.16,-11.55,-16.79,-2.87,17.76,-10.89,8.28,5.37,-6.08,-3.89,3.82,-5.11,-0.75,-12.37,-2.86,18.03
KP_sq,,,,,,-10.10,-0.47,-11.44,20.68,-1.42,0.48,-7.80,-6.91,3.47,20.35,-8.25,11.14,-14.01,15.63,-15.36,7.01,-1.24,2.36,-3.99
PKKO,,,,,,,,,,,,,,,,,,,,,,,,
PKKO_yy,,24.09,-15.52,72.26,,16.54,,,26.36,18.17,0.09,-1.48,-36.89,-43.54,-30.04,-13.65,90.86,181.43,127.75,56.72,-29.09,-58.47,-55.43,-44.64
PKKO_sy,,-20.19,-36.96,2.80,,-0.54,,,-18.57,7.35,14.96,-3.85,-13.61,0.39,-6.73,21.25,51.52,22.51,12.02,27.25,-13.74,-0.50,21.17,-10.52
PKKO_qq,,,,,,-6.45,3.56,-2.69,34.04,-12.52,-12.28,-4.21,-14.14,-21.73,8.69,18.22,89.77,15.41,-12.04,-18.65,-14.14,-32.41,-5.60,1.05
PKKO_sq,,,,,,-37.45,11.44,-7.64,26.49,-17.54,19.33,-22.75,13.66,-4.18,10.86,0.42,42.04,-22.53,1.37,14.07,-3.71,-10.63,23.45,-15.76
RN,,,,,,,,,,,,,,,,,,,,,,,,
RN_yy,,-24.66,117.88,-55.98,,3.49,,,-49.09,-44.98,-26.51,1.28,80.58,70.47,51.25,33.70,-19.03,-19.70,-1.50,4.03,42.14,49.03,-5.33,-17.54
RN_sy,,7.34,-0.71,-1.81,,-4.49,,,0.96,3.52,-1.12,-4.79,-12.12,-15.40,0.20,7.41,18.52,26.22,14.52,-1.56,-7.67,-9.10,-11.50,-0.39
RN_qq,,,,,,-4.59,-14.70,-15.29,-26.16,3.11,13.94,16.74,31.66,-2.66,1.10,3.19,-20.27,-3.46,24.02,8.98,8.95,1.22,-21.22,-5.08
RN_sq,,,,,,-2.32,1.98,0.09,1.25,0.17,-2.59,-3.62,-6.56,-3.56,15.37,3.31,3.11,2.70,4.68,-11.20,-3.28,1.10,1.92,-0.05
CRN,58000,77000,36000,81000,74000,78000,91000,108000,146000,142000,124000,106000,81000,83000,82000,80000,100000,103000,83000,77000,70000,69000,88000,93000
CRN_yy,,32.76,-53.25,125.00,,-3.70,,,97.30,82.05,36.26,-1.85,-44.52,-41.55,-33.87,-24.53,23.46,24.10,1.22,-3.75,-30.00,-33.01,6.02,20.78
CRN_sy,,-6.52,0.78,2.31,,3.76,,,-1.47,-2.90,1.47,5.15,14.18,17.91,-0.72,-6.29,-15.69,-20.25,-12.41,-6.72,7.75,9.52,13.33,8.00
CRN_qq,,,,,,5.41,16.67,18.68,35.19,-2.74,-12.68,-14.52,-23.58,2.47,-1.20,-2.44,25.00,3.00,-19.42,-7.23,-9.09,-1.43,27.54,5.68
CRN_sq,,,,,,1.47,-1.45,,-1.47,,2.99,3.62,6.99,3.27,-13.29,-2.19,-3.73,-2.33,-4.76,4.17,11.20,-0.72,-1.45,-0.74
CPZ,94000,126000,38000,100000,95000,99000,106000,118000,166000,169000,165000,156000,123000,131000,134000,134000,212000,246000,217000,198000,186000,173000,195000,195000
CPZ_yy,,34.04,-69.84,163.16,,-1.00,,,74.74,70.71,55.66,32.20,-25.90,-22.49,-18.79,-14.10,72.36,87.79,61.94,47.76,-12.26,-29.67,-10.14,-1.52
CPZ_sy,,-13.33,-14.42,2.81,,-9.84,,,2.15,17.58,8.33,8.74,5.79,4.64,1.03,3.52,2.49,2.46,8.63,-5.34,3.88,-0.48,-3.74,5.13
CPZ_qq,,,,,,4.21,7.07,11.32,40.68,1.81,-2.37,-5.45,-21.15,6.50,2.29,,58.21,16.04,-11.79,-8.76,-6.06,-6.99,12.72,
CPZ_sq,,,,,,-11.29,9.09,1.67,3.83,2.11,0.52,2.05,1.01,1.00,-2.96,,,0.97,2.88,-8.88,9.74,-3.27,-0.48,
RZ,,,,,,,,,,,,,,,,,,,,,,,,
RZ_yy,,-1.80,28.08,-25.71,,9.50,,,-47.36,-51.25,-45.75,-27.34,48.01,71.35,56.88,20.13,-55.27,-64.98,-57.06,-43.61,10.65,68.69,51.14,42.83
RZ_sy,,8.23,4.34,11.25,,8.94,,,-5.41,-5.86,-2.89,0.68,0.93,-0.73,-6.93,-6.57,-8.40,-9.21,-1.47,-1.11,-8.44,-2.15,-3.59,-2.41
RZ_qq,,,,,,-4.72,-9.14,-15.04,-28.42,-11.77,1.11,13.79,45.82,2.14,-7.43,-12.87,-45.70,-20.03,13.49,14.43,6.54,21.91,1.69,8.14
RZ_sq,,,,,,1.07,-3.08,-3.06,-0.39,0.60,-0.03,0.51,-0.15,-1.05,-6.27,0.89,-2.11,-1.92,1.71,1.26,-9.36,4.81,0.22,2.50
CRZ,121000,123000,96000,129000,112000,118000,130000,153000,213000,242000,239000,210000,144000,141000,152000,175000,322000,403000,355000,310000,291000,239000,235000,217000
CRZ_yy,,1.65,-21.95,34.38,,-8.53,,,90.18,105.08,83.85,37.25,-32.39,-41.74,-36.40,-16.67,123.61,185.82,133.55,77.14,-9.63,-40.69,-33.80,-30.00
CRZ_sy,,-8.00,-4.35,-10.39,,-7.97,,,6.25,5.51,3.05,-0.74,-0.74,0.75,7.41,7.46,9.63,11.85,2.07,-5.56,,1.32,3.38,9.56
CRZ_qq,,,,,,5.36,10.17,17.69,39.22,13.62,-1.24,-12.13,-31.43,-2.08,7.80,15.13,84.00,25.16,-11.91,-12.68,-6.13,-17.87,-1.67,-7.66
CRZ_sq,,,,,,-0.78,3.15,3.05,0.74,-1.47,0.75,-0.74,0.75,,7.41,-0.69,2.78,2.03,-1.99,-8.11,8.82,3.38,,-2.61
RMO,,,,,,,,,,,,,,,,,,,,,,,,
RMO_yy,,-30.69,78.14,-44.78,,-3.18,,,-41.06,-35.49,-24.06,-8.71,60.72,52.71,36.83,15.15,-49.38,-55.31,-45.15,-31.11,31.77,80.67,46.70,27.87
RMO_sy,,-0.83,21.22,-3.53,,-9.91,,,11.83,10.48,4.12,-3.17,-6.53,-3.23,-1.70,1.46,4.06,2.96,-0.70,-3.36,-2.74,-6.08,-0.85,-3.95
RMO_qq,,,,,,-7.63,-9.31,-7.67,-23.79,1.09,6.76,11.00,34.16,-3.95,-4.34,-6.59,-41.02,-15.21,17.41,17.32,12.81,16.26,-4.66,2.26
RMO_sq,,,,,,-1.73,6.44,6.56,0.33,-2.91,0.31,-0.91,-3.15,0.52,1.89,2.28,-0.67,-0.53,-1.73,-0.46,-0.03,-3.94,3.73,-3.57
RMT,,,,,,,,,,,,,,,,,,,,,,,,
RMT_yy,,29.95,54.11,-33.81,,40.14,,,-42.31,-45.05,-44.92,-31.24,27.00,32.11,31.17,9.32,-58.78,-63.86,-52.73,-32.89,59.08,145.37,114.50,91.00
RMT_sy,,3.93,15.95,10.54,,-16.11,,,-5.78,-4.39,-3.82,0.17,-1.91,-5.81,-8.54,-10.23,-11.60,-2.51,1.31,8.20,14.58,13.06,16.54,6.77
RMT_qq,,,,,,-3.39,-5.58,-15.23,-25.39,-7.99,-5.34,5.82,37.80,-4.29,-6.01,-11.81,-48.04,-16.08,22.93,25.21,23.16,29.43,7.47,11.49
RMT_sq,,,,,,-3.27,1.66,-4.03,-0.16,-1.84,2.26,-0.05,-2.23,-5.74,-0.71,-1.89,-3.72,3.94,3.19,4.78,1.95,2.57,6.37,-4.01
RM,,,,,,,,,,,,,,,,,,,,,,,,
RM_yy,,7.14,62.35,-38.03,,19.56,,,-41.74,-40.90,-36.45,-22.33,40.54,40.36,33.42,11.55,-55.46,-60.85,-49.99,-32.21,48.21,117.96,83.84,61.06
RM_sy,,14.78,8.94,4.89,,-11.93,,,6.21,5.95,4.53,-3.64,-6.44,-10.46,-13.85,-8.90,-4.23,2.45,10.07,9.38,11.07,13.19,15.73,11.38
RM_qq,,,,,,-5.40,-7.40,-11.73,-24.65,-4.04,-0.42,7.87,36.35,-4.17,-5.35,-9.81,-45.56,-15.77,20.92,22.26,19.03,23.87,1.99,7.11
RM_sq,,,,,,-0.15,0.88,5.00,0.43,-0.40,-0.48,-3.20,-2.49,-4.67,-4.25,2.35,2.52,1.97,2.88,1.70,4.10,3.92,5.19,-2.12
COP,179000,200000,132000,210000,186000,196000,221000,261000,359000,384000,363000,316000,225000,224000,234000,255000,422000,506000,438000,387000,361000,308000,323000,310000
COP_yy,,11.73,-34.00,59.09,,-6.67,,,93.01,95.92,64.25,21.07,-37.33,-41.67,-35.54,-19.30,87.56,125.89,87.18,51.76,-14.45,-39.13,-26.26,-19.90
COP_sy,,-16.12,0.36,4.26,,-6.80,,,2.63,-1.09,-3.93,0.72,7.33,7.38,4.83,,-5.46,-2.75,1.42,-5.04,-3.97,-2.12,-0.70,10.61
COP_qq,,,,,,5.38,12.76,18.10,37.55,6.96,-5.47,-12.95,-28.80,-0.44,4.46,8.97,65.49,19.91,-13.44,-11.64,-6.72,-14.68,4.87,-4.02
COP_sq,,,,,,3.01,2.19,-1.43,-1.09,-0.73,-0.74,3.35,5.40,-0.68,-3.09,-1.42,-0.36,2.17,1.06,-7.69,0.76,4.14,2.53,2.82
CSP,85000,74000,94000,110000,91000,97000,115000,143000,193000,215000,198000,160000,102000,93000,100000,121000,210000,260000,221000,189000,175000,135000,128000,115000
CSP_yy,,-12.94,27.03,17.02,,-11.82,,,112.09,121.65,72.17,11.89,-47.15,-56.74,-49.49,-24.38,105.88,179.57,121.00,56.20,-16.67,-48.08,-42.08,-39.15
CSP_sy,,-17.02,,30.77,,-2.94,,,-16.67,-4.04,-7.22,,5.56,-15.79,-10.00,-7.69,1.05,18.75,-14.81,3.57,-25.00,-21.05,13.04,-9.20
CSP_qq,,,,,,6.59,18.56,24.35,34.97,11.40,-7.91,-19.19,-36.25,-8.82,7.53,21.00,73.55,23.81,-15.00,-14.48,-7.41,-22.86,-5.19,-10.16
CSP_sq,,,,,,-8.33,-2.02,-6.19,-1.10,5.56,-5.26,1.11,4.40,-15.79,1.25,3.70,14.29,-1.04,-27.37,26.09,-17.24,4.17,4.00,1.28
