,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZOCurrent_yy,,41.68,2.02,,,-9.24,,-3.78,5.92,-2.76,-7.83,6.33,-5.29,-10.31,-6.54,-9.44,1.13,9.32,8.28,3.97,-7.35,-12.87,-14.85,-14.44,-15.42,-5.63,-6.52,-4.57,7.42,-4.81,-3.94,-16.48
CZOCurrent_sy,,28.98,-2.31,,,-22.63,,-6.33,10.82,8.56,22.36,14.12,-5.09,-19.46,-6.54,-13.36,0.29,34.47,8.28,15.89,1.81,-6.62,-16.81,-25.83,-38.61,-42.25,-20.70,3.23,35.82,18.84,-2.95,-21.37
CZOCurrent_qq,,,,,-3.80,6.90,1.15,-7.51,5.90,-1.86,-4.12,6.70,-5.68,-7.06,-0.09,3.40,5.33,0.46,-1.03,-0.72,-6.14,-5.52,-3.28,-0.24,-7.21,5.41,-4.20,1.83,4.45,-6.59,-3.33,-11.46
CZOCurrent_sq,,,,,-4.13,-9.12,-6.03,14.41,13.42,-10.97,5.92,6.70,-5.68,-24.45,22.90,-1.08,9.19,1.31,-1.03,5.87,-4.08,-7.08,-11.84,-5.61,-20.61,-12.58,21.05,22.88,4.45,-23.51,-1.14,-0.44
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-7.67,7.02,,,-4.10,,3.75,1.88,1.77,3.66,-4.15,0.28,0.16,-1.29,1.04,0.14,0.87,0.69,0.87,-0.59,-1.81,,0.54,-2.38,5.55,3.49,1.60,4.92,0.76,4.80,1.28
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,0.66,-0.62,-0.96,4.73,-1.16,-0.73,0.88,-3.16,3.41,-0.85,-0.58,-0.88,2.49,-0.13,-0.76,-0.70,1.01,-1.36,1.07,-0.16,-1.92,6.65,-0.91,-1.99,1.29,2.43,3.06,-5.28
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,1.28,-3.90,,,-19.33,,-4.94,-4.92,-8.75,-6.89,-7.17,-6.31,-5.64,-6.33,-10.07,-3.81,2.15,5.55,11.88,2.33,0.21,-1.68,-7.27,-10.20,-4.45,-8.30,-7.92,1.15,-3.92,0.53,-8.93
EVPCurrent_sy,,10.61,-18.80,,,-37.09,,-22.40,-15.11,-9.32,-7.93,2.15,-10.71,-6.83,-17.04,-24.09,-7.12,36.84,8.46,-0.40,-10.09,-23.66,-13.89,-8.47,-12.85,-22.16,-22.12,-18.37,2.73,12.75,11.43,11.09
EVPCurrent_qq,,,,,-1.67,-1.56,-3.26,1.51,-1.65,-5.52,-1.28,1.20,-0.74,-4.85,-2.00,-2.84,6.18,1.04,1.26,2.99,-2.89,-1.05,-0.65,-2.86,-5.96,5.29,-4.67,-2.45,3.30,0.02,-0.25,-11.63
EVPCurrent_sq,,,,,-10.03,-23.64,20.33,-6.14,-1.57,-18.44,22.18,4.14,-13.96,-14.89,8.79,-4.71,5.27,25.39,-13.77,-12.49,-4.98,6.47,-2.73,-6.98,-9.53,-4.91,-2.69,-2.50,13.86,4.37,-3.83,-2.79
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
