,2004/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RS_qq,,,,,,4.25,-9.87,-2.78,12.88,-12.84,-4.18,-9.11,2.09,-9.00,-0.45,13.54,9.34,18.73,23.74
RS_sq,,,,,,4.25,-9.87,-2.78,12.70,-9.21,-5.77,-5.75,1.38,8.16,,-9.69,9.34,18.73,15.31
GPM,,,,,,,,,,,,,,,,,,,
GPM_yy,-355.76,,33.26,6.11,-4.16,,,,37.23,63.22,5.92,-8.26,-4.14,-47.41,-30.62,-15.09,-34.26,14.29,22.71
GPM_sy,-3.03,,-13.57,24.61,-38.24,,,,29.25,13.81,48.88,117.71,10.00,2.18,8.58,-16.44,23.92,28.27,8.60
GPM_qq,,,,,,4.84,18.31,1.08,9.45,24.70,-23.22,-12.45,14.37,-31.60,1.30,7.14,-11.45,18.92,8.77
GPM_sq,,,,,,23.13,-13.54,-13.42,40.22,8.42,13.11,26.61,-29.15,0.72,20.19,-2.57,5.07,4.25,1.76
RBS,,,,,,,,,,,,,,,,,,,
RBS_yy,-48.06,,9.33,-8.76,1.15,,,,7.67,5.21,8.80,11.73,-5.43,-2.98,0.78,4.22,14.64,20.28,19.32
RBS_sy,-24.34,,-17.82,11.69,-7.86,,,,11.63,13.34,3.24,13.41,8.29,3.18,0.19,-4.54,-3.65,4.64,4.94
RBS_qq,,,,,,0.25,-3.76,-3.32,15.44,-2.04,-0.48,-0.72,-2.29,0.49,3.38,2.68,7.47,5.44,2.55
RBS_sq,,,,,,-0.46,11.93,-3.39,3.71,1.06,1.95,6.13,-0.97,-3.71,-1.00,1.11,-0.04,4.58,-0.72
ROPA,,,,,,,,,,,,,,,,,,,
ROPA_yy,-31.20,,92.81,14.92,-19.06,,,,21.86,2.24,-17.78,-16.53,-1.91,-23.71,-5.57,4.07,-21.10,21.73,27.39
ROPA_sy,-11.58,,0.78,18.64,-15.06,,,,-10.79,-4.20,-1.05,26.67,-8.42,-5.70,-1.91,-27.41,11.79,25.12,8.89
ROPA_qq,,,,,,15.27,2.92,-3.71,6.68,-3.29,-17.23,-2.25,25.37,-24.78,2.45,7.72,-4.95,16.05,7.21
ROPA_sq,,,,,,-8.29,-0.21,-24.21,28.61,-1.51,3.07,-2.98,-7.02,1.42,7.21,-28.20,43.20,13.50,-6.69
ZNPO,,,,,,,,,,,,,,,,,,,
ZNPO_yy,158.82,,163.18,-57.46,76.89,,,,114.30,306.82,-1683.08,-340.68,-19.77,-87.71,111.90,137.98,66.05,696.11,33.17
ZNPO_sy,53.65,,6.39,-15.15,7.80,,,,-22.83,46.97,49.22,214.27,10.97,37.71,68.57,46.39,-21.15,-19.00,-14.75
ZNPO_qq,,,,,,54.08,-59.72,36.17,153.55,192.49,-256.76,79.30,184.52,-55.20,51.87,-33.96,269.55,114.79,-74.60
ZNPO_sq,,,,,,-48.46,4.50,-46.72,168.93,-1.84,6.10,12.21,-5.04,21.81,29.87,-2.55,-48.85,25.14,36.68
ZFI,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,,,,,,13.35,106.14,69.29,266.81,88.46,-16.49,-599.64,-54.33,1066.10,9.74,105.99
ZFI_sy,,,,,,,,,11.14,36.01,0.12,57.02,-25.48,-20.30,8.79,43.40,9.37,42.47,19.97
ZFI_qq,,,,,,-20.83,14.66,-11.23,40.65,43.99,-5.84,92.35,-27.74,-36.19,-663.36,117.58,1744.91,-94.00,-69.23
ZFI_sq,,,,,,-11.36,-2.21,-32.23,89.20,8.47,-28.01,6.28,-10.21,16.03,-1.74,40.09,-31.52,51.14,-17.26
DTAR,,,,,,,,,,,,,,,,,,,
DTAR_yy,36.09,,-4.63,-5.35,-2.52,,,,-13.94,10.11,2.63,19.82,21.26,-2.52,-3.46,-6.05,-2.94,0.69,10.12
DTAR_sy,-2.85,,-6.96,-5.53,4.02,,,,-3.18,-3.30,1.89,-4.32,-1.42,3.76,3.38,10.77,20.29,12.43,3.16
DTAR_qq,,,,,,-4.70,9.62,-12.50,-5.86,21.94,2.18,2.15,-4.73,-1.98,1.20,-0.58,-1.58,1.68,10.68
DTAR_sq,,,,,,6.93,7.58,-7.92,-8.60,6.80,13.35,-13.53,-5.82,12.41,12.94,-7.35,2.27,5.07,3.62
CG,,,,,,,,,,,,,,,,,,,
CG_yy,67.83,,-10.05,-10.95,-5.05,,,,-24.40,21.17,5.15,43.10,44.28,-5.17,-7.14,-12.40,-5.94,1.42,23.43
CG_sy,-16.78,,-8.16,-12.78,6.77,,,,-5.26,-5.71,5.66,-7.37,-2.34,6.71,4.68,22.26,31.65,14.79,-2.84
CG_qq,,,,,,-8.92,20.62,-23.03,-10.59,45.99,4.67,4.75,-9.86,-4.05,2.50,-1.19,-3.21,3.46,24.74
CG_sq,,,,,,12.29,14.27,-13.95,-14.20,11.75,28.06,-24.56,-9.54,22.11,25.62,-11.88,-2.59,6.47,6.32
LDER,,,,,,,,,,,,,,,,,,,
LDER_yy,69.21,,11.90,-36.31,-34.26,,,,141.18,291.94,22.27,31.00,25.39,-21.77,-0.59,-5.27,-12.44,-14.88,-12.98
LDER_sy,-28.51,,-41.59,40.99,12.19,,,,-5.53,-9.99,15.53,19.65,-4.03,16.85,-14.88,21.93,-6.36,-3.79,-43.02
LDER_qq,,,,,,-5.66,184.22,-10.35,0.34,53.30,-11.33,-3.95,-3.96,-4.36,12.67,-8.47,-11.23,-7.03,15.18
LDER_sq,,,,,,8.72,-1.23,-24.58,16.65,3.58,26.78,-21.89,-6.44,26.12,-7.65,11.89,-28.15,29.57,-45.30
PZAT,,,,,,,,,,,,,,,,,,,
PZAT_yy,15.39,,-9.78,35.83,45.07,,,,-51.29,-58.88,-10.03,-3.42,-2.97,16.59,-8.09,-6.02,1.32,3.07,-0.42
PZAT_sy,-21.95,,6.55,17.45,-29.98,,,,-0.52,18.27,-2.71,-25.97,-8.97,20.59,14.78,3.01,10.03,-17.94,12.31
PZAT_qq,,,,,,0.61,-49.55,-4.57,0.56,-15.06,10.37,2.45,1.03,2.06,-12.99,4.75,8.93,3.81,-15.94
PZAT_sq,,,,,,-24.07,19.47,43.40,-23.53,-9.72,-1.73,9.12,-5.96,19.60,-6.47,-2.07,0.45,-10.81,28.02
PELDR,,,,,,,,,,,,,,,,,,,
PELDR_yy,-669.18,,3.47,5.27,-8.03,,,,2.28,-12.46,-1.31,-13.13,-10.88,6.27,13.66,9.57,9.01,11.59,16.39
PELDR_sy,11.40,,2.11,1.97,1.16,,,,5.15,1.97,-0.67,-3.20,1.00,-4.54,-2.84,0.65,-2.61,4.03,8.55
PELDR_qq,,,,,,3.11,-12.72,14.59,-0.81,-11.76,-1.60,0.87,1.76,5.22,5.24,-2.77,1.25,7.71,9.77
PELDR_sq,,,,,,5.30,-2.57,1.66,0.82,2.11,-5.10,-0.93,5.20,-3.48,-3.41,2.63,1.80,3.09,0.79
TSF,,,,,,,,,,,,,,,,,,,
TSF_yy,-1315.38,,8.67,-2.50,-2.93,,,,31.53,18.56,3.01,-10.32,-11.06,-4.24,3.79,5.68,-0.30,-4.61,-14.12
TSF_sy,1.02,,2.61,6.69,-2.13,,,,-3.41,-8.31,-5.27,1.00,5.07,0.05,-7.58,-6.57,-10.57,-2.06,-2.52
TSF_qq,,,,,,4.01,8.36,10.74,5.39,-6.25,-5.86,-3.59,4.52,0.94,2.04,-1.84,-1.40,-3.42,-8.13
