,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVPCurrent_qq,,,,64.18,-25.51,5.59,-7.57,-13.19,19.34,-1.60,4.48,-10.27,28.67,0.14,-9.08,-8.23,19.14,32.96,-63.92,68.59,64.02,-32.22,7.99,-3.06,14.74,-6.76,14.46,0.58,-12.48,4.64,8.56
EVPCurrent_sq,,,,9.30,5.13,-0.62,-9.09,-6.10,18.12,-6.75,-12.67,-12.82,37.09,-17.22,9.47,2.20,4.60,-6.13,-2.09,1.78,1.84,-6.24,7.70,5.75,22.84,-0.05,18.00,-0.84,-27.86,30.48,8.56
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-22.07,,,51.32,,153.52,200.54,-141.52,-122.39,-135.11,-208.22,286.41,360.11,347.36,-198.13,23.74,243.64,68.06,,-115.33,-103.09,-105.41,,23.22,6.76,5.40,-14.28,603.22,527.92,276.70
EVEBITCurrent_sy,,2222.67,,,-122.03,,-106.55,-104.50,268.92,-89.67,961.31,1583.16,124.36,339.34,125.15,62.93,129.39,201.54,-47.25,,-119.58,-110.88,-134.63,,-55.83,-28.25,-78.74,-140.27,251.97,281.84,212.34
EVEBITCurrent_qq,,,,11.36,151.03,83.20,-35.41,66.49,-121.08,1.23,-1.29,-413.22,136.30,37.83,-3.68,-718.57,115.07,282.77,-52.89,,,22.76,17.61,5.93,-28.26,6.20,16.40,-13.63,664.76,-20.24,-65.48
EVEBITCurrent_sq,,,,-9.15,-123.57,11.71,65.37,37.49,983.89,-199.13,257.26,7.63,33.71,5.75,47.94,-22.11,88.24,39.01,-74.12,,,22.76,17.61,26.62,-233.66,36.43,-14.83,1.35,311.04,-23.94,-29.06
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-13.22,,,14.84,,-55.06,-89.72,-232.04,-215.18,-270.57,781.76,179.18,175.51,157.72,-69.89,12.38,88.89,-45.65,-1.90,-127.36,-111.12,-132.73,-109.27,30.11,17.38,-28.64,1.92,603.22,529.31,378.13
EVEBITDACurrent_sy,,2470.18,,,-68.77,,-105.79,-67.23,28.12,151.51,590.89,51.45,81.07,863.41,134.14,83.10,98.86,16.87,-21.14,-10.12,-112.22,-111.64,-132.73,-120.22,545.91,590.75,-28.64,-29.25,-7.48,-28.26,252.93
