,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,121.81,63.42,,,43.75,,13.91,,-36.01,-53.87,-56.63,,-34.53,36.54,41.98,31.08,-0.08,-17.34,-27.08,-23.64,-18.05,-41.34,-33.04,-44.93,-91.11,-60.68,-692.14,-849.75,-15326.74,-4840.75,-633.70
ROE_sy,,15.83,16.23,,,-44.29,,-43.92,,-17.65,47.06,70.57,,46.85,-15.03,-4.39,-4.58,0.51,44.08,-24.43,-33.01,-11.63,-23.76,13.13,4.82,-24.02,-13.51,-33.52,2.93,22.09,9.16,42.62
ROE_qq,,,,,,,-21.71,3.53,,,-43.57,-2.65,10.39,7.95,17.70,1.22,1.92,-17.71,-2.63,-10.70,6.73,-11.69,-30.30,1.93,-12.23,-85.74,208.14,-1635.09,-11.14,-189.65,4.06,-137.58
ROE_sq,,,,,,,-30.74,3.57,,,23.69,20.12,7.97,-8.46,-28.43,35.16,7.76,-3.57,2.59,-29.11,-4.47,27.19,-11.49,5.19,-11.48,-7.81,0.76,-19.14,37.05,9.35,-9.91,5.64
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,32.93,93.27,,,27.37,,7.63,,-28.82,-32.37,-23.78,,-1.75,-12.02,-14.34,-27.27,-26.47,-15.20,-22.62,-13.78,-40.58,-53.77,-46.20,-52.96,-92.28,-68.54,-469.02,-574.21,-4663.16,-1683.93,29.16
ROA_sy,,31.79,-1.42,,,-36.36,,-62.55,,-3.60,39.85,13.95,,40.03,-16.09,13.10,7.10,-23.05,19.18,1.65,-16.58,-20.95,-20.84,-26.04,-36.39,-14.15,19.67,2.20,54.33,8.14,-24.23,13.11
ROA_qq,,,,,,,-5.22,-11.27,,,-9.95,,4.46,4.45,-19.36,-2.64,-11.31,5.61,-7.00,-11.17,-1.17,-27.22,-27.64,3.37,-13.59,-88.05,194.74,-1312.50,-11.05,-14.99,-2.31,45.77
ROA_sq,,,,,,,-27.64,-4.80,,,4.99,,24.49,38.11,-37.09,4.56,17.89,-0.77,-2.57,-10.82,-3.25,-5.96,-2.44,-16.67,-16.80,26.92,35.98,-28.83,25.64,-11.06,-4.73,6.25
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,0.32,67.83,,,-4.55,,0.78,,6.76,6.26,0.78,1.99,-2.61,-5.71,-2.70,-5.26,-2.10,-6.64,-10.12,-5.35,-16.41,-14.64,-24.06,-33.26,-88.79,-104.66,-106.98,-76.87,-58.33,200.00,-354.17
OPM_sy,,5.94,-2.71,,,15.24,,-43.22,,-18.06,-12.58,12.42,37.69,-18.11,17.32,42.78,60.20,21.88,30.04,29.17,-0.52,12.23,-31.49,-35.10,-19.46,-14.41,19.25,-7.46,-5.77,-21.15,-24.66,-0.77
OPM_qq,,,,,-1.37,,1.59,0.59,-2.14,6.76,1.12,-4.60,-0.97,1.95,-2.10,-1.56,-3.57,5.35,-6.64,-5.23,1.55,-6.96,-4.67,-15.69,-10.76,-84.36,-139.58,-26.32,395.83,-71.83,-5.00,-673.68
OPM_sq,,,,,-24.32,,-24.35,-33.05,-17.20,95.38,-19.29,-13.90,1.42,16.20,15.62,4.78,13.79,-11.60,23.37,4.08,-12.37,-0.26,-24.69,-1.40,8.76,5.98,4.93,-23.48,10.74,-11.32,0.26,0.78
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,18.87,67.20,,,10.76,,15.36,-11.50,-20.00,-16.06,-19.82,2.17,2.86,0.67,-2.58,-20.14,-27.78,-38.00,-39.39,-25.22,-37.98,-53.76,-42.50,-52.07,-90.70,-53.49,-551.09,-602.47,-3858.33,-1242.50,42.65
ROS_sy,,-4.20,-5.28,,,23.40,,-59.18,-34.68,-29.00,9.15,84.72,125.31,-11.18,-15.32,-14.66,5.07,10.84,29.18,-9.42,-17.08,-18.30,-42.40,-29.66,-16.35,13.32,9.17,-16.96,-15.41,-18.57,-10.92,17.28
ROS_qq,,,,,6.83,11.82,1.43,-4.79,-18.05,1.08,6.43,-9.06,4.43,1.77,4.17,-12.00,-14.39,-7.96,-10.58,-13.98,5.62,-23.67,-33.33,6.98,-11.96,-85.19,233.33,-1137.50,1.93,-10.81,-1.33,47.92
ROS_sq,,,,,-55.79,82.86,-30.10,-27.76,-29.26,98.77,7.45,22.25,-13.71,-21.64,2.45,23.21,6.23,-17.34,19.40,-13.61,-2.75,-18.55,-15.83,5.50,15.65,10.34,-18.91,-19.75,17.80,6.22,-11.30,5.66
