,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RS_sq,,,,,-14.66,-11.26,6.85,4.51,-22.31,-23.59,-8.66,5.66,-26.19,3.92,-1.13,-57.44,73.54,16.80,-6.86,28.74,-32.10,46.20,0.37,27.78,6.09,-7.10,8.82,16.62,-3.01,-28.55,39.97,-27.84,-0.33,-16.94,-21.60,37.24,-20.82,-59.15
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-49.03,42.78,-107.51,,,,433.04,171.71,-765.22,-1804.82,-1538.90,-1449.15,-720.65,-425.72,-20.54,-103.80,-15.10,-121.83,-40.52,62.93,1.51,78.05,131.54,108.48,141.00,166.96,15.59,1388.24,132.73,225.85,116.69,27.44,-12.16,-38.95,-32.22,-41.47,-17.45
GPM_sy,,34.75,7.12,-12.85,,,,-18.90,0.48,-5.54,-12.09,-14.21,-39.48,-21.53,-39.19,-66.99,-92.06,-59.48,-71.63,85.24,808.00,64.89,188.61,7.17,21.59,11.83,28.07,48.70,43.12,39.23,,-19.00,-22.78,-19.61,-6.51,-48.15,-51.80,-92.10
GPM_qq,,,,,232.17,-24.34,-27.83,361.45,7.83,-285.23,-84.97,-289.47,-1.11,-12.67,-18.49,10.70,-70.95,36.37,-128.37,43.43,54.90,-69.05,49.09,181.26,-87.87,717.37,-16.86,40.27,56.13,27.82,16.40,-6.72,-8.18,-11.90,-19.09,3.56,-20.71,24.25
GPM_sq,,,,,-12.20,-9.36,10.97,-8.16,8.78,-14.79,3.27,-10.37,-23.26,10.48,-19.97,-51.35,-81.55,464.00,-43.97,217.72,-9.56,2.42,-1.94,17.98,2.60,-5.80,12.31,36.99,-1.25,-8.35,-19.34,10.96,-5.86,-4.59,-6.19,-38.46,-12.50,-84.35
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-26.02,10.47,-21.48,,,,-14.70,-26.00,-75.19,-90.98,-216.90,-189.31,-303.32,-826.87,57.46,-183.56,-312.35,-412.01,250.97,189.16,306.05,267.09,,,,,,,,,,,,,,,
RBS_sy,,-0.81,19.89,-3.73,,,,-7.75,-15.54,-40.23,-40.84,-27.98,-26.10,3.58,-8.51,-27.78,-20.42,-28.48,0.46,42.75,40.07,58.45,44.01,,,,,,,,,,,,,,,
RBS_qq,,,,,11.07,-10.28,-12.70,-1.95,-3.64,-69.92,-68.25,-1370.15,26.38,31.52,-13.52,25.67,-390.75,0.42,-40.96,121.92,189.84,130.11,14.31,,,,,,,,,,,,,,,
