,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROS_sy,,,,-5.28,,84.24,-17.47,23.40,-32.48,-59.18,-34.68,-29.00,9.15,84.72,125.31,,-15.32,-14.66,5.07,,29.18,,-17.08,-18.30,-42.40,,-16.35,13.32,9.17,-16.96,-15.41,-18.57,-10.92,17.28
ROS_qq,,,22.14,969.60,-10.34,-82.13,-79.83,122.93,21.66,219.47,271.27,-95.79,84.91,11.65,58.12,,,329.93,-30.61,-199.22,3.41,,,517.10,-4.01,-1.52,37.38,-56.76,-14.98,-168.71,-2953.01,104.22,103.35,10.13
ROS_sq,,,-1.31,22.30,27.76,19.49,-55.79,82.86,-30.10,-27.76,-29.26,98.77,7.45,22.25,-13.71,,,23.21,6.23,-17.34,19.40,,,-18.55,-15.83,5.50,15.65,10.34,-18.91,-19.75,17.80,6.22,-11.30,5.66
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,,,-3361.68,,30.54,68.43,85.37,91.71,-220.25,-159.57,-64.36,-20.68,69.23,66.58,,308.13,-120.65,-83.80,,-167.20,,108.04,116.24,124.49,,117.65,-56.59,-66.06,-140.83,-893.00,-3.15,137.32,323.50
RS_sy,,,,-33.04,,18.31,57.11,45.78,31.54,2.29,-20.89,-40.75,-21.53,-16.81,4.23,,33.16,32.32,33.78,,23.99,,15.40,38.55,21.24,,0.88,-33.90,-12.75,0.12,-9.76,-14.90,-28.43,-3.72
RS_qq,,,-136.69,-47.72,-40.26,85.84,-7.58,31.54,20.53,-447.11,12.80,56.65,41.65,-39.51,5.31,,,-247.91,21.13,12.67,34.05,,,76.37,-0.53,-4.39,29.77,-64.82,-22.24,-215.04,-2420.07,104.30,90.52,8.34
RS_sq,,,-22.54,47.70,-17.33,25.09,2.87,37.05,-25.41,-2.72,-20.45,2.64,-1.20,3.12,-0.34,,,2.48,0.76,6.44,12.81,,,27.79,-1.28,-30.18,14.53,-16.27,30.31,-19.88,3.23,-21.03,9.59,7.78
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,,,4424.99,,110.00,-39.94,-92.76,-90.70,102.15,1782.77,-50.79,-22.59,-76.23,-87.46,,-695.25,1117.07,454.91,,26.09,,-99.45,104.16,104.30,,343.03,-53.08,-59.81,-139.98,-891.30,-10.87,112.96,337.98
GPM_sy,,,,-15.04,,76.09,-20.88,52.87,-40.47,-41.30,-20.17,-44.76,-10.76,46.58,81.47,,11.91,-0.89,9.51,,22.65,,-10.06,-17.93,-35.48,,-26.74,17.54,23.10,-8.29,10.29,-15.05,-2.10,18.08
