,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PCurrent_yy,,5.07,-8.38,,21.90,,,12.40,15.94,28.68,15.41,-2.26,-18.10,-16.93,0.53,18.23,43.64,44.49,31.75,25.92,17.41,21.82,20.60,23.94,30.42,29.39,16.32,8.31,0.45,2.93,19.06,27.34,24.48,6.64,-1.91,-9.55,-9.40,-0.51,-5.58,-3.09,-6.46,-10.04,-8.08,-9.40,3.12,8.42,16.29
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,6.28,-9.37,7.26,8.80,9.63,0.59,-3.81,-7.86,-8.13,2.02,16.42,8.36,11.61,2.62,6.15,3.57,4.06,6.47,5.09,6.44,9.50,5.63,-5.52,-0.89,1.56,8.24,9.28,6.00,-0.72,-7.27,0.52,-2.26,-0.55,1.82,-4.60,0.32,-4.00,-2.07,-2.52,-1.13,9.26,2.96,4.56
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-4.83,9.15,,-17.96,,,-11.04,-13.74,-22.29,-13.34,2.32,22.08,20.40,-0.54,-15.43,-30.38,-30.79,-24.09,-20.57,-14.83,-17.92,-17.08,-19.34,-23.33,-22.69,-14.03,-7.65,-0.43,-2.86,-15.99,-21.46,-19.65,-6.24,1.93,10.55,10.33,0.54,5.93,3.21,6.91,11.16,8.78,10.36,-3.02,-7.79,-14.02
CPCurrent_sy,,-4.83,-14.04,,-10.59,,,18.23,-7.46,-11.16,-7.19,-1.69,14.74,26.88,21.15,8.21,-13.90,-9.69,-18.64,-20.23,-13.58,-27.12,-22.67,-20.60,-18.28,-8.75,-13.93,-6.78,14.66,6.19,9.56,10.92,-0.80,2.00,11.98,6.55,-1.77,1.66,-1.77,4.95,7.23,-3.12,23.72,10.23,-14.99,-9.34,-17.47
CPCurrent_qq,,,,,-5.92,10.34,-6.77,-8.08,-8.77,-0.60,3.97,8.53,8.84,-1.97,-14.11,-7.72,-10.39,-2.55,-5.81,-3.44,-3.91,-6.09,-4.83,-6.07,-8.67,-5.31,5.83,0.90,-1.54,-7.61,-8.48,-5.66,0.73,7.81,-0.50,2.31,0.53,-1.76,4.83,-0.32,4.14,2.14,2.58,1.13,-8.48,-2.88,-4.35
CPCurrent_sq,,,,,19.14,-0.56,0.49,-0.69,-6.75,-4.54,4.97,5.20,8.84,5.57,0.22,-6.03,-13.40,10.72,-9.71,-7.87,-6.17,-6.63,-4.19,-5.41,-3.43,4.27,-9.63,2.45,18.77,-3.43,-6.76,3.71,6.22,-0.70,2.36,-1.31,-2.08,2.76,-1.09,5.44,0.05,-7.16,26.32,-6.06,-22.84,-0.98,15.00
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,43.09,23.57,,62.31,,,-66.45,-29.04,-12.27,580.98,15.06,-18.57,-44.76,-34.82,18.85,34.13,71.14,43.52,-3.08,-43.16,-43.70,-65.88,-45.30,91.77,127.38,251.67,145.14,15.21,20.46,47.94,57.97,47.90,39.11,8.24,-0.75,-31.85,-46.21,-53.39,-35.74,-42.80,-36.45,-24.31,-65.43,-94.74,-106.79,-114.80
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,-32.77,-12.27,-86.18,311.51,42.19,8.47,7.30,-30.47,0.63,-26.42,26.61,26.79,13.56,-6.11,6.17,-14.38,-33.40,-7.02,-35.66,37.26,133.52,10.25,-0.49,-4.32,9.75,15.28,22.20,2.17,2.75,8.42,-4.92,-6.31,-29.45,-14.41,-17.62,29.17,-37.19,-4.92,-1.88,-40.99,-90.45,-222.87,-113.85
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
