,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZOCurrent_sq,,,,,106.38,-80.41,,,,426.25,,,15.18,0.89,-37.59,-55.05,-66.71,126.85,-37.52,345.28,192.43,-17.94,-30.52,-7.37,,,,,,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,13.96,-878.15,,,45.89,,,,110.76,,,20717.93,1546.04,40289.20,36971.87,189.71,65.04,2.23,67.36,62.79,-2.95,151.42,126.63,52.68,80.08,-28.85,-98.88,-98.48,-100.28,-100.46,-122.87,-99.54,45.76,38.37,152.67
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,,-24949.87,100.40,,,2573.33,-96.26,,20717.93,111.38,-8.21,-8.21,62.69,20.42,-43.15,50.26,58.24,-28.21,47.29,35.44,6.60,-15.32,-41.81,-97.87,44.50,-115.65,4.57,-5.99,102.91,-1943.95,-8.43,190.57
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-5.66,-706.25,,,58.58,,-50.00,-50.00,110.43,,,23500.00,1123.08,42900.00,40200.00,172.88,66.25,-3.49,47.39,56.68,-12.74,162.41,393.94,518.73,6438498.83,,268.03,-30.05,-100.00,,-107.33,-97.53,11.13,,148.74
EVPCurrent_sy,,-49.37,10.40,,,106.98,,-21.58,-10.44,-4.85,,,607.45,34.30,-10.86,169.66,143.46,92.24,93.13,22.38,28.14,46.49,66.98,52.86,52.33,165.13,,6.53,-2.24,-55.49,,4.50,9.12,-11.36,,-11.83
EVPCurrent_qq,,,,,,-18800.00,100.27,,,3800.00,-97.44,,23500.00,102.12,-9.85,-6.28,59.80,23.14,-47.67,43.13,69.87,-31.42,57.37,169.42,112.78,713580.96,,,-59.56,-111.11,,,113.64,-499.07,1.39,190.82
EVPCurrent_sq,,,,,,673.42,-4.46,,,721.68,17.73,,14.77,55.99,-21.86,92.76,3.62,23.17,-21.49,22.14,8.50,40.81,-10.51,11.81,8.12,145.07,,,-0.78,11.58,,,3.61,-9.36,-8.39,2.49
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
