,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
OPM_sq,,,,16.81,-27.16,-6.05,-4.36,22.87,2.79,-5.37,-68.61,-49.15,-138.13,-164.65,-51.65,78.19,-408.46,23.30,-650.89,66.43,23.71,164.26,-740.46,45.22,-11.97,-0.85,72.95,235.74,-19.69,-70.15,847.14,62.02,-9.33
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-238.90,237.97,,,,10.48,-13.06,47.93,35.56,-49.32,-64.58,-82.04,-98.13,-90.96,-129.69,-244.67,-1202.44,-1057.43,-407.83,-100.92,-199.12,-386.97,-334.75,-237.16,-243.93,100.21,125.21,142.18,150.67,28500.00,123.10,28.92
ROS_sy,,-44.52,130.37,,,,10.48,-14.95,19.74,26.32,-100.54,-102.50,-181.22,-231.89,-31441.67,-334.00,58.12,80.17,74.45,338.25,225.04,52.10,-285.21,-784.24,-568.06,-1331.64,21.07,88.28,92.38,92.31,161.73,750.18,925.47
ROS_qq,,,,19.00,-28.64,-4.37,36.05,-6.35,21.41,-12.37,-49.13,-34.56,-38.44,-90.89,146.34,-314.85,-200.00,30.57,-113.94,-13.96,-18.69,-3.36,-248.30,-1.74,7.95,-5.44,100.22,11980.00,53.97,26.67,21.39,-5.77,-11.02
ROS_sq,,,,17.84,-32.01,-14.42,61.11,-9.28,-4.28,-9.72,-100.69,-316.67,-3009.00,-46.61,-66.08,94.27,-200.00,30.57,-113.94,153.46,57.45,-126.60,-1620.55,5.03,-7.70,18.65,5.15,85.90,29.92,17.90,861.01,48.48,-11.02
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-192.85,264.45,,,,5.02,-16.76,-20.71,-27.74,-42.95,-56.61,-68.26,-86.93,-87.24,-117.01,-212.22,-531.85,-803.43,-716.15,-61.18,-9.09,5.99,16.85,25.45,46.31,144.77,249.42,360.17,549.63,361.75,36.41,-13.38
RS_sy,,-4.94,10.58,,,,-17.27,-18.44,-5.86,-15.12,-57.86,-64.04,-86.71,-90.61,-76.28,0.22,53.89,392.19,-641.18,80.83,228.60,55.58,30.62,-134.97,-132.98,-121.64,271.02,382.52,403.32,587.84,187.86,61.95,38.32
RS_qq,,,,17.12,-2.24,-6.45,-1.96,-7.17,-6.88,-14.73,-22.60,-29.39,-31.89,-64.89,-24.44,-194.12,-349.48,-35.11,-23.07,-9.20,11.23,8.55,-6.05,3.41,20.41,34.14,188.43,222.35,38.57,13.83,-9.18,-4.77,-12.01
RS_sq,,,,26.59,-14.51,-6.74,-18.03,24.79,-1.32,-15.91,-59.31,6.51,-63.54,-40.57,2.77,350.00,-44.01,90.08,-213.00,250.36,1.75,-10.01,-150.39,24.22,4.05,40.93,498.18,25.19,3.02,-5.00,134.95,-29.57,-12.01
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-235.75,242.54,,,,11.41,-12.36,30.33,19.73,-49.33,-63.68,-81.29,-97.57,-90.31,-127.89,-240.77,-1113.85,-1025.00,-436.67,-108.66,-151.44,-350.42,-316.15,-229.60,-252.02,100.50,126.14,142.56,150.97,12034.48,111.29,25.54
GPM_sy,,-62.54,249.73,,,,-18.36,-10.23,11.02,18.65,-98.76,-99.33,-159.93,-201.48,-14184.62,-1688.24,42.67,69.93,64.64,560.37,291.09,280.27,-174.29,-397.47,-364.48,-372.05,19.12,96.51,101.02,102.94,180.89,2681.40,7054.22
GPM_qq,,,,18.79,-22.59,-5.06,27.61,-6.56,15.12,-12.78,-46.00,-33.01,-40.70,-88.68,115.38,-292.86,-199.26,18.44,-96.51,-11.89,-16.36,1.72,-252.02,-3.38,7.84,-4.97,100.50,5334.48,50.06,25.71,18.37,-5.37,-10.84
GPM_sq,,,,9.96,-24.74,-14.09,14.84,20.91,-6.93,-8.18,-98.80,-34.62,-8391.18,-55.48,-67.10,92.63,-199.26,18.44,-96.51,195.98,24.22,-23.06,-398.99,-4.10,-10.44,20.85,11.11,95.51,132.17,128.92,2346.32,43.29,-10.84
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-112.67,1130.79,,,,3.44,-12.43,-11.51,-14.81,-24.06,-27.99,-41.23,-50.14,-45.31,-54.85,-76.48,-82.85,-100.46,-113.21,-94.49,-77.61,-928.57,98.64,1069.23,966.67,2637.50,148800.00,1088.49,511.88,99.73,19.17,-9.08
RBS_sy,,0.53,11.69,,,,10.94,-3.90,-8.06,-9.42,-30.28,-35.37,-57.55,-59.71,-35.64,-24.63,6.71,48.10,-10.02,26.89,44.68,9.60,-42.21,-82.08,-79.18,-67.96,118.78,436.18,376.55,230.21,118.23,58.89,42.42
RBS_qq,,,,11.21,-1.28,-4.64,-1.20,-5.86,-0.23,-8.20,-11.93,-10.72,-18.58,-22.12,-3.39,-26.29,-57.59,-43.22,-102.61,-2000.00,117.69,130.77,-220.00,97.22,15300.00,110.53,185.47,62.78,21.49,8.39,-6.82,-2.88,-7.31
RBS_sq,,,,9.51,-1.28,-4.64,7.61,-5.14,-5.55,-6.05,-17.17,-12.06,-37.97,-10.82,32.32,2.98,-12.19,23.77,-19.61,45.22,0.13,-6.24,-57.61,-54.98,16.35,44.32,189.41,10.34,3.41,,91.26,-19.66,-7.31
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-167.18,334.06,,,,8.39,-19.76,23.39,10.52,-53.24,-65.67,-81.10,-94.33,-84.30,-110.91,-186.16,-315.00,-445.21,-770.59,-118.79,-238.60,-554.37,-448.65,-298.61,-356.04,105.97,135.71,159.73,166.78,1208.63,105.00,18.73
ROPA_sy,,-56.78,42.05,,,,-10.81,-36.05,-3.83,-15.72,-66.04,-82.68,-100.31,-116.64,-190.38,-127.15,-6500.00,4.02,-325.49,-770.59,22.73,86.51,-25.28,-91.13,-375.69,-4108.62,79.87,136.90,132.15,123.19,414.88,361.80,380.26
ROPA_qq,,,,23.27,-27.41,-2.74,24.55,-8.75,11.63,-12.88,-47.31,-33.01,-38.52,-73.89,46.00,-146.58,-385.29,34.85,-134.42,-17.46,-21.96,-0.83,-353.02,1.52,11.39,-15.36,105.93,488.83,48.19,28.97,16.28,-7.76,-14.17
ROPA_sq,,,,73.47,-26.75,-3.62,-27.18,24.38,10.16,-15.53,-70.65,-36.58,-102.00,-4380.00,-59.38,80.95,-385.29,34.85,-606.51,61.03,56.93,88.63,-6462.07,40.54,-7.20,-0.62,68.62,209.01,-6.59,-27.44,326.15,59.87,-2.85
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,2256.02,-93.83,,,,12.10,4.17,93.83,38.00,-42.74,-59.73,-80.65,-97.40,-88.65,-143.76,-405.57,-2479.59,-2258.23,-682.78,-88.93,-120.80,-340.22,-356.43,-252.21,-420.57,100.17,113.12,119.97,113.62,11692.00,49.91,-1.64
ZNPO_sy,,-43.97,24.19,,,,8.24,-22.13,50.20,34.38,-40.70,-44.32,-60.58,-72.84,8.67,10.82,20.42,89.92,11.37,-221.16,-376.97,-371.93,-175.92,-488.86,-168.24,-249.62,135.99,89.16,91.19,92.91,617.67,373.52,392.80
ZNPO_qq,,,,6.53,-30.29,13.11,33.46,-1.00,29.70,-19.47,-44.62,-30.37,-37.67,-89.18,141.84,-368.35,-335.30,15.77,-119.34,2.67,-5.06,1.56,-337.32,-0.91,18.93,-45.50,100.14,7848.00,23.45,-0.77,21.12,1.04,-19.00
ZNPO_sq,,,,35.16,-39.75,3.13,28.87,-2.76,16.22,-7.73,-43.13,-8.71,-17.71,-36.43,127.53,-6.90,-10.58,0.26,33.43,-201.29,-104.40,1.56,62.75,-685.66,6.89,-28.31,103.83,-336.65,24.33,-3.22,488.30,-9.81,-19.00
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
