,2004/Q4,2005/Q4,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent_qq,,,,5.81,17.23,40.03,18.94,13.92,81.67,15.07,16.98,-12.63,6.27,-23.43,-9.97,-8.13,-21.83,21.53,89.46,7.10,-8.64,7.92,-49.22,-3.95,0.94,-28.16,1.43,-95.52,-339.05,339.84,57.31,232.42,17.09,2.25,20.70,15.94,21.48,9.29,-1.06,27.32,-11.67,-3.98,-9.41,-3.51,16.31,2.62,28.12,21.50,8.87,19.88
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,-44.90,-12.50,,-80.46,,,-51.59,-55.02,-70.99,-64.70,-64.11,-53.20,-20.00,20.24,56.23,48.61,102.04,27.26,-39.52,-48.12,-55.62,-50.01,86.47,107.91,88.22,182.75,41.58,2922.66,,283.72,147.39,-96.65,,-84.04,-79.19,-40.31,-42.48,-46.18,-34.34,-40.21,-17.77,-6.41,2.23,34.88,2.43,-4.15,-32.23,-46.18,-42.49,-50.78
CZOCurrent_sy,497.97,-85.00,,43.57,,,-86.06,67.83,-13.48,7.62,10.41,-21.20,-48.23,-52.32,-51.59,-34.82,16.72,3.59,114.85,39.45,70.77,75.18,-13.93,-30.07,-22.13,-26.52,111.12,11.56,,57.11,-23.18,-9.27,,-34.70,-57.16,-22.07,-33.54,-25.01,-11.36,5.24,-26.83,13.94,3.72,-22.33,68.22,19.50,-6.50,39.02,10.97,-6.92
CZOCurrent_qq,,,,-5.53,-14.64,-28.60,-15.92,-12.23,-44.95,-13.10,-14.51,14.45,-5.91,30.61,11.07,8.87,27.93,-17.73,-47.21,-6.63,9.44,-7.33,96.90,4.11,-0.92,39.22,-1.41,2122.66,,,-36.43,-69.93,-14.58,-2.21,-17.15,-13.75,-17.69,-8.50,1.07,-21.46,13.20,4.15,10.40,3.64,-14.03,-2.55,-21.94,-17.70,-8.14,-16.58
CZOCurrent_sq,,,,-83.25,6.12,-8.64,-14.14,101.63,-45.30,13.64,-11.92,43.91,-64.06,4.66,-10.57,93.77,-35.65,-7.11,85.49,25.76,-21.19,-4.71,-8.86,2.18,-12.24,-10.09,161.88,-46.01,,,28.04,-36.23,-1.20,-19.05,-16.01,16.02,-15.75,-8.66,-0.72,37.74,-41.42,42.24,-9.64,3.15,26.88,1.04,-29.29,53.36,1.28,-15.25
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,-0.13,0.04,,-5.01,,,,6.94,7.41,4.97,,-1.44,-2.15,1.30,,5.26,4.96,1.39,,-1.27,-0.58,0.55,,1.40,0.38,0.51,4.93,1.16,-0.82,-1.72,0.82,-1.89,1.46,-7.66,-8.03,0.57,-3.11,3.07,1.96,-6.32,-7.60,-20.21,-5.10,-10.18,-4.04,14.50,0.56,6.94,20.68,24.67
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,-5.10,0.67,2.88,1.75,1.48,1.12,0.54,-3.07,0.01,0.39,4.09,-4.31,5.27,0.11,0.54,-5.62,3.93,0.81,1.68,-6.14,5.39,-0.20,1.82,-2.02,1.60,-2.15,0.89,0.52,-1.13,1.18,-8.17,0.11,8.12,-2.52,-2.32,-0.96,-0.67,-3.85,-15.65,17.79,-5.99,2.73,0.65,3.45,-0.02,15.92,3.98
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,29.45,9.78,,-73.02,,,-80.24,-86.51,-87.27,-84.27,-83.02,-71.09,-55.02,-26.34,-5.14,0.67,14.16,3.26,0.94,-0.04,1.35,0.10,-0.83,-0.44,-5.90,-1.33,6.52,7.51,10.53,4.99,4.41,-6.26,-11.17,-22.78,-29.86,-24.42,-26.30,-17.95,-10.03,-34.14,-30.28,-38.29,-26.54,-15.55,-20.67,-11.59,-27.90,-20.60,-15.87,-24.44
EVPCurrent_sy,-16.39,-23.54,,37.23,,,-11.20,60.20,-74.95,-3.06,29.75,-25.57,140.85,14.84,-1.94,-3.36,60.29,29.59,62.02,-11.95,1.55,23.74,32.35,5.28,9.66,-10.11,12.32,-2.64,-3.95,-3.12,6.47,-6.41,-6.74,-13.92,-19.48,-25.31,-33.03,-26.22,-30.59,-4.28,21.08,9.90,18.60,5.80,-3.00,1.82,-1.43,12.99,25.94,10.09
EVPCurrent_qq,,,,-14.75,-38.44,-45.34,-31.12,-41.79,-41.94,-32.46,-25.62,-0.90,-9.66,10.61,-4.21,5.18,2.45,0.05,-6.37,4.16,3.88,-1.18,-7.24,4.56,-1.82,3.62,0.14,5.54,0.94,-1.58,-0.42,-5.25,-4.34,-14.45,-9.55,2.10,-6.72,-4.75,-0.82,-25.27,-1.25,-15.68,18.06,-14.09,-7.23,-6.04,-3.72,-5.39,-1.71,-15.61
EVPCurrent_sq,,,,149.54,5.18,-34.20,-48.59,350.20,-83.56,154.67,-31.18,158.24,-46.79,21.43,-41.23,154.49,-11.73,-1.83,-26.53,38.31,1.80,19.61,-21.41,10.03,6.03,-1.95,-1.80,-4.63,4.60,-1.09,7.91,-16.17,4.23,-8.70,0.94,-22.24,-6.55,0.59,-5.04,7.23,18.21,-8.70,2.47,-4.34,8.38,-4.16,-0.79,9.65,20.80,-16.22
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,-44.97,-12.46,,-81.43,,,-51.59,-51.90,-68.84,-62.95,-64.11,-53.87,-21.72,21.81,56.23,56.42,112.07,29.03,-39.52,-48.78,-55.88,-49.73,86.47,110.82,88.93,184.20,48.56,2957.60,-1369.86,277.12,149.42,-96.72,106.91,-85.26,-80.86,-39.97,-44.27,-44.53,-33.05,-43.99,-24.02,-25.33,-2.99,21.15,-1.71,9.74,-31.85,-42.44,-30.60,-38.63
EVEBITCurrent_sy,1163.38,-84.88,,56.69,,,3.27,94.40,-0.02,89.02,-41.25,-24.35,-42.29,-52.76,-45.22,-39.53,-36.74,-73.47,2.26,-27.84,36.52,236.95,16.53,6.00,67.66,-2.82,100.26,50.07,0.85,35.39,4.41,4.72,-1.28,-8.88,-18.85,-22.87,-37.22,-0.12,-8.21,-15.52,-12.29,-13.65,-19.16,-7.01,50.34,7.99,41.31,37.25,26.38,12.94
EVEBITCurrent_qq,,,,-10.36,-14.07,-26.54,-14.45,-10.93,-44.34,-12.63,-17.13,14.46,-5.54,35.95,6.28,14.60,28.07,-17.28,-50.18,-2.95,10.33,-5.77,84.81,9.72,-1.12,41.75,-3.39,2158.18,-141.06,142.10,-36.10,-70.27,-13.57,-10.20,-17.06,-6.75,-19.76,-10.62,0.10,-21.98,8.85,-12.15,30.03,-2.57,-11.69,-1.91,-19.25,-17.71,6.48,-13.26
EVEBITCurrent_sq,,,,-14.17,9.61,-22.69,41.98,61.58,-43.63,46.16,-55.87,108.04,-57.00,19.65,-48.83,129.66,-55.01,-49.82,97.23,62.06,-14.89,23.86,-31.79,47.42,34.62,-28.21,40.56,10.47,-9.53,-3.62,8.40,10.80,-14.72,-11.03,-3.47,5.30,-30.58,41.53,-11.28,-3.09,-27.92,39.33,-16.93,11.47,16.53,0.09,8.70,8.27,7.30,-10.56
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,-36.64,-21.49,,-76.14,,,-52.21,-54.82,-69.24,-63.48,-64.47,-53.27,-23.49,16.02,47.65,49.86,94.17,27.03,-34.91,-44.62,-50.68,-45.56,68.32,89.37,70.93,135.76,35.18,294.67,469.30,93.09,66.79,-75.94,-84.89,-69.55,-68.82,-37.29,-42.89,-43.23,-33.91,-46.01,-31.18,-33.99,-17.47,6.60,-3.80,13.26,-19.91,-29.57,-17.77,-26.57
EVEBITDACurrent_sy,144.21,-28.01,,51.83,,,101.71,92.58,5.22,71.57,-45.86,-27.96,-44.69,-57.48,101.63,-20.02,29.55,-38.76,-43.05,-32.29,47.56,50.18,0.73,23.94,-12.97,88.48,73.50,-4.60,29.78,-7.95,18.63,0.44,-24.73,-34.70,-42.31,-5.07,-8.05,5.97,7.92,-9.18,-8.04,24.07,-3.59,-1.83,8.24,-29.74,-3.39,19.18,13.38,21.77
EVEBITDACurrent_qq,,,,-9.27,-15.13,-27.04,-14.93,-14.23,-42.21,-13.38,-17.24,12.82,-5.38,31.34,5.32,14.51,22.59,-14.08,-46.03,-2.58,9.17,-5.16,66.87,9.61,-1.46,30.80,-4.32,220.01,42.15,-55.64,-17.35,-53.83,-10.76,-10.56,-15.38,-7.14,-18.74,-11.10,-1.48,-24.15,3.59,-14.72,23.17,-2.02,-6.52,0.39,-12.90,-13.84,9.13,-10.34
