,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROA,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,39.37,-14.06,-9.29,,,3.52,,,,-26.59,,,,-41.25,-75.40,-77.14,-83.11,-144.52,-313.89,-561.54,-842.86,-1612.31,-854.98,-326.04
ROA_sy,,108.38,-116.59,265.37,,,-47.12,,,,187.13,,,,-216.55,-735.85,-4.83,-84.85,34.62,16.91,-152.63,-401.64,122.17,125.71,163.80
ROA_qq,,,,,,,8.15,,,,,-11.67,3.64,-18.02,-21.72,-63.01,-3.70,-39.42,-306.35,-77.69,-107.79,2.50,-375.64,0.90,7.30
ROA_sq,,,,,,,861.90,,,,,-81.72,-373.58,77.24,-924.24,0.30,54.90,59.87,-262.30,-26.70,-37.14,20.31,116.01,46.94,240.28
OPM,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,63.12,-28.90,-3.06,,,3.86,,29.04,14.50,-2.20,-25.44,-19.34,-31.73,-47.15,-45.67,-43.82,-48.59,-133.99,-192.69,-317.67,-381.28,-550.96,-128.32,40.58
OPM_sy,,192.92,-76.47,137.55,,,10.32,,63.95,-7.28,18.55,-36.01,-34.28,-56.01,-131.04,-180.02,-367.39,-437.61,-54.10,24.70,39.51,30.30,246.01,311.83,165.23
OPM_qq,,,,,,6.24,8.62,25.51,-10.90,-5.74,-7.21,-4.32,-3.61,-20.22,-28.17,-1.63,-0.33,-27.00,-147.49,-168.27,-134.05,5.67,-9.90,5.91,39.09
OPM_sq,,,,,,50.78,13.62,9.13,-12.30,-14.74,45.29,-41.09,-9.94,-42.93,-202.52,-51.84,-200.94,27.94,53.20,25.80,-141.76,16.98,198.04,7.65,-25.55
ROS,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,46.23,-20.47,-14.23,,,10.24,,35.71,23.50,-9.29,-46.15,-35.09,-47.57,-53.90,-46.89,-49.25,-63.71,-195.24,-287.13,-501.78,-789.36,-1322.78,-688.44,-235.49
ROS_sy,,211.79,-110.08,521.59,,,-7.95,,150.12,-80.89,15.67,-15.52,-367.28,-152.90,-243.16,-440.82,-62.76,-318.29,-6.90,52.10,-127.22,-461.52,130.93,202.81,217.39
ROS_qq,,,,,,5.82,13.00,32.30,-14.21,-3.70,-17.00,-21.46,3.42,-22.22,-27.03,-9.52,-1.17,-44.38,-291.49,-77.78,-112.19,4.57,-295.22,1.48,9.71
ROS_sq,,,,,,287.30,-15.78,-32.06,-53.23,-28.57,409.68,-50.38,-247.96,85.86,-1279.27,-18.13,29.34,63.67,-252.48,47.06,-235.16,10.21,119.42,75.94,282.67
RS,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,6.67,4.63,1.77,,,21.30,,52.71,19.96,23.48,-10.80,-4.01,-16.96,-53.85,-50.62,-54.41,-62.65,-93.40,-154.72,-290.14,-343.23,-2461.90,-152.87,62.22
RS_sy,,208.06,-73.56,50.00,,,148.35,,53.25,-22.08,-17.48,-38.31,-92.79,-70.80,-192.03,-202.63,-1826.67,-320.92,20.65,-31.28,18.66,-25.00,18.63,31.25,67.72
RS_qq,,,,,,21.41,8.14,29.39,-10.11,-4.62,11.31,-6.53,-3.26,-17.50,-38.13,,-10.69,-32.39,-89.06,-928.57,-210.34,13.52,-6.21,11.29,53.64
RS_sq,,,,,,65.03,11.90,2.33,-18.90,-16.09,18.51,-23.51,-90.53,240.00,-473.53,,-59.38,56.50,-34.17,-41.12,1.25,33.15,12.66,-19.24,53.64
GPM,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,59.30,-24.26,-15.25,,,9.40,,32.77,20.28,-2.19,-35.37,-28.21,-42.74,-55.33,-45.05,-47.32,-55.69,-176.57,-244.00,-415.68,-567.76,-1351.91,-626.11,-214.77
GPM_sy,,151.69,-104.26,1527.63,,,-14.29,,556.10,-25.05,15.05,-26.38,-125.28,-92.98,-226.36,-140.45,-782.35,-1112.96,24.93,-183.46,-14.44,-194.70,201.48,222.50,239.81
GPM_qq,,,,,,5.96,9.84,28.70,-11.36,-4.01,-10.68,-14.95,-1.54,-23.44,-30.32,4.60,-5.60,-35.59,-220.39,-96.72,-106.94,4.56,-273.70,1.62,10.29
GPM_sq,,,,,,734.15,-9.36,-8.28,-5.39,-4.71,39.14,-41.31,-132.48,126.47,-2603.70,81.21,-608.66,69.61,-85.56,29.06,-186.11,21.75,163.90,-14.37,226.53
RBS,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sy,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,55.66,-23.12,2.36,,,-2.53,,,,-20.77,,,,-32.76,-74.70,-74.59,-75.98,-116.10,-205.24,-349.73,-402.72,-675.00,-177.11,24.68
ROPA_sy,,25.20,-87.25,258.97,,,8.86,,,,17.59,,,,-149.78,-167.03,-736.84,-441.03,39.01,24.60,24.63,-2.51,382.35,207.22,118.09
ROPA_qq,,,,,,,3.87,,,,,7.55,-3.58,-15.93,-22.88,-59.53,-3.14,-20.54,-151.70,-164.47,-129.85,3.68,-32.36,5.43,37.52
ROPA_sq,,,,,,,217.50,,,,,-17.41,-74.32,23.16,-290.60,-11.21,-143.95,34.05,65.91,-37.50,-143.85,10.31,193.89,-47.79,-58.85
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,1096.26,-107.54,-109.50,,,30.92,,192.87,186.42,221.46,-200.85,340.09,112.89,-82.59,106.14,-88.38,-80.22,-1237.77,796.28,-715.23,-362.23,145.55,2.09,145.47
ZNPO_sy,,-91.24,597.75,-15.93,,,-19.09,,81.53,-41.27,-44.53,-39.64,-81.66,5.51,175.30,376.24,1034.11,115.11,-6.23,94.47,-29.23,-31.95,-12.38,-13.66,9.76
ZNPO_qq,,,,,,-19.17,11.39,292.17,-54.24,10.90,24.54,-259.56,299.71,-46.36,-89.81,-43.73,278.12,-8.74,-685.99,144.33,-359.55,61.10,201.78,-0.65,15.60
ZNPO_sq,,,,,,144.19,-25.68,-64.76,183.80,-21.00,-29.79,-61.65,-13.75,354.40,83.18,-33.66,105.39,-13.82,-20.14,37.57,-25.26,-17.12,2.82,35.55,-4.98
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,,,,,,-48.96,143.55,75.26,250.75,171.44,-38.77,-12.38,-65.95,22.68,40.09,997.77,,,,,,
ZFI_sy,,,,,,,,,-40.74,-5.70,33.82,94.24,54.70,5.64,-10.04,-19.46,-0.92,-7.12,-1.32,,,,,,
ZFI_qq,,,,,,-15.50,-20.88,-8.98,-16.11,303.16,-43.07,82.16,-35.08,-9.06,-18.53,-29.22,133.90,3.85,538.44,,,,,,
ZFI_sq,,,,,,-4.66,-15.79,-15.50,-12.66,51.73,19.51,22.65,-30.44,3.61,1.78,9.80,-14.43,-2.87,8.13,,,,,,
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,-1.88,11.73,1.48,,,-19.36,,,,22.76,,,,1.79,-27.30,-32.95,-34.31,-30.58,3.09,5.77,6.21,22.71,20.93,17.17
DTAR_sy,,-22.21,-14.81,22.94,,,-23.94,,,,5.44,,,,-8.56,-2.96,-15.38,-26.67,-8.37,-11.30,-1.73,-2.77,-0.65,-19.39,-19.75
DTAR_qq,,,,,,,-1.26,,,,,-4.93,7.74,1.38,-1.99,-32.10,-0.62,-0.68,3.57,0.84,1.96,-0.26,19.66,-0.62,-1.21
DTAR_sq,,,,,,,-24.44,,,,,-2.40,6.47,14.98,-23.47,3.58,-7.16,-0.35,-4.38,0.28,2.85,-1.40,-2.30,-18.64,2.40
CG,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,-3.62,25.25,3.22,,,-34.45,,,,49.24,,,,3.92,-37.72,-52.22,-54.22,-49.57,-5.16,8.65,9.20,46.26,42.69,32.58
CG_sy,,-4.68,-19.20,37.04,,,-43.23,,,,44.03,,,,-35.76,-39.84,-24.86,-40.98,-5.94,-21.46,-10.37,-14.39,-17.17,-33.17,-17.34
CG_qq,,,,,,,-2.24,,,,,-10.10,17.26,3.13,-4.42,-46.12,-10.04,-1.19,5.30,1.33,3.06,-0.69,41.03,-1.14,-4.24
CG_sq,,,,,,,-44.36,,,,,15.17,-30.06,27.93,-37.65,7.85,-12.65,0.49,-0.65,-9.94,-0.32,-4.02,-3.87,-27.34,23.30
LDER,,,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,106.81,-41.25,7.37,,,-23.35,,,,343.01,,,,96.32,-22.39,-45.81,-53.50,-63.22,-1.11,0.52,-10.66,31.26,29.34,23.58
LDER_sy,,86.04,32.48,88.37,,,-43.47,,,,-0.74,,,,3.92,-13.90,-15.42,-20.18,-35.03,-13.89,-22.74,-10.97,-9.77,-21.11,-8.87
