,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-128.43,,897.24,,,1107.09,-35.21,-9.69,43.87,49.23,197.46,163.93,59.51,26.29,5.25,-12.79,-9.97,-4.41,24.35,26.76,-12.50,-2.07,-22.98,-27.48,26.21,18.44,16.43,29.80,31.83
ROPA_sy,,-14.62,,,,,28.70,-13.33,22.68,82.73,91.01,1.49,-11.11,5.12,2.26,35.35,45.08,13.11,17.68,-19.06,-12.29,6.46,-5.32,-4.78,-7.57,-25.58,-10.41,-17.69,-7.67,20.17
ROPA_qq,,,,919.86,-0.95,6.90,16.01,-47.25,38.05,70.31,20.33,5.14,22.49,2.93,-4.73,-12.37,1.49,6.26,1.15,14.00,3.46,-26.65,13.19,-10.34,-2.58,27.65,6.23,-11.86,8.60,29.65
ROPA_sq,,,,186.57,-27.71,-37.88,,92.99,2.33,-7.47,4.53,2.54,-10.38,9.43,1.69,35.73,-3.93,-14.69,5.79,-6.65,4.11,3.54,-5.91,-6.12,1.06,-16.64,13.27,-13.75,13.37,8.49
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-467.62,,104.15,,,101.94,52.42,-29.94,85.05,660.70,94.90,251.78,186.84,35.21,31.53,5.43,6.81,12.04,38.61,40.31,21.43,25.58,-26.18,-26.98,-7.59,-17.83,34.43,28.71,-5.08
ZNPO_sy,,31.13,,23.17,,,-39.59,13.56,103.40,105.65,395.38,-36.82,36.94,6.64,-0.15,33.97,-28.11,-19.58,-40.73,-27.08,24.28,32.59,62.10,7.94,-27.00,-56.13,-61.41,4.57,-8.49,111.12
ZNPO_qq,,,,105.16,44.32,-49.48,-48.52,306.09,-33.66,33.44,111.61,4.05,19.73,8.81,-0.25,1.22,-4.03,10.23,4.63,25.22,-2.84,-4.60,8.21,-26.39,-3.90,20.73,-3.79,20.43,-7.99,-10.97
ZNPO_sq,,,,191.51,-65.68,29.11,-53.23,447.94,-38.53,30.54,12.66,-30.12,33.24,1.66,5.49,-6.24,-28.50,13.72,-22.26,15.36,21.85,21.33,-4.95,-23.18,-17.59,-27.10,-16.39,108.17,-27.88,68.19
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,43.09,,-22.06,,,-19.99,10.83,-8.53,-9.93,-31.29,-52.49,-34.86,-15.65,-1.76,-30.01,-74.46,,,-216.44,-382.00,,,235.06,172.21,-207.16,198.74,54.73,-31.09,-22.26
ZFI_sy,,-8.76,,18.53,,,48.70,-7.22,-15.14,-16.41,-12.47,-7.56,6.58,-27.16,-10.29,-10.46,-18.94,,,6.16,-8.62,,,-11.91,17.76,14.20,9.43,13.18,-5.82,9.82
ZFI_qq,,,,-22.06,,,2.66,7.96,-17.46,-1.54,-21.69,-25.35,13.16,27.49,-8.78,-46.81,-58.70,,,,-0.03,160.33,-259.28,240.51,-46.52,-189.52,246.77,120.18,-76.18,-258.82
ZFI_sq,,,,39.61,,,-17.51,-12.90,6.09,9.66,-13.62,-8.01,22.31,-25.05,6.39,-8.19,10.73,,,,-4.69,-0.92,8.00,-13.63,27.42,-3.92,3.49,-10.67,6.03,12.04
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,63.42,,-5.86,,,-4.20,-7.61,-10.10,-25.57,-30.99,-27.91,-37.59,-11.51,-8.76,-0.19,8.58,0.03,-1.07,10.19,18.09,47.45,13.96,-3.67,-7.66,-25.28,-2.20,3.72,6.30,26.09
DTAR_sy,,0.40,,-1.60,,,-8.36,4.06,-19.10,-10.61,-1.89,-4.96,3.60,5.51,8.47,-8.16,1.53,-1.66,4.25,13.05,18.46,23.15,16.66,-5.71,-6.29,-6.75,-14.83,5.82,-0.02,-4.97
DTAR_qq,,,,-2.59,-2.14,-3.43,4.06,-6.06,-4.77,-20.05,-3.52,-1.86,-17.56,13.36,-0.52,7.35,-10.31,4.43,-1.61,19.57,-3.87,30.39,-23.96,1.07,-7.85,5.51,-0.47,7.19,-5.56,25.15
DTAR_sq,,,,3.31,5.66,-2.51,-13.89,17.32,-17.85,7.72,-5.49,13.65,-10.46,9.70,-2.84,-3.77,-1.00,6.26,2.99,4.35,3.74,10.47,-2.44,-15.66,3.09,9.92,-10.89,4.79,-2.60,4.48
CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,163.29,,-12.65,,,-10.70,-17.06,-22.09,-45.21,-53.33,-44.55,-56.87,-18.66,-14.00,-0.09,13.71,0.05,-1.84,18.34,31.86,109.51,24.09,-6.81,-12.97,-43.94,-3.63,7.12,11.25,56.66
