,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PP,20,10,30,20,20,40,50,20,120,60,20,40,50,60,10,10,10,10,0,10,0,10,10,10,10,20,0,20,70,100,120,40,110,140,80,50,200,130,60,90,100,100,20,50,50,40,20,20,20,200,30,20
RCLR,790,600,560,900,1050,720,860,800,740,830,1120,1180,1120,650,830,600,750,470,510,740,1000,1160,1160,1160,1210,1150,1300,1380,810,530,1680,790,1700,1810,1790,1380,1640,1920,1980,1410,1060,800,970,1680,1990,1920,1750,1720,1860,1330,1630,950
KP,230,170,200,160,230,250,210,200,190,370,390,390,370,330,330,70,120,110,80,100,160,410,380,380,360,420,460,450,240,310,570,240,500,520,510,460,470,550,490,450,320,360,320,490,510,540,530,500,490,500,540,360
PKKO,90,80,80,100,130,100,80,100,110,200,250,290,280,210,210,50,90,60,40,70,110,210,210,240,240,210,250,260,170,190,350,200,430,350,330,390,340,340,340,360,320,320,300,540,540,500,540,550,480,420,420,340
RN,10560,5680,5700,5400,5300,5460,5590,5800,5870,5720,5650,5540,5300,5410,5560,5720,5740,5600,5440,5120,4920,4990,4900,4960,5160,5110,5130,5230,5290,5270,5410,5240,5050,4990,4890,4640,4890,4740,4670,4760,4220,4120,4059,3910,3720,3670,3640,3620,3790,4000,4150,4390
CRN,35000,64000,64000,68000,69000,67000,65000,63000,62000,64000,65000,66000,69000,67000,66000,64000,64000,65000,67000,71000,74000,73000,74000,74000,71000,71000,71000,70000,69000,69000,67000,70000,72000,73000,75000,79000,75000,77000,78000,77000,86000,89000,90000,93000,98000,99000,100000,101000,96000,91000,88000,83000
CPZ,44000,79000,84000,87000,84000,78000,72000,72000,80000,80000,77000,71000,64000,65000,68000,84000,92000,100000,112000,111000,102000,88000,77000,67000,60000,61000,59000,56000,63000,73000,73000,88000,73000,59000,58000,49000,47000,48000,48000,46000,61000,74000,86000,84000,75000,64000,55000,55000,54000,54000,53000,61000
RZ,8810,7410,6710,6960,7320,7870,9670,8370,6730,5710,4890,4420,4170,4280,4030,4210,4720,4900,4920,5270,6340,6660,6850,6460,5790,5660,5330,5190,4550,3990,3600,3530,3600,3960,4570,4280,4750,4450,4450,4310,3450,3370,3330,3360,3210,3330,3050,3230,3600,3690,3590,3350
CRZ,41000,49000,54000,52000,50000,46000,38000,44000,54000,64000,75000,83000,87000,85000,91000,87000,77000,75000,74000,69000,58000,55000,53000,56000,63000,65000,68000,70000,80000,91000,101000,103000,101000,92000,80000,85000,77000,82000,82000,85000,106000,108000,109000,109000,114000,110000,120000,113000,101000,99000,102000,109000
RMO,5240,3310,3200,3170,3230,3370,3670,3600,3280,3060,2840,2670,2520,2540,2490,2600,2810,2840,2810,2800,2970,3070,3060,3020,2930,2880,2810,2800,2650,2470,2360,2290,2280,2390,2540,2420,2560,2460,2430,2390,2070,2009,2000,2000,1940,1960,1880,1930,2080,2150,2160,2150
RMT,8290,8330,8530,9100,9380,9760,11550,11120,9050,7900,6790,5790,5410,5450,5050,5340,6040,6140,6180,6380,7120,7650,8039,8150,8090,7940,7910,7750,7050,6680,6190,6140,6190,6280,6800,6570,6840,6620,6190,5530,4500,4290,4390,4690,4660,4880,4900,5280,5940,6260,6130,5990
RM,3210,2370,2330,2350,2400,2510,2780,2720,2410,2210,2000,1830,1720,1730,1670,1750,1920,1940,1930,1950,2100,2190,2220,2200,2150,2110,2070,2060,1930,1810,1710,1670,1670,1730,1850,1770,1860,1790,1740,1670,1420,1370,1370,1400,1370,1400,1360,1410,1540,1600,1600,1580
COP,76000,113000,118000,120000,119000,113000,103000,107000,116000,128000,140000,149000,156000,152000,157000,151000,141000,140000,141000,140000,132000,128000,127000,130000,134000,136000,139000,140000,149000,160000,168000,173000,173000,165000,155000,164000,152000,159000,160000,162000,192000,197000,199000,202000,212000,209000,220000,214000,197000,190000,190000,192000
CSP,32000,34000,34000,33000,35000,35000,31000,35000,36000,48000,63000,78000,92000,87000,89000,67000,49000,40000,29000,29000,30000,40000,50000,63000,74000,75000,80000,84000,86000,87000,95000,85000,100000,106000,97000,115000,105000,111000,112000,116000,131000,123000,113000,118000,137000,145000,165000,159000,143000,136000,137000,131000
