,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZNPO_yy,,-16.79,-11.70,,,3.24,,22.91,-13.51,-37.34,-26.21,-38.32,-67.19,-39.87,-39.87,-88.92,-12.44,-2131.69,-1529.62,-8330.68,-1731.65,111.47,115.89,115.90,119.65,-17.16,-55.88,-86.15
ZNPO_sy,,-14.75,8.26,,,-22.65,,-11.00,-21.73,-42.76,-24.54,-30.44,-40.15,82.69,47.33,19.48,78.66,-90.71,-85.93,-50.67,-67.88,658.35,337.99,78.66,178.08,14.70,10.42,-36.34
ZNPO_qq,,,,,27.70,-1.72,-7.72,6.12,-10.13,-28.80,8.68,-11.31,-52.19,30.48,8.68,-83.66,277.84,-3127.67,23.53,5.92,25.10,121.29,5.93,-5.88,-7.43,-10.25,-43.59,-70.45
ZNPO_sq,,,,,-13.24,-5.00,-0.79,8.83,-23.69,-30.52,30.79,0.31,-34.34,112.09,5.47,-18.65,-1.82,-88.98,59.82,185.24,-36.07,160.22,-7.69,16.35,-0.50,7.34,-11.15,-32.91
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,145.58,-3.52,,,-10.28,,95.56,-5.62,-39.49,-59.18,-58.23,-27.40,68.80,52.75,33.32,104.71,-19.28,-26.34,-45.00,-68.70,31.59,155.76,198.08,662.76,48.19,-75.77,-39.51
ZFI_sy,,-2.98,9.71,,,-6.78,,45.46,-10.64,-14.46,-16.79,-18.48,2.77,43.55,41.89,3.58,24.94,-5.31,-8.37,-0.28,-12.49,-17.27,-21.26,-35.65,-6.85,-27.60,-28.35,-0.26
ZFI_qq,,,,,5.40,-7.00,68.46,18.43,-49.13,-40.38,13.63,21.19,-11.58,38.63,2.83,5.77,35.77,-45.34,-6.16,-21.04,-22.73,129.83,82.39,-7.97,97.71,-55.35,-70.17,129.72
ZFI_sq,,,,,19.35,-1.58,-0.78,24.80,-26.68,-5.78,-3.49,22.27,-7.56,31.61,-4.60,-10.75,11.50,-0.26,-7.68,-2.87,-2.15,-5.71,-12.13,-20.62,41.64,-26.72,-13.04,10.50
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,-13.72,-8.87,,,10.26,,16.93,-8.65,-4.31,-5.53,-1.12,8.78,6.84,9.22,6.36,1.27,39.95,37.18,28.37,23.96,-10.88,-12.36,-10.99,-11.03,-11.15,-6.51,-3.03
DTAR_sy,,-4.17,-1.52,,,9.92,,9.57,5.83,-4.01,-1.19,0.18,3.58,8.96,4.81,10.52,5.78,8.31,11.90,9.31,10.07,1.12,3.32,-1.31,-0.53,-2.48,-2.96,-4.34
DTAR_qq,,,,,23.22,-1.92,-1.64,-1.64,-3.74,2.75,-2.89,2.95,5.90,0.91,-0.72,0.25,0.84,39.45,-2.69,-6.19,-2.63,0.25,-4.30,-4.72,-2.67,0.12,0.69,-1.17
DTAR_sq,,,,,5.45,9.25,-3.87,-1.06,1.85,-0.91,-1.05,0.31,5.31,4.24,-4.81,5.77,0.79,6.74,-1.66,3.32,1.49,-1.94,0.48,-1.31,2.29,-3.86,-0.02,-2.71
CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,-24.13,-14.64,,,18.16,,29.17,-14.54,-7.36,-9.28,-1.91,15.65,12.28,16.49,11.38,2.29,105.41,93.99,65.52,53.52,-24.37,-26.28,-22.16,-21.69,-21.94,-12.90,-5.96
CG_sy,,-6.62,-1.67,,,-7.43,,-15.75,2.06,9.03,16.39,29.09,-2.86,10.57,5.22,19.81,18.49,22.42,24.65,12.29,11.30,1.79,10.85,-1.99,-3.23,-2.81,-12.90,-3.73
