,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.12,24.00,-7.48,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-1231.05,63.33,,,75.83,,-654.22,-698.96,-1380.82,-700.35,-68.00,23.89,65.68,54.05,74.85,54.99,53.00,46.19,-47.80,102.10,111.30,120.91,81.91,-2571.41,-15.84,-138.09,197.29,157.15,328.12,717.44,58.57,50.80,30.38,7.12,144.60,156.54,4.50,7.60,-56.26
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,,-178.29,-18.09,-499.46,-8.07,-93.57,36.18,-25.83,51.04,12.72,14.56,31.13,12.37,8.85,2.19,-89.19,101.25,389.80,81.04,-263.73,-70.23,116.68,-181.93,518.22,,24.95,18.16,7.40,-4.90,8.03,-2.92,145.25,-0.26,-55.99,-0.04,-0.30
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,,-15.85,,,67.48,,-168.48,-164.12,-449.39,-389.97,24.05,69.20,85.05,76.38,67.09,-24.03,-38.88,-90.99,-409.16,112.19,121.13,132.51,80.98,-1065.87,21.96,-149.48,226.08,175.35,1557.55,3225.53,642.57,401.69,16.88,-2.51,75.08,183.08,37.14,-5.35,-17.06
EVPCurrent_sy,,,103.62,,,104.97,,60.77,-20.05,-11.84,44.83,-10.92,16.33,0.53,-12.69,-32.45,73.76,-15.47,10.92,29.39,-10.96,-45.70,-51.99,-79.51,-74.73,-17.53,-35.30,22.63,76.29,5.71,16.53,31.45,24.75,11.64,27.94,14.77,-7.90,5.24,30.16,21.92
EVPCurrent_qq,,,,,0.28,-121.82,35.21,-383.15,6.10,-86.91,42.22,25.11,61.92,9.26,8.71,-4.35,-43.49,-1.60,-25.54,-178.18,103.44,76.10,93.19,-262.72,-74.48,122.23,-178.38,514.61,4.28,389.09,47.80,-1.50,-29.54,13.94,23.29,76.90,13.92,-44.80,-14.91,55.02
EVPCurrent_sq,,,,,-36.73,73.85,-31.32,112.82,-68.54,91.70,12.82,30.89,-58.91,65.66,-2.01,1.26,5.71,-19.41,28.58,18.12,-27.25,-50.86,13.69,-49.59,-10.26,60.35,-10.80,-4.47,29.01,-3.84,-1.67,7.76,22.44,-13.95,12.69,-3.33,-1.76,-1.67,39.38,-9.45
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-6.04,146.25,,,-64.22,,2661.87,1159.72,1087.91,55.12,-42.68,5.74,-52.91,-58.90,-91.33,-93.18,-88.65,-82.30,-14.10,-103.81,-126.88,-182.19,-28.07,4800.00,30.05,123.83,-135.93,-120.00,919.67,945.83,270.53,252.81,-120.98,-119.22,-218.41,-224.59,-1058.70,-1029.03,-354.31
EVEBITCurrent_sy,,-92.83,65.89,,,271.59,,2800.10,1159.72,-11.64,183.99,-21.50,5.74,-15.61,-7.99,-8.74,64.63,-18.94,-0.52,-28.11,11.34,-54.62,-84.23,-76.06,-88.17,-42.87,13.77,62.45,186.96,36.58,89.17,32.10,20.16,29.31,-59.46,-69.15,-81.66,-36.91,-37.82,-60.38
EVEBITCurrent_qq,,,,,-8.19,206.34,352.71,391.90,-55.25,19.20,-40.88,81.77,-17.45,-46.91,-48.40,-61.66,-35.05,-11.68,-19.52,86.05,-102.88,-523.35,-146.09,262.84,88.15,-109.28,183.82,-345.56,-4.75,480.18,6.95,-59.96,-6.14,-152.19,2.03,-146.72,1.23,-385.37,4.54,0.72
EVEBITCurrent_sq,,,,,-8.19,2072.26,-70.89,334.69,-57.54,64.44,-6.43,20.15,-42.80,31.24,2.02,19.17,3.18,-35.38,25.20,-13.88,59.80,-73.66,-56.49,30.75,-21.05,27.19,-13.35,86.70,39.47,-39.46,20.00,30.37,26.86,-34.85,-62.38,-0.79,-24.56,124.07,-62.92,-36.79
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,8.63,153.48,,,-61.12,,4933.09,1275.03,1078.25,-32.00,-62.18,151.82,-35.14,-55.07,-93.01,-97.43,-92.27,-85.38,-20.65,-103.69,-126.71,-188.00,-23.04,5153.92,32.40,121.90,-131.52,-117.17,768.30,771.56,257.48,244.93,-123.91,-121.45,-226.23,-231.04,-1195.93,-1146.93,-374.99
EVEBITDACurrent_sy,,-92.62,69.14,,,241.32,,2861.94,1275.03,-8.81,56.50,-33.81,19.02,-12.61,-6.55,-15.44,5.01,-18.50,-0.05,-26.28,2.72,-54.16,-83.64,-75.37,-85.24,-41.54,14.26,61.69,170.78,35.88,88.33,32.45,20.59,25.31,-10.29,-70.65,-82.40,-36.06,-72.69,-59.24
EVEBITDACurrent_qq,,,,,-4.69,213.50,937.13,292.15,-74.55,13.82,-40.15,118.14,69.46,-70.68,-58.54,-66.06,-37.78,-11.71,-21.60,84.24,-102.90,-538.71,-158.30,261.12,90.14,-108.54,183.67,-331.89,-3.58,432.55,9.12,-58.10,-4.68,-154.86,2.07,-146.52,1.05,-442.51,5.77,6.09
EVEBITDACurrent_sq,,,,,-4.69,1651.62,-44.81,208.07,-55.46,20.41,-5.28,30.29,-19.90,-11.59,1.29,17.89,-0.53,-31.38,24.22,-13.04,38.59,-69.38,-55.67,30.93,-16.93,21.25,-13.36,85.28,39.11,-39.16,20.09,30.30,26.66,-36.77,-14.03,-57.37,-24.05,129.70,-63.28,-36.36
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,197.05,-96.44,,,1537.61,,,,-68.35,-87.62,4.86,-36.10,156.81,385.89,-241.12,-85.19,4.00,-92.03,168.27,536.23,8.88,2410.85,-39.15,-99.43,-230.80,-184.87,-1043.39,-125790.00,-818.33,-724.95,65.26,57.58,-1627.70,-1267.58,-6432.34,-8460.28,162.19,180.95,124.20
ROE_sy,,56.67,-79.61,,,231.17,,,,1.29,10.54,28.31,-11.15,41.37,22.18,-15.00,-66.04,-41.73,-45.97,-22.80,100.46,63.65,93.70,329.04,18.71,-18.32,-27.65,-72.12,-11.27,-1.76,22.61,11.31,-1.28,0.79,-23.59,-8.21,29.51,-2.64,13.56,6.08
