,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
KP_sy,,-0.33,-25.35,28.98,,-9.43,,,-1.39,23.67,115.95,30.15,17.66,48.85,19.49,-45.07,-40.67,-44.24,-36.68
KP_qq,,,,,,100.61,29.61,-15.38,-55.37,-106.17,-1080.00,115.25,2244.44,-6.16,121.97,-18.09,-4.44,-185.90,213.87
KP_sq,,,,,,-31.52,-29.36,79.62,13.47,-14.11,23.35,8.26,2.58,8.66,-0.98,-50.23,10.80,2.12,12.45
PKKO,,,,,,,,,,,,,,,,,,,
PKKO_yy,,1141.00,-158.49,,,,,,-37.67,-103.33,-132.19,-94.39,176.95,4297.13,906.89,4266.85,73.47,-271.49,-16.02
PKKO_sy,,49.67,-18.06,,,,,,-2.89,11.46,74.07,-49.47,-29.99,-30.48,-36.92,23.41,19.96,19.36,14.21
PKKO_qq,,,,,,13.62,25.91,-10.28,-51.44,-106.07,-1117.56,115.63,2298.12,-8.04,134.07,-15.40,-4.74,-190.91,214.63
PKKO_sq,,,,,,-12.33,-29.27,101.28,-22.20,0.62,10.47,-41.57,7.79,-0.09,0.24,14.31,4.78,-0.58,-4.09
RN,,,,,,,,,,,,,,,,,,,
RN_yy,,28.75,-54.39,,,,,,418.60,0.65,3.73,17.80,9.48,14.04,0.36,-16.69,-20.85,-34.14,-31.63
RN_sy,,-3.70,68.60,,,,,,9.98,-3.29,-6.37,27.56,36.45,19.04,20.89,-14.27,-10.16,-16.78,-9.11
RN_qq,,,,,,434.05,1.09,-6.26,2.48,3.65,4.19,6.45,-4.76,7.97,-8.31,-11.64,-9.52,-10.16,-4.83
RN_sq,,,,,,41.08,-14.85,0.08,-8.52,24.06,-17.56,36.35,-2.14,8.22,-16.28,-3.30,2.55,0.25,-8.57
CRN,199000,155000,340000,,833000,156000,154000,165000,161000,155000,149000,140000,147000,136000,148000,168000,185000,206000,217000
CRN_yy,,-22.11,119.35,,,,,,-80.67,-0.64,-3.25,-15.15,-8.70,-12.26,-0.67,20.00,25.85,51.47,46.62
CRN_sy,,6.02,-41.48,,,,,,2.35,2.67,10.34,-18.56,-21.84,-15.58,-9.38,14.71,13.97,20.00,14.48
CRN_qq,,,,,,-81.27,-1.28,7.14,-2.42,-3.73,-3.87,-6.04,5.00,-7.48,8.82,13.51,10.12,11.35,5.34
CRN_sq,,,,,,-11.76,-3.33,15.17,4.19,-11.49,3.90,-15.00,,-4.41,11.54,7.59,-0.64,0.65,6.41
CPZ,562000,573000,848000,,1638000,454000,432000,450000,483000,491000,526000,610000,638000,632000,622000,558000,532000,726000,703000
CPZ_yy,,1.96,47.99,,,,,,-70.51,8.15,21.76,35.56,32.09,28.72,18.25,-8.52,-16.61,14.87,13.02
CPZ_sy,,3.75,-12.00,,,,,,-13.44,6.33,-1.50,-4.81,8.45,-6.70,-16.46,0.80,-16.71,13.43,12.12
CPZ_qq,,,,,,-72.28,-4.85,4.17,7.33,1.66,7.13,15.97,4.59,-0.94,-1.58,-10.29,-4.66,36.47,-3.17
CPZ_sq,,,,,,-10.61,5.80,-1.50,-7.09,9.81,-1.99,-4.81,5.85,-5.53,-12.23,14.85,-12.53,28.66,-13.25
RZ,,,,,,,,,,,,,,,,,,,
RZ_yy,,20.20,-73.33,,,,,,4.27,-36.89,-32.70,-25.55,-12.18,-20.13,-26.27,-24.73,-20.08,-16.38,-8.09
RZ_sy,,-13.01,-5.76,,,,,,-29.67,-10.88,36.70,29.90,32.05,6.38,-1.55,-19.27,-11.47,4.46,3.23
RZ_qq,,,,,,65.06,-6.32,-15.68,-20.03,-0.09,-0.10,-6.72,-5.68,-9.13,-7.77,-4.78,0.15,-4.92,1.37
RZ_sq,,,,,,-11.65,-30.34,22.67,-6.84,11.94,6.86,16.57,-5.30,-9.82,-1.11,-4.40,3.84,6.41,-2.28
CRZ,518000,431000,1615000,,562000,341000,363000,431000,539000,540000,540000,579000,614000,676000,732000,769000,768000,808000,797000
CRZ_yy,,-16.80,274.71,,,,,,-4.09,58.36,48.76,34.34,13.91,25.19,35.56,32.82,25.08,19.53,8.88
CRZ_sy,,14.96,8.62,,,,,,24.64,12.13,-26.87,-23.31,-12.78,-5.96,1.63,24.44,13.09,-4.28,-3.21
CRZ_qq,,,,,,-39.32,6.45,18.73,25.06,0.19,,7.22,6.04,10.10,8.28,5.05,-0.13,5.21,-1.36
CRZ_sq,,,,,,14.41,43.55,-18.20,-7.22,2.93,,-14.22,5.53,10.97,1.18,5.03,-4.09,-6.08,2.31
RMO,,,,,,,,,,,,,,,,,,,
RMO_yy,,-33.58,9.06,,,,,,220.72,-14.88,-6.09,-0.27,-4.49,-16.69,-33.86,-32.41,-25.73,-25.28,-6.95
RMO_sy,,-13.59,-0.78,,,,,,0.78,-4.34,-2.98,-16.25,12.72,-3.00,4.17,4.97,6.12,10.98,14.00
RMO_qq,,,,,,302.81,-3.59,-12.14,-6.01,6.91,6.36,-6.69,-9.99,-6.75,-15.55,-4.64,-1.10,-6.18,5.16
RMO_sq,,,,,,18.61,-9.14,16.04,-19.41,12.58,-7.84,0.16,8.47,-3.13,-1.02,0.93,9.66,1.31,1.67
RMT,,,,,,,,,,,,,,,,,,,
RMT_yy,,1.53,-2.41,,,,,,234.19,0.63,-6.75,-3.91,-0.90,-2.74,-1.40,-4.07,-2.71,-9.48,-11.71
RMT_sy,,97.20,-6.87,,,,,,19.66,31.67,39.13,23.45,0.76,33.26,26.15,17.42,-2.86,25.23,-16.04
RMT_qq,,,,,,241.03,5.89,-3.08,-4.52,2.69,-1.87,-0.13,-1.52,0.77,-0.51,-2.83,-0.13,-6.23,-2.97
RMT_sq,,,,,,-18.78,-4.93,15.63,34.04,-10.63,0.46,2.59,9.40,18.19,-4.90,-4.51,-9.49,52.37,-36.24
RM,,,,,,,,,,,,,,,,,,,
RM_yy,,-2.69,-3.11,,,,,,234.63,-0.84,-6.28,-3.90,-2.77,-5.94,-7.85,-8.70,-5.10,-10.68,-9.75
RM_sy,,33.47,-12.03,,,,,,5.92,5.32,34.50,26.07,5.30,31.88,9.44,-15.98,-17.64,4.29,1.44
RM_qq,,,,,,247.80,4.91,-4.01,-4.46,3.06,-0.85,-1.57,-3.33,-0.30,-2.86,-2.48,0.48,-6.16,-1.85
RM_sq,,,,,,-3.74,-13.73,21.94,4.60,-4.29,10.17,14.30,-12.63,19.86,-8.57,-12.25,-14.35,51.77,-11.07
COP,717000,586000,1955000,,1395000,497000,517000,596000,700000,695000,689000,719000,761000,812000,880000,937000,953000,1014000,1014000
COP_yy,,-18.27,233.62,,,,,,-49.82,39.84,33.27,20.64,8.71,16.83,27.72,30.32,25.23,24.88,15.23
COP_sy,,15.52,27.28,,,,,,17.83,-6.44,-21.52,-18.25,-27.51,-4.08,8.61,26.43,-0.42,-0.80,-14.88
COP_qq,,,,,,-64.37,4.02,15.28,17.45,-0.71,-0.86,4.35,5.84,6.70,8.37,6.48,1.71,6.40,
COP_sq,,,,,,1.08,14.66,-8.58,11.20,-19.73,-3.82,-4.77,-1.39,6.21,8.90,10.85,-22.33,5.81,
CSP,155000,13000,1107000,,-243000,43000,85000,146000,217000,204000,163000,109000,123000,180000,258000,379000,421000,288000,311000
CSP_yy,,-91.61,8415.38,,,,,,189.30,374.42,91.76,-25.34,-43.32,-11.76,58.28,247.71,242.28,60.00,20.54
CSP_sy,,-11.82,54.97,,,,,,10.05,22.44,-20.95,-37.21,-28.04,-27.59,13.11,41.88,21.15,-17.29,-24.88
CSP_qq,,,,,,117.70,97.67,71.76,48.63,-5.99,-20.10,-33.13,12.84,46.34,43.33,46.90,11.08,-31.59,7.99
CSP_sq,,,,,,7.66,2.89,5.94,-6.22,19.78,-33.58,-15.85,7.47,20.54,3.76,5.56,-8.24,-17.71,-5.76
