,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
SP1_sy,,15.13,-7.50,,,,-0.56,-1.94,-5.29,0.82,-4.56,-2.41,3.14,4.25,4.04,2.07,2.03,-2.99,1.21,1.44,6.54
SP1_qq,,,,-0.03,4.12,5.89,7.45,2.28,-0.55,3.79,-5.97,5.99,-18.18,-4.65,-0.92,2.99,-6.05,4.22,0.11,4.33,-3.54
SP1_sq,,,,2.42,-3.19,-4.25,4.74,1.00,-6.50,1.94,-0.85,3.27,-1.19,3.04,-1.06,1.32,-1.22,-2.04,3.22,1.55,3.75
SP2,,,,,,,,,,,,,,,,,,,,,
SP2_yy,,7.85,1.39,,,,13.07,15.48,10.67,9.29,-2.69,6.04,-7.60,-14.93,-10.64,-17.45,-9.71,-1.06,-0.91,0.56,3.03
SP2_sy,,4.32,-1.82,,,,-0.53,-0.19,-0.96,1.91,-0.28,2.95,2.18,4.31,-0.03,-0.32,0.56,-3.82,3.69,3.74,3.30
SP2_qq,,,,-0.71,3.18,4.56,5.56,1.41,-1.12,3.26,-6.02,10.51,-13.84,-4.94,-1.27,2.08,-5.76,4.17,-1.11,3.60,-3.45
SP2_sq,,,,0.60,-1.65,-0.79,1.33,0.94,-2.41,2.08,-0.85,4.21,-3.14,4.21,-4.97,3.91,-2.29,-0.32,2.45,3.96,-2.70
CAR,,,,,,,,,,,,,,,,,,,,,
CAR_yy,,131.43,-85.19,,,,550.00,87.61,-78.95,466.67,182.05,-15.57,2425.00,136.97,71.36,46.37,,-16.67,-36.07,19.08,1119.80
CAR_sy,,40.90,-16.91,,,,-15.23,-7.40,-6.16,43.10,-3.79,3.49,-3.28,11.42,26.45,64.92,,6.07,-3.45,-23.00,36.97
CAR_qq,,,,841.67,-83.19,10.53,271.43,171.79,-98.11,2875.00,84.87,-18.64,-43.58,179.21,33.69,-30.50,-61.45,132.67,2.55,29.46,294.87
CAR_sq,,,,-39.58,-2.08,-21.86,83.38,-34.00,-0.78,19.16,23.29,-29.00,-7.27,37.27,39.93,-7.41,-24.27,8.10,27.37,-26.16,34.71
QR,,,,,,,,,,,,,,,,,,,,,
QR_yy,,18.69,-17.66,,,,13.15,4.75,-11.92,9.17,14.50,48.19,34.47,-6.63,-11.58,-26.88,-26.38,0.34,-7.20,6.38,19.17
QR_sy,,9.95,-10.62,,,,-3.81,2.65,-2.65,-3.45,-5.74,-6.43,-7.09,-5.82,2.06,11.04,1.39,8.83,2.30,-2.70,1.94
QR_qq,,,,9.14,8.51,-1.97,-2.54,1.03,-8.75,21.50,2.21,30.76,-17.20,-15.63,-3.21,8.14,-16.63,14.99,-10.49,23.97,-6.62
QR_sq,,,,2.89,0.35,6.85,-12.81,9.80,-4.83,5.97,-14.88,8.99,-5.50,7.42,-7.75,18.57,-13.71,15.30,-13.29,12.78,-9.59
CR,,,,,,,,,,,,,,,,,,,,,
CR_yy,,23.93,-1.84,,,,6.07,5.64,-6.60,7.42,15.34,37.25,23.91,-5.00,-5.87,-19.64,-19.23,-3.72,-13.50,-6.10,-5.73
CR_sy,,6.96,-4.41,,,,7.86,9.28,0.96,-5.97,-10.04,-3.03,-1.86,5.55,0.15,-0.31,1.85,-4.48,4.13,-3.15,2.31
CR_qq,,,,-4.61,8.64,3.70,-1.30,-5.00,-3.95,19.27,5.98,13.05,-13.28,-8.57,5.01,-3.49,-12.84,9.00,-5.65,4.77,-12.51
CR_sq,,,,-2.27,-1.96,9.90,2.44,-0.99,-9.43,2.36,-1.99,6.73,-8.33,10.09,-7.02,6.24,-6.34,3.24,1.36,-1.18,-1.07
PP,,,,,,,,,,,,,,,,,,,,,
PP_yy,,93.62,-78.02,,,,295.00,82.31,-81.48,252.94,1282.28,613.50,14880.00,309.17,-65.29,-81.73,-86.38,-51.93,-30.08,1.62,1108.82
PP_sy,,37.13,28.86,,,,-19.17,-0.26,19.78,-11.47,-11.09,12.24,19.25,51.26,12.17,73.60,-22.33,-26.63,10.38,-30.07,28.39
PP_qq,,,,550.00,-79.23,25.93,132.35,200.00,-97.89,2300.00,810.00,54.85,-55.71,-34.45,-22.81,-18.47,-66.99,131.37,12.29,18.49,292.68
PP_sq,,,,-47.41,-7.31,14.33,45.04,-35.11,11.31,-15.49,45.66,-18.09,18.26,7.20,8.02,26.77,-47.09,1.25,62.51,-19.69,-2.84
RCLR,,,,,,,,,,,,,,,,,,,,,
RCLR_yy,,19.63,-17.13,,,,12.70,3.63,-11.98,8.35,4.48,34.91,26.46,-10.29,-5.89,-19.89,-22.63,3.06,-6.91,5.99,6.96
RCLR_sy,,18.91,-9.87,,,,-16.28,-5.81,0.65,6.61,5.26,-0.41,-9.88,-12.88,-10.72,-9.85,4.94,1.01,5.27,9.20,-6.84
RCLR_qq,,,,8.00,9.68,-2.23,-2.68,-0.70,-6.84,20.36,-6.16,28.23,-12.68,-14.62,-1.56,9.15,-15.66,13.73,-11.08,24.26,-14.89
RCLR_sq,,,,-3.34,-2.85,7.52,-17.08,8.75,3.81,13.89,-18.12,2.89,-6.06,10.09,-16.09,3.89,9.35,5.97,-12.55,7.76,-6.72
KP,,,,,,,,,,,,,,,,,,,,,
KP_yy,,42.15,0.27,,,,20.03,22.34,3.88,14.78,7.17,30.08,8.98,-19.19,-16.23,-27.99,-25.20,-4.04,-10.69,-3.59,-1.69
KP_sy,,2.30,-0.50,,,,4.86,5.86,10.21,-14.98,-10.77,6.88,6.36,26.99,5.53,1.39,-6.47,-9.94,3.43,-8.43,3.86
KP_qq,,,,-5.15,11.95,8.23,4.44,-3.32,-4.94,19.58,-2.48,17.35,-20.36,-11.33,1.09,0.87,-17.27,13.75,-5.91,8.89,-15.65
KP_sq,,,,-0.47,-11.44,20.68,-1.42,0.48,-7.80,-6.91,3.47,20.35,-8.25,11.14,-14.01,15.63,-15.36,7.01,-1.24,2.36,-3.99
PKKO,,,,,,,,,,,,,,,,,,,,,
PKKO_yy,,30.24,-7.77,,,,12.07,19.49,7.93,6.35,5.58,31.75,23.25,13.04,17.90,-1.74,-9.15,-1.32,-14.25,-8.75,-3.05
PKKO_sy,,2.80,-0.54,,,,7.35,14.96,-3.85,-13.61,0.39,-6.73,21.25,51.52,22.51,12.02,27.25,-13.74,-0.50,21.17,-10.52
PKKO_qq,,,,-8.25,2.55,10.42,7.85,-2.17,-7.36,8.80,7.07,22.08,-13.34,-0.21,11.67,1.74,-19.88,8.40,-2.96,8.27,-14.88
PKKO_sq,,,,11.44,-7.64,26.49,-17.54,19.33,-22.75,13.66,-4.18,10.86,0.42,42.04,-22.53,1.37,14.07,-3.71,-10.63,23.45,-15.76
RN,,,,,,,,,,,,,,,,,,,,,
RN_yy,,18.81,23.66,,,,1.89,2.97,-5.06,-5.47,-1.47,-2.16,-0.15,-3.98,-9.32,-8.29,-8.99,-7.09,-6.23,-9.08,-11.08
RN_sy,,-1.81,-4.49,,,,3.52,-1.12,-4.79,-12.12,-15.40,0.20,7.41,18.52,26.22,14.52,-1.56,-7.67,-9.10,-11.50,-0.39
RN_qq,,,,-2.23,5.61,0.65,-1.96,-1.19,-2.63,0.22,2.19,-1.88,-0.63,-3.63,-3.50,-0.76,-1.39,-1.61,-2.61,-3.78,-3.56
RN_sq,,,,1.98,0.09,1.25,0.17,-2.59,-3.62,-6.56,-3.56,15.37,3.31,3.11,2.70,4.68,-11.20,-3.28,1.10,1.92,-0.05
CRN,79000,67000,54000,55000,52000,52000,53000,54000,55000,55000,54000,55000,55000,57000,59000,60000,61000,62000,63000,66000,68000
CRN_yy,,-15.19,-19.40,,,,-1.85,-1.82,5.77,5.77,1.89,1.85,,3.64,9.26,9.09,10.91,8.77,6.78,10.00,11.48
CRN_sy,,2.31,3.76,,,,-2.90,1.47,5.15,14.18,17.91,-0.72,,-15.69,-20.25,-12.41,-6.72,7.75,9.52,13.33,8.00
CRN_qq,,,,1.85,-5.45,,1.92,1.89,1.85,,-1.82,1.85,,3.64,3.51,1.69,1.67,1.64,1.61,4.76,3.03
CRN_sq,,,,-1.45,,,,2.99,3.62,,3.27,-13.29,,-3.73,-2.33,-4.76,4.17,11.20,-0.72,-1.45,-0.74
CPZ,86000,61000,59000,58000,53000,52000,51000,51000,55000,53000,52000,49000,46000,49000,52000,55000,60000,60000,63000,64000,66000
CPZ_yy,,-29.07,-3.28,,,,-13.56,-12.07,3.77,1.92,1.96,-3.92,-16.36,-7.55,,12.24,30.43,22.45,21.15,16.36,10.00
CPZ_sy,,2.81,-9.84,,,,17.58,8.33,8.74,5.79,4.64,1.03,3.52,2.49,,8.63,-5.34,3.88,-0.48,-3.74,5.13
CPZ_qq,,,,-1.69,-8.62,-1.89,-1.92,,7.84,-3.64,-1.89,-5.77,-6.12,6.52,6.12,5.77,9.09,,5.00,1.59,3.12
CPZ_sq,,,,9.09,1.67,3.83,2.11,,2.05,1.01,1.00,-2.96,4.57,,0.97,2.88,-8.88,,-3.27,-0.48,-0.49
RZ,,,,,,,,,,,,,,,,,,,,,
RZ_yy,,11.28,-19.50,,,,26.24,10.21,-6.44,-5.77,-8.19,-8.18,0.19,-5.44,-9.35,-11.29,-17.10,-10.28,-4.19,4.23,20.77
RZ_sy,,11.25,8.94,,,,-5.86,-2.89,0.68,0.93,-0.73,-6.93,-6.57,-8.40,-9.21,-1.47,-1.11,-8.44,-2.15,-3.59,-2.41
RZ_qq,,,,13.47,10.59,-0.62,1.22,-0.94,-6.12,0.10,-1.37,-0.94,2.44,-5.53,-5.45,-3.06,-4.27,2.24,0.97,5.47,10.93
RZ_sq,,,,-3.08,-3.06,-0.39,0.60,-0.03,0.51,-0.15,-1.05,-6.27,0.89,-2.11,-1.92,1.71,1.26,-9.36,4.81,0.22,2.50
CRZ,42000,38000,47000,41000,37000,37000,37000,37000,40000,40000,40000,41000,40000,42000,44000,46000,48000,47000,46000,44000,40000
CRZ_yy,,-9.52,23.68,,,,-21.28,-9.76,8.11,8.11,8.11,10.81,,5.00,10.00,12.20,20.00,11.90,4.55,-4.35,-16.67
CRZ_sy,,-10.39,-7.97,,,,5.51,3.05,-0.74,-0.74,0.75,7.41,,9.63,11.85,2.07,-5.56,,1.32,3.38,9.56
CRZ_qq,,,,-12.77,-9.76,,,,8.11,,,2.50,-2.44,5.00,4.76,4.55,4.35,-2.08,-2.13,-4.35,-9.09
CRZ_sq,,,,3.15,3.05,,,,-0.74,,,7.41,-0.69,2.78,2.03,-1.99,-8.11,8.82,3.38,,-2.61
RMO,,,,,,,,,,,,,,,,,,,,,
RMO_yy,,14.70,4.40,,,,12.23,5.85,-5.90,-5.79,-5.13,-5.90,-2.23,-7.51,-10.82,-9.28,-11.19,-6.39,-4.00,-3.63,-1.72
RMO_sy,,-3.53,-9.91,,,,10.48,4.12,-3.17,-6.53,-3.23,-1.70,1.46,4.06,2.96,-0.70,-3.36,-2.74,-6.08,-0.85,-3.95
RMO_qq,,,,4.37,8.06,0.30,-0.78,-1.57,-3.93,0.41,-0.09,-2.36,-0.19,-5.01,-3.66,-0.68,-2.29,0.13,-1.20,-0.30,-0.35
RMO_sq,,,,6.44,6.56,0.33,-2.91,0.31,-0.91,-3.15,0.52,1.89,2.28,-0.67,-0.53,-1.73,-0.46,-0.03,-3.94,3.73,-3.57
RMT,,,,,,,,,,,,,,,,,,,,,
RMT_yy,,-4.17,11.87,,,,24.59,23.52,20.61,22.19,8.38,-5.55,-20.62,-33.24,-35.87,-35.29,-28.78,-17.54,-5.85,2.86,11.08
RMT_sy,,10.54,-16.11,,,,-4.39,-3.82,0.17,-1.91,-5.81,-8.54,-10.23,-11.60,-2.51,1.31,8.20,14.58,13.06,16.54,6.77
RMT_qq,,,,7.33,7.70,1.97,5.69,6.41,5.17,3.30,-6.25,-7.27,-11.62,-13.11,-9.95,-6.43,-2.72,0.60,2.82,2.23,5.06
RMT_sq,,,,1.66,-4.03,-0.16,-1.84,2.26,-0.05,-2.23,-5.74,-0.71,-1.89,-3.72,3.94,3.19,4.78,1.95,2.57,6.37,-4.01
RM,,,,,,,,,,,,,,,,,,,,,
RM_yy,,6.15,7.66,,,,17.30,12.77,3.92,4.39,-0.02,-5.76,-9.96,-18.88,-22.31,-21.60,-19.54,-11.67,-4.86,-0.66,3.97
RM_sy,,4.89,-11.93,,,,5.95,4.53,-3.64,-6.44,-10.46,-13.85,-8.90,-4.23,2.45,10.07,9.38,11.07,13.19,15.73,11.38
RM_qq,,,,5.64,7.91,1.01,1.88,1.55,-0.56,1.46,-2.42,-4.28,-4.99,-8.59,-6.54,-3.40,-2.50,0.35,0.66,0.86,2.06
RM_sq,,,,0.88,5.00,0.43,-0.40,-0.48,-3.20,-2.49,-4.67,-4.25,2.35,2.52,1.97,2.88,1.70,4.10,3.92,5.19,-2.12
COP,121000,105000,101000,96000,89000,89000,90000,91000,95000,95000,94000,96000,95000,99000,103000,106000,109000,109000,109000,110000,108000
COP_yy,,-13.22,-3.81,,,,-10.89,-5.21,6.74,6.74,4.44,5.49,,4.21,9.57,10.42,14.74,10.10,5.83,3.77,-0.92
COP_sy,,4.26,-6.80,,,,-1.09,-3.93,0.72,7.33,7.38,4.83,,-5.46,-2.75,1.42,-5.04,-3.97,-2.12,-0.70,10.61
COP_qq,,,,-4.95,-7.29,,1.12,1.11,4.40,,-1.05,2.13,-1.04,4.21,4.04,2.91,2.83,,,0.92,-1.82
COP_sq,,,,2.19,-1.43,,-0.73,-0.74,3.35,,-0.68,-3.09,-1.42,-0.36,2.17,1.06,-7.69,,,2.53,2.82
CSP,35000,44000,42000,38000,36000,37000,39000,40000,40000,42000,42000,47000,49000,50000,51000,51000,49000,49000,46000,46000,42000
CSP_yy,,25.71,-4.55,,,,-7.14,5.26,11.11,13.51,7.69,17.50,22.50,19.05,21.43,8.51,,-2.00,-9.80,-9.80,-14.29
CSP_sy,,30.77,-2.94,,,,-4.04,-7.22,,5.56,-15.79,-10.00,-7.69,1.05,18.75,-14.81,,-25.00,-21.05,13.04,-9.20
CSP_qq,,,,-9.52,-5.26,2.78,5.41,2.56,,5.00,,11.90,4.26,2.04,2.00,,-3.92,,-6.12,,-8.70
CSP_sq,,,,-2.02,-6.19,-1.10,5.56,-5.26,,4.40,,1.25,3.70,14.29,-1.04,,26.09,,4.17,,1.28
