,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RS_yy,,26.82,-2.55,,,,-18.17,-25.26,-36.86,-44.90,-35.00,-31.14,-15.07,3.12,-8.51,-1.58,1.13,-7.86,-7.93,-14.85,-24.93
RS_sy,,7.81,30.64,,,,-14.75,50.58,-8.16,-26.27,2.63,-24.03,-18.35,-10.65,1.87,1.48,9.42,14.60,-21.46,-12.09,-24.72
RS_qq,,,,-0.33,-3.00,-0.72,-14.75,-8.97,-18.04,-13.37,0.57,-3.55,1.08,5.18,-10.78,3.75,3.87,-4.18,-10.84,-4.04,-8.43
RS_sq,,,,-27.56,51.29,2.52,-24.12,27.94,-7.73,-17.70,5.62,-5.29,-0.82,-9.94,20.43,-5.66,6.94,-5.68,-17.46,5.60,-8.43
GPM,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-0.11,-0.97,,,,-5.95,-14.62,-31.61,-44.85,-36.00,-34.20,-21.91,1.95,-11.67,-3.57,4.18,6.79,16.52,11.28,2.86
GPM_sy,,23.11,1.48,,,,-21.45,-22.32,-37.18,-61.78,12.12,-3.50,-2.83,33.83,-7.10,-1.25,9.51,29.55,-14.39,9.76,-5.04
GPM_qq,,,,2.11,2.34,2.25,-11.98,-7.31,-18.02,-17.54,2.14,-4.71,-2.70,7.65,-11.50,4.03,5.12,10.34,-3.43,-0.65,-2.83
GPM_sq,,,,-1.60,20.28,2.83,-35.45,-2.69,-2.73,-37.44,89.34,-16.25,-2.06,-13.83,31.43,-10.97,8.62,1.93,-13.15,14.14,-6.03
RBS,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,0.22,1.08,,,,,,,,,,,,,,,,,,
RBS_sy,,-2.97,1.35,,,,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,16.53,-5.20,,,,-66.92,-70.95,-86.13,-33.05,18.60,25.19,38.29,97.45,28.21,34.34,21.46,-11.48,57.53,33.93,72.01
ROPA_sy,,-30.10,24.63,,,,-17.12,135.19,183.64,109.15,33.68,13.78,-31.70,2.46,-31.98,-42.33,3.21,3.42,26.60,52.97,4.39
ROPA_qq,,,,13.29,102.92,-79.49,-29.82,-0.53,-3.13,-0.99,24.32,4.99,7.00,41.37,-19.28,10.01,-3.25,3.04,43.65,-6.47,24.25
ROPA_sq,,,,-57.08,2.64,1.43,85.49,21.79,23.78,-25.21,18.55,3.66,-25.70,12.21,-21.29,-12.11,32.97,12.43,-3.65,6.20,-9.25
ZNPO,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,31.39,-7.22,,,,22.51,194.58,-14.08,-10.09,-2.57,-75.62,-8.50,-2.69,-28.89,66.42,17.26,7.35,31.94,-14.27,-14.55
ZNPO_sy,,-56.52,105.23,,,,-12.04,115.72,-3.04,9.63,42.74,-47.39,-27.67,-15.70,-36.04,11.10,47.47,31.18,4.63,-28.78,-37.89
ZNPO_qq,,,,-1.58,27.58,0.95,-3.36,136.67,-62.79,5.63,4.73,-40.77,39.64,12.34,-23.47,38.62,-1.61,2.85,-5.94,-9.93,-1.93
ZNPO_sq,,,,-17.85,38.20,-15.26,-8.57,101.47,-37.89,-4.18,19.04,-25.74,-14.60,11.67,-9.68,28.98,13.35,-0.66,-27.96,-12.21,-1.14
ZFI,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,22.17,-7.24,,,,233.86,3418.94,190.62,-413361.23,,,,,,,,,,-111.58,-148.73
ZFI_sy,,-41.00,-1.14,,,,-20.26,1041.30,137.13,-3828.22,,,,,,,,,,2434.78,-58.19
ZFI_qq,,,,-88.77,-3249.07,100.97,9670.41,18.34,-18.90,-4507.40,,,,,,-16.49,-86.98,,,,45.22
ZFI_sq,,,,-88.77,-1006.37,131.27,150.63,60.69,-70.52,-3239.82,,,,,,-119.49,12865.22,,,,128.58
DTAR,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,53.24,-19.38,,,,-65.92,-58.16,-57.43,164.63,49.34,84.50,27.02,45.96,392.69,242.15,483.17,202.09,-64.93,-69.89,-73.58
DTAR_sy,,1.09,53.99,,,,-12.62,-17.38,2.65,-3.76,13.87,54.86,49.82,43.43,48.21,37.75,36.32,39.85,-23.90,-2.29,-23.03
DTAR_qq,,,,-15.65,12.76,-78.41,65.94,3.55,14.74,34.22,-6.35,27.93,-21.01,54.23,216.11,-11.16,34.64,-20.11,-63.30,-23.71,18.11
DTAR_sq,,,,-22.76,4.27,3.39,4.93,-26.97,29.56,-3.06,24.15,-0.68,25.34,-7.19,28.29,-7.69,24.04,-4.79,-30.19,18.52,-2.29
CG,,,,,,,,,,,,,,,,,,,,,
CG_yy,,73.66,-11.43,,,,-75.70,-63.14,-63.13,187.29,55.53,98.95,30.41,55.91,891.17,481.05,1460.15,433.77,-80.09,-81.25,-88.56
CG_sy,,-15.16,82.57,,,,-35.24,-51.50,-22.95,15.63,0.55,66.96,106.88,14.63,123.14,111.20,237.93,270.86,-60.95,-44.88,-64.03
CG_qq,,,,-31.59,16.23,-82.18,71.46,3.77,16.28,38.87,-7.18,32.73,-23.78,66.02,490.09,-22.19,104.66,-43.20,-77.99,-26.72,24.91
CG_sq,,,,-27.62,-37.65,-6.12,52.86,-45.79,-0.95,40.89,32.93,-10.00,22.74,-21.94,158.76,-14.81,96.38,-14.33,-72.76,20.26,28.15
LDER,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,,331.25,,,,-50.72,-54.90,-69.79,25.00,-44.12,-17.39,-31.03,20.00,-94.74,-94.74,-95.00,95.83,,-100.00,3900.00
LDER_sy,,,377.03,,,,-72.80,-70.35,-12.94,9.78,97.40,110.20,108.11,95.05,-37.73,-55.83,63.31,42.89,,321.98,55.47
LDER_qq,,,,-26.09,88.24,-83.33,112.50,-32.35,26.09,-31.03,-5.00,,5.26,20.00,-95.83,,,4600.00,,,
LDER_sq,,,,-6.37,-74.28,8.24,4.35,2.08,-24.49,36.49,87.62,,-25.24,27.92,-40.10,,,11.93,,,
PZAT,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,,-66.85,,,,-42.90,-29.57,51.17,115.52,144.01,127.62,9.94,9.38,10650.70,7873.00,7238.06,88.77,,412.62,-97.03
PZAT_sy,,,-13.69,,,,-55.10,3.16,-21.19,-4.31,48.15,-39.14,42.92,32.33,73.22,67.81,2.08,-20.01,,-74.73,-71.73
PZAT_qq,,,,15.62,4.80,-15.43,-44.28,42.61,124.96,20.57,-36.92,33.03,8.65,19.95,6100.56,-1.34,,-96.91,,,-99.42
PZAT_sq,,,,41.29,-18.73,-27.03,-46.42,224.64,-37.91,-11.40,-17.05,33.36,45.81,-17.97,8.59,29.20,,-35.72,,,-0.80
PELDR,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,,18.87,,,,383.25,347.66,158.95,-53.08,-45.23,-46.36,-55.88,-81.54,-94.45,-47.50,0.13,126.45,,63.14,82.17
PELDR_sy,,,59.37,,,,43.23,-8.94,-50.42,-79.56,-76.97,-77.90,-56.81,-3.57,-8.71,21.62,14.45,12.10,,335.79,341.78
PELDR_qq,,,,15.66,-25.82,488.17,-4.24,7.15,-57.09,6.57,11.78,4.94,-64.71,-55.41,-66.41,893.30,-32.69,0.85,,,-24.84
PELDR_sq,,,,68.72,-16.03,16.98,-13.58,7.27,-54.28,-51.78,-2.61,2.94,-10.65,7.65,-7.80,37.14,-15.92,5.45,,,-14.77
TSF,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,,-8.49,,,,39.83,13.16,14.70,-7.87,-4.20,-7.26,-2.76,-6.31,-50.37,-41.24,-62.68,-43.30,,60.63,131.77
TSF_sy,,,-17.66,,,,16.74,14.99,7.93,11.58,12.34,-7.06,-27.03,-11.02,-15.51,-39.14,-12.27,-26.14,,47.64,18.77
TSF_qq,,,,23.08,-2.52,20.17,-3.00,-0.40,-1.20,-3.47,0.86,-3.58,3.58,-7.00,-46.57,14.16,-34.20,41.29,,,-5.06
TSF_sq,,,,15.34,3.83,-1.75,-0.79,13.61,-2.55,1.57,-0.11,-6.00,-23.49,23.86,-5.15,-32.29,10.28,4.28,,,-11.28
ZKO,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,45.70,-21.57,,,,-67.98,-61.00,-60.35,225.80,79.33,109.07,52.31,51.77,542.59,208.56,381.72,144.98,-76.86,-69.90,-73.26
ZKO_sy,,-37.02,93.14,,,,-7.99,-15.07,5.26,28.80,22.84,68.14,44.93,10.97,10.49,2.01,-1.35,-3.49,-16.55,8.64,4.15
ZKO_qq,,,,-15.17,16.33,-80.47,66.10,3.34,18.26,60.50,-8.57,20.47,-13.84,59.93,287.11,-42.15,34.51,-18.67,-63.44,-24.75,19.51
ZKO_sq,,,,-22.21,0.21,2.62,15.02,-28.19,24.20,25.56,9.70,-1.71,7.05,-3.86,9.22,-9.26,3.53,-5.95,-5.55,18.13,-0.75
OSF,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,80.90,-7.26,,,,55.33,75.12,3.41,52.74,-1.63,12.14,-32.76,-71.99,-64.30,62.31,383.17,453.45,175.71,-50.90,-51.48
OSF_sy,,-8.49,83.12,,,,-24.77,-35.29,-34.50,-32.18,-3.77,2.94,-0.72,-10.73,28.01,60.36,68.93,100.46,-20.32,-17.21,-32.21
OSF_qq,,,,-1.68,-14.10,15.84,58.77,10.85,-49.28,71.10,2.25,26.37,-69.59,-28.73,30.33,474.57,-9.46,-18.36,-35.08,2.32,-10.54
OSF_sq,,,,5.45,-7.73,1.96,-24.18,-9.29,-6.60,5.58,7.58,-2.97,-9.92,-5.06,54.27,21.55,-5.11,12.66,-38.68,26.30,-22.31
NetDebt,-6300421000,-11597589000,-29676000000,-38221000000,-17183000000,-178669000000,-179568000000,-186918000000,-205386000000,-160860000000,-178078000000,-199672000000,-201588000000,-120815000000,18882000000,-111653000000,-64617000000,-91803000000,-123085000000,-153810000000,-105183000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,25.92,-42.62,,,,-553.90,-440.10,-1161.66,5.96,41.57,40.09,44.88,61.60,108.50,55.59,73.49,22.91,-675.63,-35.97,-79.41
NetDebtEBITDA_sy,,-9.59,162.15,,,,-332.08,-62.69,245.91,403.76,191.84,199.42,8.32,-8.47,-12.37,-103.66,-160.13,-153.87,-198.15,-1877.39,-120.45
NetDebtEBITDA_qq,,,,-20.27,57.16,-873.31,-30.40,0.66,-0.07,27.45,18.98,-1.85,7.93,49.46,117.94,-632.09,45.04,-46.98,-33.93,-25.68,27.48
NetDebtEBITDA_sq,,,,-315.48,32.01,-12.67,-40.61,-51.05,160.97,134.56,-57.49,63.52,-33.57,98.20,-59.30,-106.83,-992.00,-77.56,25.84,-37.52,-21.74
DebtFin,-9818370000,-18861609000,-35565000000,-46304000000,-12950000000,-175296000000,-41798000000,-29202000000,-28379400000,-25972000000,,-206288000000,-198371000000,-155287000000,-136481000000,-248984000000,-273047000000,-243842000000,-125551000000,-142749000000,-89837000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,22.68,-5.09,,,,-27.00,30.35,-131.30,84.53,,-296.18,-292.52,-205.77,,4.13,-13.85,-59.29,18.78,43.42,63.73
DebtFinEBITDA_sy,,25.99,-58.44,,,,-36.42,-32.71,-83.96,19.40,,-32.93,-35.31,-79.30,,-15.77,-31.56,-58.35,-28.40,0.46,-9.76
DebtFinEBITDA_qq,,,,-21.58,73.35,-1166.90,69.06,33.33,11.48,15.24,,,12.30,33.97,-0.87,-64.14,-4.14,7.62,48.56,-14.35,33.26
DebtFinEBITDA_sq,,,,6.52,44.33,-73.12,-51.42,9.07,22.82,24.16,,,21.44,-0.50,-3.62,-41.52,10.73,-20.96,15.98,-9.71,1.56
SP1,,,,,,,,,,,,,,,,,,,,,
SP1_yy,,24.14,18.24,,,,384.92,348.88,160.70,-53.10,-45.15,-46.34,-55.85,-81.55,-94.44,-47.40,0.33,125.92,1091.61,63.14,81.46
SP1_sy,,3.12,80.88,,,,-22.31,-45.14,-57.90,-81.19,-60.94,-65.74,-53.07,-1.21,10.75,123.44,7.68,5.83,5.53,-57.01,-0.41
SP1_qq,,,,15.88,-26.16,492.86,-4.41,7.26,-57.12,6.66,11.80,4.93,-64.71,-55.42,-66.33,893.24,-32.69,0.38,77.57,35.99,-25.14
