,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CAR_sq,,,16.69,-8.23,-33.75,17.38,36.08,-23.91,-11.39,54.40,3.50,-28.30,-16.69,11.34,12.27,-8.22,-25.98,55.54,-6.13,-15.88
QR,,,,,,,,,,,,,,,,,,,,
QR_yy,,13.12,,,,-0.60,55.51,-14.33,-18.02,-54.38,-41.43,3.95,93.24,130.80,29.55,19.47,-56.26,-67.93,-27.93,-22.05
QR_sy,,-10.45,,,,-3.21,0.71,-8.84,4.07,5.57,-3.77,-7.66,-16.87,-12.10,-11.33,7.40,15.00,5.10,22.55,3.22
QR_qq,,,-51.54,-4.56,10.16,95.11,-24.19,-47.42,5.42,8.58,-2.67,-6.68,95.96,29.68,-45.37,-13.95,-28.25,-4.92,22.76,-6.92
QR_sq,,,-6.27,5.10,-7.97,6.76,-2.47,-4.87,5.06,8.30,-11.10,-8.71,-5.42,14.51,-10.32,10.58,1.27,4.66,4.56,-6.87
CR,,,,,,,,,,,,,,,,,,,,
CR_yy,,11.37,,,,1.24,62.48,-7.36,-11.46,-42.28,-23.18,29.77,91.34,94.38,0.27,1.99,-48.41,-60.22,-6.38,-5.84
CR_sy,,-9.00,,,,-3.21,1.24,-1.54,-1.07,0.57,-1.22,-5.12,-7.82,-9.54,-7.86,-3.76,0.68,4.21,4.14,9.91
CR_qq,,,-51.31,-3.43,13.49,89.74,-21.86,-44.94,8.47,23.69,4.00,-6.99,59.94,25.65,-46.35,-5.40,-19.10,-3.12,26.26,-4.86
CR_sq,,,-2.81,0.77,-1.65,0.49,1.66,-2.00,-1.18,2.16,-0.16,-5.87,-3.99,0.25,1.70,-1.69,0.44,3.77,1.63,3.76
PP,,,,,,,,,,,,,,,,,,,,
PP_yy,,614.57,,,,-13.15,234.49,-82.31,-19.93,-57.40,-32.98,996.21,390.95,385.76,-8.51,-10.80,-83.62,-88.22,-39.61,16.06
PP_sy,,-49.19,,,,8.08,46.25,-9.02,19.35,8.76,-6.96,-3.30,-16.61,-29.91,-20.13,-7.90,-1.61,31.73,-3.56,-13.52
PP_qq,,,-68.52,-32.87,36.03,202.12,21.24,-96.45,515.53,60.74,90.74,-41.91,175.67,59.04,-64.08,-43.36,-49.37,14.38,84.11,8.85
PP_sq,,,-12.14,18.15,-29.06,46.75,18.90,-26.50,-6.94,33.73,1.71,-23.61,-19.74,12.39,15.91,-11.91,-14.26,50.48,-15.14,-21.01
RCLR,,,,,,,,,,,,,,,,,,,,
RCLR_yy,,-26.76,,,,-0.88,1.88,-13.82,-15.65,-97.80,-75.72,-95.86,-90.67,769.66,-68.12,5.35,231.33,-85.37,18.40,255.66
RCLR_sy,,-14.09,,,,3.94,5.52,5.18,-0.55,-5.63,-17.03,-12.11,-21.84,-1.45,-3.03,-4.81,-1.21,-9.74,9.03,-2.35
RCLR_qq,,,-31.66,13.78,0.94,26.28,-29.76,-3.75,-1.21,-96.71,675.85,-83.60,122.87,206.66,-71.56,-45.81,600.92,-86.46,130.17,62.79
RCLR_sq,,,-3.16,0.07,7.33,-0.06,-1.70,-0.25,1.48,-5.16,-13.57,5.66,-9.75,19.58,-14.96,3.73,-6.33,9.25,2.72,-7.10
KP,,,,,,,,,,,,,,,,,,,,
KP_yy,,-7.32,,,,-12.07,24.58,-26.14,-23.99,-21.69,-1.17,65.71,67.17,36.50,-24.13,-18.78,-51.18,-52.26,10.04,-5.34
KP_sy,,-18.30,,,,-6.26,3.75,12.48,7.38,-6.68,0.10,-11.97,-16.47,-16.82,-9.28,-18.78,-10.73,12.38,-8.89,33.25
KP_qq,,,-41.91,-4.96,23.14,29.34,-17.71,-43.65,26.72,33.27,3.86,-5.52,27.84,8.82,-42.28,1.14,-23.15,6.42,33.04,-12.99
KP_sq,,,-17.35,1.13,-3.02,15.65,-8.52,9.64,-7.42,0.50,-1.88,-3.58,-12.14,0.08,7.02,-13.68,-3.43,25.97,-13.23,26.24
PKKO,,,,,,,,,,,,,,,,,,,,
PKKO_yy,,87.70,,,,-14.41,-4.45,-14.13,-7.02,-85.67,-113.34,-49.73,19.37,44.30,53.20,50.80,54.71,45.98,34.18,47.48
PKKO_sy,,-27.96,,,,18.59,5.93,-6.45,5.29,-23.98,-16.98,-27.62,-27.48,-16.72,2.58,-18.45,-8.22,4.09,-13.42,60.64
PKKO_qq,,,17.36,-12.66,-53.95,20.18,24.55,-23.11,-44.36,-38.48,13.31,13.60,22.26,4.34,27.17,9.17,28.44,-14.10,11.25,27.53
PKKO_sq,,,-6.35,22.35,-11.92,17.51,-16.35,8.05,-0.86,-15.16,-8.65,-5.79,-0.67,-2.58,12.52,-25.11,11.80,10.49,-6.41,38.95
RN,,,,,,,,,,,,,,,,,,,,
RN_yy,,-30.60,,,,67.77,34.66,38.11,14.83,54.68,69.36,174.90,948.24,379.92,641.23,195.33,-58.28,-6.41,-43.21,-29.22
RN_sy,,-3.11,,,,5.87,6.09,4.08,-2.81,-4.02,-5.60,-5.35,-4.97,-6.77,-0.83,-0.58,0.90,2.18,0.15,2.50
RN_qq,,,27.72,11.20,11.67,5.78,2.52,14.04,-7.15,42.49,12.24,85.11,254.06,-34.76,73.36,-26.25,-49.98,46.33,5.19,-8.07
RN_sq,,,-2.75,0.41,5.90,2.37,-2.55,-1.49,-1.10,1.09,-4.16,-1.23,-0.71,-0.82,1.96,-0.98,0.77,0.44,-0.07,1.34
CRN,95000,137000,108000,97000,87000,82000,80000,70000,75000,53000,47000,25000,7000,11000,6000,9000,17000,12000,11000,12000
CRN_yy,,44.21,,,,-40.15,-25.93,-27.84,-13.79,-35.37,-41.25,-64.29,-90.67,-79.25,-87.23,-64.00,142.86,9.09,83.33,33.33
CRN_sy,,2.87,,,,-5.59,-5.43,-4.35,2.30,4.14,5.75,5.68,5.62,7.95,1.09,1.08,-1.06,-2.11,,-3.19
CRN_qq,,,-21.17,-10.19,-10.31,-5.75,-2.44,-12.50,7.14,-29.33,-11.32,-46.81,-72.00,57.14,-45.45,50.00,88.89,-29.41,-8.33,9.09
CRN_sq,,,2.79,,-5.43,-2.87,2.96,1.15,1.14,-1.12,4.55,1.09,1.08,1.06,-2.11,1.08,-1.06,,,-2.15
CPZ,47000,64000,71000,83000,76000,71000,68000,63000,73000,74000,79000,74000,71000,76000,71000,87000,96000,100000,95000,89000
CPZ_yy,,36.17,,,,10.94,-4.23,-24.10,-3.95,4.23,16.18,17.46,-2.74,2.70,-10.13,17.57,35.21,31.58,33.80,2.30
CPZ_sy,,28.72,,,,-9.92,-6.05,5.31,6.64,8.72,5.58,5.04,0.41,4.64,2.44,,9.09,3.23,3.97,3.20
CPZ_qq,,,10.94,16.90,-8.43,-6.58,-4.23,-7.35,15.87,1.37,6.76,-6.33,-4.05,7.04,-6.58,22.54,10.34,4.17,-5.00,-6.32
CPZ_sq,,,2.48,-8.87,,-3.54,6.88,2.15,1.26,-1.66,3.80,1.63,-3.20,2.48,1.61,-0.79,5.60,-3.03,2.34,-1.53
RZ,,,,,,,,,,,,,,,,,,,,
RZ_yy,,,,,,,,,,,,,,,,,,,,
RZ_sy,,,,,,,,,,,,,,,,,,,,
RZ_qq,,,,,,,,,,,,,,,,,,,,
RZ_sq,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,
CRZ_yy,,,,,,,,,,,,,,,,,,,,
CRZ_sy,,,,,,,,,,,,,,,,,,,,
CRZ_qq,,,,,,,,,,,,,,,,,,,,
CRZ_sq,,,,,,,,,,,,,,,,,,,,
RMO,,,,,,,,,,,,,,,,,,,,
RMO_yy,,-31.21,,,,58.61,28.02,31.56,2.91,2.13,-2.85,-12.56,-11.77,-27.43,-18.19,-36.50,-23.26,3.93,5.83,45.92
RMO_sy,,-12.54,,,,7.80,8.98,0.89,-7.79,-0.70,-8.45,-1.81,4.10,-2.81,-2.36,-2.93,-3.53,-4.70,8.70,2.80
RMO_qq,,,20.18,9.10,16.92,3.47,-3.00,12.12,-8.55,2.68,-7.72,0.90,-7.73,-15.54,4.03,-21.68,11.51,14.38,5.93,7.99
RMO_sq,,,0.74,2.95,6.98,-2.84,1.85,-4.69,-2.22,4.62,-6.10,2.22,3.67,-2.33,-5.66,1.62,3.03,-3.51,7.61,-3.90
RMT,,,,,,,,,,,,,,,,,,,,
RMT_yy,,-70.43,,,,44.45,-17.16,-39.56,-62.33,-40.68,-7.28,16.81,14.39,-29.37,-49.66,-73.39,-64.41,-36.93,-0.19,86.22
RMT_sy,,-6.26,,,,-2.18,-0.22,-4.35,-2.06,3.02,-3.49,-0.72,-0.90,-10.11,-3.01,-4.98,-2.76,0.33,-1.79,1.93
RMT_qq,,,18.61,21.46,31.58,-23.80,-31.97,-11.39,-17.98,19.98,6.33,11.64,-19.68,-25.93,-24.21,-41.00,7.43,31.28,19.94,10.09
RMT_sq,,,-1.31,1.20,-1.71,-0.36,0.67,-2.99,0.65,4.81,-5.69,-0.21,0.47,-4.93,1.75,-2.23,2.81,-1.91,-0.40,1.48
RM,,,,,,,,,,,,,,,,,,,,
RM_yy,,-35.45,,,,56.94,20.82,17.79,-10.87,-5.85,-3.58,-8.09,-7.29,-27.80,-25.88,-47.57,-35.94,-7.49,4.29,56.05
RM_sy,,-10.16,,,,1.41,10.88,8.81,7.40,9.24,0.07,3.53,-1.19,-7.90,-2.90,-5.55,-1.19,2.94,0.12,3.05
RM_qq,,,20.01,10.33,18.23,0.26,-7.62,7.57,-10.54,5.91,-5.39,2.54,-9.77,-17.52,-2.87,-27.47,10.25,19.10,9.51,8.52
RM_sq,,,-2.62,-0.89,4.14,0.91,6.47,-2.74,2.79,2.64,-2.47,0.62,-1.90,-4.33,2.82,-2.13,2.63,-0.33,0.01,0.74
COP,,,,,,,,,,,,,,,,,,,,
COP_yy,,,,,,,,,,,,,,,,,,,,
COP_sy,,,,,,,,,,,,,,,,,,,,
COP_qq,,,,,,,,,,,,,,,,,,,,
COP_sq,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,
CSP_yy,,,,,,,,,,,,,,,,,,,,
CSP_sy,,,,,,,,,,,,,,,,,,,,
CSP_qq,,,,,,,,,,,,,,,,,,,,
CSP_sq,,,,,,,,,,,,,,,,,,,,
