,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITDACurrent_qq,,,,,9.16,-20.06,0.59,-11.01,-11.20,26.77,10.59,0.11,33.26,-9.50,15.37,-20.88,-6.82,-16.78,-14.10,-34.90,-24.25,0.01,-11.89,8.12,15.86,4.74,11.29,-2.31,6.99,20.40,56.69,59.79,10.43,-15.30
EVEBITDACurrent_sq,,,,,42.67,-36.43,-6.47,46.12,0.18,37.66,-13.90,-19.66,36.29,-2.36,10.96,-31.98,2.14,-15.30,-1.96,11.92,-1.06,-2.39,-0.16,-5.81,0.19,31.69,-22.41,-4.10,10.47,-14.52,6.68,18.31,5.09,-8.19
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-24.36,65.41,-56.54,,,,-32.70,-24.01,-13.51,,0.89,-0.14,3.34,8.99,-8.94,-5.61,-2.20,16.97,56.11,75.61,100.30,70.55,36.49,15.85,-18.74,-29.08,-33.09,-37.50,-36.15,-43.02,-70.04,-83.17,-79.42
ROE_sy,,-29.64,15.83,16.23,,,,-44.29,-47.91,-43.92,,-17.65,47.06,70.57,80.74,46.85,-15.03,-4.39,-4.58,0.51,44.08,-24.43,-33.01,-11.63,-23.76,13.13,4.82,-24.02,-13.51,-33.52,2.93,22.09,9.16,42.62
ROE_qq,,,,,-18.61,3.45,,,-8.10,17.74,-11.01,4.77,-9.04,21.84,-6.13,-12.47,-5.71,26.25,12.27,16.81,6.06,44.00,-4.40,-6.52,-9.97,1.01,-16.57,-11.80,-15.91,3.19,-25.55,-53.63,-52.76,26.19
ROE_sq,,,,,-25.93,-3.81,,,-30.74,3.57,1.89,12.67,23.69,20.12,7.97,-8.46,-28.43,35.16,7.76,-3.57,2.59,-29.11,-4.47,27.19,-11.49,5.19,-11.48,-7.81,0.76,-19.14,37.05,9.35,-9.91,5.64
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-66.03,156.71,-6.60,,,,-18.21,-9.15,-10.22,,4.10,-3.62,-19.82,-1.37,-22.28,-9.28,-11.92,0.19,60.72,78.56,153.22,105.60,40.03,0.21,-31.11,-40.31,-33.85,-29.39,-33.76,-46.64,-77.28,-85.82,-77.15
ROA_sy,,-35.47,31.79,-1.42,,,,-36.36,-40.83,-62.55,,-3.60,39.85,13.95,73.46,40.03,-16.09,13.10,7.10,-23.05,19.18,1.65,-16.58,-20.95,-20.84,-26.04,-36.39,-14.15,19.67,2.20,54.33,8.14,-24.23,13.11
ROA_qq,,,,,-14.90,12.85,,,-5.47,11.51,-5.19,4.17,-12.49,-7.24,16.63,-17.92,2.15,-9.93,32.66,31.68,13.49,27.73,7.72,-10.32,-18.78,-12.20,-6.66,-0.62,-13.32,-17.63,-24.80,-57.69,-45.91,32.77
ROA_sq,,,,,-22.18,50.44,,,-27.64,-4.80,-18.22,71.09,4.99,-22.43,24.49,38.11,-37.09,4.56,17.89,-0.77,-2.57,-10.82,-3.25,-5.96,-2.44,-16.67,-16.80,26.92,35.98,-28.83,25.64,-11.06,-4.73,6.25
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-68.68,79.79,19.88,,,,1.19,4.99,-13.17,-21.10,-19.78,-26.69,-31.90,-29.82,-15.34,0.39,19.35,49.19,72.71,83.70,92.53,70.74,19.69,7.61,-11.26,-23.53,-19.61,-28.34,-31.98,-43.15,-67.59,-71.14,-62.85
OPM_sy,,-31.76,5.94,-2.71,,,,15.24,-17.14,-43.22,-37.87,-18.06,-12.58,12.42,37.69,-18.11,17.32,42.78,60.20,21.88,30.04,29.17,-0.52,12.23,-31.49,-35.10,-19.46,-14.41,19.25,-7.46,-5.77,-21.15,-24.66,-0.77
OPM_qq,,,,,-6.09,15.95,0.51,-7.54,-2.56,-4.12,-8.66,-6.00,-10.95,-10.94,-5.87,13.39,5.60,5.88,17.67,31.27,12.32,10.97,4.35,-7.98,0.99,-8.49,-10.07,-3.26,-9.99,-13.14,-24.84,-44.84,-19.85,11.79
OPM_sq,,,,,5.20,-2.30,-24.32,48.15,-24.35,-33.05,-17.20,95.38,-19.29,-13.90,1.42,16.20,15.62,4.78,13.79,-11.60,23.37,4.08,-12.37,-0.26,-24.69,-1.40,8.76,5.98,4.93,-23.48,10.74,-11.32,0.26,0.78
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
